"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"ovni";563,169;-34,494;-13,116;-16,371;-40,027;-34,541
"btlv";-26,62;-20,22;-4,619;-19,984;377,604;-28,157
"www";-24,9;330,847;-9,713;-18,284;-24,009;-12,159
"youtube";-18,871;265,727;-7,362;-13,857;-20,285;-11,071
"com";-20,647;271,374;-8,054;-12,677;-19,501;-12,113
"mikecriss";-29,633;-26,129;-11,56;-21,759;-31,853;771,903
"blog";-30,278;-21,944;-11,812;-22,233;-32,547;755,173
"https";-13,423;189,009;-5,236;-9,856;-14,428;-7,875
"tv";-9,269;22,759;-4,586;-8,632;15,723;-4,69
"extraterrestre";-7,285;-7,543;9,669;119,07;-14,855;-9,538
"espace";-0,88;0,318;-0,242;2,174;0,508;-2,669
"http";-13,423;189,009;-5,236;-9,856;-14,428;-7,875
"urn";-12,309;154,855;-4,802;-4,728;-13,231;-7,221
"ufo";-1,013;9,12;-1,175;0,866;-3,237;-0,207
"wat";-8,227;89,577;-3,209;-2,128;-8,843;-2,74
"vidéo";-5,809;39,143;-0,756;-2,001;-0,913;-2,234
"watch";-9,571;134,768;-3,734;-7,028;-10,288;-5,615
"the";-7,164;0,122;-2,795;-5,26;-7,7;101,593
"fr";-3,391;25,505;-3,001;-3,466;1,515;-4,514
"radio";-10,931;-10,116;-4,264;-8,027;156,236;-6,413
"partie";11,815;-0,262;-0,681;-0,006;-1,877;-1,025
"mystère";-1,622;-2,49;-1,607;-4,396;55,91;-5,298
"saison";-0,552;-0,904;72,994;-1,044;-4,337;-2,367
"hd";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"secret";-6,617;-5,795;3,162;-2,618;-0,994;57,09
"aller";-8,763;-5,509;-0,376;-2,453;30,513;3,769
"français";-0,077;9,12;3,978;-2,211;-3,237;-1,767
"scicos";-1,125;-0,855;-3,209;81,571;-8,843;-4,826
"petit";-2,251;0,639;6,818;2,254;-2,419;-1,32
"paranormal";-1,665;-0,047;-1,474;-2,774;25,189;-2,216
"alien";-7,429;2,571;0,089;30,485;-5,579;-4,358
"vie";-6,899;-0,902;-0,068;-0,007;29,573;-4,048
"grand";-0,994;-0,079;-0,74;-1,077;19,002;-3,739
"david";-7,429;-6,158;-2,898;-3,282;-0,942;120,425
"crop";-4,809;-1,555;0,072;0,003;-2,903;35,898
"nhttps";-3,012;42,408;-1,175;-2,211;-3,237;-1,767
"france";51,586;0;-2,691;-2,919;-7,416;-4,048
"di";-6,111;-7,088;-2,384;-4,487;-6,568;170,126
"part";-6,899;-3,569;-2,691;-1,361;-7,416;132,439
"html";-6,111;53,09;-2,384;-2,385;-4,221;-0,421
"officiel";0,345;0,211;2,257;-0,547;-0,801;-0,437
"aliens";-6,111;-2,78;0,42;67,475;-4,221;-3,585
"episode";-0,994;6,441;-0,388;-0,73;0,039;-0,583
"bob";-1,845;-0,329;-0,584;-4,295;33,582;-3,431
"inexpliqué";-4,55;0;-1,775;-3,341;35,708;-2,669
"énigme";-5,068;-1,788;43,299;-1,695;2,416;-2,973
"monde";-0,012;-2,424;-0,132;0,143;8,258;-2,367
"channel";-6,111;60,587;-2,384;-4,487;-1,078;-3,585
"semaine";-5,068;-5,878;189,552;-1,695;-5,447;-2,973
"icke";-5,849;-6,784;-2,282;-4,295;-6,287;162,84
"film";-0,88;2,92;29,098;-1,363;-4,891;-2,669
"code";-2,251;31,693;-0,878;-1,653;-2,419;-1,32
"cinéma";66,973;-2,525;-0,584;-4,295;-6,287;-3,431
"space";-5,068;-3,538;-1,977;-3,721;-5,447;125,395
"i";-0,276;19,827;-1,374;-0,013;-3,786;-2,066
"video";-4,809;58,848;-1,876;-3,531;-5,169;-0,965
"trouver";-5,328;-3,822;105,187;1,177;-5,727;-3,125
"pompier";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"novni";-3,778;53,2;-1,474;-2,774;-4,061;-2,216
"new";-0,745;-0,864;12,556;0,746;-0,801;-0,437
"circles";-3,267;-1,626;-1,274;-0,599;-1,411;49,228
"sub";-4,55;-5,278;-1,775;-3,341;-4,891;126,676
"histoire";-0,116;-5,278;-1,775;0,662;17,819;-2,669
"by";-2,504;35,256;-0,977;-1,838;-2,691;-1,469
"spatial";-0,435;0,639;-0,878;11,286;-2,419;-1,32
