"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"vérifier";0,129;0,283;0,252;0,593;0,301;0,445
"visiter";0,795;0,182;0,533;0,593;0,301;0,445
"ville";0,319;0,182;0,252;0,593;0,301;0,445
"videos";0,319;0;0,533;0,393;0,301;0,445
"utip";0,388;0,001;0,59;0,46;0,371;0,509
"una";0,388;0,646;0,59;0,46;0,6;0,281
"ufologiques";0,129;0,182;0,533;0,393;0,301;0,445
"trou";0,319;0,283;0;0,393;0,301;0,445
"théorie";0,319;0,283;0;0,393;0,301;0,445
"thanatosdu14";0,319;0;0,533;0,393;0,301;0,445
"sujet";0,388;0,646;0,59;0,014;0,371;0,509
"suite";0,795;0,283;0,252;0,393;0,154;0,445
"sophie";0,319;0,283;0,533;0,393;0;0,445
"site";0,319;0;0,533;0,393;0,301;0,445
"short";0,319;0,283;0,533;0;0,301;0,445
"réalité";0,388;0,646;0,59;0,388;0,6;0,509
"rejoindre";0,388;0,001;0,59;0,46;0,371;0,509
"regarder";0,557;0,064;0,59;0,46;0,371;0,509
"recevoir";0,129;0,283;0,533;0,054;0,301;0,445
"présenter";0,388;0,353;0;0,388;0,371;0,509
"proibite";0,319;0,283;0,533;0,393;0,301;0
"pays";0,388;0,646;0,59;0,46;0,052;0,509
"pari";0,388;0,646;0,59;0,46;0,6;0,281
"oyagaelewee";0,319;0;0,533;0,393;0,301;0,445
"orbs";0,388;0,064;0,59;0,46;0,6;0,509
"ombre";0,042;0,646;0,59;0,46;0,371;0,509
"odyssée";0,795;0,897;0,533;0,054;0,301;0,445
"objectif";0,388;0,064;0,59;0,388;0,371;0,509
"nà";0,319;0,182;0,533;0,393;0,154;0,445
"ntwitter";0,319;0;0,533;0,393;0,301;0,445
"nstan";0,319;0;0,533;0,393;0,301;0,445
"nrevolution";0,319;0;0,533;0,393;0,301;0,445
"nmontage";0,319;0;0,533;0,393;0,301;0,445
"nmaillaud";0,319;0;0,533;0,393;0,301;0,445
"nfilm";0,319;0;0,533;0,393;0,301;0,445
"nextrait";0,319;0;0,533;0,393;0,301;0,445
"nemission";0,319;0;0,533;0,393;0,301;0,445
"nclip";0,319;0;0,533;0,393;0,301;0,445
"ncensure";0,319;0;0,533;0,393;0,301;0,445
"naliens";0,319;0;0,533;0,393;0,301;0,445
"nactivisme";0,319;0;0,533;0,393;0,301;0,445
"métrage";0,319;0,897;0,004;0,593;0,301;0,445
"moment";0,319;0,283;0,252;0,001;0,301;0,445
"minute";0,319;0,283;0,252;0,593;0,154;0,445
"manoscritti";0,388;0,353;0,59;0,46;0,371;0
"lek";0,388;0,646;0;0,46;0,371;0,509
"kidnappeur";0,319;0,182;0,004;0,393;0,301;0,445
"junior";0,388;0,001;0,59;0,46;0,371;0,509
"jt";0;0,283;0,533;0,393;0,301;0,445
"jeu";0,388;0,646;0;0,46;0,371;0,509
"io";0,319;0;0,533;0,393;0,301;0,445
"interview";0,388;0,646;0,59;0,46;0,052;0,509
"identifier";0,388;0,353;0;0,388;0,371;0,509
"hl";0,319;0,011;0,533;0,393;0,844;0,445
"h";0,042;0,646;0,59;0,46;0,371;0,509
"galley";0,319;0,283;0,533;0,393;0;0,445
"femme";0,795;0,283;0,533;0,054;0,844;0,445
"faux";0,388;0,064;0,133;0,46;0,371;0,509
"famille";0,042;0,646;0,59;0,46;0,371;0,509
