ovni;151;12;4;11;8;0
btlv;8;14;7;6;123;0
www;0;88;0;0;1;1
youtube;0;70;0;0;0;0
com;0;74;0;1;1;0
mikecriss;0;3;0;0;0;102
blog;0;5;0;0;0;102
https;0;51;0;0;0;0
tv;1;23;0;0;20;1
extraterrestre;4;5;12;39;1;0
espace;2;5;1;5;5;0
http;0;51;0;0;0;0
urn;0;45;0;2;0;0
ufo;1;7;0;3;0;1
wat;0;29;0;2;0;1
vidéo;2;25;2;3;6;2
watch;0;37;0;0;0;0
the;0;7;0;0;0;21
fr;2;18;0;1;9;0
radio;0;1;0;0;41;0
partie;5;1;0;1;0;0
mystère;4;4;1;1;25;0
saison;2;2;11;1;0;0
hd;0;4;0;0;0;0
secret;1;2;6;2;5;19
aller;0;2;2;2;20;8
français;2;7;3;0;0;0
scicos;4;5;0;23;0;0
petit;0;3;3;3;0;0
paranormal;1;3;0;0;11;0
alien;0;10;3;15;1;0
vie;0;4;2;4;17;0
grand;3;5;1;2;14;0
david;0;1;0;1;4;23
crop;0;2;2;3;1;11
nhttps;0;12;0;0;0;0
france;20;6;0;1;0;0
di;0;0;0;0;0;24
part;0;2;0;2;0;23
html;0;20;0;1;1;2
officiel;1;1;1;0;0;0
aliens;0;2;3;18;1;0
episode;0;3;0;0;1;0
bob;2;4;1;0;16;0
inexpliqué;0;4;0;0;14;0
énigme;0;2;10;1;7;0
monde;3;1;1;3;8;0
channel;0;21;0;0;3;0
semaine;0;0;19;1;0;0
icke;0;0;0;0;0;23
film;2;7;8;1;0;0
code;0;9;0;0;0;0
cinéma;20;2;1;0;0;0
space;0;1;0;0;0;19
i;2;10;0;2;0;0
video;0;18;0;0;0;1
trouver;0;1;15;5;0;0
pompier;0;6;0;0;0;0
novni;0;15;0;0;0;0
new;0;0;2;1;0;0
circles;0;1;0;1;1;10
sub;0;0;0;0;0;18
histoire;3;0;0;4;11;0
by;0;10;0;0;0;0
spatial;1;3;0;5;0;0
révélation;7;0;0;6;4;0
ita;0;0;0;0;0;18
fortnite;1;0;15;1;0;0
edge;0;0;0;0;0;18
cutting;0;0;0;0;0;18
beyond;0;0;0;0;0;18
soirée;2;0;0;0;1;0
nouveau;0;4;5;3;1;0
facebook;0;10;0;0;1;0
annonce;0;5;3;1;1;0
émission;2;1;1;0;8;0
us;2;2;0;1;0;0
univers;0;2;0;6;7;0
nasa;0;4;0;8;0;2
vérité;0;3;0;0;10;0
nufo;0;9;0;0;0;0
instagram;0;9;0;0;0;0
halloween;0;3;0;1;0;0
enfant;0;5;1;0;8;0
zone;1;2;8;0;0;0
twitter;0;8;0;0;1;0
temps;0;1;2;7;0;0
nteaser;0;4;0;0;0;0
mars;3;3;0;7;1;0
homme;0;0;0;7;7;0
extraire;0;0;1;0;12;0
terre;0;0;0;10;2;0
r;2;8;0;0;0;0
premier;1;2;0;4;1;0
planète;4;1;0;6;2;0
partir;0;1;0;0;0;11
média;0;1;0;0;11;0
venir;0;2;1;0;6;0
témoignage;3;0;1;1;3;0
rencontre;7;0;0;1;4;0
question;0;1;1;3;7;0
