"";"*typedemission_Collectiondémissionscomposites";"*typedemission_Collectiondémissionssimples";"*typedemission_Emissioncomposite";"*typedemission_Emissionsimple";"*typedemission_Emissionsimpleincluse";"*typedemission_Episodeoupartiedunprogramme";"*typedemission_Episodeoupartiedunprogrammeinclus";"*typedemission_Tranchehoraire";"*typedemission_Tranchehoraireincluse"
"pre";11;176;2193;4223;2973;639;527;82;7
"ver_sup";0;16;104;334;275;52;58;5;0
"adj_dem";0;6;38;97;84;18;17;2;0
"ono";0;3;17;43;24;5;0;14;0
"pro_per";3;59;367;1124;906;287;188;14;5
"num";0;11;1481;605;82;25;0;8;0
"adv";2;11;51;141;64;21;10;4;0
"ver";7;131;1077;2563;1923;570;353;54;3
"adj_ind";1;2;36;116;27;15;3;1;1
"adj_pos";0;25;151;390;362;126;72;7;1
"aux";4;49;482;1075;958;138;196;27;0
"nr";4;121;2528;3106;1742;342;322;179;5
"pro_ind";2;16;64;210;231;43;48;7;2
"adj";5;114;901;2260;1584;219;223;83;5
"pro_dem";1;12;84;178;73;23;5;5;0
"nom";16;307;4122;6819;4858;844;868;219;16
"art_ind";7;57;464;1507;1050;201;217;53;1
"adj_int";0;2;2;11;0;0;0;0;0
"pro_pos";0;0;1;2;1;0;1;0;0
"nom_sup";0;13;54;127;38;14;0;2;0
"adv_sup";3;49;273;646;701;107;159;11;3
"adj_sup";0;4;15;32;16;2;1;0;0
"art_def";7;145;1663;2817;1797;392;276;92;8
"adj_num";0;6;27;54;48;9;0;15;0
"pro_rel";1;23;162;438;510;74;96;20;0
"con";5;68;332;972;1049;170;184;80;3
