"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"preuve";0;0;0;1,39;0;0;0,28;0;0
"macron";0;0;1,12;0,04;0;0;0;0;0
"luc";0;0;0,32;1,13;0;0;0;0;0
"lui";0;2,88;0,72;2,26;1,99;9,18;0,28;0;0
"ukrainien";0;0;0,88;0;0;0;0;0;0
"police";0;0;0,08;1,26;0,21;0;0;2,52;0
"animateur";0;0;0,72;0,3;0;0;0;0;0
"paranormal";15,38;0,96;0,16;0,22;0,05;0;0;0;0
"vinci";0;0;0;0;1,36;0;0;0;0
"carrière";0;0;0,24;0,26;0,05;0;0;0;0
"examiner";0;0;0;0,65;0;0,3;0;0;0
"46";0;0;0,88;0,13;0;0;0;0;0
"femme";0;0,96;0,88;1,13;0,26;2,07;0;0;0
"région";0;0;0,32;0,17;0,1;0;0;0;0
"moins";0;0;0,16;0,35;0;0,3;0;0;0
"persuader";0;0;0,08;0,35;0,63;1,18;0;0;0
"yacine";0;0;1,2;0;0;0;0;0;0
"général";0;0;0,08;1,35;0,05;2,66;0;0;0
"eau";0;0;0,08;0,17;2,73;0,3;0;0;0
"étude";0;0;0,4;0,17;0;0;0,28;0;0
"laporte";0;0;0;0,52;0;0;0;0;0
"inconnu";0;0;0,16;0,17;0,05;1,18;0;0;0
"chercher";0;0;0,4;0,43;0,37;1,18;0,55;0;0
"eric";0;0;1,36;1,3;0;0;0;0;0
"pernin";0;0;0,8;0;0;0;0;0;0
"arrêter";0;0;0,24;0,13;0,26;0,3;0;0;0
"star";0;0;0,96;0,48;0,16;0,3;0;0;0
"fois";0;0;0,48;0,52;2,47;0,89;3,33;0;0
"parole";0;0;0,8;0,7;0,05;0,3;0;0;0
"aider";0;0,96;0;0,35;0,26;0,3;0;0;0
"aux";0;5,77;6,15;3,57;1,26;1,18;0,28;2,52;0
"siècle";0;0;0;0,48;0;0,3;0;0;0
"voix";0;0,96;0,4;0,3;0,05;0,3;0;0;0
"réputation";0;0;1,44;0,09;0;0;0;0;0
"voir";0;2,88;1,12;1,17;0,31;1,78;0,28;0;0
"légende";0;0;0,4;0,48;0,1;0;0;0;0
"force";0;0;0,24;0,35;0,31;0,3;0,28;0;0
"histoire";15,38;2,88;0,8;1,39;0,26;0,59;0;0;0
"new";0;0;0,8;0,13;0,05;0;0;0;0
"propre";0;0;0;0,35;3,41;0,59;5,27;0;0
"aujourd_hui";0;0;0,56;0,78;3,57;0;5,27;1,26;0
"omar";0;0;1,04;0;0;0;0;0;0
"arme";0;0;0,08;0,3;0,05;0,3;0;0;0
"dettinger";0;0;0;1,87;0;0;0;0;0
"quotidien";0;0;0,64;0,65;0,1;0;0;0;0
"géant";0;0,96;0,24;0,48;0,21;0;0;0;0
"quoi";0;0;0,08;0,13;1,36;0,3;0;0;0
"suggérer";0;0;0;0,57;0;0;0;0;0
"afin";0;0,96;0,24;0,43;0,26;0,59;0;0;0
"famille";0;1,92;0,4;0,7;0,42;1,78;0;0;0
"vivre";0;0,96;0,8;1;0,21;1,18;0;0;0
"comportement";0;0,96;0;0,7;0;0;0;0;0
"aide";0;0;0,08;0,35;0,31;0,3;0,28;0;0
"créer";0;1,92;0,48;0,3;0,42;0,3;0;0;0
"acteur";0;0;2,24;0,35;0;0,3;0;0;0
"surprise";0;0,96;0,08;0,22;0,1;0;0,28;0;0
"sauver";0;0,96;0,16;0,22;4,51;0,59;8,04;0;0
"entraîner";0;0;0,08;0,09;3,31;0;5,27;0;0
"attaque";0;0,96;0,08;0,57;0,26;1,18;0;0;0
"école";0;2,88;0,64;0,26;0,42;0;0;0;0
"chroniqueur";0;0;6,95;1,61;0;0;0;0;0
"syndicat";0;0;0;0,61;0;0;0;0;0
"avion";0;0;0,4;0,04;0;1,48;0;0;0
"terrestre";0;0;0,08;0,3;0,31;0;0,28;0;0
"don";0;0,96;0,08;0,35;0;0;0;0;0
"doo";0;0;0;0;0,26;0;1,66;0;0
"christopher";0;0;0;0,04;0;3,85;0;0;0
"traverser";0;0;0;0,04;0,79;0;0;0;0
"julien";0;0;4,08;0,09;0;0;0;1,26;0
"cabrol";0;0;1,76;0,04;0;0;0;0;0
"02";0;0;1,6;0,09;0;0;0;0;0
"03";0;0;0,88;0,13;0;0;0;0;0
"00";0;0;1,2;0,83;0;0;0;0;0
"01";0;0;1,6;0,26;0;0;0;0;0
"07";0;0;1,04;0,26;0;0;0;0;0
"04";0;0;1,04;0,17;0;0;0;0;0
"05";0;0;0,72;0,39;0;0;0;0;0
"08";0;0;0,56;0,43;0;0;0;0;0
"09";0;0;1,28;0,17;0;0;0;0;0
"sorte";0;0,96;0,08;0,09;0,26;1,18;0;0;0
"confronter";15,38;0;0,08;0,04;0,16;0,59;0,55;0;0
"une";46,15;19,23;9,35;14,18;23,46;23,68;24,97;3,78;22,73
"scientifique";0;0;0,8;0,78;0,21;0,3;1,11;1,26;0
"mathieu";0;0;0,8;0,09;0;0;0;0;0
"il";15,38;24,04;7,11;9,52;11,44;15,1;12,76;1,26;0
"amour";0;0;0,32;0,35;0,05;0,3;0;0;0
"théoricien";0;0;0;1,22;0;0;0;0;0
"quand";0;1,92;0,32;0,78;0,37;0,59;0,28;0;0
"livre";0;0;1,92;0,3;0,16;0;0;0;0
"elle";0;4,81;5,52;4,65;1,84;14,8;1,39;0;0
"vieux";0;1,92;0;0,26;0,21;0,89;0;0;0
"kid";0;3,85;0,08;0;0,37;0;0;1,26;0
"neptuna";0;4,81;0;0;0,26;0;0;0;0
"nicolas";0;0;0,32;0,22;0;0;0;1,26;0
"royal";0;0;0,4;0,26;0;0;0;0;0
"musique";0;0;0,4;0,3;0;0;0;2,52;0
"revel";0;0;0;0,52;0;0;0;0;0
"super";0;0;0,16;0,26;4,36;0;7,77;0;0
"magazine";0;0;0,64;0,3;0;0;0;0;0
"maître";0;0;0,48;0,04;0,42;0;0;0;0
"lieu";0;0,96;0;0,17;0,31;1,48;0;1,26;0
"batman";0;0;0;0;4,15;0;7,21;0;0
"très";0;4,81;1,12;1,17;1,68;0,3;0;1,26;0
"mystérieux";15,38;0;0;0,83;0,16;1,18;0,55;0;0
"petit";0;5,77;1,36;1,57;9,76;1,18;0;0;0
"décider";0;0,96;0,16;0,61;0,42;2,66;0,28;0;0
"corbière";0;0;0;0,57;0;0;0;0;0
"dieu";0;0;0,32;0,65;0;0;0;0;0
"chrono";0;0;0,16;0;1,36;0;0;0;0
"mazaurette";0;0;3,28;0;0;0;0;0;0
"laure";0;0;0,08;0,04;0;15,39;0;0;0
"ville";0;0;0,24;0,52;0,63;0,3;0;1,26;22,73
"etats";0;0;0,32;0,22;0,26;0;0;0;0
"accompagner";0;0,96;0,08;0,26;0,16;1,18;0;0;0
"voiture";0;0;0,32;0,04;0,05;1,78;0;1,26;0
"boy";0;3,85;0;0;2,36;0;2,77;0;0
"père";0;0;0,16;0,57;0,16;4,44;0;0;0
"bon";0;1,92;0,48;0,43;0,1;0;0;0;0
"margot";0;0;0,88;0;0,05;0;0;0;0
"univers";0;1,92;0,24;0,48;3,31;0;5,27;0;0
"france";0;0,96;5,44;1,43;0,21;0,3;0;0;0
"équipe";30,77;0;0,56;0,43;0,16;0,59;1,11;0;0
"vous";0;0;0,56;2,13;0;0;0;0;0
"militaire";0;0;0,16;0,26;0,21;3,55;0;1,26;0
"sous";0;0;0,32;0,7;0,05;2,96;0;1,26;0
"agent";0;0,96;0,24;0,26;0,1;0,3;0;0;0
"mal";0;0;0,16;0,26;0,21;0,3;0;0;0
"avant";0;0,96;0,32;0,48;0,26;0,59;0;0;0
"nous";0;0,96;1,2;2,87;0,05;3,55;0;1,26;45,45
"spécialiste";0;0;2,56;0,22;0,16;0;0;0;0
"mais";15,38;9,62;1,12;2,7;8,76;6,51;9,71;1,26;0
"main";0;0;0,16;0,17;0,16;1,18;0;0;0
"nouveau";0;0,96;2,4;3,26;0,79;1,18;1,11;0;22,73
"ancien";0;0,96;1,12;5;1,26;0,59;1,94;0;0
"agir";0;3,85;0,56;0,43;0,26;1,18;0,28;0;0
"homme";0;1,92;2;2,22;0,42;3,55;0;1,26;0
"ministre";0;0;1,28;0,52;0;0;0;0;0
"chanson";0;0;0,56;0,48;0,1;0;0;0;0
"11";0;0;1,44;0,26;0,05;0;0;0;0
"10";0;0;1,2;0,13;0,05;0,3;0;0;0
"13";0;0;0,88;0,39;0;0;0;0;0
"12";0;0;1,6;0,43;0;1,18;0;0;0
"15";0;0;1,36;0,39;0;0;0;0;0
"14";0;0;1,12;0,04;0;0;0;0;0
"17";0;0;0,8;0,48;0;0;0;0;0
"16";0;0;0,88;0,35;0;0;0;0;0
"19";0;0;17,5;0,09;0;0;0;0;0
"18";0;0;4,08;0,13;0;0,3;0;0;0
"spectacle";0;0;0,4;0,26;0;0,3;0;0;0
"trace";0;0;0,32;0,26;0,79;0,59;0;0;0
"extraire";0;0;7,27;2,48;0;0;0;0;0
"fille";0;0,96;0,8;1;7,56;1,18;5,83;0;0
"show";0;0;0,08;0,09;0;0;0;17,65;0
"aventure";0;5,77;0;0,13;7,77;0;5,27;0;0
"étranger";0;0;0,4;0,09;0,05;0,59;0,28;0;0
"débarquer";0;0,96;0,16;0,13;0,52;0,59;0;0;0
"43";0;0;1,44;0,04;0;0;0;0;0
"parent";0;0;0,48;1,04;3,36;0;5,27;0;0
"jt";0;0;0,56;0,57;0;0;0;0;0
"je";0;0;0,16;0,7;0;0,3;0;0;0
"lopez";0;0;0,16;0,61;0;0;0;0;0
"rugby";0;0;0,16;0,48;0;0;0;0;0
"tour";0;1,92;0,24;0,22;0,21;0;0;0;22,73
"tous";0;1,92;1,12;1,26;3,99;1,48;6,38;2,52;22,73
"capable";0;1,92;0;0,35;0,05;0;0,28;0;0
"côté";0;0;0,32;0,87;3,41;1,78;6,1;1,26;0
"ex_membre";0;0;0;0,48;0;0;0;0;0
"lorsque";0;0,96;0;0,26;3,57;0,89;5,27;0;0
"dessin";0;0;0;0,17;0,05;1,48;0;0;0
"mars";0;0;0,24;0,22;0;0,3;0;3,78;0
"quatre";0;0,96;0,08;0,35;0,1;0;0;17,65;0
"par";0;11,54;4,56;7,13;5,93;8,88;6,38;5,04;0
"pas";0;4,81;2,8;3,26;7,77;2,66;11,37;1,26;0
"tout";15,38;5,77;1,28;2,78;0,94;2,66;0,83;3,78;22,73
"autour";0;0;1,2;0,57;0;0,3;0;0;0
"entourer";0;0;0;0,35;0,1;0;0;0;0
"starfire";0;0;0;0;5,67;0;8,04;0;0
"new_yorkais";0;0;0;1,83;0,05;0;0;0;0
"4";0;0;0,24;0,3;0,05;0,3;0;1,26;0
"mot";0;0;0,16;0,35;0,1;0,59;0;0;0
"mon";0;0;0,48;0,52;0;0;0;0;0
"luthor";0;0;0;0;0,16;0;2,22;0;0
"christine";0;0;0;0,52;0;0;0;0;0
"journée";0;0;0,56;0,22;0;0;0;0;0
"titan";0;0;0;0;4,3;0;7,49;0;0
"soudain";0;0,96;0;0;0,37;0,89;0;0;0
"gorg";0;0;0;0;0;0;0;17,65;0
"venir";0;1,92;1,04;1,48;1,26;2,07;2,22;1,26;0
"fils";0;0;0,48;0,7;0,05;2,66;0;0;0
"citation";0;0;1,44;1,13;0;0;0;0;0
"pourquoi";0;0;0,32;0,35;0,05;0,59;0;0;0
"eliot";0;6,73;0;0;0,79;0;0;0;0
"film";0;0;1,52;0,91;0,37;0;0;1,26;0
"important";0;0;0,24;0,35;0,05;0,59;0;0;0
"emily";0;0;0,08;0,65;0;0;0;0;0
"revenir";0;0,96;0,64;0,83;0,16;1,48;0;0;0
"poilu";0;0;0;0,04;0;0;0;17,65;0
"révéler";0;0;0;0,65;0;0,59;0;0;0
"public";0;0;0,8;0,43;0,05;0;0;0;0
"à";0;17,31;17,34;17,61;18,42;30,2;15,81;10,09;22,73
"agathe";0;0;0;0,52;0;0;0;0;0
"des";61,54;13,46;15,99;27,7;14,54;16,58;15,81;29;0
"csa";0;0;0,16;0,52;0;0;0;0;0
"civilisation";0;0;0,08;0,48;0,1;0,59;0;0;0
"delage";0;0;0;0,57;0;0;0;0;0
"trois";0;1,92;0,16;0,09;0,47;0,3;0;0;0
"théâtre";0;0;0,4;0,43;0;0;0;1,26;0
"24";0;0;1,44;0,13;0;0;0;0;0
"25";0;0;1,36;0,04;0,1;0;0;0;0
"26";0;2,88;1,36;0,17;0;0;0;0;0
"27";0;0;1,44;0,17;0;0;0;0;0
"22";0;0;1,04;1;0;0;0;0;0
"23";0;0;1,44;0,96;0;0;0;0;0
"28";0;0;1,6;0,13;0;0;0;0;0
"29";0;0;1,28;0,04;0;0,3;0;0;0
"etienne";0;0;3,2;0,04;0;0;0;0;0
"robbie";0;8,65;0,08;0,04;0,26;0;0;0;0
"porte";0;0,96;1,2;0,83;0,1;1,78;0,55;0;0
"président";0;0;1,52;0,7;0,05;0,3;0;0;0
"troisième";0;0;0,16;0,78;0;0;0;0;0
"dont";0;0;0,48;0,35;0,37;2,07;0;0;0
"donc";0;0,96;0,32;0,22;0,1;0,59;0;1,26;0
"cirque";0;0;0;0,04;3,36;0;5,27;0;0
"pari";0;0;1,2;0,26;0,26;0,59;0;0;0
"part";0;0;0,32;0,3;0,21;0,3;0,28;0;0
"john";0;0;0,08;0,26;0,31;0;0;0;0
"gasnier";0;0;3,84;0;0;0;0;0;0
"recevoir";0;0;0,24;0,78;0,21;0;0;0;0
"relation";0;0;0,16;0,26;0;0,59;0;0;0
"témoignage";15,38;0;0,24;0,43;0,16;0;0;0;0
"express";0;0;0,4;0,13;0;0,59;0;0;0
"expert";0;0;0,08;0,17;0,26;0,3;0;0;0
"point";0;0,96;1,2;0,52;0,16;0,3;0;0;0
"léo";0;0;0;0;1,42;0;0;0;0
"secret";0;1,92;0,4;0,83;0,21;0,59;0;0;0
"cyborg";0;0;0;0;2,36;0;2,77;0;0
"puissant";0;0;0,16;0,35;0;0;0,55;0;0
"mener";0;0;0,08;0,48;0,16;0,59;0;0;0
"puis";0;0;0,08;0,35;0,16;0,89;0;0;0
"moment";0;0;0,32;0,52;0,1;0,59;0;0;0
"travers";0;0,96;0,4;0,17;0,26;0,3;0;0;0
"entre";0;0;0,88;0,87;0,26;1,18;0;0;0
"salvatore";0;0;0,08;0,43;0;0;0;0;0
"y";15,38;1,92;2;1,3;0,73;2,66;0,28;2,52;0
"délirant";0;0,96;0;0;0,05;0;0;17,65;0
"source";15,38;3,85;3,6;10,04;13,33;4,74;10,26;21,44;22,73
"ça";0;1,92;0,4;0,22;0,1;0;0,28;0;0
"peu";0;0;0,4;0,52;0,21;0,59;0;0;0
"depuis";0;0;0,64;1,52;0,16;1,18;0;0;0
"jimmy";0;0;0;0,48;0;0;0;0;0
"aliens";0;0;0;0,83;0,31;0,59;0;0;0
"dewalle";0;0;0;0,65;0;0;0;0;0
"avenir";0;0;0,4;0,35;0;0;0;0;0
"conseil";0;0;0,56;0,17;0,05;0;0;0;22,73
"travailler";0;0;0,64;0,26;0;0;0;0;0
"lointain";0;0;0;0,48;3,31;0;5,27;0;0
"elles";0;0;0,32;1,22;0,1;0,3;0;0;0
"armée";0;0;0,24;0,3;0,05;0,3;0;0;0
"invité";0;0;4;1;0;0;0;0;0
"brainiac";0;0;0;0;0,21;0;2,77;0;0
"ennemi";0;0,96;0;0,35;0,21;0;0;0;0
"objet";0;0;0,16;0,57;0,1;0,59;0;0;0
"lorenzo";0;0;0;0;0;3,26;0;0;0
"crop";0;0;0;0,04;0;2,66;0;0;0
"39";0;0;1,28;0,04;0;0;0;0;0
"38";0;0;1,04;0,09;0;0;0;0;0
"33";0;0;1,68;0,04;0;0;0;0;0
"32";0;0;1,44;0,04;0;0;0;0;0
"31";0;0;1,44;0,13;0;0;0;0;0
"30";0;0;1,76;0,3;0;0;0;0;0
"37";0;0;1,04;0;0;0;0;0;0
"36";0;0;1,12;0,04;0;0;0;0;0
"34";0;0;1,04;0,04;0;0;0;0;0
"composer";0;0;0;0,13;0,21;0;0,83;1,26;0
"train";0;0;0,48;0,17;0,1;0,3;0;0;0
"souvent";0;4,81;0,32;0,35;0,1;0;0;0;0
"terrien";0;0;0,16;0,22;3,36;1,18;5,55;0;0
"laurie";0;0;0,8;0;0;0;0;0;0
"extrait";0;0;0,96;0,87;0,1;0;0;0;0
"le";0;22,12;23,42;24,22;14,75;30,2;13,59;26,48;22,73
"la";0;30,77;34,37;27,57;25,19;27,53;19,14;32,79;90,91
"eux";0;0;0,16;0,35;0,16;0,89;0,55;0;22,73
"oggy";0;0;0;0;0;0;0;17,65;0
"image";0;0,96;0,56;0,87;0,1;0,3;0;2,52;0
"tuer";0;0;0,16;0,35;0,16;1,18;0;0;0
"identifier";0;0;0,48;0,61;0;1,18;0,28;0;0
"lfi";0;0;0,16;0,57;0;0;0;0;0
"expliquer";0;1,92;0,4;0,3;0,21;0;0,28;0;0
"réseau";0;0;0,56;0,13;0;0;0;0;0
"là";0;1,92;0,24;0,35;0,58;0,89;0;0;0
"que";0;10,58;2,88;8;5,72;7,7;5,83;0;0
"qui";15,38;11,54;8,39;8,96;18,58;8,58;20,8;23,96;0
"parvenir";0;0;0,16;0,26;0,1;1,18;0,55;0;0
"publier";0;0;0,4;0,26;0;0;0;0;0
"auproux";0;0;0;0,52;0;0;0;0;0
"seines";0;0;0;0,61;0;0;0;0;0
"tromper";0;0,96;0;0,04;1,36;0;0,28;0;0
"mélenchon";0;0;0,32;1;0;0;0;0;0
"bernard";0;0;0;0,61;0;0;0;0;0
"beau";0;0;0,48;0,52;0,05;0;0;0;0
"sembler";0;0;0,08;0,7;0,16;1,78;0;0;0
"crabe";0;0;0;0;1,36;0;0;0;0
"cacher";0;0,96;0,24;0,87;0;2,37;0;0;0
"fatou";0;0,96;0;0;4,09;0;0;0;0
"bruno";0;0;0,4;0,7;0;0;0;0;0
"françois";0;0;1,2;0,17;0;4,14;0;1,26;0
"comment";15,38;0;1,28;0,65;2,78;0;0;1,26;0
"concours";0;0;0,32;0,22;0,1;0;0;0;0
"colocataire";0;0;0,08;0;2,36;0;2,77;0;0
"parisien";0;0;0,24;0,17;0,05;0;0;2,52;0
"raven";0;0;0;0;5,61;0;8,04;0;0
"provoquer";0;1,92;0,16;0,09;4,3;0;0;0;0
"système";0;0;0,24;0,48;0,16;0;0;0;0
"brigitte";0;0;0;0,61;0;0;0;0;0
"adolescent";0;0,96;0;0,13;0,84;0;1,94;0;0
"toutes";0;0,96;0,24;0,35;2,41;0,3;0;0;0
"oise";0;0;0;0,65;0;0;0;0;0
"monter";0;0,96;0,32;0,17;0,1;0,3;0;0;0
"48";0;0;1,04;0,26;0;0;0;0;0
"49";0;0;1,04;0,13;0;0;0;0;0
"47";0;0;1,52;0,17;0;0;0;0;0
"44";0;0;1,2;0,48;0;0;0;0;0
"45";0;0;1,04;0,48;0;0;0;0;0
"42";0;0;1,44;0,04;0;0;0;0;0
"40";0;0,96;1,2;0,43;0,26;0;0;1,26;0
"41";0;0;0,88;0,09;0;0;0;0;0
"membre";0;0;0,24;1,52;0,05;0,3;0,55;0;0
"inédit";0;0;0,08;0,04;0,1;0,3;0;17,65;0
"direct";0;0;0,8;0,3;0;0;0,55;0;0
"air";0;0;0,4;0,09;0;0,59;0;1,26;0
"philippe";0;0;0,48;0,43;0,05;0,3;0;0;0
"même";0;2,88;0,64;1,3;0,42;2,37;0,55;0;0
"changer";0;0;0,48;0,22;0;0,3;0,83;0;0
"pendant";0;0;0,24;0,65;0,31;0,89;0;0;0
"actualité";0;0;1,52;0,57;0,05;0;0;0;0
"m6";0;2,88;1,04;0,09;0,05;0;0,28;0;0
"assez";0;0;0,16;0,04;0,73;0;0;0;0
"mois";0;0;0,48;0,35;0,16;0;0;0;0
"me";0;0;0,08;0,83;0,1;0;0;0;0
"ma";0;0;0,32;0,26;0;0;0;0;0
"naître";0;0;0,32;0,26;3,25;0;5,27;0;0
"mi";0;0;0;0,48;0;0;0;0;0
"enquête";0;0,96;1,12;0,52;0,37;0,59;0;0;0
"entretien";0;0;0,72;0,22;0;0;0;0;0
"laquelle";0;0;0,24;0,26;0;0,89;0;0;0
"nouvelle";0;0;0,64;0,48;0,1;0,59;0,28;0;22,73
"vite";0;2,88;0,08;0,22;0,16;0;0;0;0
"mettre";0;0;0,96;0,61;0,42;1,78;0,83;0;0
"autre";0;0,96;0,24;0,48;0,16;2,07;0,28;2,52;0
"jeune";0;0;1,44;1,48;1,36;2,07;1,94;1,26;0
"construire";0;0;0,24;0,52;0,1;0;0;0;0
"réal";0;0;0;0,48;0;0;0;0;0
"émission";30,77;0;4,4;1,91;0,05;0;0,55;0;0
"coeur";0;0;0,32;0,3;0,31;0;0;0;0
"claude";0;0;0,4;0,91;0,05;0;0;0;0
"présidentiel";0;0;0,96;0,09;0;0;0;0;0
"photo";0;0;0,4;0,17;0;0,89;0;0;0
"boulot";0;0;0,08;0;2,41;0;2,77;0;0
"transformer";0;0,96;0,4;0,22;0,21;0;0;0;0
"frontière";0;0;0,96;0,04;0;0;0;0;0
"candidat";0;0;1,12;0,04;0,05;0;0;0;0
"alien";0;0;0;0,48;0,16;0;0;0;0
"jean";0;0;2,56;2,35;0;0,3;0;1,26;0
"proposer";0;0;0,48;0,39;0,31;0,59;0;0;0
"fête";0;0;0,16;0,3;0;0;0;1,26;0
"vérité";0;0;0;0,35;0;0,89;0;0;0
"manquer";0;0;0,08;0,17;3,25;0,3;5,27;0;0
"enfin";15,38;0;0,08;0,17;0,31;0,3;0,55;0;0
"2999";0;0;0;1,83;0,05;0;0;0;0
"bande";0;0,96;0,24;0,43;0,16;0;0;0;0
"59";0;0;1,44;0,13;0;0;0;0;0
"58";0;0;0,88;0,13;0;0;0;0;0
"55";0;0;1,52;0,22;0;0;0;0;0
"54";0;0;1,52;0,3;0;0;0;0;0
"56";0;0;0,96;0,26;0;0;0;0;0
"51";0;0;1,36;0,13;0;0;0;0;0
"50";0;0;1,2;0,74;0,05;0;0;0;0
"53";0;0;0,96;0,13;0;0;0;0;0
"52";0;0;1,6;0,04;0;0;0;0;0
"57";0;0;1,04;0,17;0;0;0;0;0
"humanité";0;0,96;0,16;1,22;0,94;0;0;0;0
"gouvernement";0;0;0,56;0,74;0;0,3;0;0;0
"plus";15,38;3,85;2,88;5,17;0,84;3,26;0,83;3,78;45,45
"entrepreneur";0;0;0;0,48;0;0;0;0;0
"exister";0;0;0,48;0,43;0,1;0;0;0;0
"hugues";0;0;0;0,61;0;0;0;0;0
"voisin";0;0;0;0,09;0,37;0,89;0;0;0
"peret";0;0;0,8;0;0;0;0;0;0
"ne";0;7,69;3,2;4,57;8,61;6,22;12,48;1,26;0
"actuel";0;0;0,48;0,39;0;0;0;0;0
"retour";0;0,96;2,64;0,57;0,21;0;0;0;0
"valentin";0;0;1,28;0,13;0;0;0;0;0
"cnews";0;0;0,64;0,7;0;0;0;0;0
"groupe";0;0;0,64;0,52;0;0,89;0;0;0
"entier";0;0;0;0,87;0,16;0;0;0;0
"langlois";0;0;0;0,61;0;0;0;0;0
"bill";0;0;0;0,74;0;0,59;0;0;0
"frédéric";0;0;1,52;0,22;0;0,3;0;0;0
"boucher";0;0;0;0,43;0;0;0;0;0
"figure";0;0;0,08;0,13;3,25;0;5,27;1,26;0
"haut";0;0;0,32;0,78;0;0;0;0;22,73
"antoine";0;0;1,76;0,22;0;0;0;0;0
"1";0;0;1,28;0,57;0,21;0;0;0;0
"rapport";0;0;0,56;0,17;0;0;0;0;0
"réponse";0;0;0,4;0,26;0,16;0,3;0;0;0
"oeuf";0;0;0;0,43;0;0;0;0;0
"apporter";0;0;0,24;0,3;0,05;0;0;0;0
"place";0;0;0,16;0,26;0;0,59;0,55;0;0
"gotham";0;0;0;0;3,25;0;5,27;0;0
"animation";0;0,96;0;0;3,25;0;5,27;0;0
"république";0;0;0,72;0,04;0;0;0;0;0
"chanteur";0;0;0,72;0,26;0;0;0,28;0;0
"espoir";0;0,96;0;0,04;0,26;0,59;0,55;0;0
"trop";0;1,92;0;0,22;0,47;0,3;0;0;0
"chaque";0;0,96;0,64;0,26;0,05;0;0;0;0
"20";0;0;12,07;1,3;0;1,18;0;0;0
"21";0;0;4,16;0,96;0;0;0;0;0
"didier";0;0;0;0,17;0,05;0,3;3,61;0;0
"concernant";0;0;0,24;0,17;0,1;0,3;0;0;0
"parfois";0;0,96;0;0,22;0,16;0,59;0;0;0
"devoir";0;0;0,48;1,43;0,89;2,96;0,55;1,26;0
"récupérer";0;0,96;0,08;0,04;0,42;0;0;0;0
"départ";0;0,96;0,24;1,91;0,16;0;0;0;0
"curieux";0;0,96;0;0,26;1,42;0;0;1,26;0
"patrick";0;1,92;0,16;0,43;0;0,3;0;0;0
"où";0;0;0,4;1,04;0,68;2,07;0;0;0
"réussir";0;0;0,08;0,22;0,05;0,59;0,28;0;0
"décontraction";0;0;0;0;3,25;0;5,27;0;0
"bellver";0;0;3,84;0;0;0;0;0;0
"ou";0;5,77;2,08;2;0,84;0;0,28;1,26;0
"celui";0;0;0;0,17;0,21;1,18;0;1,26;0
"lemercier";0;0;0;0,48;0;0;0;0;0
"alain";0;0;0,24;0,22;0,16;0;0;0;0
"samedi";0;0;0,4;0,26;0;0;0;0;0
"phénomène";0;0,96;0,88;0,74;0,05;1,78;0;1,26;0
"5";0;0;0,4;0,35;0,1;0;0;0;0
"catastrophe";0;2,88;0;0,13;0,37;0;0;0;0
"endroit";0;0,96;0;0,39;0,05;0,89;0;0;0
"péril";0;0;0;0;4,09;0;7,21;0;0
"lisa";0;0;0;0,35;0,05;0,3;0;0;0
"programme";0;0,96;0,48;0,17;0,21;0;0;0;0
"île";0;0,96;0;0,26;4,25;0;0;0;0
"sur";15,38;13,46;19,34;11,7;11,65;13,03;8,88;2,52;0
"grâce";0;0;0;0,52;3,46;0,89;5,55;0;0
"prochain";0;0;0,64;0,09;0;0,59;0;0;0
"enfant";0;0,96;0,8;1;0,63;2,66;0;0;0
"vaisseau";0;1,92;0;0,78;0,84;0,59;0,55;0;0
"profiter";0;0;0,24;0;0,16;0;1,11;0;0
"différents";0;0,96;0,24;0,26;0,16;0,3;0;1,26;0
"emmanuel";0;0;1,12;0,04;0,05;0;0;0;0
"mission";0;3,85;0,16;0,35;0,16;0;0;1,26;0
"style";0;0;0,16;0,17;0,1;0,3;0;0;22,73
"manière";0;0;0,08;0,13;0,79;0,59;0;0;0
"bout";0;0;0,48;0,13;0,05;0,3;0;0;0
"organiser";0;0;0,16;0,17;0,16;0;0,28;0;0
"beast";0;0;0;0;2,36;0;2,77;0;0
"affrontement";0;0;0;0,57;0;0;0;0;0
"marionnette";0;0;0;0;0;0;0;17,65;0
"blanc";0;0,96;0,48;0,48;0;0;0;0;0
"passer";15,38;2,88;1,36;1,65;0,37;2,07;0,28;0;0
"scooby";0;0;0;0;0,31;0;1,66;0;0
"professeur";0;0;0,16;0,35;0,26;2,96;0;0;0
"dans";15,38;15,38;8,71;11,52;10,02;12,73;7,21;3,78;45,45
"nathalie";0;0;1,92;0,04;0,05;0;0;0;0
"respirer";0;0;0;0,04;1,36;0;0;0;0
"chaouch";0;0;0,8;0;0;0;0;0;0
"ainsi";0;0;0,56;0,17;0,1;0,89;0;0;0
"maison";0;0,96;0,24;0,61;0,26;2,66;0;0;0
"tourner";0;0;0,32;0,17;0,05;0,3;0;0;0
"vincent";15,38;0;0,56;0,43;0;0;0;0;0
"intelligence";0;0;0,32;0,22;0,1;0;1,66;0;0
"matin";0;0;0,24;0,43;0,1;0;0;0;0
