"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"accompagner";-0,0067;0,6586;-0,7594;0,3227;-0,5281;2,1673;-0,3809;-0,0819;-0,0045
"voiture";-0,0058;-0,0933;0,6132;-1,616;-1,1972;4,5528;-0,3301;0,8217;-0,0039
"boy";-0,0263;1,7961;-5,6264;-11,5308;12,5175;-1,4016;2,776;-0,3222;-0,0178
"père";-0,0147;-0,2368;-1,5341;0,3816;-2,3812;10,5052;-0,838;-0,1802;-0,0099
"bon";-0,0089;1,3777;0,73;0,8321;-1,4516;-0,475;-0,5078;-0,1092;-0,006
"margot";-0,0053;-0,0861;6,7684;-2,3442;-1,0715;-0,285;-0,3047;-0,0655;-0,0036
"univers";-0,0436;0,3201;-5,9384;-7,6994;11,5929;-2,3288;5,6336;-0,5354;-0,0295
"france";-0,0476;-0,3233;22,2833;-0,8396;-11,3159;-1,6963;-2,7188;-0,5846;-0,0322
"équipe";3,4163;-0,2009;0,5126;-0,2496;-1,8077;0,3533;1,1446;-0,1529;-0,0084
"vous";-0,0249;-0,4019;-0,9439;14,5891;-8,6845;-1,3303;-1,4223;-0,3058;-0,0169
"militaire";-0,0111;-0,1794;-0,9816;-0,8446;-1,045;8,8634;-0,6348;0,5691;-0,0075
"sous";-0,0142;-0,2296;-0,6655;1,1131;-3,7931;5,4064;-0,8126;0,4799;-0,0096
"agent";-0,0058;0,7139;0,3121;0,4988;-0,6944;0,2935;-0,3301;-0,071;-0,0039
"mal";-0,0058;-0,0933;-0,2903;0,4988;0,2366;0,2935;-0,3301;-0,071;-0,0039
"avant";-0,0102;0,5002;-0,2882;0,7627;-0,5716;0,4583;-0,584;-0,1256;-0,0069
"nous";-0,0436;-0,2828;-0,7784;9,4192;-13,5692;2,2322;-2,4899;-0,1848;2,6699
"spécialiste";-0,0178;-0,287;15,4356;-3,1113;-3,2277;-0,9501;-1,0158;-0,2184;-0,012
"mais";0,5621;1,4636;-14,3889;-9,6562;17,4068;0,9564;3,9721;-1,0113;-0,0942
"main";-0,0058;-0,0933;-0,2903;-0,3343;-0,3766;2,4111;-0,3301;-0,071;-0,0039
"nouveau";-0,0579;-0,4325;0,7122;6,2957;-6,2958;-0,762;-0,8756;-0,7103;1,0642
"ancien";-0,0726;-0,6;-4,1072;18,2836;-5,3593;-2,1586;-0,5417;-0,8909;-0,0491
"agir";-0,0138;2,8003;0,3845;-0,3988;-1,2049;1,0951;-0,3298;-0,1693;-0,0093
"homme";-0,0441;0,3153;0,976;2,8809;-6,9654;2,1971;-2,5153;-0,1878;-0,0298
"ministre";-0,0125;-0,2009;4,8692;0,5338;-4,3411;-0,665;-0,711;-0,1529;-0,0084
"chanson";-0,0089;-0,1435;1,0907;1,1725;-1,4516;-0,475;-0,5078;-0,1092;-0,006
"11";-0,0111;-0,1794;7,6459;-0,8446;-2,8066;-0,5937;-0,6348;-0,1365;-0,0075
"10";-0,0089;-0,1435;6,8358;-1,4558;-2,1191;-0,1477;-0,5078;-0,1092;-0,006
"13";-0,0089;-0,1435;3,3083;0,5603;-3,1006;-0,475;-0,5078;-0,1092;-0,006
"12";-0,0151;-0,2439;6,2269;-0,5817;-5,2716;0,9799;-0,8634;-0,1856;-0,0102
"15";-0,0116;-0,1865;6,3024;-0,2832;-4,0309;-0,6175;-0,6602;-0,142;-0,0078
"14";-0,0067;-0,1076;8,7904;-1,9516;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"17";-0,0093;-0,1507;2,4401;1,0169;-3,2556;-0,4987;-0,5332;-0,1146;-0,0063
"16";-0,0085;-0,1363;3,57;0,424;-2,9455;-0,4512;-0,4824;-0,1037;-0,0057
"19";-0,0985;-1,588;150,9564;-39,3556;-34,3265;-5,2568;-5,6206;-1,2085;-0,0667
"18";-0,0245;-0,3947;30,8505;-7,0214;-8,5293;-0,6944;-1,3969;-0,3003;-0,0166
"spectacle";-0,0053;-0,0861;1,1631;0,6192;-1,8602;0,3177;-0,3047;-0,0655;-0,0036
"trace";-0,012;-0,1937;-0,4411;-1,0387;2,3028;0,3718;-0,6856;-0,1474;-0,0081
"extraire";-0,0659;-1,0628;27,9675;0,5111;-22,9719;-3,5183;-3,7618;-0,8088;-0,0446
"fille";-0,0904;-0,8158;-8,9525;-15,1344;32,5094;-1,8208;2,2214;-1,1099;-0,0612
"show";-0,0076;-0,122;-0,9068;-1,5842;-2,6354;-0,4037;-0,4316;23,88;-0,0051
"aventure";-0,0784;1,1507;-16,8012;-29,2047;49,3983;-4,1849;2,2562;-0,962;-0,0531
"étranger";-0,0049;-0,0789;1,3225;-0,7509;-0,9478;0,9463;0,3239;-0,06;-0,0033
"débarquer";-0,008;0,5897;-0,5504;-1,1937;1,6771;0,6053;-0,457;-0,0983;-0,0054
"43";-0,0085;-0,1363;11,5126;-2,6401;-2,9455;-0,4512;-0,4824;-0,1037;-0,0057
"parent";-0,0503;-0,8113;-4,9286;-3,3746;8,4319;-2,6855;4,6983;-0,6174;-0,0341
"jt";-0,0089;-0,1435;1,0907;2,0777;-3,1006;-0,475;-0,5078;-0,1092;-0,006
"je";-0,0085;-0,1363;-0,608;4,6133;-2,9455;-0,1356;-0,4824;-0,1037;-0,0057
"lopez";-0,0071;-0,1148;-0,4403;4,4541;-2,4803;-0,38;-0,4062;-0,0873;-0,0048
"rugby";-0,0058;-0,0933;-0,2903;3,3096;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
"tour";-0,0067;1,6119;0,2285;-0,2804;-0,2882;-0,3562;-0,3809;-0,0819;1,9852
"tous";-0,0677;-0,2634;-3,4818;-5,5161;6,7161;-0,7554;4,7672;0,2459;0,9994
"capable";-0,0053;1,7995;-1,1439;1,5012;-1,0715;-0,285;0,2974;-0,0655;-0,0036
"côté";-0,0525;-0,8472;-6,7468;-5,4763;7,8984;-0,2514;6,1123;-0,2476;-0,0356
"ex_membre";-0,0049;-0,0789;-1,0485;4,852;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"lorsque";-0,0432;-0,2784;-9,2533;-11,3867;15,3321;-0,6285;5,7035;-0,5299;-0,0292
"dessin";-0,0044;-0,0717;-0,9532;0,2847;-0,8267;4,0681;-0,2539;-0,0546;-0,003
"mars";-0,0053;-0,0861;0,3653;0,3445;-1,8602;0,3177;-0,3047;3,4061;-0,0036
"quatre";-0,0116;0,457;-1,6104;-0,4429;-2,1736;-0,6175;-0,6602;19,7727;-0,0078
"par";-0,1798;1,4488;-2,6589;1,4565;-0,6807;1,382;0,2837;-0,3636;-0,1217
"pas";-0,14;-0,2288;-4,4786;-5,7549;9,8988;-1,5693;6,168;-1,02;-0,0948
"tout";0,933;1,825;-1,3795;3,8815;-4,0588;0,7081;-1,0843;0,7142;1,094
"autour";-0,0129;-0,2081;3,9264;0,6609;-4,4962;-0,2687;-0,7364;-0,1583;-0,0087
"entourer";-0,0044;-0,0717;-0,9532;2,2116;-0,4175;-0,2375;-0,2539;-0,0546;-0,003
"starfire";-0,061;-0,9837;-13,0737;-26,7958;31,3299;-3,2565;9,1617;-0,7486;-0,0413
"new_yorkais";-0,0191;-0,3085;-4,1;17,0897;-5,3785;-1,0213;-1,092;-0,2348;-0,013
"4";-0,0058;-0,0933;0,3121;0,8217;-1,1972;0,2935;-0,3301;0,8217;-0,0039
"mot";-0,0062;-0,1004;-0,338;1,0433;-0,7945;0,7723;-0,3555;-0,0764;-0,0042
"mon";-0,008;-0,1291;0,9004;2,0741;-2,7904;-0,4275;-0,457;-0,0983;-0,0054
"luthor";-0,0049;-0,0789;-1,0485;-2,1488;-0,2448;-0,2612;7,8194;-0,06;-0,0033
"christine";-0,0053;-0,0861;-1,1439;5,2932;-1,8602;-0,285;-0,3047;-0,0655;-0,0036
"journée";-0,0053;-0,0861;2,4474;0,3445;-1,8602;-0,285;-0,3047;-0,0655;-0,0036
"titan";-0,0485;-0,7825;-10,3991;-21,3134;21,5713;-2,5904;10,2163;-0,5955;-0,0328
