"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"seines";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"tromper";-0,0129;0,4195;-2,7648;-4,4234;10,475;-0,6887;-0,2976;-0,1583;-0,0087
"mélenchon";-0,012;-0,1937;-0,4411;6,6413;-4,186;-0,6412;-0,6856;-0,1474;-0,0081
"bernard";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"beau";-0,0085;-0,1363;0,8105;1,8127;-1,984;-0,4512;-0,4824;-0,1037;-0,0057
"sembler";-0,0116;-0,1865;-1,6104;2,1217;-1,5878;2,6846;-0,6602;-0,142;-0,0078
"crabe";-0,0116;-0,1865;-2,4787;-5,0797;13,5941;-0,6175;-0,6602;-0,142;-0,0078
"cacher";-0,0142;0,3866;-1,0009;2,6519;-4,9614;3,6738;-0,8126;-0,1747;-0,0096
"fatou";-0,0352;-0,202;-7,535;-15,4427;39,0692;-1,877;-2,0069;-0,4315;-0,0238
"bruno";-0,0093;-0,1507;0,3974;3,65;-3,2556;-0,4987;-0,5332;-0,1146;-0,0063
"françois";-0,0151;-0,2439;2,9823;-2,8552;-5,2716;9,1438;-0,8634;0,4586;-0,0102
"comment";1,0738;-0,6173;-0,3348;-3,9609;8,8832;-2,0434;-2,1848;-0,1498;-0,0259
"concours";-0,0049;-0,0789;0,8106;0,4389;-0,5054;-0,2612;-0,2793;-0,06;-0,0033
"colocataire";-0,0249;-0,4019;-4,1711;-10,9442;14,0177;-1,3303;2,9555;-0,3058;-0,0169
"parisien";-0,0044;-0,0717;0,504;0,2847;-0,8267;-0,2375;-0,2539;2,1831;-0,003
"raven";-0,0606;-0,9766;-12,9781;-26,6;30,9085;-3,2327;9,2409;-0,7432;-0,041
"provoquer";-0,0392;0,3729;-5,9893;-14,0926;35,0896;-2,091;-2,2357;-0,4807;-0,0265
"système";-0,0076;-0,122;-0,2509;1,7984;-0,6958;-0,4037;-0,4316;-0,0928;-0,0051
"brigitte";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"adolescent";-0,012;0,4439;-2,5741;-2,4514;2,8197;-0,6412;3,2127;-0,1474;-0,0081
"toutes";-0,0263;0,2057;-2,8477;-4,0168;13,4084;-0,7662;-1,4986;-0,3222;-0,0178
"oise";-0,0067;-0,1076;-1,4299;6,6168;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"monter";-0,0053;0,7452;0,7041;-0,2615;-0,5979;0,3177;-0,3047;-0,0655;-0,0036
"48";-0,0085;-0,1363;5,2635;-0,36;-2,9455;-0,4512;-0,4824;-0,1037;-0,0057
"49";-0,0071;-0,1148;6,6871;-0,9453;-2,4803;-0,38;-0,4062;-0,0873;-0,0048
"47";-0,0102;-0,165;9,8197;-1,3652;-3,5657;-0,5462;-0,584;-0,1256;-0,0069
"44";-0,0116;-0,1865;4,6658;0,4891;-4,0309;-0,6175;-0,6602;-0,142;-0,0078
"45";-0,0107;-0,1722;3,7333;0,6591;-3,7208;-0,57;-0,6094;-0,131;-0,0072
"42";-0,0085;-0,1363;11,5126;-2,6401;-2,9455;-0,4512;-0,4824;-0,1037;-0,0057
"40";-0,0142;0,3866;3,3247;-0,4562;-1,2942;-0,76;-0,8126;0,4799;-0,0096
"41";-0,0058;-0,0933;6,0417;-1,0138;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
"membre";-0,0187;-0,3014;-1,6367;9,3283;-5,2331;-0,471;-0,2436;-0,2293;-0,0126
"inédit";-0,0085;-0,1363;-1,0581;-2,6401;-1,3366;-0,1356;-0,4824;22,6571;-0,0057
"direct";-0,0085;-0,1363;2,8543;0,2491;-2,9455;-0,4512;0,5317;-0,1037;-0,0057
"air";-0,0044;-0,0717;1,5104;-0,6271;-1,5501;1,0183;-0,2539;0,9277;-0,003
"philippe";-0,008;-0,1291;0,9004;1,1295;-1,8498;0,2032;-0,457;-0,0983;-0,0054
"même";-0,0263;1,1389;-0,8175;1,8226;-2,5644;1,9015;-0,4665;-0,3222;-0,0178
"changer";-0,0067;-0,1076;1,2418;-0,2804;-2,3253;0,2521;1,3025;-0,0819;-0,0045
"pendant";-0,012;-0,1937;-0,7163;1,5025;-0,5923;0,7658;-0,6856;-0,1474;-0,0081
"actualité";-0,0147;-0,2368;5,7474;0,3816;-3,9357;-0,7838;-0,838;-0,1802;-0,0099
"m6";-0,0089;2,3917;4,8945;-2,0398;-2,1191;-0,475;-0,1645;-0,1092;-0,006
"assez";-0,0076;-0,122;-0,4945;-2,2934;4,9132;-0,4037;-0,4316;-0,0928;-0,0051
"mois";-0,0076;-0,122;1,001;0,6099;-0,6958;-0,4037;-0,4316;-0,0928;-0,0051
"me";-0,0098;-0,1578;-1,291;5,7424;-1,6866;-0,5225;-0,5586;-0,1201;-0,0066
"ma";-0,0044;-0,0717;0,9366;0,9583;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"naître";-0,0405;-0,6532;-4,6073;-10,3802;13,1379;-2,1623;6,1467;-0,4971;-0,0274
"mi";-0,0049;-0,0789;-1,0485;4,852;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"enquête";-0,016;0,3484;2,2123;-0,3645;-0,9512;0,2383;-0,9142;-0,1966;-0,0108
"entretien";-0,0062;-0,1004;3,4698;-0,2195;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"laquelle";-0,0053;-0,0861;0,3653;0,6192;-1,8602;1,6373;-0,3047;-0,0655;-0,0036
"nouvelle";-0,0111;-0,1794;0,9919;0,5684;-2,05;0,4123;-0,2359;-0,1365;1,7648
"vite";-0,0053;3,0638;-0,5478;0,3445;-0,308;-0,285;-0,3047;-0,0655;-0,0036
"mettre";-0,0191;-0,3085;0,904;-0,4299;-1,175;1,5948;0,3522;-0,2348;-0,013
"autre";-0,0125;0,4314;-0,771;0,3594;-1,8077;3,2779;-0,2818;1,3229;-0,0084
"jeune";-0,0414;-0,6676;-0,2769;0,2907;-0,4206;0,6461;0,5583;-0,17;-0,028
"construire";-0,0076;-0,122;-0,2509;2,3782;-1,1126;-0,4037;-0,4316;-0,0928;-0,0051
"réal";-0,0049;-0,0789;-1,0485;4,852;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"émission";2,2867;-0,7466;13,2647;0,9296;-14,4757;-2,4715;-1,2153;-0,5682;-0,0313
"coeur";-0,0076;-0,122;0,3578;0,3739;0,3939;-0,4037;-0,4316;-0,0928;-0,0051
"claude";-0,012;-0,1937;-0,2564;4,8938;-3,0861;-0,6412;-0,6856;-0,1474;-0,0081
"présidentiel";-0,0062;-0,1004;6,6819;-1,1515;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"photo";-0,0053;-0,0861;1,1631;-0,2615;-1,8602;1,6373;-0,3047;-0,0655;-0,0036
"boulot";-0,0254;-0,409;-4,2594;-11,1398;14,4489;-1,354;2,8941;-0,3113;-0,0172
"transformer";-0,0067;0,6586;0,8049;-0,2804;-0,2882;-0,3562;-0,3809;-0,0819;-0,0045
"frontière";-0,0058;-0,0933;7,44;-1,616;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
"candidat";-0,0071;-0,1148;7,9754;-2,1218;-1,5847;-0,38;-0,4062;-0,0873;-0,0048
"alien";-0,0062;-0,1004;-1,3345;2,8142;-0,4502;-0,3325;-0,3555;-0,0764;-0,0042
"jean";-0,0392;-0,6317;3,6942;5,8469;-13,6512;-1,3163;-2,2357;-0,1555;-0,0265
"proposer";-0,0102;-0,165;0,5339;0,3346;-0,3573;0,4583;-0,584;-0,1256;-0,0069
"fête";-0,0044;-0,0717;0,2109;1,5003;-1,5501;-0,2375;-0,2539;0,9277;-0,003
"vérité";-0,0049;-0,0789;-1,0485;1,8135;-1,7052;1,745;-0,2793;-0,06;-0,0033
"manquer";-0,0387;-0,6245;-6,9486;-11,6026;14,5847;-1,2966;6,4665;-0,4752;-0,0262
"enfin";1,8168;-0,1076;-0,7594;-0,5006;0,5547;0,2521;0,6816;-0,0819;-0,0045
"2999";-0,0191;-0,3085;-4,1;17,0897;-5,3785;-1,0213;-1,092;-0,2348;-0,013
"bande";-0,0076;0,6111;-0,2509;1,3156;-0,6958;-0,4037;-0,4316;-0,0928;-0,0051
"59";-0,0093;-0,1507;9,8465;-1,5912;-3,2556;-0,4987;-0,5332;-0,1146;-0,0063
"58";-0,0062;-0,1004;5,4589;-0,7135;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"55";-0,0107;-0,1722;9,2281;-1,0762;-3,7208;-0,57;-0,6094;-0,131;-0,0072
"54";-0,0116;-0,1865;8,2176;-0,6586;-4,0309;-0,6175;-0,6602;-0,142;-0,0078
"56";-0,008;-0,1291;4,7189;-0,2964;-2,7904;-0,4275;-0,457;-0,0983;-0,0054
"51";-0,0089;-0,1435;9,2067;-1,4558;-3,1006;-0,475;-0,5078;-0,1092;-0,006
"50";-0,0147;-0,2368;3,1483;1,2852;-3,9357;-0,7838;-0,838;-0,1802;-0,0099
"53";-0,0067;-0,1076;6,0698;-0,8271;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"52";-0,0093;-0,1507;12,8815;-2,991;-3,2556;-0,4987;-0,5332;-0,1146;-0,0063
"57";-0,0076;-0,122;6,146;-0,6905;-2,6354;-0,4037;-0,4316;-0,0928;-0,0051
"humanité";-0,0218;0,2557;-2,7481;2,6445;0,7199;-1,1639;-1,2445;-0,2676;-0,0148
"gouvernement";-0,0111;-0,1794;0,6806;2,9079;-3,8759;-0,2125;-0,6348;-0,1365;-0,0075
"plus";0,7416;0,4016;-0,4314;11,7797;-12,9926;0,3325;-2,4148;0,3561;2,0885
"entrepreneur";-0,0049;-0,0789;-1,0485;4,852;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"exister";-0,008;-0,1291;0,9004;1,1295;-1,2236;-0,4275;-0,457;-0,0983;-0,0054
"hugues";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"voisin";-0,0053;-0,0861;-1,1439;-0,88;1,4124;1,6373;-0,3047;-0,0655;-0,0036
"peret";-0,0044;-0,0717;7,0554;-1,9534;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"ne";-0,1713;0,5292;-6,2162;-3,8778;7,0632;0,3185;5,4015;-1,3326;-0,116
"actuel";-0,0067;-0,1076;1,2418;1,2813;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"retour";-0,0227;0,2446;11,5001;-1,1486;-3,8918;-1,2114;-1,2953;-0,2785;-0,0154
"valentin";-0,0085;-0,1363;8,5704;-1,3232;-2,9455;-0,4512;-0,4824;-0,1037;-0,0057
"cnews";-0,0107;-0,1722;1,0808;2,6267;-3,7208;-0,57;-0,6094;-0,131;-0,0072
"groupe";-0,0102;-0,165;1,1779;1,0631;-3,5657;0,9177;-0,584;-0,1256;-0,0069
"entier";-0,0102;-0,165;-2,1926;6,1248;-1,2705;-0,5462;-0,584;-0,1256;-0,0069
"langlois";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"bill";-0,0085;-0,1363;-1,8113;5,6293;-2,9455;0,5714;-0,4824;-0,1037;-0,0057
"frédéric";-0,0111;-0,1794;8,6979;-1,1854;-3,8759;-0,2125;-0,6348;-0,1365;-0,0075
"boucher";-0,0044;-0,0717;-0,9532;4,4109;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"figure";-0,0383;-0,6173;-6,858;-12,5091;14,9751;-2,0434;6,5498;-0,1498;-0,0259
"haut";-0,0102;-0,165;-0,2882;4,3222;-3,5657;-0,5462;-0,584;-0,1256;1,8008
"antoine";-0,012;-0,1937;11,0709;-1,4131;-4,186;-0,6412;-0,6856;-0,1474;-0,0081
"1";-0,0147;-0,2368;3,7241;0,3816;-1,8306;-0,7838;-0,838;-0,1802;-0,0099
"rapport";-0,0049;-0,0789;2,7467;0,2162;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"réponse";-0,0067;-0,1076;0,8049;0,3227;-0,5281;0,2521;-0,3809;-0,0819;-0,0045
"oeuf";-0,0044;-0,0717;-0,9532;4,4109;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"apporter";-0,0049;-0,0789;0,4285;1,2217;-0,9478;-0,2612;-0,2793;-0,06;-0,0033
"place";-0,0053;-0,0861;-0,245;0,6192;-1,8602;0,8821;0,8358;-0,0655;-0,0036
"gotham";-0,0361;-0,5814;-7,7259;-15,834;17,1324;-1,9245;6,9882;-0,4424;-0,0244
"animation";-0,0365;-0,2143;-7,8213;-16,0296;16,6709;-1,9483;6,8975;-0,4479;-0,0247
"république";-0,0044;-0,0717;5,4345;-1,1286;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"chanteur";-0,0071;-0,1148;2,8799;0,2587;-2,4803;-0,38;0,2164;-0,0873;-0,0048
"espoir";-0,0049;0,7795;-1,0485;-1,2885;0,6765;0,9463;0,899;-0,06;-0,0033
"trop";-0,0076;1,5089;-1,6206;-0,4217;1,3938;0,218;-0,4316;-0,0928;-0,0051
"chaque";-0,0071;0,634;2,1959;0,2587;-1,5847;-0,38;-0,4062;-0,0873;-0,0048
"20";-0,0824;-1,3289;72,8077;-8,8403;-28,725;-1,5375;-4,7037;-1,0113;-0,0558
"21";-0,0329;-0,5311;20,1997;-0,8282;-11,4779;-1,7581;-1,8798;-0,4042;-0,0223
"didier";-0,0085;-0,1363;-1,8113;-0,9;-1,984;-0,1356;11,9113;-0,1037;-0,0057
"concernant";-0,0044;-0,0717;0,504;0,2847;-0,4175;0,3755;-0,2539;-0,0546;-0,003
"parfois";-0,0049;0,7795;-1,0485;0,4389;-0,2448;0,9463;-0,2793;-0,06;-0,0033
"devoir";-0,0307;-0,4952;-1,973;1,5016;-0,6971;2,4633;-0,6167;0,2365;-0,0208
"récupérer";-0,0049;0,7795;-0,4803;-1,2885;2,3662;-0,2612;-0,2793;-0,06;-0,0033
"départ";-0,0227;0,2446;-2,2621;12,6791;-4,6286;-1,2114;-1,2953;-0,2785;-0,0154
"curieux";-0,0156;0,3574;-3,337;-1,9312;7,9286;-0,8313;-0,8888;0,4486;-0,0105
"patrick";-0,0067;1,6119;-0,3881;1,7911;-2,3253;0,2521;-0,3809;-0,0819;-0,0045
"où";-0,0218;-0,3516;-1,2203;1,3424;-0,4434;1,8392;-1,2445;-0,2676;-0,0148
"réussir";-0,0044;-0,0717;-0,4148;0,5593;-0,8267;1,0183;0,3539;-0,0546;-0,003
"décontraction";-0,0361;-0,5814;-7,7259;-15,834;17,1324;-1,9245;6,9882;-0,4424;-0,0244
"bellver";-0,0214;-0,3444;33,8913;-9,38;-7,4433;-1,1402;-1,2191;-0,2621;-0,0145
"ou";-0,0427;2,2951;1,3061;1,9111;-2,6949;-2,2812;-1,6073;-0,1788;-0,0289
"celui";-0,0058;-0,0933;-1,2392;-0,3343;0,2366;2,4111;-0,3301;0,8217;-0,0039
"lemercier";-0,0049;-0,0789;-1,0485;4,852;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"alain";-0,0049;-0,0789;0,4285;0,4389;-0,2448;-0,2612;-0,2793;-0,06;-0,0033
"samedi";-0,0049;-0,0789;1,3225;0,7692;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"phénomène";-0,0165;0,3398;1,0167;0,8391;-4,5095;1,8968;-0,9396;0,4295;-0,0111
"5";-0,0067;-0,1076;0,8049;0,8724;-0,8978;-0,3562;-0,3809;-0,0819;-0,0045
"catastrophe";-0,0058;2,9552;-1,2392;-0,6051;1,204;-0,3087;-0,3301;-0,071;-0,0039
"endroit";-0,0062;0,6852;-1,3345;1,5138;-1,3248;1,453;-0,3555;-0,0764;-0,0042
"péril";-0,0463;-0,7466;-9,9217;-20,3347;20,4134;-2,4715;9,9607;-0,5682;-0,0313
"lisa";-0,0044;-0,0717;-0,9532;2,2116;-0,8267;0,3755;-0,2539;-0,0546;-0,003
"programme";-0,0067;0,6586;1,2418;-0,5006;-0,2882;-0,3562;-0,3809;-0,0819;-0,0045
"île";-0,0392;-0,2394;-8,3941;-9,8812;33,649;-2,091;-2,2357;-0,4807;-0,0265
"sur";0,2416;0,3135;10,6888;-1,8309;-1,6001;0,285;-1,942;-2,7093;-0,2503
"grâce";-0,045;-0,725;-9,6352;-7,4963;12,6076;-0,681;6,0472;-0,5518;-0,0304
"prochain";-0,0053;-0,0861;3,2823;-0,88;-1,8602;0,8821;-0,3047;-0,0655;-0,0036
"enfant";-0,0245;0,224;-0,3297;0,6328;-0,9313;2,6327;-1,3969;-0,3003;-0,0166
"vaisseau";-0,0178;0,8558;-3,8139;0,7939;0,9374;-0,1931;-0,2207;-0,2184;-0,012
"profiter";-0,0044;-0,0717;0,504;-1,9534;-0,1876;-0,2375;2,7821;-0,0546;-0,003
"différents";-0,0067;0,6586;0,2285;0,3227;-0,5281;0,2521;-0,3809;0,7649;-0,0045
"emmanuel";-0,0071;-0,1148;7,9754;-2,1218;-1,5847;-0,38;-0,4062;-0,0873;-0,0048
"mission";-0,008;3,739;-0,5504;0,509;-0,7847;-0,4275;-0,457;0,6936;-0,0054
"style";-0,0044;-0,0717;0,2109;0,2847;-0,4175;0,3755;-0,2539;-0,0546;2,1606
"manière";-0,0093;-0,1507;-1,2127;-1,5912;3,9633;0,5109;-0,5332;-0,1146;-0,0063
"bout";-0,0049;-0,0789;1,966;-0,4066;-0,9478;0,3449;-0,2793;-0,06;-0,0033
"organiser";-0,0044;-0,0717;0,2109;0,2847;-0,1876;-0,2375;0,3539;-0,0546;-0,003
"beast";-0,0245;-0,3947;-5,2448;-10,7487;14,5742;-1,3065;3,0185;-0,3003;-0,0166
"affrontement";-0,0058;-0,0933;-1,2392;5,7344;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
"marionnette";-0,0062;-0,1004;-1,3345;-2,7349;-2,1703;-0,3325;-0,3555;26,6975;-0,0042
"blanc";-0,008;0,5897;0,9004;1,5582;-2,7904;-0,4275;-0,457;-0,0983;-0,0054
"passer";1,1365;0,915;0,5517;2,2614;-4,6789;1,0071;-1,1426;-0,4042;-0,0223
"scooby";-0,0053;-0,0861;-1,1439;-2,3442;0,9278;-0,285;4,6403;-0,0655;-0,0036
"professeur";-0,0111;-0,1794;-0,9816;-0,3808;-0,7145;6,5526;-0,6348;-0,1365;-0,0075
"dans";0,3089;1,1141;-1,6227;1,8378;-0,4903;1,0232;-1,532;-1,4477;1,1198
"nathalie";-0,0116;-0,1865;14,6075;-3,8817;-2,9461;-0,6175;-0,6602;-0,142;-0,0078
"respirer";-0,012;-0,1937;-2,5741;-4,0618;12,3107;-0,6412;-0,6856;-0,1474;-0,0081
"chaouch";-0,0044;-0,0717;7,0554;-1,9534;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"ainsi";-0,0071;-0,1148;1,6078;-0,5929;-1,0039;1,3;-0,4062;-0,0873;-0,0048
"maison";-0,0142;0,3866;-1,0009;0,622;-1,2942;4,5089;-0,8126;-0,1747;-0,0096
"tourner";-0,0044;-0,0717;0,9366;0,2847;-0,8267;0,3755;-0,2539;-0,0546;-0,003
"vincent";1,7382;-0,1291;1,3213;1,1295;-2,7904;-0,4275;-0,457;-0,0983;-0,0054
"intelligence";-0,0076;-0,122;0,3578;-0,4217;-1,1126;-0,4037;3,6206;-0,0928;-0,0051
"matin";-0,0067;-0,1076;0,2285;1,7911;-0,8978;-0,3562;-0,3809;-0,0819;-0,0045
"raconter";1,6929;-0,1435;0,2399;0,3523;-0,2165;-0,1477;-0,5078;-0,1092;-0,006
"année";-0,0245;-0,3947;-0,662;9,6023;-5,1536;-0,6944;-1,3969;-0,3003;-0,0166
"publicité";-0,0044;-0,0717;0,504;0,9583;-0,8267;-0,2375;-0,2539;-0,0546;-0,003
"c";-0,0579;0,7815;1,3525;0,4031;-0,409;-0,762;-2,3572;-0,2875;-0,0392
"duo";-0,0125;-0,2009;-2,6694;-3,3276;11,3125;-0,665;-0,711;-0,1529;-0,0084
"détruire";-0,0067;-0,1076;-0,7594;-0,2804;-0,2882;1,3732;0,6816;-0,0819;-0,0045
"bristielle";-0,0093;-0,1507;14,8195;-4,1026;-3,2556;-0,4987;-0,5332;-0,1146;-0,0063
"arriver";-0,0107;-0,1722;0,2793;-0,5059;0,3605;0,4346;0,3991;-0,131;-0,0072
"propos";-0,0058;-0,0933;1,5523;0,2702;-2,0152;0,8244;-0,3301;-0,071;-0,0039
"prince";-0,0369;-0,5957;-7,9168;-14,5419;17,0757;-1,9721;6,8083;-0,4534;-0,025
"humour";-0,0793;-1,2786;-8,4451;-23,4153;26,9174;-4,2325;11,8914;-0,973;-0,0537
"extra";-0,0058;-0,0933;-1,2392;0,4988;0,7807;-0,3087;0,2738;-0,071;-0,0039
"plateau";-0,0209;-0,3372;7,8873;0,6489;-7,2882;-1,1164;-1,1936;-0,2566;-0,0142
"monstre";-0,0049;1,874;-1,0485;-0,4066;1,1058;-0,2612;-0,2793;-0,06;-0,0033
"rien";-0,0076;0,6111;-0,2509;0,6099;-1,1126;1,2327;-0,4316;-0,0928;-0,0051
"réveiller";-0,0218;-0,3516;-3,5572;12,9656;-6,2553;0,5799;-1,2445;-0,2676;-0,0148
"anne";-0,0125;-0,2009;8,3407;-1,5312;-4,3411;0,3533;-0,711;0,5277;-0,0084
"savoir";-0,0191;0,2937;-1,2563;2,1659;-1,908;1,1146;0,3522;-0,2348;-0,013
"question";-0,0298;-0,4808;1,5101;-1,3979;1,8375;-1,5917;-0,9996;-0,3659;-0,0202
"long";-0,0049;-0,0789;-0,2026;2,5709;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"présentation";-0,0089;-0,1435;2,0443;0,3523;-0,9715;-0,475;-0,5078;-0,1092;-0,006
"compagnie";-0,0053;-0,0861;-0,5478;0,3445;0,2942;0,8821;-0,3047;-0,0655;-0,0036
"nasa";-0,0062;-0,1004;5,4589;-0,7135;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"antique";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"chose";-0,0111;-0,1794;-0,3613;-0,2362;-0,7145;2,7787;-0,2359;-0,1365;-0,0075
"depétrini";-0,0062;-0,1004;9,8783;-2,7349;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"olivier";-0,0089;-0,1435;3,3083;-0,2552;-1,4516;-0,475;-0,5078;-0,1092;-0,006
"lrem";-0,0076;-0,122;-0,9068;6,0085;-2,6354;-0,4037;-0,4316;-0,0928;-0,0051
"claviere";-0,0085;-0,1363;13,4076;-3,7118;-2,9455;-0,4512;-0,4824;-0,1037;-0,0057
"au_dessus";-0,0049;-0,0789;0,8106;-0,7509;0,3656;0,3449;-0,2793;-0,06;-0,0033
"journaliste";-0,0383;-0,6173;12,8398;0,6483;-11,7614;-0,8026;-2,1848;-0,4698;-0,0259
"patron";-0,0071;-0,1148;-0,4403;2,7358;-1,0039;-0,38;-0,4062;-0,0873;-0,0048
"fédération";-0,0053;-0,0861;-0,5478;3,948;-1,8602;-0,285;-0,3047;-0,0655;-0,0036
"watrin";-0,0049;-0,0789;7,7611;-2,1488;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"nuit";1,7628;-0,122;-0,4945;0,9217;-1,1126;0,6419;0,2008;-0,0928;-0,0051
"g";-0,0071;12,0722;-0,8326;0,2587;-2,4803;-0,38;-0,4062;-0,0873;-0,0048
"permettre";-0,012;-0,1937;1,1673;1,5025;-2,2983;-0,2402;-0,6856;-0,1474;-0,0081
"tsoukalos";-0,008;-0,1291;-1,7159;7,9405;-2,7904;-0,4275;-0,457;-0,0983;-0,0054
"polémiste";-0,0062;-0,1004;0,2669;2,8142;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"nombreux";-0,0472;0,284;-5,7824;-4,1202;21,2168;-2,519;-2,6933;-0,5791;-0,0319
"encore";-0,012;0,4439;0,3508;1,1536;-1,697;0,3718;-0,6856;0,5409;-0,0081
"chalumeau";-0,0214;-0,3444;33,8913;-9,38;-7,4433;-1,1402;-1,2191;-0,2621;-0,0145
"centre";-0,0089;1,3777;2,0443;-1,011;-1,4516;0,54;-0,1645;-0,1092;-0,006
"lutte";-0,0276;-0,4449;-3,073;-8,2364;12,0297;-1,4729;2,6096;-0,3386;-0,0187
"défense";-0,0049;-0,0789;0,4285;0,4389;-0,5054;0,3449;-0,2793;-0,06;-0,0033
"xavier";-0,0174;-0,2798;-0,3127;-6,2556;-6,0472;30,1531;-0,9904;0,4116;-0,0117
"durant";-0,0218;-0,3516;-2,1197;12,9656;-5,2204;-0,5892;-1,2445;-0,2676;-0,0148
"rendre";-0,0196;-0,3157;-2,3574;0,8781;-0,9636;6,5336;-1,1174;-0,2403;-0,0133
"qu";0,6078;0,5232;-10,437;-0,3676;2,1072;7,5203;-0,405;-1,5099;-0,0833
"partie";-0,0187;-0,3014;0,3469;3,6952;-2,8236;-0,2134;-1,0666;-0,2293;-0,0126
"partir";-0,0182;0,8386;2,9365;-0,4749;-2,709;0,7633;-1,0412;0,3949;-0,0123
"chemin";-0,0053;-0,0861;-1,1439;0,3445;0,2942;0,3177;0,8358;-0,0655;-0,0036
"joe";-0,0076;-0,122;-0,9068;6,0085;-2,6354;-0,4037;-0,4316;-0,0928;-0,0051
"certaines";-0,0089;-0,1435;0,2399;2,6537;-2,1191;-0,1477;-0,5078;-0,1092;-0,006
"pomart";-0,0067;-0,1076;-1,4299;6,6168;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"disciple";-0,0102;-0,165;-2,1926;-4,4935;3,9783;-0,5462;3,6847;-0,1256;-0,0069
"préparer";-0,0076;-0,122;-0,2509;1,3156;-0,6958;0,218;-0,4316;-0,0928;-0,0051
"mère";-0,0133;-0,2152;-1,3212;-0,732;-3,509;16,7366;-0,7618;-0,1638;-0,009
"janvier";-0,0044;-0,0717;1,5104;0,5593;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"américain";-0,0196;-0,3157;4,0148;-0,3457;-1,2514;-1,0451;-1,1174;0,3717;-0,0133
"soirée";-0,0044;-0,0717;2,2297;-0,6271;-1,5501;-0,2375;0,3539;0,9277;-0,003
"conquérant";-0,0361;-0,5814;-7,7259;-15,834;17,1324;-1,9245;6,9882;-0,4424;-0,0244
"série";-0,0508;-0,3558;-2,9395;-15,3127;8,7142;-2,7093;4,6427;9,7019;-0,0344
"val";-0,0067;-0,1076;-1,4299;6,6168;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"humain";-0,0218;2,0727;-1,62;2,6445;-2,0483;1,3499;-1,2445;-0,2676;-0,0148
"marier";-0,0067;0,6586;1,7782;-1,2927;-0,8978;1,3732;-0,3809;-0,0819;-0,0045
"michaël";-0,0044;-0,0717;4,1578;-0,6271;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"atterrir";-0,0049;-0,0789;-1,0485;0,2162;0,6765;-0,2612;0,899;-0,06;-0,0033
"fantôme";1,8785;-0,0933;-1,2392;4,3559;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
