"";"banalfreq";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"tuer";17;-0,0076;-0,122;-0,4945;0,6099;-0,6958;1,9628;-0,4316;-0,0928;-0,0051
"expliquer";19;-0,0085;1,4188;0,5021;0,2491;-0,5502;-0,4512;-0,1512;-0,1037;-0,0057
"là";27;-0,012;1,1434;-0,7163;-0,5094;0,8042;0,7658;-0,6856;-0,1474;-0,0081
"publier";11;-0,0049;-0,0789;1,3225;0,7692;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"beau";19;-0,0085;-0,1363;0,8105;1,8127;-1,984;-0,4512;-0,4824;-0,1037;-0,0057
"concours";11;-0,0049;-0,0789;0,8106;0,4389;-0,5054;-0,2612;-0,2793;-0,06;-0,0033
"système";17;-0,0076;-0,122;-0,2509;1,7984;-0,6958;-0,4037;-0,4316;-0,0928;-0,0051
"monter";12;-0,0053;0,7452;0,7041;-0,2615;-0,5979;0,3177;-0,3047;-0,0655;-0,0036
"air";10;-0,0044;-0,0717;1,5104;-0,6271;-1,5501;1,0183;-0,2539;0,9277;-0,003
"philippe";18;-0,008;-0,1291;0,9004;1,1295;-1,8498;0,2032;-0,457;-0,0983;-0,0054
"pendant";27;-0,012;-0,1937;-0,7163;1,5025;-0,5923;0,7658;-0,6856;-0,1474;-0,0081
"mois";17;-0,0076;-0,122;1,001;0,6099;-0,6958;-0,4037;-0,4316;-0,0928;-0,0051
"ma";10;-0,0044;-0,0717;0,9366;0,9583;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"laquelle";12;-0,0053;-0,0861;0,3653;0,6192;-1,8602;1,6373;-0,3047;-0,0655;-0,0036
"mettre";43;-0,0191;-0,3085;0,904;-0,4299;-1,175;1,5948;0,3522;-0,2348;-0,013
"jeune";93;-0,0414;-0,6676;-0,2769;0,2907;-0,4206;0,6461;0,5583;-0,17;-0,028
"coeur";17;-0,0076;-0,122;0,3578;0,3739;0,3939;-0,4037;-0,4316;-0,0928;-0,0051
"photo";12;-0,0053;-0,0861;1,1631;-0,2615;-1,8602;1,6373;-0,3047;-0,0655;-0,0036
"transformer";15;-0,0067;0,6586;0,8049;-0,2804;-0,2882;-0,3562;-0,3809;-0,0819;-0,0045
"proposer";23;-0,0102;-0,165;0,5339;0,3346;-0,3573;0,4583;-0,584;-0,1256;-0,0069
"fête";10;-0,0044;-0,0717;0,2109;1,5003;-1,5501;-0,2375;-0,2539;0,9277;-0,003
"vérité";11;-0,0049;-0,0789;-1,0485;1,8135;-1,7052;1,745;-0,2793;-0,06;-0,0033
"enfin";15;1,8168;-0,1076;-0,7594;-0,5006;0,5547;0,2521;0,6816;-0,0819;-0,0045
"bande";17;-0,0076;0,6111;-0,2509;1,3156;-0,6958;-0,4037;-0,4316;-0,0928;-0,0051
"exister";18;-0,008;-0,1291;0,9004;1,1295;-1,2236;-0,4275;-0,457;-0,0983;-0,0054
"voisin";12;-0,0053;-0,0861;-1,1439;-0,88;1,4124;1,6373;-0,3047;-0,0655;-0,0036
"réponse";15;-0,0067;-0,1076;0,8049;0,3227;-0,5281;0,2521;-0,3809;-0,0819;-0,0045
"apporter";11;-0,0049;-0,0789;0,4285;1,2217;-0,9478;-0,2612;-0,2793;-0,06;-0,0033
"place";12;-0,0053;-0,0861;-0,245;0,6192;-1,8602;0,8821;0,8358;-0,0655;-0,0036
"espoir";11;-0,0049;0,7795;-1,0485;-1,2885;0,6765;0,9463;0,899;-0,06;-0,0033
"trop";17;-0,0076;1,5089;-1,6206;-0,4217;1,3938;0,218;-0,4316;-0,0928;-0,0051
"concernant";10;-0,0044;-0,0717;0,504;0,2847;-0,4175;0,3755;-0,2539;-0,0546;-0,003
"parfois";11;-0,0049;0,7795;-1,0485;0,4389;-0,2448;0,9463;-0,2793;-0,06;-0,0033
"où";49;-0,0218;-0,3516;-1,2203;1,3424;-0,4434;1,8392;-1,2445;-0,2676;-0,0148
"réussir";10;-0,0044;-0,0717;-0,4148;0,5593;-0,8267;1,0183;0,3539;-0,0546;-0,003
"alain";11;-0,0049;-0,0789;0,4285;0,4389;-0,2448;-0,2612;-0,2793;-0,06;-0,0033
"samedi";11;-0,0049;-0,0789;1,3225;0,7692;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"5";15;-0,0067;-0,1076;0,8049;0,8724;-0,8978;-0,3562;-0,3809;-0,0819;-0,0045
"endroit";14;-0,0062;0,6852;-1,3345;1,5138;-1,3248;1,453;-0,3555;-0,0764;-0,0042
"programme";15;-0,0067;0,6586;1,2418;-0,5006;-0,2882;-0,3562;-0,3809;-0,0819;-0,0045
"différents";15;-0,0067;0,6586;0,2285;0,3227;-0,5281;0,2521;-0,3809;0,7649;-0,0045
"bout";11;-0,0049;-0,0789;1,966;-0,4066;-0,9478;0,3449;-0,2793;-0,06;-0,0033
"organiser";10;-0,0044;-0,0717;0,2109;0,2847;-0,1876;-0,2375;0,3539;-0,0546;-0,003
"dans";656;0,3089;1,1141;-1,6227;1,8378;-0,4903;1,0232;-1,532;-1,4477;1,1198
"ainsi";16;-0,0071;-0,1148;1,6078;-0,5929;-1,0039;1,3;-0,4062;-0,0873;-0,0048
"tourner";10;-0,0044;-0,0717;0,9366;0,2847;-0,8267;0,3755;-0,2539;-0,0546;-0,003
"matin";15;-0,0067;-0,1076;0,2285;1,7911;-0,8978;-0,3562;-0,3809;-0,0819;-0,0045
"raconter";20;1,6929;-0,1435;0,2399;0,3523;-0,2165;-0,1477;-0,5078;-0,1092;-0,006
"publicité";10;-0,0044;-0,0717;0,504;0,9583;-0,8267;-0,2375;-0,2539;-0,0546;-0,003
"détruire";15;-0,0067;-0,1076;-0,7594;-0,2804;-0,2882;1,3732;0,6816;-0,0819;-0,0045
"arriver";24;-0,0107;-0,1722;0,2793;-0,5059;0,3605;0,4346;0,3991;-0,131;-0,0072
"extra";13;-0,0058;-0,0933;-1,2392;0,4988;0,7807;-0,3087;0,2738;-0,071;-0,0039
"monstre";11;-0,0049;1,874;-1,0485;-0,4066;1,1058;-0,2612;-0,2793;-0,06;-0,0033
"rien";17;-0,0076;0,6111;-0,2509;0,6099;-1,1126;1,2327;-0,4316;-0,0928;-0,0051
"question";67;-0,0298;-0,4808;1,5101;-1,3979;1,8375;-1,5917;-0,9996;-0,3659;-0,0202
"compagnie";12;-0,0053;-0,0861;-0,5478;0,3445;0,2942;0,8821;-0,3047;-0,0655;-0,0036
"au_dessus";11;-0,0049;-0,0789;0,8106;-0,7509;0,3656;0,3449;-0,2793;-0,06;-0,0033
"nuit";17;1,7628;-0,122;-0,4945;0,9217;-1,1126;0,6419;0,2008;-0,0928;-0,0051
"encore";27;-0,012;0,4439;0,3508;1,1536;-1,697;0,3718;-0,6856;0,5409;-0,0081
"défense";11;-0,0049;-0,0789;0,4285;0,4389;-0,5054;0,3449;-0,2793;-0,06;-0,0033
"chemin";12;-0,0053;-0,0861;-1,1439;0,3445;0,2942;0,3177;0,8358;-0,0655;-0,0036
"préparer";17;-0,0076;-0,122;-0,2509;1,3156;-0,6958;0,218;-0,4316;-0,0928;-0,0051
"janvier";10;-0,0044;-0,0717;1,5104;0,5593;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"marier";15;-0,0067;0,6586;1,7782;-1,2927;-0,8978;1,3732;-0,3809;-0,0819;-0,0045
"atterrir";11;-0,0049;-0,0789;-1,0485;0,2162;0,6765;-0,2612;0,899;-0,06;-0,0033
