"";"*typedemission_Collectiondémissionscomposites";"*typedemission_Collectiondémissionssimples";"*typedemission_Emissioncomposite";"*typedemission_Emissionsimple";"*typedemission_Emissionsimpleincluse";"*typedemission_Episodeoupartiedunprogramme";"*typedemission_Episodeoupartiedunprogrammeinclus";"*typedemission_Tranchehoraire";"*typedemission_Tranchehoraireincluse"
"18";0;0;51;3;0;1;0;0;0
"spectacle";0;0;5;6;0;1;0;0;0
"trace";0;0;4;6;15;2;0;0;0
"extraire";0;0;91;57;0;0;0;0;0
"fille";0;1;10;23;144;4;21;0;0
"show";0;0;1;2;0;0;0;14;0
"aventure";0;6;0;3;148;0;19;0;0
"étranger";0;0;5;2;1;2;1;0;0
"débarquer";0;1;2;3;10;2;0;0;0
"43";0;0;18;1;0;0;0;0;0
"parent";0;0;6;24;64;0;19;0;0
"jt";0;0;7;13;0;0;0;0;0
"je";0;0;2;16;0;1;0;0;0
"lopez";0;0;2;14;0;0;0;0;0
"rugby";0;0;2;11;0;0;0;0;0
"tour";0;2;3;5;4;0;0;0;1
"tous";0;2;14;29;76;5;23;2;1
"capable";0;2;0;8;1;0;1;0;0
"côté";0;0;4;20;65;6;22;1;0
"ex_membre";0;0;0;11;0;0;0;0;0
"lorsque";0;1;0;6;68;3;19;0;0
"dessin";0;0;0;4;1;5;0;0;0
"mars";0;0;3;5;0;1;0;3;0
"quatre";0;1;1;8;2;0;0;14;0
"par";0;12;57;164;113;30;23;4;0
"pas";0;5;35;75;148;9;41;1;0
"tout";1;6;16;64;18;9;3;3;1
"autour";0;0;15;13;0;1;0;0;0
"entourer";0;0;0;8;2;0;0;0;0
"starfire";0;0;0;0;108;0;29;0;0
"new_yorkais";0;0;0;42;1;0;0;0;0
"4";0;0;3;7;1;1;0;1;0
"mot";0;0;2;8;2;2;0;0;0
"mon";0;0;6;12;0;0;0;0;0
"luthor";0;0;0;0;3;0;8;0;0
"christine";0;0;0;12;0;0;0;0;0
"journée";0;0;7;5;0;0;0;0;0
"titan";0;0;0;0;82;0;27;0;0
"soudain";0;1;0;0;7;3;0;0;0
"gorg";0;0;0;0;0;0;0;14;0
"venir";0;2;13;34;24;7;8;1;0
"fils";0;0;6;16;1;9;0;0;0
"citation";0;0;18;26;0;0;0;0;0
"pourquoi";0;0;4;8;1;2;0;0;0
"eliot";0;7;0;0;15;0;0;0;0
"film";0;0;19;21;7;0;0;1;0
"important";0;0;3;8;1;2;0;0;0
"emily";0;0;1;15;0;0;0;0;0
"revenir";0;1;8;19;3;5;0;0;0
"poilu";0;0;0;1;0;0;0;14;0
"révéler";0;0;0;15;0;2;0;0;0
"public";0;0;10;10;1;0;0;0;0
"à";0;18;217;405;351;102;57;8;1
"agathe";0;0;0;12;0;0;0;0;0
"des";4;14;200;637;277;56;57;23;0
"csa";0;0;2;12;0;0;0;0;0
"civilisation";0;0;1;11;2;2;0;0;0
"delage";0;0;0;13;0;0;0;0;0
"trois";0;2;2;2;9;1;0;0;0
"théâtre";0;0;5;10;0;0;0;1;0
"24";0;0;18;3;0;0;0;0;0
"25";0;0;17;1;2;0;0;0;0
"26";0;3;17;4;0;0;0;0;0
"27";0;0;18;4;0;0;0;0;0
"22";0;0;13;23;0;0;0;0;0
"23";0;0;18;22;0;0;0;0;0
"28";0;0;20;3;0;0;0;0;0
"29";0;0;16;1;0;1;0;0;0
"etienne";0;0;40;1;0;0;0;0;0
"robbie";0;9;1;1;5;0;0;0;0
"porte";0;1;15;19;2;6;2;0;0
"président";0;0;19;16;1;1;0;0;0
"troisième";0;0;2;18;0;0;0;0;0
"dont";0;0;6;8;7;7;0;0;0
"donc";0;1;4;5;2;2;0;1;0
"cirque";0;0;0;1;64;0;19;0;0
"pari";0;0;15;6;5;2;0;0;0
"part";0;0;4;7;4;1;1;0;0
"john";0;0;1;6;6;0;0;0;0
"gasnier";0;0;48;0;0;0;0;0;0
"recevoir";0;0;3;18;4;0;0;0;0
"relation";0;0;2;6;0;2;0;0;0
"témoignage";1;0;3;10;3;0;0;0;0
"express";0;0;5;3;0;2;0;0;0
"expert";0;0;1;4;5;1;0;0;0
"point";0;1;15;12;3;1;0;0;0
"léo";0;0;0;0;27;0;0;0;0
"secret";0;2;5;19;4;2;0;0;0
"cyborg";0;0;0;0;45;0;10;0;0
"puissant";0;0;2;8;0;0;2;0;0
"mener";0;0;1;11;3;2;0;0;0
"puis";0;0;1;8;3;3;0;0;0
"moment";0;0;4;12;2;2;0;0;0
"travers";0;1;5;4;5;1;0;0;0
"entre";0;0;11;20;5;4;0;0;0
"salvatore";0;0;1;10;0;0;0;0;0
"y";1;2;25;30;14;9;1;2;0
"délirant";0;1;0;0;1;0;0;14;0
"source";1;4;45;231;254;16;37;17;1
"ça";0;2;5;5;2;0;1;0;0
"peu";0;0;5;12;4;2;0;0;0
"depuis";0;0;8;35;3;4;0;0;0
"jimmy";0;0;0;11;0;0;0;0;0
"aliens";0;0;0;19;6;2;0;0;0
"dewalle";0;0;0;15;0;0;0;0;0
"avenir";0;0;5;8;0;0;0;0;0
"conseil";0;0;7;4;1;0;0;0;1
"travailler";0;0;8;6;0;0;0;0;0
"lointain";0;0;0;11;63;0;19;0;0
"elles";0;0;4;28;2;1;0;0;0
"armée";0;0;3;7;1;1;0;0;0
"invité";0;0;50;23;0;0;0;0;0
"brainiac";0;0;0;0;4;0;10;0;0
"ennemi";0;1;0;8;4;0;0;0;0
"objet";0;0;2;13;2;2;0;0;0
"lorenzo";0;0;0;0;0;11;0;0;0
"crop";0;0;0;1;0;9;0;0;0
"39";0;0;16;1;0;0;0;0;0
"38";0;0;13;2;0;0;0;0;0
"33";0;0;21;1;0;0;0;0;0
"32";0;0;18;1;0;0;0;0;0
"31";0;0;18;3;0;0;0;0;0
"30";0;0;22;7;0;0;0;0;0
"37";0;0;13;0;0;0;0;0;0
"36";0;0;14;1;0;0;0;0;0
"34";0;0;13;1;0;0;0;0;0
"composer";0;0;0;3;4;0;3;1;0
"train";0;0;6;4;2;1;0;0;0
"souvent";0;5;4;8;2;0;0;0;0
"terrien";0;0;2;5;64;4;20;0;0
"laurie";0;0;10;0;0;0;0;0;0
"extrait";0;0;12;20;2;0;0;0;0
"le";0;23;293;557;281;102;49;21;1
"la";0;32;430;634;480;93;69;26;4
"eux";0;0;2;8;3;3;2;0;1
"oggy";0;0;0;0;0;0;0;14;0
"image";0;1;7;20;2;1;0;2;0
"tuer";0;0;2;8;3;4;0;0;0
"identifier";0;0;6;14;0;4;1;0;0
"lfi";0;0;2;13;0;0;0;0;0
"expliquer";0;2;5;7;4;0;1;0;0
"réseau";0;0;7;3;0;0;0;0;0
"là";0;2;3;8;11;3;0;0;0
"que";0;11;36;184;109;26;21;0;0
"qui";1;12;105;206;354;29;75;19;0
"parvenir";0;0;2;6;2;4;2;0;0
"publier";0;0;5;6;0;0;0;0;0
"auproux";0;0;0;12;0;0;0;0;0
"seines";0;0;0;14;0;0;0;0;0
"tromper";0;1;0;1;26;0;1;0;0
"mélenchon";0;0;4;23;0;0;0;0;0
"bernard";0;0;0;14;0;0;0;0;0
"beau";0;0;6;12;1;0;0;0;0
"sembler";0;0;1;16;3;6;0;0;0
"crabe";0;0;0;0;26;0;0;0;0
"cacher";0;1;3;20;0;8;0;0;0
"fatou";0;1;0;0;78;0;0;0;0
"bruno";0;0;5;16;0;0;0;0;0
"françois";0;0;15;4;0;14;0;1;0
"comment";1;0;16;15;53;0;0;1;0
"concours";0;0;4;5;2;0;0;0;0
"colocataire";0;0;1;0;45;0;10;0;0
"parisien";0;0;3;4;1;0;0;2;0
"raven";0;0;0;0;107;0;29;0;0
"provoquer";0;2;2;2;82;0;0;0;0
"système";0;0;3;11;3;0;0;0;0
"brigitte";0;0;0;14;0;0;0;0;0
"adolescent";0;1;0;3;16;0;7;0;0
"toutes";0;1;3;8;46;1;0;0;0
"oise";0;0;0;15;0;0;0;0;0
"monter";0;1;4;4;2;1;0;0;0
"48";0;0;13;6;0;0;0;0;0
"49";0;0;13;3;0;0;0;0;0
"47";0;0;19;4;0;0;0;0;0
"44";0;0;15;11;0;0;0;0;0
"45";0;0;13;11;0;0;0;0;0
"42";0;0;18;1;0;0;0;0;0
"40";0;1;15;10;5;0;0;1;0
"41";0;0;11;2;0;0;0;0;0
"membre";0;0;3;35;1;1;2;0;0
"inédit";0;0;1;1;2;1;0;14;0
"direct";0;0;10;7;0;0;2;0;0
"air";0;0;5;2;0;2;0;1;0
"philippe";0;0;6;10;1;1;0;0;0
"même";0;3;8;30;8;8;2;0;0
"changer";0;0;6;5;0;1;3;0;0
"pendant";0;0;3;15;6;3;0;0;0
"actualité";0;0;19;13;1;0;0;0;0
"m6";0;3;13;2;1;0;1;0;0
"assez";0;0;2;1;14;0;0;0;0
"mois";0;0;6;8;3;0;0;0;0
"me";0;0;1;19;2;0;0;0;0
"ma";0;0;4;6;0;0;0;0;0
"naître";0;0;4;6;62;0;19;0;0
"mi";0;0;0;11;0;0;0;0;0
"enquête";0;1;14;12;7;2;0;0;0
"entretien";0;0;9;5;0;0;0;0;0
"laquelle";0;0;3;6;0;3;0;0;0
"nouvelle";0;0;8;11;2;2;1;0;1
"vite";0;3;1;5;3;0;0;0;0
"mettre";0;0;12;14;8;6;3;0;0
"autre";0;1;3;11;3;7;1;2;0
"jeune";0;0;18;34;26;7;7;1;0
"construire";0;0;3;12;2;0;0;0;0
"réal";0;0;0;11;0;0;0;0;0
"émission";2;0;55;44;1;0;2;0;0
"coeur";0;0;4;7;6;0;0;0;0
"claude";0;0;5;21;1;0;0;0;0
"présidentiel";0;0;12;2;0;0;0;0;0
"photo";0;0;5;4;0;3;0;0;0
"boulot";0;0;1;0;46;0;10;0;0
"transformer";0;1;5;5;4;0;0;0;0
"frontière";0;0;12;1;0;0;0;0;0
"candidat";0;0;14;1;1;0;0;0;0
"alien";0;0;0;11;3;0;0;0;0
"jean";0;0;32;54;0;1;0;1;0
"proposer";0;0;6;9;6;2;0;0;0
"fête";0;0;2;7;0;0;0;1;0
"vérité";0;0;0;8;0;3;0;0;0
"manquer";0;0;1;4;62;1;19;0;0
"enfin";1;0;1;4;6;1;2;0;0
"2999";0;0;0;42;1;0;0;0;0
"bande";0;1;3;10;3;0;0;0;0
"59";0;0;18;3;0;0;0;0;0
"58";0;0;11;3;0;0;0;0;0
"55";0;0;19;5;0;0;0;0;0
"54";0;0;19;7;0;0;0;0;0
"56";0;0;12;6;0;0;0;0;0
"51";0;0;17;3;0;0;0;0;0
"50";0;0;15;17;1;0;0;0;0
"53";0;0;12;3;0;0;0;0;0
"52";0;0;20;1;0;0;0;0;0
"57";0;0;13;4;0;0;0;0;0
"humanité";0;1;2;28;18;0;0;0;0
"gouvernement";0;0;7;17;0;1;0;0;0
"plus";1;4;36;119;16;11;3;3;2
"entrepreneur";0;0;0;11;0;0;0;0;0
"exister";0;0;6;10;2;0;0;0;0
"hugues";0;0;0;14;0;0;0;0;0
"voisin";0;0;0;2;7;3;0;0;0
"peret";0;0;10;0;0;0;0;0;0
"ne";0;8;40;105;164;21;45;1;0
"actuel";0;0;6;9;0;0;0;0;0
"retour";0;1;33;13;4;0;0;0;0
"valentin";0;0;16;3;0;0;0;0;0
"cnews";0;0;8;16;0;0;0;0;0
"groupe";0;0;8;12;0;3;0;0;0
"entier";0;0;0;20;3;0;0;0;0
"langlois";0;0;0;14;0;0;0;0;0
"bill";0;0;0;17;0;2;0;0;0
"frédéric";0;0;19;5;0;1;0;0;0
"boucher";0;0;0;10;0;0;0;0;0
"figure";0;0;1;3;62;0;19;1;0
"haut";0;0;4;18;0;0;0;0;1
"antoine";0;0;22;5;0;0;0;0;0
"1";0;0;16;13;4;0;0;0;0
"rapport";0;0;7;4;0;0;0;0;0
"réponse";0;0;5;6;3;1;0;0;0
"oeuf";0;0;0;10;0;0;0;0;0
"apporter";0;0;3;7;1;0;0;0;0
"place";0;0;2;6;0;2;2;0;0
"gotham";0;0;0;0;62;0;19;0;0
"animation";0;1;0;0;62;0;19;0;0
"république";0;0;9;1;0;0;0;0;0
"chanteur";0;0;9;6;0;0;1;0;0
"espoir";0;1;0;1;5;2;2;0;0
"trop";0;2;0;5;9;1;0;0;0
"chaque";0;1;8;6;1;0;0;0;0
"20";0;0;151;30;0;4;0;0;0
"21";0;0;52;22;0;0;0;0;0
"didier";0;0;0;4;1;1;13;0;0
"concernant";0;0;3;4;2;1;0;0;0
"parfois";0;1;0;5;3;2;0;0;0
"devoir";0;0;6;33;17;10;2;1;0
"récupérer";0;1;1;1;8;0;0;0;0
"départ";0;1;3;44;3;0;0;0;0
"curieux";0;1;0;6;27;0;0;1;0
"patrick";0;2;2;10;0;1;0;0;0
"où";0;0;5;24;13;7;0;0;0
"réussir";0;0;1;5;1;2;1;0;0
"décontraction";0;0;0;0;62;0;19;0;0
"bellver";0;0;48;0;0;0;0;0;0
"ou";0;6;26;46;16;0;1;1;0
"celui";0;0;0;4;4;4;0;1;0
"lemercier";0;0;0;11;0;0;0;0;0
"alain";0;0;3;5;3;0;0;0;0
"samedi";0;0;5;6;0;0;0;0;0
"phénomène";0;1;11;17;1;6;0;1;0
"5";0;0;5;8;2;0;0;0;0
"catastrophe";0;3;0;3;7;0;0;0;0
"endroit";0;1;0;9;1;3;0;0;0
"péril";0;0;0;0;78;0;26;0;0
"lisa";0;0;0;8;1;1;0;0;0
"programme";0;1;6;4;4;0;0;0;0
"île";0;1;0;6;81;0;0;0;0
"sur";1;14;242;269;222;44;32;2;0
"grâce";0;0;0;12;66;3;20;0;0
"prochain";0;0;8;2;0;2;0;0;0
"enfant";0;1;10;23;12;9;0;0;0
"vaisseau";0;2;0;18;16;2;2;0;0
"profiter";0;0;3;0;3;0;4;0;0
"différents";0;1;3;6;3;1;0;1;0
"emmanuel";0;0;14;1;1;0;0;0;0
"mission";0;4;2;8;3;0;0;1;0
"style";0;0;2;4;2;1;0;0;1
"manière";0;0;1;3;15;2;0;0;0
"bout";0;0;6;3;1;1;0;0;0
"organiser";0;0;2;4;3;0;1;0;0
"beast";0;0;0;0;45;0;10;0;0
"affrontement";0;0;0;13;0;0;0;0;0
"marionnette";0;0;0;0;0;0;0;14;0
"blanc";0;1;6;11;0;0;0;0;0
"passer";1;3;17;38;7;7;1;0;0
"scooby";0;0;0;0;6;0;6;0;0
"professeur";0;0;2;8;5;10;0;0;0
"dans";1;16;109;265;191;43;26;3;2
"nathalie";0;0;24;1;1;0;0;0;0
"respirer";0;0;0;1;26;0;0;0;0
"chaouch";0;0;10;0;0;0;0;0;0
"ainsi";0;0;7;4;2;3;0;0;0
"maison";0;1;3;14;5;9;0;0;0
"tourner";0;0;4;4;1;1;0;0;0
"vincent";1;0;7;10;0;0;0;0;0
"intelligence";0;0;4;5;2;0;6;0;0
"matin";0;0;3;10;2;0;0;0;0
"raconter";1;0;4;8;6;1;0;0;0
"année";0;0;8;43;3;1;0;0;0
"publicité";0;0;3;6;1;0;0;0;0
"c";0;4;34;49;37;4;1;1;0
"duo";0;0;0;2;26;0;0;0;0
"détruire";0;0;1;5;4;3;2;0;0
"bristielle";0;0;21;0;0;0;0;0;0
"arriver";0;0;5;7;8;2;2;0;0
"propos";0;0;6;5;0;2;0;0;0
"prince";0;0;0;1;63;0;19;0;0
"humour";0;0;8;8;124;0;38;0;0
"extra";0;0;0;6;6;0;1;0;0
"plateau";0;0;27;20;0;0;0;0;0
"monstre";0;2;0;3;6;0;0;0;0
"rien";0;1;3;8;2;3;0;0;0
"réveiller";0;0;1;43;1;4;0;0;0
"anne";0;0;20;5;0;2;0;1;0
"savoir";0;1;4;24;6;5;3;0;0
"question";0;0;20;17;29;0;1;0;0
"long";0;0;2;9;0;0;0;0;0
"présentation";0;0;9;8;3;0;0;0;0
"compagnie";0;0;1;5;4;2;0;0;0
"nasa";0;0;11;3;0;0;0;0;0
"antique";0;0;0;14;0;0;0;0;0
"chose";0;0;4;9;5;6;1;0;0
"depétrini";0;0;14;0;0;0;0;0;0
"olivier";0;0;11;7;2;0;0;0;0
"lrem";0;0;1;16;0;0;0;0;0
"claviere";0;0;19;0;0;0;0;0;0
"au_dessus";0;0;4;2;4;1;0;0;0
"journaliste";0;0;48;35;1;2;0;0;0
"patron";0;0;2;12;2;0;0;0;0
"fédération";0;0;1;11;0;0;0;0;0
"watrin";0;0;11;0;0;0;0;0;0
"nuit";1;0;2;9;2;2;1;0;0
"g";0;9;1;6;0;0;0;0;0
"permettre";0;0;9;15;2;1;0;0;0
"tsoukalos";0;0;0;18;0;0;0;0;0
"polémiste";0;0;3;11;0;0;0;0;0
"nombreux";0;2;4;20;80;0;0;0;0
"encore";0;1;6;14;3;2;0;1;0
"chalumeau";0;0;48;0;0;0;0;0;0
"centre";0;2;9;4;2;2;1;0;0
"lutte";0;0;3;3;46;0;10;0;0
"défense";0;0;3;5;2;1;0;0;0
"xavier";0;0;7;1;0;30;0;1;0
"durant";0;0;3;43;2;1;0;0;0
"rendre";0;0;2;20;9;13;0;0;0
"qu";1;6;16;98;102;39;14;0;0
"partie";0;0;9;27;4;2;0;0;0
"partir";0;2;17;13;4;4;0;1;0
"chemin";0;0;0;5;4;1;2;0;0
"joe";0;0;1;16;0;0;0;0;0
"certaines";0;0;4;14;1;1;0;0;0
"pomart";0;0;0;15;0;0;0;0;0
"disciple";0;0;0;0;16;0;7;0;0
"préparer";0;0;3;10;3;1;0;0;0
"mère";0;0;2;8;1;19;0;0;0
"janvier";0;0;5;5;0;0;0;0;0
"américain";0;0;20;15;8;0;0;1;0
"soirée";0;0;6;2;0;0;1;1;0
"conquérant";0;0;0;0;62;0;19;0;0
"série";0;1;10;5;65;0;19;14;0
"val";0;0;0;15;0;0;0;0;0
"humain";0;4;4;28;7;6;0;0;0
"marier";0;1;7;2;2;3;0;0;0
"michaël";0;0;8;2;0;0;0;0;0
"atterrir";0;0;0;4;5;0;2;0;0
"fantôme";1;0;0;12;0;0;0;0;0
