%%MatrixMarket matrix coordinate integer general
3906 2379 50387
2 1 1
6 1 1
11 1 1
15 1 1
16 1 1
20 1 1
22 1 1
29 1 1
30 1 1
32 1 1
38 1 1
40 1 1
41 1 1
43 1 1
50 1 1
57 1 1
76 1 1
79 1 1
82 1 1
95 1 1
98 1 1
100 1 1
103 1 1
106 1 1
107 1 1
109 1 1
112 1 1
114 1 1
117 1 1
121 1 1
124 1 1
125 1 1
129 1 1
134 1 1
137 1 1
147 1 1
148 1 1
158 1 1
164 1 1
176 1 1
177 1 1
179 1 1
181 1 1
185 1 1
197 1 1
198 1 1
200 1 1
202 1 1
206 1 1
208 1 1
211 1 1
214 1 1
215 1 1
231 1 1
239 1 1
240 1 1
248 1 1
250 1 1
253 1 1
256 1 1
257 1 1
260 1 1
263 1 1
264 1 1
268 1 1
272 1 1
276 1 1
280 1 1
283 1 1
284 1 1
286 1 1
288 1 1
302 1 1
312 1 1
315 1 1
328 1 1
331 1 1
332 1 1
333 1 1
334 1 1
335 1 1
337 1 1
343 1 1
346 1 1
347 1 1
352 1 1
361 1 1
363 1 1
366 1 1
367 1 1
374 1 1
376 1 1
378 1 1
380 1 1
384 1 1
386 1 1
391 1 1
404 1 1
407 1 1
410 1 1
419 1 1
421 1 1
424 1 1
426 1 1
427 1 1
440 1 1
443 1 1
445 1 1
449 1 1
452 1 1
454 1 1
456 1 1
461 1 1
467 1 1
478 1 1
479 1 1
484 1 1
486 1 1
726 1 1
748 1 1
841 1 1
888 1 1
927 1 1
930 1 1
931 1 1
941 1 1
945 1 1
952 1 1
953 1 1
954 1 1
955 1 1
959 1 1
966 1 1
971 1 1
975 1 1
981 1 1
986 1 1
987 1 1
990 1 1
993 1 1
999 1 1
1002 1 1
1015 1 1
1016 1 1
1021 1 1
1026 1 1
1029 1 1
1030 1 1
1035 1 1
1037 1 1
1042 1 1
1043 1 1
1045 1 1
1049 1 1
1052 1 1
1053 1 1
1055 1 1
1059 1 1
1066 1 1
1070 1 1
1071 1 1
1073 1 1
1075 1 1
1077 1 1
1081 1 1
1085 1 1
1088 1 1
1090 1 1
1115 1 1
1119 1 1
1121 1 1
1127 1 1
1133 1 1
1135 1 1
1142 1 1
1143 1 1
1155 1 1
1158 1 1
1175 1 1
1178 1 1
1183 1 1
1184 1 1
1185 1 1
1199 1 1
1201 1 1
1204 1 1
1208 1 1
1209 1 1
1210 1 1
1212 1 1
1215 1 1
1216 1 1
1217 1 1
1219 1 1
1225 1 1
1228 1 1
1229 1 1
1239 1 1
1242 1 1
1244 1 1
1251 1 1
1252 1 1
1260 1 1
1262 1 1
1271 1 1
1276 1 1
1288 1 1
1291 1 1
1302 1 1
1304 1 1
1308 1 1
1312 1 1
1313 1 1
1315 1 1
1316 1 1
1317 1 1
1318 1 1
1321 1 1
1330 1 1
1332 1 1
1335 1 1
1348 1 1
1354 1 1
1356 1 1
1360 1 1
1361 1 1
1368 1 1
1372 1 1
1378 1 1
1381 1 1
1387 1 1
1390 1 1
1402 1 1
1403 1 1
1405 1 1
1412 1 1
1413 1 1
1414 1 1
1428 1 1
1432 1 1
1436 1 1
1437 1 1
1439 1 1
1441 1 1
1444 1 1
1445 1 1
1448 1 1
1450 1 1
1453 1 1
1454 1 1
1465 1 1
1468 1 1
1471 1 1
1475 1 1
1481 1 1
1493 1 1
