"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"petit";-3,566;-2,563;-2,897;-1,222;-7,271;-8,051;-6,201;-3,062;-0,013;-4,011;-0,131;-0,297;-0,658;0,152;-6,499;-12,896;687,377;-5,356
"ancien";-1,31;-3,323;-0,818;-6,567;-6,129;20,346;11,415;-4,722;0,128;-1,595;-2,623;-3,423;-9,368;-6,823;177,995;25,347;-8,233;-4,515
"fille";-4,948;-5,999;-8,409;-5,183;-4,714;-7,58;-9,826;-7,593;-1,239;-3,678;-3,115;-8,197;0,008;-7,84;-6,119;30,484;730,182;-5,043
"monde";-6,287;-1,725;-0,028;-2,702;-2,337;34,704;0,054;-4,646;-0,702;0,602;-2,583;-5,13;-0,52;-6,739;-5,426;211,4;-8,154;-4,472
"extraire";33,347;-0,878;-3,507;0,005;0,035;-3,293;-4,268;-4,268;-2,122;-0,041;0,462;15,94;-0,299;57,338;-0,921;-5,274;-3,994;-2,191
"nouveau";-0,557;0,009;-1,179;-0,098;-4,911;0,012;-3,185;-3,185;-0,129;-0,14;-3,703;-1,023;-0,04;0,568;-2,426;-8,71;-6,596;519,49
"nombreux";-5,263;-4,453;-9,501;-5,445;-3,066;0,001;0,532;-7,295;-6,92;-4,275;-1,916;-6,085;-3,811;-5,343;-4,543;-9,014;1012,226;-3,744
"vie";-2,166;-3,466;39,037;0,014;0,667;-2,424;3,678;0,235;-3,355;-0,372;-1,184;6,156;12,867;-0,991;-3,536;-7,016;-5,313;-2,914
"terre";-0,333;-2,747;21,938;-1,512;-3,135;41,719;47,462;-1,126;5,166;-0,903;-2,364;-1,859;-4,792;-4,617;-2,803;-5,561;-4,212;-2,31
"provoquer";-4,559;-3,857;-8,229;-2,731;-4,402;-4,874;-2,565;-4,233;-3,926;-3,703;-1,469;-5,27;-4,622;-6,481;-3,935;-7,807;1136,827;-3,242
"incident";-4,442;-3,759;-5,855;-4,596;-4,29;-1,311;-6,157;-4,081;-3,782;-3,608;-3,234;-5,136;-6,556;-6,316;-3,834;-7,608;1166,582;-3,16
"prendre";-2,012;0;-4,958;-0,822;-0,054;-0,914;-1,845;1,158;-0,603;-0,3;-1,08;-1,157;-2,128;-5,581;-3,388;-6,722;-5,091;674,276
"prétexte";-4,154;-3,515;-7,499;-4,297;-4,011;-4,441;-5,757;-5,757;-5,461;-3,374;-3,024;-4,803;-6,13;-5,906;-3,585;-7,114;1247,731;-2,955
"homme";-0,304;-0,097;58,141;-0,361;-0,251;0,302;0,001;0,323;-0,912;3,184;1,775;-0,583;-0,373;-4,537;-0,115;-5,465;-4,139;-2,27
"présenter";-0,133;-0,694;-3,037;22,545;93,478;-2,996;0,088;-1,972;-0,032;-2,276;0,713;1,61;0,03;-0,766;-2,419;-4,8;-3,635;-1,993
"humour";-3,247;2,715;-3,792;-1,512;-3,135;-3,472;-4,5;-4,5;-4,269;-2,637;-2,364;-1,859;-2,799;-4,617;-2,803;520,75;-4,212;-2,31
"super";-3,024;-2,559;-3,412;-3,128;-1,136;-3,233;-4,191;-0,907;-0,763;-2,456;-2,202;-0,468;-4,463;-4,3;-2,61;494,06;-3,922;-2,151
"planète";-2,803;-2,371;18,791;-2,899;-2,706;-2,996;-0,073;-0,701;0,961;-0,622;-2,04;-0,328;-4,136;-3,985;-2,419;127,02;-3,635;-0,417
"invité";-1,084;3,793;0,548;-0,194;-2,76;-3,055;-2,041;-3,961;-1,859;-2,321;0,004;-0,361;-0,922;104,166;28,851;-4,895;-3,707;-2,033
"voir";-0,903;-0,002;-0,01;105,852;1,303;-2,82;-3,655;-1,767;34,698;-0,523;0,03;-0,234;-1,976;-3,75;-0,622;-4,517;-3,421;-1,876
"tenter";-3,024;-2,559;-0,144;-1,313;-2,92;-3,233;-0,907;1,531;-3,976;-2,456;-0,566;-1,631;-4,463;-4,3;-2,61;-5,179;-3,922;876,312
"sauver";-1,271;-0,878;-5,559;-0,301;-2,974;-1,454;-4,268;-0,961;-2,122;-2,502;-2,242;-1,688;-4,545;-4,379;-2,658;484,2;-3,994;-2,191
"tête";-1,224;-0,841;-5,459;-1,313;-2,92;-3,233;-4,191;-2,25;-3,976;-2,456;-0,566;-3,496;-2,496;-2,348;-0,882;494,06;-3,922;-2,151
