"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";1,73156333191676;0,164925741819271;0,150031633083956;0,0950974560717454;-0,0137208147458697;-0,0414737865091628;0,990034955001747;0,0942975901435416;0,0857817663213569;0,0543727185182144;-0,00784498375492713;-0,0237129636574708;0,99217292542104;0,00529264110364882;0,00192051468712817;0,00053646315280332;7,90722816271455e-06;6,95484072155178e-05;0,738687164976591;0,00670132505509481;0,00554561180029412;0,00222803285539635;4,63813722221468e-05;0,000423770935916476;0,246367713004484;1,39463787793706;0,479188850641656
"classe 2";-0,430061881847997;-2,1346930722723;0,60123253901317;0,0447118883311101;0,0202505590155379;-0,0618991276441879;-0,190255826232587;-0,944370592606236;0,265980311894502;0,0197801702868918;0,00895868013369916;-0,0273836630728964;0,0625148888681091;0,905685438119479;0,031502706281633;0,000121132051783014;1,75933868716856e-05;0,000158241292126458;0,0302726126052932;0,745862689316;0,0591661016046642;0,000327215618707975;6,71215588615473e-05;0,000627129251630351;0,163677130044843;1,37992658278901;0,311673561196872
"classe 3";-0,217240435086217;-0,984804984888419;-5,95095068141411;2,73214625121976;0,0971712745271237;-4,16960299322705;-0,0277487913826844;-0,125792180757928;-0,760133300790285;0,348985474651586;0,0124119868576611;-0,532596261657067;0,0035720040677978;0,0431634386300667;0,691106007221876;0,101281468974055;9,07110666152094e-05;0,160786370039586;0,000757634061697248;0,0155696424779133;0,568526700292334;0,119835653965175;0,000151584208985416;0,2791049733347;0,0160538116591928;2,91609355640604;0,136515218988215
"classe 4";0,147001387674939;-0,354803914072493;-2,313563105604;-10,6900494586473;-1,85308623179872;-3,42993502507838;0,0126530080811111;-0,0305394177767646;-0,199137798182557;-0,920136090734336;-0,159502678422282;-0,29522847557038;0,000906634503041206;0,00310564006098406;0,0579019810076817;0,859488936687792;0,0182866642336256;0,0603101435068721;0,000158921206656981;0,000925797043065039;0,0393642231368777;0,840423938037902;0,0252540039249797;0,0865188565608317;0,0073542600896861;3,91671593459075;0,112819230888495
"classe 5";-0,655740305510142;0,643945702392376;0,145530467150383;0,0521442189862311;-0,0216715822448861;-0,0521374539232739;-0,702322395682287;0,68968993455677;0,155868573999434;0,0558484090297012;-0,0232110752268204;-0,0558411633942215;0,632194409474947;0,35848445997694;0,00802853101450353;0,000716622955468857;8,764396017213e-05;0,000488332617968306;0,229729353331621;0,221539530481577;0,011315156877909;0,00145266364129469;0,00025091924578209;0,00145228673571661;0,534260089686099;0,661642379552031;0,233883380543822
"classe 6";-0,114043039795433;-0,556869229528394;-3,19015273382655;-0,547581400322183;-0,654424259430855;4,55629954681435;-0,0201638805696184;-0,0984597100993414;-0,56404896641747;-0,0968175346610071;-0,115708355658486;0,805596554302391;0,00238024167423476;0,033371434027751;0,480228340490474;0,00983721921088324;0,00994846608872505;0,464234298507934;0,000394256990575295;0,00940044201909371;0,308506831319969;0,00908948357065788;0,0129825682179452;0,629312516536467;0,0303139013452915;1,87531841895364;0,106608509443387
"classe 7";-0,00536667894883514;0,0170503544356022;-1,95942281497576;-3,67466502657754;22,0721016314138;1,13916243332181;-0,000238620854818192;0,000758116926532314;-0,0871226230444195;-0,163388143425791;0,981400938855338;0,0506510481076985;4,40350448781757e-07;2,61359913475862e-06;0,0151350856432067;0,0370095848004467;0,945427968000826;0,00242430760593839;5,68275645450356e-08;5,73607255637e-07;0,00757537496795032;0,0266430123108651;0,961247421471224;0,00256046664473691;0,00197309417040359;6,48818396525198;0,0830604202397278
