"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"décider";0,4969;-1,4762;3,6858;-0,061;-2,3827;3,6914;-0,0163
"handicapé";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"corbière";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"dieu";-1,7209;7,6276;-0,0985;-0,0449;-4,6501;1,1832;-0,012
"mazaurette";-5,0469;-3,1889;-0,2887;-0,1317;11,1901;-0,5491;-0,0352
"laure";-1,4749;-0,932;18,7995;-0,0385;-2,8151;-0,1605;-0,0103
"ville";0,9778;-0,2279;0,6928;-0,0449;-1,811;0,4556;1,564
"etats";-0,3239;0,655;-0,1055;-0,0481;-0,2243;-0,2007;-0,0129
"père";-0,3788;-0,3012;1,5762;-0,0513;-0,3115;0,4099;-0,0137
"margot";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"équipe";-0,7652;-0,984;-0,1548;1,95;0,4238;1,5568;-0,0189
"clair";-1,229;-0,7766;-0,0703;-0,0321;1,0804;1,4546;-0,0086
"spécialiste";-5,1703;-0,5312;-0,2958;-0,1349;5,0009;-0,1974;-0,0361
"main";0,2728;-0,3553;-0,0774;-0,0353;0,4479;-0,1471;-0,0094
"ancien";-2,8253;21,677;-0,5552;-0,5069;-5,9896;-1,3373;-0,1356
"agir";-0,4181;0,5982;1,3558;-0,0674;-0,9321;0,8793;-0,018
"trace";-1,229;0,2966;0,8254;-0,0321;0,6313;-0,1337;-0,0086
"extraire";-13,8379;-8,7418;-0,7912;-0,3608;30,7048;-1,5049;-0,0965
"nouveau";5,4369;-0,5142;-0,3143;0,7309;-3,8698;-0,2278;-0,0922
"débarquer";1,8835;-0,932;1,8176;1,0716;-1,9767;-0,1605;-0,0103
"parent";4,3628;-2,1879;-0,3593;-0,1639;-1,2754;0,3367;-0,0438
"lopez";-1,967;-1,2429;-0,1125;-0,0513;4,36;-0,214;-0,0137
"rugby";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"côté";6,3298;-1,3082;0,7888;1,3651;-7,6309;1,9492;-0,0387
"capable";-0,2704;2,6572;-0,0703;-0,0321;-1,4639;-0,1337;-0,0086
"mars";-1,967;-0,6263;-0,1125;-0,0513;2,3323;0,4099;-0,0137
"delage";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"new_yorkais";26,2702;-3,3448;-0,3028;-0,1381;-14,3103;-0,576;-0,037
"davant";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"mot";-1,3519;0,2528;-0,0774;-0,0353;0,7863;0,5416;-0,0094
"christine";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"rappeler";-0,2244;-0,4598;0,7216;-0,0417;0,4181;-0,1739;-0,0112
