"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"sy";-2,9517;-1,8651;-0,1689;-0,077;6,5433;-0,3212;-0,0206
"internet";-1,4749;-0,4068;-0,0844;-0,0385;0,5741;2,305;-0,0103
"aller";0,268;-1,5203;0,3213;-0,1285;0,7953;0,4645;-0,0344
"affirmer";-2,9517;3,8565;2,1921;-0,077;-1,4195;0,2818;-0,0206
"semaine";-1,1868;-0,298;-0,1548;-0,0706;1,7197;-0,2944;-0,0189
"différent";-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"extra_terrestre";-0,3312;-0,8543;0,7874;-0,0353;0,7863;-0,1471;-0,0094
"monde";5,4251;5,1996;-0,4261;-0,4224;-13,3805;0,248;-0,113
"visiteur";-3,3212;8,1593;6,7812;-0,0867;-6,2782;-0,3614;-0,0232
"naulleau";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"fille";40,786;-6,1028;-0,9475;-0,4322;-19,1006;-0,6519;-0,1156
"désert";-1,0992;7,5067;-0,1477;1,9894;-5,5773;0,322;-0,018
"humoriste";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"apparition";-1,967;0,9724;-0,1125;-0,0513;0,785;-0,214;-0,0137
"venir";0,4273;0,5489;1,2353;1,2093;-2,0984;1,0713;-0,0473
"tomber";-0,2732;-0,3811;0,5971;2,1207;-1,1544;1,7941;-0,0155
"laisser";-0,7652;3,5758;0,5232;-0,0706;-1,9274;0,3078;-0,0189
"époque";-1,8439;1,075;-0,1055;-0,0481;0,6534;-0,2007;-0,0129
"intervenir";11,8862;-2,3321;-0,2111;-0,0963;-5,2328;-0,4016;-0,0258
"origine";-3,2105;7,3365;-0,2464;-0,1124;-1,1127;-0,4686;-0,0301
"image";-5,2937;0,5793;-0,3028;-0,1381;2,4153;-0,205;1,0885
"mythe";-1,3519;-0,3553;-0,0774;-0,0353;1,9711;-0,1471;-0,0094
"italie";-1,7209;0,389;-0,0985;-0,0449;1,3025;-0,1873;-0,012
"édition";-3,5676;-1,4287;-0,2041;-0,0931;6,4874;-0,3882;-0,0249
"répondre";-1,4749;-0,932;-0,0844;-0,0385;2,2093;0,5101;-0,0103
"présenter";-4,6502;-1,8487;-0,4511;-0,2057;9,0252;-0,8581;-0,0551
"chaîne";-1,229;0,2966;-0,0703;-0,0321;1,0804;-0,1337;-0,0086
"spatial";-0,561;-0,8017;1,436;2,0745;-0,2507;0,3535;-0,0163
"écrivain";-2,8286;-1,046;-0,1618;-0,0738;4,9455;-0,3078;-0,0197
"terre";-1,0909;14,8534;0,8064;0,3304;-9,6504;-0,2827;0,8094
"richard";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"gagner";-1,3519;-0,8543;-0,0774;2,5506;1,2762;-0,1471;-0,0094
"espace";0,9554;-1,5792;-0,2887;3,6503;-0,3485;-0,5491;-0,0352
"vie";-11,7271;2,0481;-0,2618;-0,3058;2,694;0,4877;-0,0818
"mort";-1,8439;0,655;-0,1055;-0,0481;-0,2243;2,0186;-0,0129
"damien";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"science";-1,4749;0,216;-0,0844;-0,0385;1,4782;-0,1605;-0,0103
"information";-2,5823;-0,5115;1,3558;-0,0674;2,0649;-0,281;-0,018
"débat";-4,4303;-2,7994;-0,2534;-0,1156;9,8224;-0,482;-0,0309
"créature";-3,3212;12,7969;0,4506;-0,0867;-7,469;1,3261;-0,0232
"visuel";-3,5676;-2,2543;-0,2041;-0,0931;7,909;-0,3882;-0,0249
"boucherie";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"astrophysicien";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"comprendre";-1,8189;-1,8252;0,966;-0,1124;0,7668;4,1458;-0,0301
"dernier";-3,3225;0,4268;0,3545;-0,1156;1,1215;1,0236;-0,0309
"leçon";-0,3312;-0,8543;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
"grandir";11,2103;-2,41;-0,2182;-0,0995;-4,6963;-0,415;-0,0266
"plan";-0,974;0,389;1,6873;-0,0449;-0,2995;0,4556;-0,012
"secte";-1,229;6,1502;-0,0703;-0,0321;-2,224;-0,1337;-0,0086
"notamment";-1,3519;0,2528;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
"incident";43,8433;-3,4735;-0,5785;-0,2638;-27,3618;-1,1003;-0,0706
"recherche";-1,2489;-0,6739;-0,2746;-0,1252;1,1824;1,5282;-0,0335
"garçon";0,2728;-0,3553;-0,0774;1,1078;-0,3894;0,5416;-0,0094
"environnement";11,3363;-2,2543;-0,2041;1,7195;-6,8829;-0,3882;-0,0249
"nucléaire";-1,229;0,6647;-0,0703;-0,0321;0,6313;-0,1337;-0,0086
"belhousse";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"témoin";-2,0273;0,4004;-0,2182;-0,0995;1,4451;0,2108;-0,0266
"mystère";-1,3519;1,6439;-0,0774;2,5506;-0,6933;-0,1471;-0,0094
"kelly";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"retrouver";0,4504;-0,8166;3,6546;-0,1124;-4,2826;7,2704;-0,0301
"victime";-0,3312;0,579;-0,0774;-0,0353;-1,717;3,636;-0,0094
"technologie";-1,967;6,4676;1,5762;-0,0513;-3,0642;-0,214;-0,0137
"alexandre";-1,967;-1,2429;-0,1125;-0,0513;4,36;-0,214;-0,0137
"frère";-0,2308;-0,6839;-0,1196;-0,0545;0,6077;0,3897;-0,0146
"millénaire";23,5105;-1,8186;-0,3169;-0,1445;-14,978;-0,6028;-0,0387
"meilleur";-0,6892;-0,8543;-0,0774;1,1078;1,2762;-0,1471;-0,0094
"observation";-1,3519;6,8973;-0,0774;-0,0353;-2,518;-0,1471;-0,0094
"tirailleur";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"décontraction";15,8577;-2,0208;-0,183;-0,0834;-8,6428;-0,348;-0,0223
"astronaute";-3,7732;15,4765;-0,2816;-0,1285;-4,1961;-0,5357;-0,0344
"découverte";-3,0748;1,8566;2,1417;-0,0802;-0,2831;-0,3346;-0,0215
"millier";-1,8439;4,7386;-0,1055;-0,0481;-1,0161;-0,2007;-0,0129
"continuer";-1,967;2,0428;0,6416;-0,0513;-0,5246;0,4099;-0,0137
"ambre";-5,9108;-3,7347;-0,3381;-0,1542;13,1063;-0,6431;-0,0413
"laëtitia";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"animal";-1,0992;0,339;-0,1477;-0,0674;0,7984;0,322;-0,018
"pyramide";-1,4749;9,4453;-0,0844;-0,0385;-3,9852;-0,1605;-0,0103
"robot";12,8331;-2,6436;-0,2393;-0,1092;-5,4882;-0,4552;-0,0292
"temps";-0,9872;0,9954;1,2189;-0,0802;-1,2165;2,1979;-0,0215
"façon";-1,229;0,2966;-0,0703;-0,0321;1,0804;-0,1337;-0,0086
"face";0,2728;-0,8543;-0,0774;-0,0353;-0,3894;1,3761;1,6675
"rouge";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"montrer";-0,9115;-1,1086;-0,1689;-0,077;2,0728;0,2818;-0,0206
"tenter";16,0257;-4,593;0,6116;-0,1896;-11,5751;2,0624;-0,0507
"quitter";7,4606;-2,0954;0,3292;-0,1252;-2,9063;-0,5223;-0,0335
"inviter";-4,1837;-2,6436;-0,2393;-0,1092;7,7869;-0,1401;-0,0292
"site";-3,5676;3,5316;1,1054;-0,0931;-0,6412;0,2285;-0,0249
"alliance";-1,967;-1,2429;-0,1125;-0,0513;4,36;-0,214;-0,0137
"lune";-1,967;0,3009;-0,1125;5,335;-0,5246;0,4099;1,5069
"seul";0,5686;0,4699;-0,1266;-0,0577;-0,5258;-0,2408;-0,0155
"mauvais";-0,3959;-0,932;-0,0844;-0,0385;0,9507;0,5101;-0,0103
"chef";-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"appeler";-1,229;0,6647;0,8254;-0,0321;0,3339;-0,1337;-0,0086
"françois";-1,2758;-1,7873;0,5072;-0,0738;2,4522;-0,3078;1,3521
"soucoupe";1,279;-1,1652;-0,1055;0,9793;-0,6648;0,4318;-0,0129
"nombre";-1,229;2,6572;-0,0703;-0,0321;-0,9161;0,5767;-0,0086
"pizza";26,2702;-3,3448;-0,3028;-0,1381;-14,3103;-0,576;-0,037
"alexis";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"enlever";1,1316;-0,7766;-0,0703;-0,0321;-1,4639;2,5486;-0,0086
"prendre";15,2129;-2,7344;-0,1998;-0,2574;-6,7064;-0,5269;-0,0689
"livreur";26,2702;-3,3448;-0,3028;-0,1381;-14,3103;-0,576;-0,037
"état";-2,3361;8,5097;-0,1337;-0,061;-2,3827;-0,2542;-0,0163
"grave";28,3727;-3,8907;-0,3522;-0,1606;-14,8777;-0,6699;-0,043
"déage";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"yacine";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"thierry";-3,814;-2,41;-0,2182;-0,0995;8,4555;-0,415;-0,0266
"carbonnier";-4,9236;-3,111;-0,2816;-0,1285;10,9165;-0,5357;-0,0344
"jerry";4,5886;-0,7766;-0,0703;-0,0321;-2,224;-0,1337;-0,0086
"raid";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"déclaration";-2,7054;-1,7095;-0,1548;-0,0706;5,9973;-0,2944;-0,0189
"contact";-2,4592;6,862;-0,1407;-0,0642;-1,5265;-0,2676;-0,0172
"the";-0,6892;0,2528;-0,0774;-0,0353;0,7863;-0,1471;-0,0094
"photo";-2,9517;-0,6523;0,4919;-0,077;3,3424;-0,3212;-0,0206
"transformer";0,2728;-0,8543;-0,0774;-0,0353;0,4479;0,5416;-0,0094
"lci";-2,5823;-1,6317;-0,1477;-0,0674;5,7243;-0,281;-0,018
"bord";0,8236;-0,932;-0,0844;4,0947;-0,8718;-0,1605;-0,0103
"jacques";-1,3745;-1,3984;-0,1266;-0,0577;2,0742;0,3709;1,4565
"connaître";-3,3212;0,8538;0,4506;-0,0867;0,9325;0,248;-0,0232
"peupler";13,9478;-2,0208;-0,183;-0,0834;-7,1519;-0,348;-0,0223
"commencer";-1,8439;0,3419;0,6662;-0,0481;0,6534;0,4318;-0,0129
"archive";-1,4749;-0,4068;-0,0844;-0,0385;2,2093;-0,1605;-0,0103
"sujet";-2,7659;-2,41;-0,2182;-0,0995;7,0058;-0,415;-0,0266
"zone";-1,3519;0,2528;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
"donner";-0,4158;-0,9575;0,3373;-0,122;0,8279;0,4937;-0,0326
"urgentiste";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"ciel";-2,4365;6,8507;-0,197;-0,0899;-1,7234;0,238;-0,024
"cas";-3,9372;-0,4192;-0,2252;-0,1027;3,6196;0,2027;-0,0275
"discussion";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"cours";-1,4773;1,5932;-0,1337;-0,061;-0,2507;0,3535;-0,0163
"découvrir";-0,3999;1,2048;3,0909;0,54;-2,8714;1,3014;-0,0395
"forme";-1,4722;4,4757;-0,2182;-0,0995;-1,1454;0,2108;-0,0266
"nom";-0,5983;1,1817;-0,0703;-0,0321;-0,2705;-0,1337;-0,0086
"ex";-0,695;-0,9226;-0,1477;-0,0674;2,0649;-0,281;-0,018
"marine";-0,3312;0,2528;-0,0774;-0,0353;0,4479;-0,1471;-0,0094
"toulouse";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"message";-1,229;1,1817;-0,0703;-0,0321;0,3339;-0,1337;-0,0086
"incroyable";-2,2131;6,6558;-0,1266;-0,0577;-1,5989;-0,2408;-0,0155
"premier";-5,2625;0,8332;0,239;-0,1703;1,6451;0,6646;-0,0456
"déguiser";0,5207;-1,1652;-0,1055;-0,0481;0,6534;-0,2007;-0,0129
"ligne";-1,4749;0,9253;-0,0844;-0,0385;0,5741;-0,1605;-0,0103
"étrange";-2,3426;12,4823;0,273;1,331;-6,5648;0,3776;-0,0404
"secrétaire";-3,5676;-2,2543;-0,2041;-0,0931;7,909;-0,3882;-0,0249
"bruno";-2,4592;-1,554;-0,1407;-0,0642;5,4514;-0,2676;-0,0172
"près_de";0,6059;-0,5141;-0,0985;-0,0449;-0,5243;1,1832;-0,012
"maïa";-4,5536;-2,8773;-0,2605;-0,1188;10,0958;-0,4955;-0,0318
"prétexte";47,2008;-5,9996;-0,5431;-0,2477;-25,6846;-1,033;-0,0663
"explication";-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"ami";0,543;-1,7095;-0,1548;8,0494;-1,9274;1,5568;-0,0189
"héros";0,4686;-0,932;-0,0844;-0,0385;0,5741;-0,1605;-0,0103
"vendre";0,3339;0,2966;0,8254;-0,0321;-1,4639;1,4546;-0,0086
"loi";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"giorgio";-2,3361;14,9684;-0,1337;-0,061;-6,3129;-0,2542;-0,0163
"aile";15,8577;-2,0208;-0,183;-0,0834;-8,6428;-0,348;-0,0223
"aimer";-1,3519;-0,3553;-0,0774;-0,0353;1,2762;0,5416;-0,0094
"vidéo";-1,4773;-0,8017;-0,1337;-0,061;3,0074;-0,2542;-0,0163
"réalité";0,6136;0,9384;-0,1477;-0,0674;-1,2885;0,322;-0,018
"visage";-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"posséder";6,4915;0,9737;-0,2464;-0,1124;-7,6042;-0,4686;-0,0301
"diffuser";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"base";-0,6892;1,6439;-0,0774;2,5506;-1,1259;-0,1471;-0,0094
"véritable";-0,3959;0,9253;-0,0844;-0,0385;-1,3459;2,305;-0,0103
"jour";-2,1112;-0,2149;-0,1759;-0,0802;1,3344;0,7578;-0,0215
"justice";-0,6892;-0,8543;-0,0774;-0,0353;1,9711;-0,1471;-0,0094
"voler";14,9191;-2,5657;-0,2323;-0,1059;-8,1044;-0,1333;-0,0283
"culture";-2,2191;3,4429;-0,183;-0,0834;-0,3592;-0,348;-0,0223
"portrait";-1,5979;1,9376;-0,0914;-0,0417;-0,3975;-0,1739;1,5958
"effet";0,2728;-0,3553;-0,0774;-0,0353;-0,3894;1,3761;-0,0094
"planète";10,0602;-0,7056;-0,4299;-0,1961;-7,2207;0,5501;-0,0525
"grand";-2,5093;0,7482;0,2289;1,2093;0,5465;0,6335;-0,0473
"pierre";-2,9517;-1,1086;-0,1689;-0,077;5,2008;-0,3212;-0,0206
"jouer";-0,2244;-1,0097;-0,0914;-0,0417;1,1231;-0,1739;-0,0112
"hapsatou";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"univers";6,2092;-0,3667;-0,3028;-0,1381;-3,7237;-0,576;-0,037
"info";-1,967;-1,2429;-0,1125;-0,0513;4,36;-0,214;-0,0137
"cryogénisé";26,2702;-3,3448;-0,3028;-0,1381;-14,3103;-0,576;-0,037
"rester";-1,6857;3,0813;0,5401;-0,0674;-1,7237;1,6109;-0,018
"visite";-1,6857;3,0813;0,5401;-0,0674;-0,9321;0,322;-0,018
