"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"réalisateur";10;-0,0119;0,5308;-0,315;1,0536;-0,0046;-0,0043;0,5043;0,3034;-0,1119;-1,5577;0,5457;-0,0043;-0,056;-0,0018;-0,0914;-0,3539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;1,4875;-0,0055;-0,0023
"peur";12;1,4904;-0,1819;0,6923;1,4555;-0,0055;-0,0051;-0,1957;0,2504;0,5752;-1,8693;-0,1746;-0,0051;-0,0672;-0,0021;-0,1097;-0,4247;-0,1711;-0,0331;-0,0213;-0,0847;0,2343;0,6565;-0,0066;-0,0028
"espèce";10;1,5684;-0,1515;-0,315;0,5189;-0,0046;-0,0043;-0,1631;-0,2987;-0,1119;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;0,7219;0,2539;-0,1425;-0,0276;-0,0178;1,9702;0,286;0,7816;-0,0055;-0,0023
"empêcher";11;-0,0131;-0,1667;-0,3465;0,462;-0,0051;-0,0047;0,4705;-0,3285;0,6077;-1,7135;1,3104;-0,0047;-0,0616;-0,002;-0,1005;0,2277;-0,1568;-0,0303;-0,0195;-0,0777;0,2585;1,3732;-0,006;-0,0025
"sol";10;-0,0119;-0,1515;-0,315;-0,5062;-0,0046;-0,0043;-0,1631;0,856;-0,1119;-1,5577;1,3881;-0,0043;-0,056;-0,0018;-0,0914;-0,3539;-0,1425;-0,0276;-0,0178;-0,0706;1,5434;1,4875;-0,0055;-0,0023
"situation";15;-0,0178;0,3899;-0,4726;0,6503;1,8012;-0,0064;-0,2447;0,5803;1,2639;-1,4632;1,0669;-0,0064;1,8125;-0,0027;-0,1371;-0,5309;-0,2138;-0,0414;-0,0267;-0,1059;-0,4749;-0,1581;-0,0082;-0,0035
"retourner";10;-0,0119;-0,1515;-0,315;1,7503;-0,0046;-0,0043;-0,1631;0,3034;0,6438;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;-0,0914;0,2539;-0,1425;-0,0276;-0,0178;-0,0706;0,286;0,7816;-0,0055;-0,0023
"tester";10;-0,0119;-0,1515;-0,315;1,7503;-0,0046;-0,0043;-0,1631;1,6076;-0,1119;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;0,7219;0,2539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;0,2711;-0,0055;-0,0023
"menace";13;1,4562;1,1468;-0,4096;1,3343;-0,006;-0,0055;-0,2121;-0,3883;-0,1455;-1,2048;-0,1891;-0,0055;-0,0728;-0,0023;-0,1188;-0,4601;-0,1853;-0,0358;-0,0231;-0,0918;0,6361;1,182;-0,0071;-0,003
"apparence";11;-0,0131;-0,1667;-0,3465;0,462;-0,0051;-0,0047;0,4705;-0,3285;-0,1231;-0,2475;-0,16;-0,0047;-0,0616;-0,002;1,6777;-0,3893;-0,1568;-0,0303;-0,0195;-0,0777;-0,3482;1,3732;-0,006;-0,0025
"façon";10;-0,0119;0,5308;-0,315;1,0536;1,9762;-0,0043;-0,1631;-0,2987;-0,1119;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;-0,0914;1,4223;-0,1425;-0,0276;-0,0178;-0,0706;0,8162;-0,3332;-0,0055;-0,0023
"envoyer";16;-0,019;-0,2425;-0,5041;0,5944;-0,0074;-0,0068;0,3451;0,5404;-0,179;-1,0117;1,8396;-0,0068;-0,0897;-0,0028;-0,1462;0,4441;0,3887;-0,0441;-0,0284;0,6401;-0,5065;-0,1759;-0,0088;-0,0037
"nommer";10;-0,0119;-0,1515;0,2875;0,5189;-0,0046;-0,0043;-0,1631;1,6076;-0,1119;-1,5577;0,5457;-0,0043;-0,056;-0,0018;0,7219;0,2539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;0,2711;-0,0055;-0,0023
"seul";28;-0,0333;0,205;-0,8824;0,7247;-0,0129;-0,0119;-0,1404;0,249;-0,3134;-1,3382;0,6287;-0,0119;-0,1569;-0,005;0,9403;-0,4624;1,219;-0,0772;-0,0498;0,4368;0,5028;0,4658;-0,0154;-0,0065
