"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_CanalFamily";"*chaine_D17";"*chaine_Direct8";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_FranceO";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX";"*chaine_W9"
"gilet";0;0;21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciel";0;0;0;2;0;0;2;3;0;1;2;0;1;0;0;0;0;0;0;1;17;1;0;0
"finir";0;0;0;1;0;0;1;3;1;61;1;0;0;0;0;0;0;1;0;0;0;4;0;0
"echoué";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cas";0;7;1;3;0;0;0;5;0;0;1;0;0;0;0;9;0;0;0;1;2;1;0;0
"discussion";0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
"cours";0;1;0;6;0;0;0;5;0;1;2;0;0;0;0;0;0;0;0;0;3;3;0;1
"michel";0;0;0;1;0;0;0;4;0;0;5;0;0;0;0;4;0;0;0;0;0;4;0;0
"cafard";0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"découvrir";0;1;0;16;0;0;1;4;7;1;7;0;0;1;6;0;0;3;1;1;11;13;0;0
"forme";0;0;1;7;0;0;1;6;1;1;1;0;2;0;2;0;0;0;0;1;14;0;0;0
"valérie";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;10;0;0
"nom";0;1;0;0;0;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;4;2;0;0
"emmener";0;0;0;0;0;0;0;0;2;0;1;0;0;0;4;0;0;0;0;0;1;2;0;0
"ex";0;0;11;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"album";0;6;0;0;0;0;0;1;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
"marine";0;2;0;3;0;0;0;0;0;0;0;0;0;0;2;3;0;2;0;0;2;0;0;0
"message";0;0;0;8;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;1;2;3;0;0
"incroyable";0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;1;0;0;0;1;12;1;0;0
"premier";0;5;4;7;0;0;5;6;5;0;7;0;2;0;3;8;1;1;0;0;7;6;0;0
"ligne";0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0
"étrange";0;0;0;7;0;0;0;6;4;2;0;0;0;0;1;0;0;1;0;2;28;8;0;0
"disparaître";0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;1;9;0;0
"secrétaire";0;0;27;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"joli";0;0;0;15;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sport";0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0
"vrai";0;0;0;1;0;0;4;3;2;0;0;0;0;0;2;1;0;0;0;0;2;1;0;0
"près_de";0;1;0;1;0;0;1;0;6;0;3;0;0;0;1;2;0;0;0;1;0;1;0;0
"tropical";0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"maïa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0
"prétexte";0;0;0;0;1;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"explication";0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;2;4;0;0
"soir";0;2;0;1;0;0;9;1;1;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0
"media";0;3;2;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"fruit";0;0;0;0;0;0;2;3;0;0;1;0;0;0;0;0;0;0;0;2;0;3;0;0
"glacier";0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"européen";0;5;11;0;0;0;1;1;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0
"ami";0;0;0;6;0;0;1;4;9;2;6;0;4;0;4;0;1;0;0;0;0;2;0;0
"héros";0;1;0;2;0;0;0;4;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0
"vilain";0;0;0;1;0;0;0;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"vendre";0;0;0;0;0;0;0;1;2;6;0;0;1;0;0;1;0;0;0;0;0;3;0;0
"intervention";0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;4;0;0;0
"loi";0;0;4;3;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0
"chambre";0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;5;0;0
"giorgio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
"aile";0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"médecin";0;0;11;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0
"iran";0;17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"aimer";0;0;0;2;0;0;0;6;1;0;1;0;3;0;0;1;0;1;0;0;0;1;0;0
"vidéo";0;0;2;1;0;0;2;2;0;1;1;0;1;0;0;9;1;0;0;0;1;1;0;0
"réalité";0;0;0;7;0;0;4;5;3;3;0;0;3;0;1;0;0;1;0;0;4;4;0;0
"visage";0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;1;0;1;0;0;3;2;0;0
"posséder";0;2;0;0;0;0;0;2;0;23;0;0;0;0;2;0;0;0;0;5;2;0;0;0
"suivant";0;0;0;4;0;0;0;4;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0
"fr";0;0;3;1;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0
"invasion";0;0;0;7;0;0;0;1;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0
"documentaire";0;0;0;3;0;0;5;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"base";0;0;0;2;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;3;2;4;0;0
"diffuser";0;1;0;0;0;0;9;6;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0
"tf1";0;0;3;1;0;0;27;0;0;0;5;0;0;0;0;2;0;0;0;0;0;8;0;0
"téléspectateur";0;1;1;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"véritable";1;1;0;4;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;4;4;0;0
"charlotte";0;0;0;8;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"jour";0;0;1;6;0;0;8;3;3;0;1;0;2;0;1;4;0;2;1;0;3;0;0;0
"justice";0;0;7;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"international";0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;1;1;0
"événement";0;0;0;6;0;0;0;0;0;2;2;0;0;0;0;1;0;1;0;0;3;0;0;1
"voler";0;0;0;2;0;0;0;0;3;81;0;0;2;0;0;1;0;0;0;0;0;0;0;0
"culture";0;0;0;7;0;0;0;7;1;1;0;0;0;0;0;3;0;0;2;2;8;0;0;0
"portrait";0;2;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"effet";1;1;0;2;0;0;0;0;0;1;1;0;3;0;1;2;0;0;0;0;1;1;0;0
"sophia";0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"créature";0;0;0;3;0;0;0;1;0;0;0;0;3;0;1;0;0;1;0;4;20;1;0;0
"planète";1;0;0;35;0;0;0;2;5;83;3;0;8;0;3;2;7;1;0;3;4;2;0;0
"docteur";0;0;0;2;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"grand";0;4;4;12;0;0;5;5;7;2;6;0;4;0;2;10;0;0;0;1;11;8;0;0
"coup";0;0;0;1;0;0;2;0;1;0;0;0;0;0;3;0;0;2;0;0;0;2;0;0
"pierre";0;0;0;6;0;0;3;1;0;0;6;0;0;0;0;2;0;0;0;0;1;3;0;0
"jouer";0;1;0;2;0;0;0;2;0;0;1;0;0;0;2;1;1;0;0;0;0;4;0;0
"hapsatou";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pauline";0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cryogénisé";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0
"rester";0;1;0;4;0;0;4;0;1;1;1;0;0;0;3;0;0;1;0;0;10;6;0;0
"visite";0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;3;7;2;0;0
"structure";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
"utiliser";2;1;0;2;0;0;0;5;2;1;0;0;0;0;0;2;0;0;0;1;5;0;0;0
"rencontre";0;0;0;3;0;0;0;4;0;0;3;0;0;0;0;4;0;1;0;3;5;4;0;0
"supervilains";0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"suite";0;1;9;0;1;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0
"scientologie";0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"apprendre";0;0;0;0;0;0;1;2;0;1;1;0;1;0;0;0;0;0;0;1;0;4;0;0
"michael";0;0;0;6;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
"élection";0;7;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
"jump";0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gens";0;0;11;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
"danger";0;0;0;6;0;0;0;0;0;81;0;0;0;0;1;0;0;0;0;0;0;6;0;0
"français";0;9;12;4;0;0;1;5;0;0;6;0;0;0;2;12;0;0;0;0;0;1;0;0
"gitan";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"volant";0;0;0;4;1;0;0;0;4;1;4;0;2;0;4;1;0;0;0;2;4;2;0;0
"entrer";0;0;0;1;0;0;1;1;0;0;0;0;3;0;0;2;0;0;1;0;5;2;0;0
"heure";0;0;0;5;0;0;1;1;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0
"également";0;1;1;3;0;0;1;1;0;0;2;0;0;0;2;3;0;0;0;0;2;3;0;0
"rencontrer";0;0;0;7;0;0;0;3;2;1;0;0;2;0;1;0;0;0;0;0;5;4;0;0
"représentant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0
"avocat";0;1;16;0;0;0;0;3;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0
"cause";0;1;0;1;0;0;2;1;1;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0
"université";0;1;0;9;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"lancer";0;0;1;3;0;0;5;1;0;1;3;0;0;1;2;1;1;0;0;0;0;2;0;0
"ovni";0;2;1;13;0;0;2;8;6;2;9;0;0;1;4;3;0;1;0;0;16;3;0;0
"adopter";0;0;0;0;0;0;0;2;1;81;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"sy";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
"liste";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;7;0;0
"âge";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;7;3;0;0
"jaune";0;0;21;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"laurent";0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"réaliser";1;0;0;1;0;0;4;7;0;1;0;0;0;0;0;2;1;0;0;0;1;4;0;0
"courir";0;0;0;0;0;0;0;9;1;81;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"rubrique";0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0
"trouver";0;1;0;6;0;0;0;6;3;1;6;0;3;0;1;0;3;0;0;1;12;14;0;0
"mohammed";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"média";0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
"preuve";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;27;0;0;0
"macron";0;4;1;0;0;0;0;0;0;0;3;0;0;0;0;7;0;0;0;0;0;0;0;0
"luc";0;1;23;1;0;0;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0
"ukrainien";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
"police";0;0;29;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"animateur";0;0;1;0;0;0;9;1;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0
"paranormal";0;0;0;0;0;0;2;3;1;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0
"vinci";0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"carrière";0;0;0;2;0;0;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"examiner";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0
"femme";0;4;0;6;0;0;3;11;4;0;0;0;0;0;4;3;0;2;0;0;0;13;0;0
"région";0;1;0;1;0;0;1;3;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0
"persuader";0;0;0;1;0;0;0;2;2;3;0;0;1;0;7;0;1;0;0;1;0;7;0;0
"yacine";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"général";1;0;27;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0
"eau";0;0;0;0;0;0;1;2;0;52;1;0;0;0;0;0;0;0;0;0;0;2;0;0
"étude";0;0;0;5;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
"laporte";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"inconnu";0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0
"chercher";0;0;0;8;0;0;4;2;1;4;0;0;3;0;0;0;0;0;0;1;0;5;0;0
"eric";0;2;24;2;0;0;2;4;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
"pernin";0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"arrêter";0;0;0;2;0;0;3;1;1;0;2;0;1;0;1;0;0;0;0;0;0;1;0;0
"star";0;0;0;2;0;0;9;4;1;2;0;0;0;0;0;2;0;2;0;0;0;5;0;0
"fois";0;3;1;3;0;0;2;2;2;55;3;0;0;0;3;1;1;0;0;0;2;2;0;0
"parole";0;1;15;0;0;0;0;1;0;0;1;0;0;0;0;9;0;0;0;0;0;1;0;0
"aider";2;0;0;3;0;0;0;1;0;1;2;0;3;0;1;2;0;0;0;0;0;0;0;0
"siècle";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;1;0;0
"voix";0;2;0;0;1;0;0;0;1;0;1;0;0;0;2;5;0;0;0;0;0;3;0;0
"réputation";0;0;0;17;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"voir";1;7;1;8;0;0;3;5;3;1;0;0;5;1;4;2;1;1;4;1;2;7;0;0
"légende";0;1;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;3;4;5;0;0
"histoire";0;4;0;3;2;0;0;6;3;0;4;0;0;0;2;5;2;0;0;4;16;2;0;0
"new";0;0;0;3;0;0;4;1;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0
"propre";0;0;0;0;0;0;0;3;2;81;2;0;0;0;0;0;0;1;0;1;2;2;0;0
"omar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
"arme";0;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0
"dettinger";0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"quotidien";0;5;2;4;0;0;0;9;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0
"géant";0;0;0;2;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;9;3;0;0
"suggérer";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0
"famille";0;1;0;8;0;0;2;13;1;3;1;0;0;0;1;0;0;0;0;0;0;7;0;0
"vivre";0;0;0;4;0;0;2;18;0;0;1;0;0;0;1;2;1;2;0;1;4;6;0;0
"comportement";0;0;14;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"aide";0;0;0;5;0;0;1;2;1;1;0;0;1;0;3;0;0;1;0;1;0;1;0;0
"créer";1;2;0;6;0;0;1;4;0;0;1;0;5;0;2;1;0;1;0;0;0;0;0;0
"acteur";0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;26;0;0;0;0;0;7;0;0
"surprise";0;0;1;1;0;0;0;1;1;2;0;0;0;0;1;1;0;0;0;0;0;2;0;0
"sauver";0;0;0;7;0;0;0;1;2;105;1;2;2;0;3;0;1;0;0;0;0;1;0;0
"entraîner";0;0;0;2;0;0;1;0;0;81;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"attaque";0;0;0;11;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;7;1;0
"école";0;0;0;7;0;0;0;4;1;1;1;0;0;0;1;1;0;1;0;0;0;8;0;0
"chroniqueur";0;18;9;21;0;0;0;26;0;0;2;0;0;0;0;48;0;0;0;0;0;0;0;0
"syndicat";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"avion";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;5;0;0
"terrestre";0;0;0;4;0;0;0;1;1;0;0;0;0;0;2;1;0;0;0;0;0;6;0;0
"don";0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;2;0;2;0;0
"doo";0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"christopher";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0
"traverser";0;0;0;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"julien";0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0
"cabrol";0;11;0;0;0;0;0;0;0;0;1;0;0;0;0;11;0;0;0;0;0;0;0;0
"sorte";0;0;0;3;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;4;0;0
"confronter";0;0;0;1;0;0;0;1;3;0;1;0;0;0;1;1;0;0;0;0;0;2;0;0
"scientifique";0;0;0;6;0;0;4;3;1;7;2;0;0;0;0;1;0;0;2;3;8;1;0;0
"mathieu";0;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amour";0;0;0;1;0;0;3;3;2;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0
"théoricien";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;0;0;0
"livre";0;5;1;8;0;0;2;5;1;0;1;0;0;0;0;8;0;0;0;0;3;0;0;0
"vieux";0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;2;0;8;0;0
"kid";0;0;0;0;0;0;0;1;1;0;0;0;0;0;8;0;0;0;0;0;0;3;0;0
"neptuna";0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
"nicolas";0;0;0;1;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
"royal";0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;5;0;0
"musique";0;2;0;3;0;0;3;0;1;0;1;0;2;0;0;1;0;0;0;0;0;1;0;0
"revel";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"super";0;0;0;3;0;0;0;1;0;110;4;0;0;0;0;0;0;0;0;0;0;1;0;0
"magazine";0;0;1;1;0;0;2;6;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0
"maître";0;6;0;0;0;0;0;3;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"lieu";1;0;0;2;1;0;0;1;1;0;0;0;3;0;1;0;0;0;0;1;1;5;0;0
"batman";0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mystérieux";0;0;0;3;0;0;0;1;2;1;0;0;0;0;0;1;1;0;0;3;11;6;0;0
"petit";0;0;0;15;0;0;2;14;10;160;17;0;1;0;4;10;0;0;0;0;0;16;0;0
"décider";1;0;0;8;0;0;0;3;1;1;2;0;2;1;4;1;3;0;0;0;0;8;0;0
"corbière";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dieu";0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;10;2;0;0
"chrono";0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"mazaurette";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0
"laure";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0
"ville";0;1;0;10;0;0;1;2;4;3;1;0;1;0;1;1;1;0;0;1;2;1;0;0
"etats";0;1;0;3;0;0;0;2;0;0;0;0;3;0;0;2;0;0;0;1;2;0;0;0
"accompagner";0;1;0;2;0;0;0;3;2;0;1;0;0;0;1;0;0;0;0;0;0;5;0;0
"voiture";0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;7;0;0
"boy";0;0;0;0;0;0;0;0;0;55;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"père";0;0;0;3;0;0;2;4;2;0;2;0;0;0;0;0;3;0;0;0;0;17;0;0
"margot";0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"univers";0;3;0;0;0;0;1;1;2;82;2;0;0;0;1;0;0;0;0;0;6;0;0;0
"france";0;14;15;4;0;0;31;9;3;0;10;0;1;0;1;17;0;0;0;0;0;2;0;0
"équipe";1;0;1;5;0;0;0;1;2;0;1;0;1;0;1;9;3;0;0;0;1;2;0;0
"militaire";2;1;0;6;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;10;1;0
"agent";0;0;0;1;0;0;3;1;0;0;0;0;0;0;4;0;3;0;0;0;0;1;0;0
"spécialiste";0;13;0;2;0;0;0;5;0;0;1;0;0;0;1;15;0;1;0;2;0;0;0;0
"main";0;1;0;1;0;0;0;1;4;0;0;0;0;0;0;1;0;1;0;0;0;4;0;0
"nouveau";1;4;2;15;0;0;4;7;4;5;5;0;5;0;5;11;42;1;0;1;11;5;2;0
"ancien";0;1;35;0;1;0;6;6;0;23;3;0;2;0;1;6;0;0;4;10;63;2;0;0
"agir";0;0;0;2;0;0;2;0;0;3;3;0;0;0;4;2;0;1;0;2;4;7;0;1
"homme";0;1;2;22;0;0;6;5;2;0;9;0;0;1;5;4;0;0;0;7;17;17;1;0
"ministre";0;3;7;0;0;0;0;2;0;0;2;0;0;0;0;12;0;0;0;0;2;0;0;0
"chanson";0;0;0;0;0;0;6;5;3;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0
"spectacle";0;1;0;0;0;0;2;5;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0
"trace";0;4;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0
"extraire";0;0;6;11;0;0;28;2;0;0;13;0;0;0;4;52;0;0;0;0;0;32;0;0
"fille";0;1;0;3;0;0;3;16;2;161;3;0;0;0;0;1;3;2;0;0;0;8;0;0
"show";0;0;0;14;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"aventure";0;0;0;0;0;0;0;3;0;162;4;0;0;0;3;0;0;0;0;0;0;4;0;0
"étranger";0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;4;0;0;0;0;0;3;0;0
"débarquer";0;0;0;3;0;0;1;1;7;1;0;0;0;0;1;1;0;0;0;0;0;3;0;0
"parent";0;0;0;5;0;0;3;17;2;81;2;0;0;0;1;1;0;0;0;0;0;1;0;0
"jt";0;0;7;0;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
"lopez";0;0;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"rugby";0;0;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tour";0;2;0;1;0;0;0;1;1;1;0;0;0;0;2;1;0;0;0;0;2;4;0;0
"capable";0;0;0;1;0;0;0;0;1;2;0;0;0;0;2;0;0;1;0;0;5;0;0;0
"côté";2;4;1;11;0;0;0;3;4;82;1;0;1;0;1;0;1;0;0;0;2;5;0;0
"ex_membre";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dessin";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0
"mars";0;0;1;4;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;1;0;2;0;0
"entourer";0;0;1;0;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"starfire";0;0;0;0;0;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"new_yorkais";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0
"mot";0;1;0;1;0;0;0;1;1;0;5;0;0;0;2;0;0;0;0;0;1;2;0;0
"luthor";0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"christine";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"journée";0;0;0;0;0;4;1;4;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
"titan";0;0;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gorg";0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"venir";0;1;0;21;0;0;2;5;9;5;2;0;5;0;3;7;0;3;4;3;6;13;0;0
"fils";1;0;0;4;0;0;4;0;0;0;9;0;0;0;2;1;3;0;0;0;0;8;0;0
"citation";0;5;26;1;0;0;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
