"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_CanalFamily";"*chaine_D17";"*chaine_Direct8";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_FranceO";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX";"*chaine_W9"
"extraterrestre";2;1;1;77;1;0;2;11;32;205;3;2;15;0;20;8;32;8;10;42;107;19;2;0
"internet";0;2;0;3;0;0;4;2;0;0;2;0;1;0;2;3;0;1;0;0;1;6;0;0
"city";0;0;0;1;0;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"plein";0;0;0;5;0;0;0;4;2;81;1;0;1;0;0;1;0;2;0;0;0;4;0;0
"tendance";0;0;0;3;0;0;0;4;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0
"sophie";0;0;0;1;0;0;0;10;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"aller";0;3;1;13;0;0;6;11;3;4;3;2;7;0;4;8;2;1;2;0;0;9;0;0
"perdre";1;0;0;3;0;0;0;4;2;0;1;0;1;0;3;0;0;0;0;0;0;4;0;0
"affirmer";0;0;0;1;0;0;1;2;1;0;1;0;0;0;1;1;0;1;4;4;4;2;0;0
"semaine";0;6;1;0;0;0;3;7;1;0;4;0;0;0;2;1;0;1;2;0;0;0;0;0
"comédien";0;0;0;0;0;0;2;4;0;0;1;0;0;0;0;6;0;0;0;0;0;7;0;0
"différent";0;0;1;0;1;0;0;4;1;0;3;0;0;0;0;1;0;0;0;2;1;1;0;0
"extra_terrestre";3;4;0;9;0;0;0;1;1;8;3;0;3;0;3;0;0;0;0;0;0;7;0;0
"inattendu";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"monde";0;4;2;16;0;0;4;9;4;106;11;0;7;0;4;3;0;3;0;7;33;12;0;0
"roger";0;0;0;0;0;0;0;1;0;79;0;0;0;0;0;0;3;0;0;0;0;17;0;0
"visiteur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;0;0
"naulleau";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
"désert";0;0;0;5;0;0;0;3;2;0;2;0;1;0;1;0;0;0;0;0;14;0;0;0
"humoriste";0;0;0;1;0;0;1;5;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0
"seulement";0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0
"former";0;0;0;0;0;0;1;1;0;26;0;0;0;0;0;1;0;0;0;0;0;1;2;0
