"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"devenir";-0,0548;-0,6976;-0,8002;0,4035;-0,0212;-0,0196;2,1827;3,1349;-0,515;-4,8403;0,3466;-0,0196;1,6759;-0,0082;0,2074;-0,9379;-0,6562;1,4644;-0,0818;-0,325;-0,4394;2,7853;-0,0253;-0,0106
"accidentellement";-0,0309;-0,3941;-0,8193;-0,6915;-0,012;-0,0111;-0,4242;-0,7768;0,3113;-4,0515;-0,3784;-0,0111;-0,1457;-0,0046;-0,2376;-0,9204;33,447;-0,0717;-0,0462;-0,1836;-0,8233;-0,8665;-0,0143;-0,006
"maloney";-0,0167;-0,2122;-0,4411;13,4338;-0,0065;-0,006;-0,2284;-0,4182;-0,1566;-2,1809;-0,2037;-0,006;-0,0784;-0,0025;-0,1279;-0,4955;-0,1996;-0,0386;-0,0249;-0,0988;-0,4432;-0,4665;-0,0077;-0,0032
"évolution";-0,0143;-0,1819;-0,378;-0,6074;1,8975;-0,0051;-0,1957;0,2504;6,6695;-1,8693;-0,1746;-0,0051;-0,0672;-0,0021;-0,1097;-0,4247;-0,1711;-0,0331;2,9748;-0,0847;0,6892;-0,3998;-0,0066;-0,0028
"substance";-0,0131;-0,1667;-0,3465;-0,5568;-0,0051;-0,0047;-0,1794;0,2752;-0,1231;-1,7135;-0,16;-0,0047;-0,0616;-0,002;-0,1005;-0,3893;0,5185;-0,0303;-0,0195;-0,0777;8,7029;-0,3665;-0,006;-0,0025
"karim";-0,0167;-0,2122;13,9185;-0,7087;-0,0065;-0,006;-0,2284;-0,4182;-0,1566;-2,1809;0,4267;-0,006;-0,0784;-0,0025;-0,1279;-0,4955;-0,1996;-0,0386;-0,0249;-0,0988;-0,4432;-0,4665;-0,0077;-0,0032
"vigi";-0,0167;-0,2122;16,1939;-0,7087;-0,0065;-0,006;-0,2284;-0,4182;-0,1566;-2,1809;-0,2037;-0,006;-0,0784;-0,0025;-0,1279;-0,4955;-0,1996;-0,0386;-0,0249;-0,0988;-0,4432;-0,4665;-0,0077;-0,0032
"rythmé";-0,0977;-0,651;-2,5872;-4,1571;-0,0379;-0,035;-1,3396;-2,4528;-0,9188;40,569;-1,1947;-0,035;-0,4601;-0,0146;-0,7504;-2,9064;-1,1707;-0,2264;-0,1459;-0,5798;-2,5997;-2,7362;-0,0452;-0,0189
"unir";-0,0393;0,5041;-1,0401;-0,3001;-0,0152;-0,0141;-0,5385;-0,2056;-0,3694;-3,9596;-0,4803;-0,0141;4,2277;-0,0059;0,3004;-0,2866;-0,4706;-0,091;-0,0587;0,3816;9,9115;-1,1;-0,0182;-0,0076
"sortir";-0,0321;2,6954;-0,8509;0,4618;-0,0125;-0,0115;-0,4406;0,2647;1,5167;-2,3145;0,652;-0,0115;-0,1513;-0,0048;0,363;-0,9559;-0,385;-0,0745;-0,048;-0,1907;-0,3716;2,55;-0,0149;-0,0062
"commentaire";-0,025;1,4722;1,2603;1,1365;-0,0097;-0,0089;-0,3426;-0,6273;-0,235;-3,272;-0,3056;-0,0089;-0,1177;-0,0037;-0,1919;4,8755;-0,2994;-0,0579;-0,0373;-0,1483;-0,6649;-0,6998;-0,0116;-0,0048
"machine";-0,0119;-0,1515;-0,315;-0,1566;-0,0046;-0,0043;-0,1631;-0,2987;-0,1119;-1,5577;-0,1455;-0,0043;2,1622;-0,0018;3,0156;-0,3539;-0,1425;-0,0276;-0,0178;0,8238;0,286;0,7816;-0,0055;-0,0023
"zorbb";-0,0131;-0,1667;-0,3465;-0,5568;-0,0051;-0,0047;-0,1794;-0,3285;17,5792;-1,7135;-0,16;-0,0047;-0,0616;-0,002;-0,1005;-0,3893;-0,1568;-0,0303;-0,0195;-0,0777;-0,3482;-0,3665;-0,006;-0,0025
"réalisateur";-0,0119;0,5308;-0,315;1,0536;-0,0046;-0,0043;0,5043;0,3034;-0,1119;-1,5577;0,5457;-0,0043;-0,056;-0,0018;-0,0914;-0,3539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;1,4875;-0,0055;-0,0023
"sentir";-0,0226;-0,288;-0,213;0,4574;-0,0088;-0,0081;-0,31;5,9068;-0,2126;-2,9602;0,3271;-0,0081;-0,1065;-0,0034;-0,1736;-0,6725;-0,2709;2,1982;-0,0338;-0,1342;-0,6016;0,7923;-0,0105;-0,0044
"peur";1,4904;-0,1819;0,6923;1,4555;-0,0055;-0,0051;-0,1957;0,2504;0,5752;-1,8693;-0,1746;-0,0051;-0,0672;-0,0021;-0,1097;-0,4247;-0,1711;-0,0331;-0,0213;-0,0847;0,2343;0,6565;-0,0066;-0,0028
"député";-0,0381;-0,1552;24,3333;-1,6205;-0,0148;-0,0136;-0,5222;-0,4402;-0,3582;-4,9872;-0,1453;-0,0136;-0,1794;-0,0057;-0,2925;0,3349;-0,4564;-0,0883;-0,0569;-0,226;-1,0134;-1,0667;-0,0176;-0,0074
"espèce";1,5684;-0,1515;-0,315;0,5189;-0,0046;-0,0043;-0,1631;-0,2987;-0,1119;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;0,7219;0,2539;-0,1425;-0,0276;-0,0178;1,9702;0,286;0,7816;-0,0055;-0,0023
"affaire";-0,0297;2,01;4,542;-0,3271;-0,0115;-0,0106;-0,4079;0,2994;-0,2798;-2,8238;-0,3638;-0,0106;-0,1401;-0,0044;1,0233;0,227;-0,3565;-0,0689;-0,0444;-0,1766;-0,7916;0,553;-0,0138;-0,0058
"chronique";-0,0405;1,5506;-1,0716;-1,7219;-0,0157;-0,0145;1,4513;17,562;-0,3806;-5,2991;-0,1605;-0,0145;-0,1906;-0,006;-0,3108;-1,2039;-0,4849;-0,0938;-0,0604;-0,2402;-1,0768;0,3336;-0,0187;-0,0078
"vigier";-0,0167;-0,2122;16,1939;-0,7087;-0,0065;-0,006;-0,2284;-0,4182;-0,1566;-2,1809;-0,2037;-0,006;-0,0784;-0,0025;-0,1279;-0,4955;-0,1996;-0,0386;-0,0249;-0,0988;-0,4432;-0,4665;-0,0077;-0,0032
"ambre";-0,0619;-0,7887;-1,6396;-0,791;-0,024;-0,0222;-0,8489;-1,5544;-0,5823;-6,7372;-0,7572;-0,0222;-0,2916;-0,0092;-0,4755;48,0553;-0,7419;-0,1435;-0,0925;-0,3674;-1,6475;-1,7341;-0,0286;-0,012
"rick";-0,0155;-0,197;-0,4096;-0,6581;-0,006;-0,0055;-0,2121;-0,3883;-0,1455;6,7756;-0,1891;-0,0055;-0,0728;-0,0023;-0,1188;-0,4601;-0,1853;-0,0358;-0,0231;-0,0918;-0,4115;-0,4332;-0,0071;-0,003
"guerre";-0,019;-0,2425;-0,5041;2,275;-0,0074;-0,0068;-0,261;-0,1476;-0,179;-1,5946;-0,2328;-0,0068;-0,0897;-0,0028;-0,1462;0,9039;-0,2281;-0,0441;-0,0284;-0,113;-0,5065;0,4775;5,9933;-0,0037
"souvenir";3,0643;-0,2425;-0,5041;0,2687;-0,0074;-0,0068;-0,261;-0,1476;0,4713;-1,0117;0,382;-0,0068;-0,0897;-0,0028;-0,1462;-0,5663;-0,2281;-0,0441;-0,0284;-0,113;-0,5065;4,1274;-0,0088;-0,0037
"demander";1,2525;-0,3183;-0,6617;0,3859;-0,0097;-0,0089;0,7441;-0,6273;1,0057;-1,5798;0,2965;-0,0089;1,5333;-0,0037;-0,1919;-0,2987;-0,2994;-0,0579;-0,0373;-0,1483;-0,2518;2,4794;-0,0116;-0,0048
"parler";-0,0333;-0,4245;0,5064;-0,768;-0,0129;-0,0119;2,4864;6,0939;0,289;-4,3634;-0,4075;-0,0119;-0,1569;-0,005;0,3514;-0,2054;-0,3993;0,7881;-0,0498;-0,1978;-0,8867;0,4658;-0,0154;-0,0065
"fry";-0,0631;-0,8039;-1,6712;-1,8064;-0,0245;-0,0226;-0,8653;-1,5844;-0,5935;-8,2643;-0,7717;-0,0226;-0,2972;-0,0094;-0,4847;-1,8774;76,542;-0,1462;-0,0942;-0,3745;-1,6793;-1,7674;-0,0292;-0,0122
"penser";-0,0357;-0,4548;-0,9455;-1,5192;-0,0138;-0,0128;1,0125;0,8691;0,2689;-3,5303;1,1256;3,4052;0,4934;-0,0053;1,6197;-1,0621;0,203;-0,0827;-0,0533;1,0761;0,8055;1,1775;-0,0165;-0,0069
"suivre";-0,0238;0,8273;-0,2313;-0,4717;-0,0092;-0,0085;0,7774;1,3979;0,395;-3,1161;0,8553;-0,0085;-0,1121;-0,0035;0,464;0,3268;-0,2852;-0,0551;-0,0355;-0,1412;0,3817;0,356;-0,011;-0,0046
"superhéros";-0,0679;-0,8646;-1,7974;-1,9817;-0,0263;-0,0243;-0,9307;-1,7041;-0,6383;25,8134;-0,8301;-0,0243;-0,3197;-0,0101;-0,176;-2,0192;-0,8133;-0,1573;-0,1014;-0,4028;-1,8061;-1,901;-0,0314;-0,0132
"évoquer";-0,0559;2,986;0,9668;-1,0118;-0,0217;-0,02;16,1787;-1,4048;-0,5262;-7,3276;-0,2687;-0,02;-0,2635;-0,0083;-0,4298;0,295;-0,6705;-0,1297;-0,0836;0,7562;0,6325;-1,5671;-0,0259;-0,0108
"emploi";-0,0131;13,6438;0,2598;-0,5568;-0,0051;-0,0047;-0,1794;-0,3285;-0,1231;-1,7135;-0,16;-0,0047;-0,0616;-0,002;-0,1005;-0,3893;-0,1568;-0,0303;-0,0195;-0,0777;-0,3482;-0,3665;-0,006;-0,0025
"tête";-0,1466;-0,6942;-2,8712;-2,2749;-0,0569;-0,0525;-2,0111;-2,6911;-0,7534;35,3043;-0,6477;-0,0525;-0,275;-0,0219;-0,5668;-2,5431;-1,7575;-0,3399;-0,219;-0,8704;-3,9029;-1,7763;-0,0678;-0,0284
"empêcher";-0,0131;-0,1667;-0,3465;0,462;-0,0051;-0,0047;0,4705;-0,3285;0,6077;-1,7135;1,3104;-0,0047;-0,0616;-0,002;-0,1005;0,2277;-0,1568;-0,0303;-0,0195;-0,0777;0,2585;1,3732;-0,006;-0,0025
"marcher";-0,0143;0,4658;-0,378;-0,6074;-0,0055;-0,0051;1,1542;1,3875;0,5752;-1,8693;2,2028;-0,0051;-0,0672;-0,0021;-0,1097;-0,4247;-0,1711;1,1346;-0,0213;-0,0847;0,2343;-0,3998;-0,0066;-0,0028
"possible";-0,0238;-0,3031;-0,6302;-1,0126;-0,0092;-0,0085;-0,3263;0,4119;0,395;-3,1161;-0,291;-0,0085;-0,1121;-0,0035;-0,1828;-0,2767;-0,2852;-0,0551;-0,0355;0,5566;7,7306;1,2562;-0,011;-0,0046
"hassaine";-0,0131;-0,1667;-0,3465;-0,5568;-0,0051;-0,0047;-0,1794;-0,3285;-0,1231;-1,7135;-0,16;-0,0047;-0,0616;-0,002;-0,1005;12,1837;-0,1568;-0,0303;-0,0195;-0,0777;-0,3482;-0,3665;-0,006;-0,0025
"théorie";-0,019;-0,2425;-0,5041;-0,81;1,7734;-0,0068;-0,261;-0,4779;-0,179;-2,4926;-0,2328;-0,0068;-0,0897;-0,0028;-0,1462;-0,5663;-0,2281;-0,0441;10,512;2,7007;3,2862;-0,5331;-0,0088;-0,0037
"fou";-0,0226;-0,288;-0,5987;-0,9619;-0,0088;-0,0081;-0,31;0,8917;0,4122;-2,9602;0,8919;-0,0081;-0,1065;-0,0034;0,4821;-0,6725;-0,2709;-0,0524;-0,0338;-0,1342;-0,2146;7,8247;-0,0105;-0,0044
"expérience";-0,0143;0,4658;-0,378;-0,6074;-0,0055;-0,0051;0,4403;0,727;-0,1343;-1,0784;-0,1746;-0,0051;-0,0672;-0,0021;-0,1097;-0,4247;0,4873;2,599;-0,0213;0,7515;1,3258;-0,3998;-0,0066;-0,0028
