"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"devenir";0;0;0,58;2,23;0;0;6,64;6,14;0;0,27;2,48;0;9,55;0;1,96;0,52;0;12,9;0;0;1,16;5,53;0;0
"accidentellement";0;0;0;0,37;0;0;0;0;1,61;0;0;0;0;0;0;0;30,34;0;0;0;0;0;0;0
"maloney";0;0;0;5,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"évolution";0;0;0;0;38,46;0;0;0,61;9,63;0;0;0;0;0;0;0;0;0;20;0;1,16;0;0;0
"substance";0;0;0;0;0;0;0;0,61;0;0;0;0;0;0;0;0;1,26;0;0;0;5,23;0;0;0
"karim";0;0;7,58;0;0;0;0;0;0;0;1,24;0;0;0;0;0;0;0;0;0;0;0;0;0
"vigi";0;0;8,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rythmé";0;1,19;0;0;0;0;0;0;0;10,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"unir";0;2,38;0;1,11;0;0;0;1,23;0;0,14;0;0;15,92;0;1,96;1,04;0;0;0;2,53;9,29;0;0;0
"sortir";0;5,95;0;1,48;0;0;0;1,23;4,82;0,27;2,48;0;0;0;1,96;0;0;0;0;0;0,58;3,87;0;0
"commentaire";0;3,57;2,33;1,86;0;0;0;0;0;0;0;0;0;0;0;4,69;0;0;0;0;0;0;0;0
"machine";0;0;0;0,37;0;0;0;0;0;0;0;0;6,37;0;5,88;0;0;0;0;2,53;0,58;1,11;0;0
"zorbb";0;0;0;0;0;0;0;0;17,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"réalisateur";0;1,19;0;1,11;0;0;1,11;0,61;0;0;1,24;0;0;0;0;0;0;0;0;0;0;1,66;0;0
"sentir";0;0;0,58;1,11;0;0;0;5,53;0;0;1,24;0;0;0;0;0;0;12,9;0;0;0;1,66;0;0
"peur";14,93;0;1,17;1,48;0;0;0;0,61;1,61;0;0;0;0;0;0;0;0;0;0;0;0,58;1,11;0;0
"député";0;1,19;15,17;0;0;0;0;0,61;0;0;1,24;0;0;0;0;1,56;0;0;0;0;0;0;0;0
"espèce";14,93;0;0;0,74;0;0;0;0;0;0;0;0;0;0;1,96;0,52;0;0;0;5,06;0,58;1,11;0;0
"affaire";0;4,76;5,25;0,74;0;0;0;1,23;0;0,14;0;0;0;0;3,92;1,04;0;0;0;0;0;1,66;0;0
"chronique";0;4,76;0;0;0;0;4,43;13,51;0;0;1,24;0;0;0;0;0;0;0;0;0;0;1,66;0;0
"vigier";0;0;8,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambre";0;0;0;1,11;0;0;0;0;0;0,14;0;0;0;0;0;25,04;0;0;0;0;0;0;0;0
"rick";0;0;0;0;0;0;0;0;0;1,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"guerre";0;0;0;2,23;0;0;0;0,61;0;0,14;0;0;0;0;0;1,56;0;0;0;0;0;1,11;96,77;0
"souvenir";29,85;0;0;0,74;0;0;0;0,61;1,61;0,27;1,24;0;0;0;0;0;0;0;0;0;0;3,87;0;0
"demander";14,93;0;0;1,11;0;0;2,21;0;3,21;0,27;1,24;0;6,37;0;0;0,52;0;0;0;0;0,58;3,32;0;0
"parler";0;0;1,75;0,37;0;0;5,54;6,76;1,61;0;0;0;0;0;1,96;1,04;0;6,45;0;0;0;1,66;0;0
"fry";0;0;0;0,37;0;0;0;0;0;0;0;0;0;0;0;0;65,74;0;0;0;0;0;0;0
"penser";0;0;0;0;0;0;3,32;2,46;1,61;0,14;3,72;83,33;3,18;0;5,88;0;1,26;0;0;5,06;2,32;2,76;0;0
"suivre";0;2,38;0,58;0,37;0;0;2,21;2,46;1,61;0;2,48;0;0;0;1,96;1,04;0;0;0;0;1,16;1,11;0;0
"superhéros";0;0;0;0,37;0;0;0;0;0;7,45;0;0;0;0;1,96;0;0;0;0;0;0;0;0;0
"évoquer";0;8,33;3,5;0,74;0;0;22,15;0;0;0;1,24;0;0;0;0;2,09;0;0;0;5,06;2,9;0;0;0
"emploi";0;11,9;0,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tête";0;2,38;0,58;1,86;0;0;0;0,61;1,61;14,09;2,48;0;3,18;0;1,96;1,04;0;0;0;0;0;1,66;0;0
"empêcher";0;0;0;0,74;0;0;1,11;0;1,61;0;2,48;0;0;0;0;0,52;0;0;0;0;0,58;1,66;0;0
"marcher";0;1,19;0;0;0;0;2,21;1,84;1,61;0;3,72;0;0;0;0;0;0;6,45;0;0;0,58;0;0;0
"possible";0;0;0;0;0;0;0;1,23;1,61;0;0;0;0;0;0;0,52;0;0;0;2,53;6,39;2,21;0;0
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,74;0;0;0;0;0;0;0;0
"théorie";0;0;0;0;38,46;0;0;0;0;0;0;0;0;0;0;0;0;0;60;7,59;3,48;0;0;0
"fou";0;0;0;0;0;0;0;1,84;1,61;0;2,48;0;0;0;1,96;0;0;0;0;0;0,58;6,08;0;0
"expérience";0;1,19;0;0;0;0;1,11;1,23;0;0,14;0;0;0;0;0;0;1,26;12,9;0;2,53;1,74;0;0;0
"technologie";0;1,19;0;1,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;5,06;4,65;1,11;0;0
"observation";0;0;0;0,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,81;0;0;0
"sol";0;0;0;0;0;0;0;1,23;0;0;2,48;0;0;0;0;0;0;0;0;0;1,74;1,66;0;0
"ligue";0;0;0;5,57;0;0;0;0;0;0,41;0;0;6,37;0;5,88;0;0;0;0;0;0;0;0;0
"corps";0;0;0;0,37;0;0;0;3,07;0;0,41;2,48;0;0;0;3,92;0;0;0;20;0;0;5,53;0;0
"minute";0;2,38;0;0;0;0;1,11;0;1,61;3,52;1,24;0;0;0;3,92;0,52;0;0;0;0;0;0;0;0
"solère";0;0;8,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"égyptien";0;0;0;0;0;0;0;0,61;0;0;0;0;0;0;0;0;0;0;0;2,53;5,23;0;0;0
"sommaire";0;3,57;0,58;0,37;0;0;3,32;0,61;0;0;2,48;0;0;0;0;1,56;0;0;0;0;0;1,11;0;0
"nadia";0;21,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"daam";0;21,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"reportage";0;1,19;0;0,37;0;0;13,29;8,6;0;0;2,48;0;0;0;0;2,09;0;0;0;0;0;0;0;0
"explorer";0;0;0;0,37;0;0;0;0;0;0,14;1,24;0;0;0;0;1,04;0;0;0;0;5,23;0;0;0
