"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"90";0,386005618016192;0,301924140876906;0,894640898345731;0,239967333748684;-0,926231907446229;0,275997907204893;0,215878803642609;0,639677258875981;0,171579062119756;-0,662265148770016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,977945047017378;NA
"60";0,310635675876329;0,167095194734637;-0,638151933219815;0,5488167454069;-0,717051656283298;0,267648575564885;0,143971843312253;-0,549841725160571;0,472869124706696;-0,617822965341149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,787931697460527;NA
"2018";0,356995858644705;0,207141229078766;-0,310482069207389;-1,80081452543424;-0,376877294003811;0,186816107268543;0,108397106392849;-0,162475418527848;-0,942367121096191;-0,197220072106678;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23701380090517;NA
"1994";0,334286168763581;0,177040945653024;-0,50891741577156;0,551598186668672;1,22504327698276;0,2250139494548;0,11916940070821;-0,342561339264016;0,371290523187048;0,824598358425925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,918672495208775;NA
"1989";0,310635675876329;0,167095194734637;-0,638151933219815;0,5488167454069;-0,717051656283298;0,267648575564885;0,143971843312253;-0,549841725160571;0,472869124706696;-0,617822965341149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,787931697460527;NA
"1980";0,369291506591395;0,202036838284282;-0,280465225041219;-0,621826728121012;2,36617792475553;0,1478192568366;0,0808708967191144;-0,112264052636267;-0,248903544195739;0,947128910732115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,42408234553201;NA
"1947";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00465200";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00462500";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_1250604012";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_5914742001";0,351788837677488;0,189538891968653;-0,39469132040639;-0,0351142707261701;1,79561060086914;0,186949576079805;0,100725809659318;-0,209749051503446;-0,018660620586908;0,954233348769981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,09196444820291;NA
"*duree_00425100";0,358685179565223;0,207851639858651;-0,301251032246799;-1,8006158510584;-0,23815622734195;0,190061517058758;0,110137246380156;-0,159628084644439;-0,954117426058787;-0,126195160671172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,22556434178042;NA
"*notice_5266931001";0,34208902163598;0,198373106298625;-0,400979768965649;-1,51613858433993;-1,17934110920963;0,170901798572937;0,0991037961195121;-0,200322604273783;-0,757436791483016;-0,589178558642557;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,2479407852714;NA
"*duree_00115100";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00233300";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_376893013";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00513700";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_1299518012";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_01453800";0,38670009520469;0,216550237850647;-0,159319046764457;-1,44405860085232;2,58234369821665;0,129074991379236;0,0722813891963186;-0,053178431664945;-0,482006220757362;0,861949595355298;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,73509603686574;NA
"*audience_11";0,380461440550749;0,262855380585306;0,391513126387224;-0,778518529887057;-0,184053488103656;0,379119236949242;0,26192807126853;0,390131934307645;-0,775772048211697;-0,183404178533034;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,717106040068126;NA
"*notice_719861019";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_1068361011";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00585100";0,361725957222156;0,209130379262443;-0,284635165717738;-1,80025823718188;0,0115416926493999;0,193442943334582;0,111838244664203;-0,152216514003583;-0,962737799734158;0,0061722388249617;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,21685004433864;NA
"*audience_13";0,394154746600383;0,2911637135188;0,713927602066962;-0,807959818982936;-0,421836698037203;0,313515918443098;0,231595483369123;0,567867493146878;-0,642661966900968;-0,33553451013549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,901674580589628;NA
"*duree_00064700";-5,04138918926675;2,49736859219832;0,0449825094749619;-0,094672471197435;0,125034139969151;-0,895702903209942;0,443707124056158;0,00799203608723021;-0,0168204445485265;0,0222147979388626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,01931752204389;NA
"*chaine_TF1";0,323022894120787;0,175352090931907;-0,559438612456727;0,201002697906721;-0,213995198616285;0,441933660034245;0,239902473634635;-0,765378423843336;0,274995548549134;-0,292770831651602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,571929244787626;NA
"*notice_2127313001";0,326532458793116;0,188165393132656;-0,499247190624895;-1,09787215306514;-1,83839605597389;0,146377069778708;0,0843502633162959;-0,223801153272867;-0,492151099928275;-0,824111112141193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,32744280077628;NA
"*audiencefemme_199";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00470600";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_4780571001";0,301714011994459;0,15527008338881;-0,716108676512883;1,47297888230447;-0,0877257176814322;0,180137740784547;0,0927036893255128;-0,427551237314134;0,87943906326282;-0,0523764623570959;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,12717433834242;NA
"*chaine_TFX";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*partdemarche_176";0,333345365757453;0,197195478160378;-0,439716586655644;-1,80359596669601;-2,31897222726986;0,11127630202326;0,065827174574737;-0,146784808572778;-0,602070735442678;-0,77411201850333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,77559697850374;NA
"*notice_6030813001";0,334286168763581;0,177040945653024;-0,50891741577156;0,551598186668672;1,22504327698276;0,2250139494548;0,11916940070821;-0,342561339264016;0,371290523187048;0,824598358425925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,918672495208775;NA
"*duree_00470900";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_7393928001";0,351788837677488;0,189538891968653;-0,39469132040639;-0,0351142707261701;1,79561060086914;0,186949576079805;0,100725809659318;-0,209749051503446;-0,018660620586908;0,954233348769981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,09196444820291;NA
"*duree_01030900";0,368821105088331;0,212114104537959;-0,245864810483261;-1,79942380480335;0,594170172629216;0,188398898185393;0,108350804856902;-0,125591130113102;-0,919170452873969;0,303510304355169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,25634334503491;NA
"*duree_02214600";0,306093737900105;0,161075138049489;-0,67783900253265;1,01929928782748;-0,396667542085984;0,229722658616078;0,12088652712574;-0,508716639692541;0,764981812210814;-0,297698093988568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,91415261449835;NA
"*duree_00351100";0,337956233737462;0,195281331612447;-0,42846027009333;-1,36147554270355;-1,29032652023511;0,172138196228554;0,0994666552207779;-0,218236477646275;-0,693468327358455;-0,657228533064097;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,21364863188403;NA
"*notice_2795302001";0,31631309834661;0,174620265591072;-0,588543096578773;-0,039286432618827;-1,11753179902994;0,240672800843326;0,132863130308177;-0,447804141564204;-0,0298918249763875;-0,850295196467949;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,83087909503211;NA
"*audiencefemme_36";0,410648375361044;0,323323527517771;1,12264031656075;-0,200378967719855;0,0212590011798516;0,327306491559915;0,257704390861341;0,894798288131908;-0,159711667796373;0,0169444456808763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,998183780279061;NA
"*audience_114";0,306093737900105;0,161075138049489;-0,67783900253265;1,01929928782748;-0,396667542085984;0,229722658616078;0,12088652712574;-0,508716639692541;0,764981812210814;-0,297698093988568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,91415261449835;NA
"*duree_00525300";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00395400";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00130000";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*partdemarche_78";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_3099269001";0,306093737900105;0,161075138049489;-0,67783900253265;1,01929928782748;-0,396667542085984;0,229722658616078;0,12088652712574;-0,508716639692541;0,764981812210814;-0,297698093988568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,91415261449835;NA
"*duree_00531300";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*audience_33";0,454474451730605;0,410347218551943;2,15512678345435;0,323560675922169;0,0628983395292503;0,200691542404623;0,181205381070469;0,951683238963114;0,142881279387722;0,0277753011786402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,77640629796417;NA
"*audience_31";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*audience_37";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_230183001";0,326908779995567;0,180103580129714;-0,526927522271262;-0,155794491719264;-0,420789854272846;0,415746513798523;0,229046878345014;-0,670120516223948;-0,198131774870577;-0,535139848364111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,584877167460082;NA
