"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"devenir";0,5818;-0,4643;-0,0303;-0,0146;-0,1928
"commenter";2,8606;-2,628;-0,0206;-0,0099;-0,131
"accidentellement";-12,8582;13,6516;-0,0315;-0,0152;-0,2005
"évolution";-0,477;0,5617;-0,0145;-0,007;-0,0925
"chine";1,0575;-1,6999;-0,0133;-0,0064;0,7513
"substance";0,9237;-0,823;-0,0121;-0,0058;-0,0771
"karim";2,3554;-2,1639;-0,0169;-0,0082;-0,1079
"unir";1,7655;-1,515;-0,0363;-0,0176;-0,2314
"sortir";0,3405;-0,4751;-0,0218;-0,0105;0,5631
"commentaire";3,1975;-2,9375;-0,023;-0,0111;-0,1465
"zorbb";-5,4332;5,7681;-0,0133;-0,0064;-0,0848
"consacrer";2,7958;-3,5567;-0,0278;-0,0135;0,4747
"sentir";3,029;-2,7828;-0,0218;-0,0105;-0,1387
"député";5,2204;-4,7959;-0,0375;-0,0181;-0,2391
"affaire";1,2259;-1,4159;-0,0351;-0,017;0,3953
"guerre";-1,2614;1,4198;-0,0145;-0,007;-0,0925
"parler";3,865;-5,6252;0,8694;-0,0305;0,634
"fry";-22,7874;24,1952;-0,0557;-0,0269;-0,355
"penser";0,3757;-0,2882;-0,0303;-0,0146;-0,1928
"suivre";0,4831;-0,415;-0,0121;-0,0058;-0,0771
"évoquer";1,8182;-6,0362;0,9869;-0,0228;3,248
"tête";-15,7112;17,0922;-0,0703;-0,034;-0,4479
"possible";1,5128;-1,3305;-0,023;-0,0111;-0,1465
"poser";-0,9818;0,6806;-0,0133;-0,0064;0,7513
"théorie";1,4729;-2,1639;1,4174;-0,0082;-0,1079
"fou";0,227;0,2109;-0,0121;-0,0058;-0,0771
"expérience";1,5128;-1,3305;-0,023;-0,0111;-0,1465
"corps";-0,5425;0,6524;-0,0206;-0,0099;-0,131
"reportage";3,2378;-5,9513;0,9105;-0,0275;1,3069
"explorer";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"convaincre";-2,999;2,3765;-0,0133;-0,0064;0,7513
"sy";4,04;-3,7116;-0,029;-0,014;-0,185
"internet";0,3676;-0,3057;-0,0145;-0,007;-0,0925
"aller";-0,2694;0,378;-0,0485;-0,0234;-0,3086
"affirmer";1,1232;-0,9499;-0,029;-0,014;-0,185
"semaine";1,9014;-1,6795;-0,0266;-0,0129;-0,1696
"différent";1,1938;-1,8546;1,4832;-0,007;-0,0925
"extra_terrestre";0,294;-0,2429;-0,0133;-0,0064;-0,0848
"monde";-3,4449;4,396;-0,1593;-0,077;-1,015
"visiteur";0,4915;-0,3827;-0,0327;-0,0158;-0,2082
"naulleau";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"fille";-32,3727;34,4192;0,5046;-0,0788;-1,0383
"désert";0,5407;-0,4374;-0,0254;-0,0123;-0,1619
"humoriste";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"apparition";2,6922;-2,4733;-0,0194;-0,0094;-0,1233
"venir";-1,3214;1,6721;-0,0667;-0,0322;-0,4247
"tomber";-1,9755;1,6876;-0,0218;-0,0105;0,5631
"laisser";0,3881;-0,5006;-0,0266;-0,0129;0,4904
"époque";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"intervenir";-9,0583;9,8;-0,0363;-0,0176;-0,2314
"origine";3,7142;-4,2114;1,0316;-0,0205;-0,27
"image";2,7531;-4,3874;2,2012;-0,0252;0,2723
"mythe";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"italie";2,3554;-2,1639;-0,0169;-0,0082;-0,1079
"édition";4,883;-4,486;-0,0351;-0,017;-0,2236
"répondre";0,6869;-1,0669;-0,0145;-0,007;0,7172
"présenter";1,8991;-6,3479;-0,0776;1,0821;4,8222
"chaîne";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"spatial";-0,6182;0,7449;-0,023;-0,0111;-0,1465
"écrivain";3,8715;-3,5567;-0,0278;-0,0135;-0,1773
"terre";0,7221;-0,757;-0,1032;0,9645;-0,2536
"richard";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"gagner";0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"espace";-1,123;1,3962;-0,0497;-0,024;-0,3164
"vie";8,9744;-8,7508;-0,1154;-0,0558;-0,3011
"mort";0,6211;-0,5246;-0,0181;-0,0088;-0,1156
"damien";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"science";1,1938;-1,8546;-0,0145;-0,007;0,7172
"information";1,7702;-1,5615;-0,0254;-0,0123;-0,1619
"débat";4,8064;-5,571;-0,0436;-0,0211;0,3257
"créature";1,4349;-1,2233;-0,0327;-0,0158;-0,2082
"visuel";4,883;-4,486;-0,0351;-0,017;-0,2236
"boucherie";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"astrophysicien";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"comprendre";-0,3437;0,4624;-0,0424;-0,0205;-0,27
"dernier";1,1593;-1,6602;-0,0436;-0,0211;0,8811
"leçon";0,5826;-0,9437;-0,0133;-0,0064;0,7513
"grandir";-8,4251;9,154;-0,0375;-0,0181;-0,2391
"plan";0,2878;-0,2317;-0,0169;-0,0082;-0,1079
"secte";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"notamment";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"incident";-34,7842;37,1736;-0,0995;-0,0481;-0,6339
"recherche";0,8259;-0,6447;-0,0472;-0,0228;-0,3009
"garçon";-0,5874;0,6806;-0,0133;-0,0064;-0,0848
"environnement";-11,065;11,8631;-0,0351;-0,017;-0,2236
"nucléaire";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"belhousse";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"témoin";2,4419;-2,1393;-0,0375;-0,0181;-0,2391
"mystère";0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"kelly";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"retrouver";-5,6871;5,5814;-0,0424;1,3364;-0,27
"victime";-0,9818;0,6806;-0,0133;-0,0064;0,7513
"technologie";1,142;-0,9989;-0,0194;-0,0094;-0,1233
"alexandre";2,6922;-2,4733;-0,0194;-0,0094;-0,1233
"frère";-0,3202;-0,2223;1,3348;-0,0099;-0,131
"millénaire";-18,6239;19,9129;-0,0545;-0,0264;-0,3473
"meilleur";0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"observation";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"tirailleur";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"décontraction";-12,8582;13,6516;-0,0315;-0,0152;-0,2005
"astronaute";5,4381;-4,9319;-0,0485;-0,0234;-0,3086
"découverte";1,6963;-1,4731;-0,0303;-0,0146;-0,1928
"millier";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"continuer";1,142;-0,9989;-0,0194;-0,0094;-0,1233
"ambre";8,0907;-7,4328;-0,0582;-0,0281;-0,3705
"laëtitia";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"animal";1,2344;-1,0631;-0,0254;-0,0123;-0,1619
"pyramide";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"robot";-10,8164;10,5219;-0,0412;-0,0199;0,3436
"temps";-0,3874;0,3142;-0,0303;-0,0146;0,4456
"façon";0,9237;-1,5453;-0,0121;-0,0058;0,789
"face";-0,9818;0,6806;-0,0133;1,8325;-0,0848
"rouge";0,9237;-1,5453;-0,0121;-0,0058;0,789
"montrer";0,7751;-0,9499;-0,029;-0,014;0,4598
"tenter";-20,8805;21,1344;-0,0715;-0,0346;-0,1415
"quitter";-5,6729;6,3427;-0,0472;-0,0228;-0,3009
"inviter";2,2304;-4,0682;-0,0412;-0,0199;1,6684
"site";2,1876;-1,9115;-0,0351;-0,017;-0,2236
"alliance";2,6922;-2,4733;-0,0194;-0,0094;-0,1233
"lune";-0,3864;0,4714;-0,0194;-0,0094;-0,1233
"seul";-0,2648;0,3345;-0,0218;-0,0105;-0,1387
"mauvais";0,3676;-0,3057;-0,0145;-0,007;-0,0925
"chef";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"appeler";0,9237;-0,823;-0,0121;-0,0058;-0,0771
"françois";1,0242;-1,799;-0,0278;-0,0135;1,214
"soucoupe";-2,2025;1,8258;-0,0181;-0,0088;0,6313
"nombre";0,4831;-0,823;-0,0121;-0,0058;0,789
"pizza";-21,2959;22,6113;-0,0521;-0,0252;-0,3318
"alexis";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"enlever";-2,5876;2,8081;-0,0121;-0,0058;-0,0771
"prendre";-12,8994;12,8461;-0,0971;-0,0469;0,385
"livreur";-21,2959;22,6113;-0,0521;-0,0252;-0,3318
"état";3,1975;-2,9375;-0,023;-0,0111;-0,1465
"grave";-22,7428;24,2299;-0,0606;-0,0293;-0,386
"déage";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"yacine";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"thierry";4,0241;-4,7959;-0,0375;-0,0181;0,3733
"carbonnier";6,7393;-6,1913;-0,0485;-0,0234;-0,3086
"jerry";-3,5923;3,8545;-0,0121;-0,0058;-0,0771
"raid";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"déclaration";3,7029;-3,4019;-0,0266;-0,0129;-0,1696
"contact";3,3659;-3,0923;-0,0242;-0,0117;-0,1542
"the";0,294;-1,6999;-0,0133;-0,0064;3,0994
"photo";2,1684;-2,6592;-0,029;-0,014;0,4598
"transformer";-0,3082;0,3682;-0,0133;-0,0064;-0,0848
"lci";3,5344;-3,2471;-0,0254;-0,0123;-0,1619
"bord";-1,833;2,0312;-0,0145;-0,007;-0,0925
"jacques";0,9133;-1,2178;-0,0218;-0,0105;0,5631
"connaître";1,9388;-2,2897;-0,0327;-0,0158;0,4192
"peupler";-11,107;11,8569;-0,0315;-0,0152;-0,2005
"commencer";0,6211;-0,8932;-0,0181;-0,0088;0,6313
"archive";1,1938;-1,8546;1,4832;-0,007;-0,0925
"sujet";3,1397;-3,6408;-0,0375;-0,0181;0,3733
"zone";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"donner";0,2596;-0,5887;0,9976;-0,0223;0,8431
"urgentiste";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"ciel";2,7173;-2,4151;-0,0339;-0,0164;-0,2159
"cas";4,1798;-3,7829;-0,0387;-0,0187;-0,2468
"discussion";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"cours";1,5128;-1,3305;-0,023;-0,0111;-0,1465
"découvrir";-1,7296;1,454;-0,0557;-0,0269;0,7133
"forme";1,8793;-1,6157;-0,0375;-0,0181;-0,2391
"nom";0,9237;-0,823;-0,0121;-0,0058;-0,0771
"ex";1,2344;-1,0631;-0,0254;-0,0123;-0,1619
"marine";0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"toulouse";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"message";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"incroyable";3,029;-2,7828;-0,0218;-0,0105;-0,1387
"premier";1,3169;-3,4759;-0,0642;-0,0311;3,5009
"déguiser";-0,4656;0,3169;-0,0181;-0,0088;0,6313
"ligne";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"étrange";1,4444;-1,1651;-0,0569;-0,0275;-0,3628
"secrétaire";4,883;-4,486;-0,0351;-0,017;-0,2236
"bruno";2,3456;-3,0923;-0,0242;-0,0117;0,5246
"près_de";-1,3329;1,0357;-0,0169;-0,0082;0,6576
"maïa";6,2328;-5,726;-0,0448;-0,0217;-0,2854
"prétexte";-38,2439;40,6113;-0,0934;-0,0452;-0,5951
"explication";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"ami";-4,7592;4,3761;-0,0266;-0,0129;0,4904
"héros";-0,477;0,2964;-0,0145;1,795;-0,0925
"vendre";-1,1903;1,3302;-0,0121;-0,0058;-0,0771
"loi";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"giorgio";3,1975;-2,9375;-0,023;-0,0111;-0,1465
"aile";-12,8582;13,6516;-0,0315;-0,0152;-0,2005
"aimer";1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"vidéo";2,1973;-1,9769;-0,023;-0,0111;-0,1465
"réalité";-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"visage";1,1938;-1,8546;-0,0145;-0,007;0,7172
"posséder";-4,3462;4,8955;-0,0424;-0,0205;-0,27
"diffuser";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"base";0,294;-0,2429;-0,0133;-0,0064;-0,0848
"véritable";-0,477;0,5617;-0,0145;-0,007;-0,0925
"jour";1,2247;-1,4731;-0,0303;-0,0146;0,4456
"justice";1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"voler";-12,9359;13,8565;-0,04;-0,0193;-0,2545
"culture";2,4406;-2,9371;-0,0315;-0,0152;0,4321
"portrait";0,7955;-1,1923;-0,0157;-0,0076;0,6861
"effet";-0,5874;0,6806;-0,0133;-0,0064;-0,0848
"planète";-8,3938;9,429;-0,074;-0,0358;-0,4711
"grand";1,1911;-1,1687;0,8468;-0,0322;-0,4247
"pierre";2,1684;-3,7116;-0,029;-0,014;1,1811
"jouer";0,2289;-0,3739;-0,0157;-0,0076;0,6861
"hapsatou";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"univers";-5,6865;4,5077;0,9468;2,8304;-0,3318
"info";1,142;-2,4733;3,0574;-0,0094;-0,1233
"cryogénisé";-21,2959;22,6113;-0,0521;-0,0252;-0,3318
