"";"";"";"";"super";""
"124";"loi";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"283"
"125";"diffuser";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"284"
"126";"davant";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"285"
"127";"récit";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"286"
"128";"rapport";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"287"
"129";"laurie";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"288"
"130";"réseau";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"289"
"131";"moyen";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"290"
"132";"peret";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"291"
"133";"christian";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"293"
"134";"bout";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"294"
"135";"galley";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"295"
"136";"construire";"-0.675815063633955";"0.739651748344676";"0.604621490436588";"299"
"137";"cours";"-0.564370109638859";"0.713271036113962";"0.596911110441153";"307"
"138";"travailler";"-0.662065361517677";"0.73639698514738";"0.593903836132083";"315"
"139";"nasa";"-0.662065361517677";"0.73639698514738";"0.593903836132083";"316"
"140";"entier";"-0.491688617902926";"0.696066223789583";"0.593014466787546";"317"
"141";"étrange";"-0.315397340075344";"0.654335402407047";"0.591755783054176";"319"
"142";"créature";"-0.44054238297764";"0.68395913363539";"0.59103976536154";"320"
"143";"partir";"-0.424089747966709";"0.680064545194182";"0.583035441260708";"330"
"144";"étude";"-0.528612370389095";"0.704806636467743";"0.578106224724037";"332"
"145";"visite";"-0.455819829773505";"0.687575537187942";"0.575928023532756";"336"
"146";"conseil";"-0.627691106226982";"0.72826007715414";"0.572867990025281";"343"
"147";"vincent";"-0.627691106226982";"0.72826007715414";"0.572867990025281";"345"
"148";"technologie";"-0.507381212709548";"0.699780899177801";"0.568963809343331";"350"
"149";"continuer";"-0.507381212709548";"0.699780899177801";"0.568963809343331";"351"
"150";"affirmer";"-0.387071319192114";"0.671301721201462";"0.567546848014747";"354"
"151";"justice";"-0.605816580132903";"0.723082044794806";"0.562595020393045";"360"
"152";"siècle";"-0.605816580132903";"0.723082044794806";"0.562595020393045";"361"
"153";"association";"-0.605816580132903";"0.723082044794806";"0.562595020393045";"362"
"154";"expert";"-0.605816580132903";"0.723082044794806";"0.562595020393045";"363"
"155";"élément";"-0.605816580132903";"0.723082044794806";"0.562595020393045";"364"
"156";"substance";"-0.579567148820008";"0.716868405963605";"0.552510476469398";"369"
"157";"appeler";"-0.579567148820008";"0.716868405963605";"0.552510476469398";"372"
"158";"nom";"-0.579567148820008";"0.716868405963605";"0.552510476469398";"373"
"159";"trace";"-0.579567148820008";"0.716868405963605";"0.552510476469398";"374"
"160";"star";"-0.455819829773504";"0.687575537187941";"0.551312088962776";"376"
"161";"géant";"-0.455819829773504";"0.687575537187941";"0.551312088962776";"377"
"162";"dieu";"-0.455819829773504";"0.687575537187941";"0.551312088962776";"378"
"163";"groupe";"-0.455819829773504";"0.687575537187941";"0.551312088962776";"380"
"164";"patron";"-0.455819829773504";"0.687575537187941";"0.551312088962776";"381"
"165";"université";"-0.358763108952717";"0.664600738148206";"0.544114226894701";"385"
"166";"mystérieux";"-0.260429326015867";"0.641323639121105";"0.532484592160629";"410"
"167";"meilleur";"-0.343322267003956";"0.660945656482793";"0.526801672789605";"420"
"168";"travail";"-0.343322267003956";"0.660945656482793";"0.526801672789605";"422"
"169";"nuit";"-0.343322267003956";"0.660945656482793";"0.526801672789605";"423"
"170";"professeur";"0.231665276040405";"0.524837377323145";"0.525218896837463";"430"
"171";"désert";"-0.180825787447941";"0.622480273242023";"0.523643657913664";"431"
"172";"part";"-0.249574298029332";"0.638754089228503";"0.522965325362746";"433"
"173";"visiteur";"-0.119716000264482";"0.608014659031819";"0.519935439968646";"434"
"174";"suivre";"-0.290823404378166";"0.64851837882039";"0.519302329587789";"437"
"175";"capable";"-0.290823404378166";"0.64851837882039";"0.519302329587789";"438"
"176";"père";"0.214478148395057";"0.528905831319765";"0.518420497271596";"440"
"177";"enquête";"-0.0808279538750084";"0.59880926817078";"0.512142152661432";"448"
"178";"rencontrer";"0.162916765459014";"0.541111193309625";"0.511802986385973";"449"
"179";"penser";"-0.0598284088246928";"0.593838357105819";"0.511207561146834";"451"
"180";"internet";"-0.146451532157245";"0.614343365248783";"0.510597061851008";"455"
"181";"mauvais";"-0.146451532157245";"0.614343365248783";"0.510597061851008";"456"
"182";"trouver";"0.0340133081189059";"0.571624598284274";"0.505486956634092";"459"
"183";"extra_terrestre";"-0.0808279538750084";"0.59880926817078";"0.505049808990167";"460"
"184";"servir";"-0.0808279538750084";"0.59880926817078";"0.505049808990167";"462"
"185";"main";"-0.0808279538750084";"0.59880926817078";"0.505049808990167";"463"
"186";"maison";"-0.00207965993632428";"0.580168351677176";"0.503866495540233";"465"
"187";"fou";"-0.00207965993632427";"0.580168351677176";"0.5";"466"
