de;52;45;89;50;49;44;62;69;65;42;40;58;78;64;48;75;78;44
la;33;26;67;31;29;35;52;48;51;21;24;40;43;44;27;26;77;2
et;23;33;61;37;37;25;35;45;33;25;29;39;53;18;22;52;77;25
l;34;28;58;31;29;31;31;33;39;20;26;31;40;31;19;52;78;1
des;20;27;59;26;31;44;55;27;45;27;21;22;28;15;33;26;0;0
être;22;30;52;15;21;25;62;46;41;24;21;31;40;20;20;52;78;27
les;23;27;52;32;29;52;60;36;42;26;22;25;38;16;10;49;0;1
le;31;28;50;35;31;26;41;47;41;31;20;36;38;36;5;49;0;1
d;21;17;52;24;32;28;41;38;36;26;23;25;27;25;19;26;0;26
avoir;20;16;51;26;23;41;43;28;36;23;21;22;30;20;5;52;0;27
à;25;22;51;31;20;17;30;38;33;14;22;41;37;27;2;49;78;1
un;13;19;34;26;19;18;28;41;39;18;21;26;27;9;3;52;0;44
une;15;14;37;10;17;14;26;39;31;22;20;16;32;9;1;49;77;2
en;25;18;29;22;32;15;20;22;34;19;24;31;44;33;2;0;0;27
sur;28;14;37;21;17;26;24;29;19;15;12;23;15;24;14;26;77;1
du;21;18;21;24;16;23;16;17;17;11;14;23;20;32;45;0;0;1
qui;11;16;30;15;19;17;27;23;21;12;17;12;22;7;0;98;77;0
dans;19;10;21;9;17;23;28;27;24;15;18;14;20;16;2;26;0;25
il;7;10;27;8;16;15;28;26;26;10;7;15;17;10;2;26;0;42
s;4;7;16;6;8;2;8;13;15;5;5;12;14;3;18;52;77;0
pour;11;17;17;13;15;9;16;22;17;4;9;12;38;12;2;26;0;2
avec;11;10;13;18;11;8;10;12;6;9;11;13;17;8;7;29;0;0
ne;3;5;18;9;6;7;10;22;15;8;7;13;25;10;5;52;0;0
par;13;15;20;18;18;12;16;20;12;7;11;9;14;5;1;26;0;1
que;3;5;20;5;8;19;28;17;24;12;8;11;13;2;0;0;0;0
se;7;6;13;7;2;6;15;24;12;9;5;11;12;7;2;0;0;27
son;8;6;12;14;9;5;9;18;11;3;15;17;22;2;0;0;0;0
au;10;9;24;14;6;5;7;12;9;3;7;11;13;12;1;0;0;1
ses;4;4;8;6;4;3;5;14;3;4;4;10;13;0;0;52;0;0
pouvoir;3;1;11;2;1;16;26;14;10;13;5;6;7;4;1;49;1;0
ils;3;6;7;3;3;10;16;14;10;11;3;4;3;1;0;26;1;0
e;3;3;5;4;3;0;0;1;2;3;6;5;4;18;11;26;77;0
leur;1;3;5;4;6;2;8;15;9;3;7;3;5;2;0;52;0;1
pas;3;5;6;3;4;7;6;12;10;5;2;5;15;2;4;52;0;0
faire;3;7;11;9;7;3;6;17;15;6;7;10;19;2;1;0;0;0
elle;3;2;5;9;7;3;7;13;7;4;3;6;20;7;0;0;0;0
qu;5;0;15;6;8;5;11;24;13;7;5;9;15;1;0;0;0;1
ce;6;8;16;7;11;4;12;14;8;6;4;7;13;8;1;0;0;0
aux;10;2;8;10;4;7;4;4;7;5;2;6;11;21;0;0;0;0
20;13;1;6;2;2;0;2;2;4;1;2;7;2;24;2;0;0;0
plus;4;3;6;3;5;19;13;11;6;3;2;12;9;1;1;0;0;0
19;9;2;6;2;1;0;1;1;1;0;1;10;0;23;0;0;0;0
sa;3;11;6;10;7;1;2;10;6;1;7;6;11;2;0;0;0;1
après;4;1;4;8;1;2;0;3;2;1;4;2;2;2;0;26;0;27
mais;1;5;5;3;3;1;9;7;8;2;1;12;9;0;2;26;0;1
tout;1;4;2;5;1;6;6;13;4;4;3;3;6;0;0;0;0;0
tous;0;7;6;4;5;1;0;2;3;3;2;2;0;1;0;26;0;0
ou;5;3;3;4;3;2;10;3;6;4;1;2;7;1;1;0;0;0
on;4;2;6;3;8;2;4;4;5;3;3;3;6;0;1;0;0;0
nous;1;3;8;1;7;4;5;3;5;4;3;3;4;0;1;0;0;0
c;7;3;10;1;2;1;2;0;3;0;3;7;8;4;0;0;0;0
21;7;4;0;1;1;0;0;1;0;0;0;2;2;11;7;0;0;0
y;4;2;7;2;3;7;3;3;4;3;0;3;3;5;0;0;0;0
comme;1;2;6;1;3;0;9;1;2;1;3;2;5;1;3;26;0;0
cette;2;3;9;3;5;2;5;6;5;3;3;1;6;2;0;0;0;0
lui;0;2;4;3;4;9;3;9;5;0;4;3;5;0;0;0;0;1
an;1;1;5;1;6;3;3;4;4;3;4;4;7;1;0;0;0;0
autres;0;0;7;1;1;1;5;1;4;3;3;0;1;0;1;26;0;0
aujourd_hui;1;3;5;1;2;4;0;1;1;1;1;2;6;0;0;26;0;0
leurs;1;2;3;3;3;1;6;6;5;2;2;4;7;0;0;0;0;0
bien;0;0;4;0;0;1;6;2;4;1;2;1;3;0;0;26;0;0
aussi;1;1;2;3;2;0;2;1;1;2;2;5;1;0;0;26;0;0
ces;3;1;4;3;5;6;10;4;5;2;1;1;3;0;0;0;0;0
très;1;1;3;3;5;1;4;1;4;1;1;6;7;0;0;0;0;0
depuis;4;0;7;1;2;1;6;2;2;5;4;2;5;2;0;0;0;0
durant;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;27
vous;1;1;2;1;3;0;0;0;0;0;1;2;8;1;0;0;0;0
où;1;1;7;2;4;3;3;3;3;2;1;6;2;0;0;0;0;0
deux;2;1;2;5;2;1;0;6;1;1;3;1;7;1;1;0;0;0
2999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
devoir;1;4;3;1;0;2;0;6;2;2;2;3;4;1;2;0;0;0
selon;0;0;8;0;0;10;12;0;1;2;1;1;1;0;0;0;0;0
plein;0;1;1;0;4;0;0;0;0;0;2;1;0;0;0;26;0;0
grâce;0;0;3;0;1;0;0;1;1;0;1;0;0;0;0;26;0;0
