petit;2;2;6;4;0;0;2;4;8;1;4;6;7;10;0;0;77;0
ancien;3;1;7;0;0;16;16;2;8;2;1;2;0;1;32;23;0;0
fille;1;0;2;1;1;0;0;1;5;1;1;0;9;1;0;26;77;0
monde;0;2;9;2;2;19;8;2;5;6;1;1;6;1;0;49;0;0
extraire;12;1;1;3;3;0;0;0;1;2;3;10;3;18;1;0;0;0
nouveau;3;4;5;4;0;5;2;2;5;3;0;3;6;8;1;0;0;42
nombreux;0;0;0;0;1;5;8;0;0;0;1;0;2;1;0;0;78;0
vie;1;0;21;4;5;1;9;6;1;2;1;9;13;3;0;0;0;0
terre;2;0;15;1;0;14;17;2;8;1;0;1;0;0;0;0;0;0
provoquer;0;0;0;1;0;0;2;1;1;0;1;0;1;0;0;0;77;0
incident;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;77;0
prendre;1;3;1;2;3;2;2;7;3;2;1;2;2;0;0;0;0;42
prétexte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0
homme;2;2;21;2;2;4;4;5;2;5;4;2;3;0;2;0;0;0
présenter;2;1;1;10;17;0;4;1;3;0;3;5;4;2;0;0;0;0
humour;0;5;1;1;0;0;0;0;0;0;0;1;1;0;0;52;0;0
super;0;0;1;0;1;0;0;2;2;0;0;2;0;0;0;49;0;0
planète;0;0;13;0;0;0;3;2;5;1;0;2;0;0;0;26;0;1
invité;1;5;6;2;0;0;1;0;1;0;2;2;2;22;10;0;0;0
voir;1;2;4;18;4;0;0;1;13;1;2;2;1;0;1;0;0;0
tenter;0;0;4;1;0;0;2;6;0;0;1;1;0;0;0;0;0;42
sauver;1;1;0;2;0;1;0;2;1;0;0;1;0;0;0;49;0;0
tête;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;49;0;0
film;2;0;3;3;3;1;0;1;0;2;1;14;0;5;0;0;0;0
venir;1;5;3;3;1;3;4;3;16;1;0;0;3;3;0;0;0;0
grand;1;19;7;1;2;1;2;2;3;1;1;4;2;1;0;0;0;0
premier;1;0;2;11;0;2;1;1;1;2;4;4;3;3;1;0;0;0
parler;2;1;6;8;15;0;0;0;2;2;1;3;6;0;0;0;0;0
phénomène;1;1;1;1;5;1;1;1;1;18;6;0;0;1;0;0;0;0
passer;0;4;2;0;2;18;3;1;1;4;2;2;1;1;0;0;0;0
parent;0;1;0;1;0;0;0;4;1;0;0;1;9;0;0;26;0;0
année;3;2;3;0;4;4;0;0;1;2;2;1;4;0;1;0;0;0
grave;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0
péril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0
gasnier;0;0;0;2;0;0;0;0;0;0;0;1;1;38;0;0;0;0
bellver;0;0;0;1;0;0;0;0;0;0;0;0;0;46;0;0;0;0
ambre;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0
étrange;1;0;0;1;1;3;5;1;3;11;2;0;0;0;0;0;0;0
reportage;2;2;3;18;3;0;0;1;2;2;7;0;2;1;0;0;0;0
fry;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;28
découvrir;3;1;12;0;1;4;6;5;2;1;1;2;3;0;0;0;0;0
émission;3;5;2;2;9;0;0;0;1;0;3;0;5;3;0;0;0;0
millénaire;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;27
départ;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;42
côté;0;0;2;0;1;0;3;3;0;0;0;2;4;0;0;26;0;0
réveiller;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
univers;0;0;2;3;2;2;2;3;0;0;0;0;2;0;0;26;0;0
rendre;0;0;10;1;1;4;0;10;3;2;0;0;2;1;1;0;0;0
pizza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
new_yorkais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
livreur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
image;4;3;4;1;12;2;1;0;1;3;2;1;3;0;0;0;0;0
enfant;2;2;1;0;5;1;0;6;4;0;1;1;12;0;0;0;0;0
cryogénisé;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
spécialiste;0;0;4;0;1;0;0;0;2;2;1;0;0;21;0;0;0;0
mazaurette;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0
espace;0;0;11;0;0;0;1;0;1;2;0;1;0;2;0;0;0;1
propre;1;2;0;1;0;0;1;0;2;1;2;0;3;0;0;26;0;0
livre;3;0;1;2;2;1;2;0;1;0;0;3;2;8;0;0;0;0
etienne;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0
carbonnier;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0
astronaute;0;0;14;0;0;8;10;1;3;1;0;0;0;1;0;0;0;0
aller;0;0;7;4;0;1;0;4;0;1;0;4;3;4;1;0;0;2
évoquer;2;1;1;0;9;3;4;0;0;0;2;0;0;1;2;0;0;0
recherche;0;0;12;0;0;0;1;3;0;2;1;1;0;6;0;0;0;0
quitter;1;0;1;1;0;0;0;3;0;0;0;1;1;3;1;26;0;0
scientifique;1;2;14;2;1;2;2;1;0;4;1;0;1;0;0;0;0;0
preuve;0;1;1;0;1;18;0;1;3;2;0;0;0;0;0;0;0;0
humain;1;0;4;1;0;3;13;1;7;1;0;2;0;0;0;0;0;0
histoire;2;0;1;2;3;8;4;0;0;2;2;1;1;3;0;0;0;0
donner;2;0;0;9;5;0;0;5;4;5;0;1;3;0;0;0;0;0
courir;2;1;0;3;0;0;0;1;1;0;0;2;0;0;0;26;0;0
plateau;3;2;0;10;10;0;0;0;0;1;6;1;1;0;0;0;0;0
maïa;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0
lointain;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;26;0;0
