"";"";"";"";"*audiencefemme_13";""
"1";"*audiencefemme_13";"-0.00213367147036075";"-0.930498576624841";"1.88182011250456";"10"
"2";"*audience_2";"-0.0574555212138955";"-0.200816550160895";"1.27768278360752";"20"
"3";"*partdemarche_133";"-0.0574555212138955";"-0.200816550160895";"1.27768278360752";"21"
"4";"*audiencefemme_31";"-0.0526874335507122";"-0.214994194594546";"1.25343494684259";"24"
"5";"*chaine_RMCStory";"-0.0199353017598295";"-0.21326467423897";"1.21728482459054";"25"
"6";"*annéededecennie_2020";"-0.135960150154857";"-0.17781179708114";"1.2034457471352";"27"
"7";"*publicgroupe_Déconseilléauxenfants";"-0.00839648166906851";"-0.199922897415893";"1.15304123533565";"29"
"8";"*notice_3078258001";"0.0490172171688765";"-0.397289672747138";"1.11815302290207";"31"
"9";"*partdemarche_67";"0.0490172171688765";"-0.397289672747138";"1.11815302290207";"32"
"10";"*duree_00513100";"0.0490172171688765";"-0.397289672747138";"1.11815302290207";"33"
"11";"*audiencefemme_15";"0.0347480391231593";"-0.452396037410045";"1.08121620370622";"34"
"12";"*annéededatediffusion_2023";"0.0112063272098856";"-0.342365016371792";"1.05769316640982";"38"
"13";"*audience_33";"0.0384208008895828";"-0.482724690992979";"1.04248635442022";"41"
"14";"*partdemarche_98";"0.0384208008895828";"-0.482724690992979";"1.04248635442022";"42"
"15";"*audiencehomme_39";"0.0384208008895828";"-0.482724690992979";"1.04248635442022";"43"
"16";"*notice_1254226017";"0.0384208008895828";"-0.482724690992979";"1.04248635442022";"44"
"17";"*duree_00383500";"0.0384208008895828";"-0.482724690992979";"1.04248635442022";"45"
"18";"*annéededatediffusion_2014";"-0.0340131615243248";"-0.196023822166508";"1.03410024486714";"46"
"19";"*audiencefemme_22";"0.0308774203196603";"-0.461461556379394";"1.02197432979193";"47"
"20";"*audience_22";"0.0308774203196603";"-0.461461556379394";"1.02197432979193";"48"
"21";"*notice_1221065017";"0.0308774203196603";"-0.461461556379394";"1.02197432979193";"49"
"22";"*duree_01000000";"0.0308774203196603";"-0.461461556379394";"1.02197432979193";"50"
"23";"*audiencehomme_13";"0.0400766268177921";"-0.375443998516846";"1.01777129155163";"52"
"24";"*partdemarche_176";"0.0136552291964892";"-0.322037932886686";"1.01011197815981";"54"
"25";"*notice_1172103001";"0.0136552291964892";"-0.322037932886686";"1.01011197815981";"55"
"26";"*duree_01390200";"0.0136552291964892";"-0.322037932886686";"1.01011197815981";"56"
"27";"*audiencehomme_11";"0.0136552291964892";"-0.322037932886686";"1.01011197815981";"57"
"28";"*partdemarche_03";"-1.05478763341527";"0.847899455716294";"1.00963277189964";"58"
"29";"*duree_00373000";"0.0381659658318944";"-0.474906633128751";"1.00960881158663";"60"
"30";"*partdemarche_42";"0.0381659658318944";"-0.474906633128751";"1.00960881158663";"61"
"31";"*notice_1113855013";"0.0381659658318944";"-0.474906633128751";"1.00960881158663";"62"
"32";"*partdemarche_56";"0.0311892499844172";"-0.453765763534884";"1.00403005204107";"63"
"33";"*partdemarche_06";"-0.729698453615004";"0.53848445946984";"0.997135471972787";"64"
"34";"*audiencehomme_26";"0.0325720953018256";"-0.421269210944926";"0.993643256351752";"65"
"35";"*audiencefemme_04";"0.387181670517677";"0.0513056213384364";"0.982314021684083";"68"
"36";"*publicgroupe_Présencedunpublicinsitu";"0.00922291922705127";"-0.457889458080801";"0.975473352320066";"71"
"37";"*genregroupe_Série";"0.0332555709951873";"-0.221802971325533";"0.973991806299021";"73"
"38";"*chaine_France2";"-0.0018736385084997";"-0.282617697143322";"0.971809421122468";"74"
"39";"*notice_1230963016";"0.0427611523987442";"-0.454035185462113";"0.96328154638408";"77"
"40";"*duree_00494600";"0.0427611523987442";"-0.454035185462113";"0.96328154638408";"78"
"41";"*duree_00425400";"0.030624018749472";"-0.470958884691739";"0.960931439016466";"79"
"42";"*audiencehomme_15";"0.030624018749472";"-0.470958884691739";"0.960931439016466";"80"
"43";"*notice_7277900001";"0.030624018749472";"-0.470958884691739";"0.960931439016466";"81"
"44";"*chaine_France5";"0.0326424364777741";"-0.325777296782193";"0.958585325034352";"83"
"45";"*annéededatediffusion_2002";"0.00560094794318752";"-0.329809129612515";"0.957966350281624";"84"
"46";"*partdemarche_35";"0.0425374698529158";"-0.449338388114484";"0.956211257353729";"86"
"47";"*genregroupe_Magazine";"0.0101484965394018";"-0.423273957698155";"0.954096759730701";"88"
"48";"*publicgroupe_Participationdupublicàdistance";"0.012572505295588";"-0.330111371473136";"0.951195565163883";"90"
"49";"*notice_764979026";"-0.00164075612086263";"-0.879958108046862";"0.947775230481875";"91"
"50";"*duree_02492000";"-0.00164075612086263";"-0.879958108046862";"0.947775230481875";"92"
"51";"*annéededatediffusion_2021";"-0.309616751964438";"-0.0011575001026116";"0.946661075926965";"93"
"52";"*notice_1073928012";"0.0360506760238922";"-0.313131265033243";"0.945904329374436";"94"
"53";"*notice_1278024012";"0.0360506760238922";"-0.313131265033243";"0.945904329374436";"95"
"54";"*audience_24";"0.0836391653050097";"-0.168109032552338";"0.943628099638599";"97"
"55";"*audiencefemme_11";"0.0396918608950725";"-0.442173280911725";"0.94341445351427";"98"
"56";"*partdemarche_33";"0.0311418183564157";"-0.459126386407811";"0.941835069548439";"99"
"57";"*audiencefemme_02";"-0.0368103265760047";"1.2431663129662";"0.938674304924026";"100"
"58";"*duree_01241400";"0.0136541744258734";"-0.368618459696039";"0.938596433906747";"101"
"59";"*audiencehomme_61";"0.0136541744258734";"-0.368618459696039";"0.938596433906747";"102"
"60";"*audiencefemme_85";"0.0136541744258734";"-0.368618459696039";"0.938596433906747";"103"
"61";"*partdemarche_395";"0.0136541744258734";"-0.368618459696039";"0.938596433906747";"104"
"62";"*notice_276150001";"0.0136541744258734";"-0.368618459696039";"0.938596433906747";"105"
"63";"*duree_01000200";"0.0330597569101258";"-0.52522643193216";"0.937308567082523";"106"
"64";"*audiencefemme_28";"0.0330597569101258";"-0.52522643193216";"0.937308567082523";"107"
"65";"*notice_1106019016";"0.0330597569101258";"-0.52522643193216";"0.937308567082523";"108"
"66";"*annéededecennie_1990";"0.00999619779769406";"-0.288525341767012";"0.935787087206464";"109"
"67";"*annéededatediffusion_2015";"0.0293085340110822";"-0.205377554300241";"0.935523523763367";"110"
"68";"*annéededatediffusion_2006";"0.016453568300446";"-0.321185570467297";"0.934397389051952";"111"
"69";"*audiencefemme_36";"0.0270090862087552";"-0.409448227323742";"0.933892225786016";"112"
"70";"*duree_01181900";"0.0273136179413867";"-0.269242275751014";"0.93107688900748";"113"
"71";"*notice_2869952001";"0.0273136179413867";"-0.269242275751014";"0.93107688900748";"114"
"72";"*notice_2127313001";"0.010625340482203";"-0.339035838203963";"0.930659580222577";"115"
"73";"*duree_01164200";"0.010625340482203";"-0.339035838203963";"0.930659580222577";"116"
"74";"*partdemarche_297";"0.010625340482203";"-0.339035838203963";"0.930659580222577";"117"
"75";"*partdemarche_65";"0.0293445062264403";"-0.50364401719854";"0.925548046780696";"119"
"76";"*audiencefemme_18";"0.0105851206518058";"-0.338267329229786";"0.920258807684";"121"
"77";"*audiencehomme_31";"0.0338618520034888";"-0.495572173168086";"0.92023085398549";"122"
"78";"*duree_00571900";"0.0372765926464023";"-0.375932939233803";"0.919356302560668";"123"
"79";"*notice_4128704001";"0.0372765926464023";"-0.375932939233803";"0.919356302560668";"124"
"80";"*notice_4780571001";"0.0201369089449542";"-0.247299692911089";"0.915075393303093";"125"
"81";"*partdemarche_87";"0.0201369089449542";"-0.247299692911089";"0.915075393303093";"126"
"82";"*duree_01063900";"0.0201369089449542";"-0.247299692911089";"0.915075393303093";"127"
"83";"*chaine_RMCDécouverteHD24";"-0.0309683608649501";"-0.190385437974154";"0.914995525593063";"128"
"84";"*duree_00510300";"0.0100220430262463";"-0.327508203591313";"0.914558249880652";"129"
"85";"*notice_5454725001";"0.0100220430262463";"-0.327508203591313";"0.914558249880652";"130"
"86";"*audience_0";"-0.507744875421031";"0.288428411979914";"0.91425275588979";"131"
"87";"*audiencefemme_199";"0.0973483733522061";"-0.161768655038869";"0.914101007240734";"132"
"88";"*audience_153";"0.0973483733522061";"-0.161768655038869";"0.914101007240734";"133"
"89";"*notice_4586949001";"0.0973483733522061";"-0.161768655038869";"0.914101007240734";"134"
"90";"*audiencehomme_142";"0.0973483733522061";"-0.161768655038869";"0.914101007240734";"135"
"91";"*partdemarche_318";"0.0973483733522061";"-0.161768655038869";"0.914101007240734";"136"
"92";"*annéededatediffusion_1999";"0.0104148165028077";"-0.280566928046421";"0.912537596816909";"137"
"93";"*duree_00233700";"4.81892246638647";"2.69883359315685";"0.91099215662784";"146"
"94";"*duree_00235600";"4.81892246638647";"2.69883359315685";"0.91099215662784";"148"
"95";"*notice_360727007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"149"
"96";"*notice_340923007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"151"
"97";"*notice_364519007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"152"
"98";"*notice_341175007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"153"
"99";"*notice_337967005";"4.81892246638647";"2.69883359315685";"0.91099215662784";"154"
"100";"*duree_00221100";"4.81892246638647";"2.69883359315685";"0.91099215662784";"155"
"101";"*notice_338353005";"4.81892246638647";"2.69883359315685";"0.91099215662784";"157"
"102";"*duree_00220600";"4.81892246638647";"2.69883359315685";"0.91099215662784";"158"
"103";"*duree_00201300";"4.81892246638647";"2.69883359315685";"0.91099215662784";"159"
"104";"*notice_360911007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"160"
"105";"*notice_345555007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"161"
"106";"*notice_345555006";"4.81892246638647";"2.69883359315685";"0.91099215662784";"162"
"107";"*notice_350247007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"163"
"108";"*notice_323357007";"4.81892246638647";"2.69883359315685";"0.91099215662784";"164"
"109";"*duree_00233000";"4.81892246638647";"2.69883359315685";"0.91099215662784";"165"
"110";"*notice_332309006";"4.81892246638647";"2.69883359315685";"0.91099215662784";"166"
"111";"*notice_1169949013";"-0.0504371743958293";"-0.175246709488965";"0.910848394749787";"167"
"112";"*duree_00464900";"-0.0504371743958293";"-0.175246709488965";"0.910848394749787";"168"
"113";"*duree_00535800";"-0.0504371743958293";"-0.175246709488965";"0.910848394749787";"169"
"114";"*audiencehomme_04";"0.477757443035277";"0.0517103724982519";"0.909356865264988";"170"
"115";"*audience_26";"0.0268252507654423";"-0.483427571094394";"0.906136199858053";"171"
"116";"*genregroupe_Feuilleton";"0.0407757941688495";"-0.20943750887434";"0.90397977168726";"172"
"117";"*annéededatediffusion_2022";"-0.0118116609966357";"-0.208347744826564";"0.901352124027293";"174"
"118";"*audiencefemme_17";"0.0139361482235148";"-0.34360733979478";"0.901010689566917";"175"
"119";"*annéededatediffusion_2017";"0.0119306862279793";"-0.293594498231384";"0.900763099665826";"176"
"120";"*duree_00425100";"0.00949965073900496";"-0.342775466207298";"0.900279900020148";"177"
"121";"*notice_6112318001";"0.00949965073900496";"-0.342775466207298";"0.900279900020148";"178"
"122";"*duree_00531300";"0.0360506760238922";"-0.313131265033243";"0.897193013027513";"179"
"123";"*notice_1273105013";"0.0360506760238922";"-0.313131265033243";"0.897193013027513";"180"
"124";"*notice_1085900017";"0.0360506760238922";"-0.313131265033243";"0.897193013027513";"181"
"125";"*audiencehomme_18";"0.0230354322579949";"-0.38065987641953";"0.895641582760192";"182"
"126";"*audiencehomme_78";"0.036071153220869";"-0.380304040387752";"0.893301458856331";"183"
"127";"*notice_3882741001";"0.036071153220869";"-0.380304040387752";"0.893301458856331";"184"
"128";"*audience_81";"0.036071153220869";"-0.380304040387752";"0.893301458856331";"185"
"129";"*audiencefemme_9";"0.036071153220869";"-0.380304040387752";"0.893301458856331";"186"
"130";"*duree_02194000";"0.036071153220869";"-0.380304040387752";"0.893301458856331";"187"
"131";"*audience_64";"0.0331883957385175";"-0.320330130507874";"0.892730404729621";"188"
"132";"*notice_71520906";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"189"
"133";"*notice_756770019";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"190"
"134";"*notice_714382071";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"191"
"135";"*notice_714382072";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"192"
"136";"*duree_00100700";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"194"
"137";"*duree_00092700";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"195"
"138";"*duree_00102700";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"196"
"139";"*notice_1056992067";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"198"
"140";"*duree_00103100";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"199"
"141";"*notice_1057726064";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"200"
"142";"*notice_71438207";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"201"
"143";"*duree_00102400";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"202"
"144";"*notice_1057960062";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"203"
"145";"*duree_00100200";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"204"
"146";"*duree_00102100";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"205"
"147";"*duree_00101300";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"206"
"148";"*notice_1056738059";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"207"
"149";"*duree_00102900";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"208"
"150";"*notice_714248058";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"209"
"151";"*duree_00094400";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"210"
"152";"*duree_00102800";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"211"
"153";"*duree_00094900";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"212"
"154";"*duree_00101900";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"213"
"155";"*notice_75677002";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"214"
"156";"*notice_1056039067";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"215"
"157";"*notice_1056039066";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"216"
"158";"*notice_1054792058";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"217"
"159";"*notice_715430059";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"218"
"160";"*notice_715430058";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"219"
"161";"*notice_714382069";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"220"
"162";"*notice_714466055";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"221"
"163";"*notice_714466054";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"222"
"164";"*notice_714466057";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"223"
"165";"*duree_00102500";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"224"
"166";"*notice_1056101056";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"225"
"167";"*notice_1056101057";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"226"
"168";"*duree_00102600";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"227"
"169";"*duree_00093800";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"228"
"170";"*duree_00095900";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"229"
"171";"*notice_714317056";"-1.23726509051177";"1.0353584112002";"0.892337056257726";"230"
"172";"*notice_1056951012";"0.00138391702183088";"-0.206151297633154";"0.890140694231918";"235"
"173";"*partdemarche_26";"-0.500768407975466";"0.612968596661257";"0.889096423923283";"237"
"174";"*duree_00470900";"0.0677912638025991";"-0.164464265928888";"0.888173951872444";"238"
"175";"*duree_00383200";"0.00557078957448219";"-0.243663774745176";"0.888086097391412";"239"
"176";"*partdemarche_02";"0.00557078957448219";"-0.243663774745176";"0.888086097391412";"240"
"177";"*notice_7999734001";"0.00557078957448219";"-0.243663774745176";"0.888086097391412";"241"
"178";"*notice_6210469001";"0.0207410588459501";"-0.324355724151044";"0.885881748594601";"242"
"179";"*partdemarche_5";"0.0207410588459501";"-0.324355724151044";"0.885881748594601";"243"
"180";"*duree_01194000";"0.0207410588459501";"-0.324355724151044";"0.885881748594601";"244"
"181";"*duree_00525100";"-0.051161619384493";"-0.183124799445192";"0.885506370357462";"245"
"182";"*duree_00472900";"-0.051161619384493";"-0.183124799445192";"0.885506370357462";"246"
"183";"*notice_1081835016";"-0.051161619384493";"-0.183124799445192";"0.885506370357462";"247"
"184";"*partdemarche_258";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"248"
"185";"*audience_66";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"249"
"186";"*duree_01010400";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"250"
"187";"*audiencehomme_54";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"251"
"188";"*audiencefemme_96";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"252"
"189";"*notice_4352564001";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"253"
"190";"*audiencefemme_3";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"254"
"191";"*notice_7867761001";"0.0973483733522061";"-0.161768655038869";"0.885506370357462";"255"
"192";"*mediamatgroupe_Cultureconnaissance";"0.00141396905734432";"-0.373086442292111";"0.885402542334424";"256"
"193";"*partdemarche_04";"-0.653500496925957";"0.461062915047253";"0.884845465056969";"257"
"194";"*annéededatediffusion_2020";"-0.211217986013426";"-0.137001961935615";"0.88376126089332";"258"
"195";"*audiencefemme_147";"0.0689888711646999";"-0.229196472053222";"0.883210173694118";"259"
"196";"*audience_127";"0.0689888711646999";"-0.229196472053222";"0.883210173694118";"260"
"197";"*partdemarche_293";"0.0689888711646999";"-0.229196472053222";"0.883210173694118";"261"
"198";"*duree_00510500";"0.0689888711646999";"-0.229196472053222";"0.883210173694118";"262"
"199";"*audiencehomme_122";"0.0689888711646999";"-0.229196472053222";"0.883210173694118";"263"
"200";"*notice_3384746001";"0.0689888711646999";"-0.229196472053222";"0.883210173694118";"264"
"201";"*notice_2234259001";"0.00985060190373606";"-0.341340293495521";"0.883008507726293";"265"
"202";"*duree_01240100";"0.00985060190373606";"-0.341340293495521";"0.883008507726293";"266"
"203";"*annéededatediffusion_2003";"0.00985060190373606";"-0.341340293495521";"0.883008507726293";"267"
"204";"*audiencefemme_19";"0.00985060190373606";"-0.341340293495521";"0.883008507726293";"268"
"205";"*audiencefemme_12";"0.00798897981239917";"-0.331313715517722";"0.881145593389858";"269"
"206";"*partdemarche_08";"-0.463537373145488";"0.3811304916928";"0.87680278665701";"271"
"207";"*chaine_M6";"0.0317675613660998";"-0.237888184171105";"0.87680278665701";"272"
"208";"*partdemarche_24";"-0.716443166534516";"0.701937943434292";"0.875914258382933";"273"
"209";"*notice_1299518012";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"274"
"210";"*duree_00525600";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"275"
"211";"*notice_1286743013";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"276"
"212";"*notice_1286743012";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"277"
"213";"*notice_719861021";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"278"
"214";"*duree_01331400";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"279"
"215";"*duree_00472500";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"280"
"216";"*notice_1299518013";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"281"
"217";"*duree_00515400";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"282"
"218";"*duree_00520800";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"283"
"219";"*notice_1284522012";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"284"
"220";"*notice_1287763012";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"285"
"221";"*notice_1287763013";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"286"
"222";"*notice_1136697019";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"287"
"223";"*duree_00465600";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"288"
"224";"*notice_1285623012";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"289"
"225";"*duree_00462300";"-0.0504371743958293";"-0.175246709488965";"0.87384169130767";"290"
"226";"*audiencehomme_41";"0.0122784653564545";"-0.289387743309459";"0.872308231275106";"291"
"227";"*chaine_TF1";"0.023450841201241";"-0.258836665713375";"0.872086598379775";"292"
"228";"*duree_00471500";"0.0478450424399731";"-0.168887369840976";"0.87093250996985";"298"
"229";"*annéededatediffusion_2005";"0.0210989237698414";"-0.288442528509715";"0.870876602572829";"299"
"230";"*chaine_ARTE";"0.0155675235540675";"-0.394172915871022";"0.870010037919011";"300"
"231";"*duree_00095400";"-1.23726509051177";"1.0353584112002";"0.869197383969462";"301"
"232";"*duree_00093300";"-1.23726509051177";"1.0353584112002";"0.869197383969462";"302"
"233";"*notice_1056738058";"-1.23726509051177";"1.0353584112002";"0.869197383969462";"303"
"234";"*duree_00093400";"-1.23726509051177";"1.0353584112002";"0.869197383969462";"304"
"235";"*notice_968894071";"-1.23726509051177";"1.0353584112002";"0.869197383969462";"305"
"236";"*notice_968894072";"-1.23726509051177";"1.0353584112002";"0.869197383969462";"306"
"237";"*annéededecennie_2000";"0.0455075095040727";"-0.279305716678981";"0.869035651856652";"307"
"238";"*notice_5882934001";"0.0357107801233936";"-0.342176767289498";"0.868280901996874";"308"
"239";"*duree_00121500";"0.0357107801233936";"-0.342176767289498";"0.868280901996874";"309"
"240";"*duree_00051800";"0.0357107801233936";"-0.342176767289498";"0.868280901996874";"310"
"241";"*notice_6045537001";"0.0357107801233936";"-0.342176767289498";"0.868280901996874";"311"
"242";"*partdemarche_14";"-0.957851188459444";"1.51350478830448";"0.867476234818328";"312"
"243";"*duree_00465300";"0.0310823496839247";"-0.285977163853665";"0.867230641609988";"313"
"244";"*notice_6283387001";"-0.0380581558637127";"-0.249574557528814";"0.866044606116051";"314"
"245";"*audiencefemme_09";"-0.0380581558637127";"-0.249574557528814";"0.866044606116051";"315"
"246";"*duree_00394600";"-0.0380581558637127";"-0.249574557528814";"0.866044606116051";"316"
"247";"*annéededatediffusion_1996";"0.0202438103381208";"-0.316897800535391";"0.865954754942268";"317"
"248";"*notice_1248476011";"0.0261140233439572";"-0.258823062674088";"0.865651257644157";"318"
"249";"*audience_15";"0.0235492597315378";"-0.34345427557121";"0.865203998467992";"319"
"250";"*audiencefemme_61";"0.0100506067723462";"-0.232896289483177";"0.864688851738303";"320"
"251";"*audiencehomme_72";"0.0100506067723462";"-0.232896289483177";"0.864688851738303";"321"
"252";"*partdemarche_165";"0.0100506067723462";"-0.232896289483177";"0.864688851738303";"322"
"253";"*notice_6794148001";"0.0100506067723462";"-0.232896289483177";"0.864688851738303";"323"
"254";"*duree_00511900";"0.0100506067723462";"-0.232896289483177";"0.864688851738303";"324"
"255";"*audience_59";"0.0100506067723462";"-0.232896289483177";"0.864688851738303";"325"
"256";"*partdemarche_257";"0.0198911427292397";"-0.288011669764514";"0.86394807872778";"326"
"257";"*duree_02015700";"0.0198911427292397";"-0.288011669764514";"0.86394807872778";"327"
"258";"*notice_828307001";"0.0198911427292397";"-0.288011669764514";"0.86394807872778";"328"
"259";"*audience_28";"0.0198911427292397";"-0.288011669764514";"0.86394807872778";"329"
"260";"*audiencehomme_29";"0.0198911427292397";"-0.288011669764514";"0.86394807872778";"330"
"261";"*audiencefemme_34";"0.0198911427292397";"-0.288011669764514";"0.86394807872778";"331"
"262";"*partdemarche_167";"-0.0297544634450559";"-0.24581351796703";"0.863271199885281";"332"
"263";"*duree_01153300";"-0.0297544634450559";"-0.24581351796703";"0.863271199885281";"333"
"264";"*notice_3198280001";"-0.0297544634450559";"-0.24581351796703";"0.863271199885281";"334"
"265";"*notice_1295536012";"0.00697991088776385";"-0.269795776503893";"0.862204965956389";"335"
"266";"*audience_38";"0.0103531955148024";"-0.2838387526761";"0.86212709493911";"336"
"267";"*notice_1428844001";"0.0103531955148024";"-0.2838387526761";"0.86212709493911";"337"
"268";"*duree_01481700";"0.0103531955148024";"-0.2838387526761";"0.86212709493911";"338"
"269";"*partdemarche_422";"0.0103531955148024";"-0.2838387526761";"0.86212709493911";"339"
"270";"*audiencefemme_06";"-0.020698587480522";"-0.221115309934491";"0.861943399206042";"340"
"271";"*duree_00463000";"0.0733572592696123";"-0.17286431568744";"0.861212609659273";"341"
"272";"*partdemarche_164";"0.0733572592696123";"-0.17286431568744";"0.861212609659273";"342"
"273";"*audiencefemme_27";"0.0733572592696123";"-0.17286431568744";"0.861212609659273";"343"
"274";"*notice_5367293001";"0.0733572592696123";"-0.17286431568744";"0.861212609659273";"344"
"275";"*partdemarche_175";"0.0820239490201276";"-0.199609307537462";"0.861212609659273";"345"
"276";"*audiencehomme_52";"0.0820239490201276";"-0.199609307537462";"0.861212609659273";"346"
"277";"*notice_4268111001";"0.0820239490201276";"-0.199609307537462";"0.861212609659273";"347"
"278";"*audiencefemme_8";"0.0820239490201276";"-0.199609307537462";"0.861212609659273";"348"
"279";"*duree_00063400";"-2.47360007692232";"4.23894089494314";"0.860867181813396";"352"
"280";"*duree_00063700";"-2.47360007692232";"4.23894089494314";"0.860867181813396";"354"
"281";"*duree_01333500";"0.00138391702183088";"-0.206151297633154";"0.860046541092845";"355"
"282";"*notice_1292507012";"0.00138391702183088";"-0.206151297633154";"0.860046541092845";"356"
"283";"*audience_11";"0.0230737193242035";"-0.377244206489481";"0.858764664346873";"357"
"284";"*partdemarche_124";"0.0190004332469419";"-0.303557764630613";"0.857874139380045";"358"
"285";"*annéededatediffusion_1998";"0.0159039119106408";"-0.287220437226381";"0.857700427110731";"359"
"286";"*notice_626588001";"-0.0352441432106836";"-0.246399031824411";"0.857608579244197";"360"
"287";"*partdemarche_127";"-0.0352441432106836";"-0.246399031824411";"0.857608579244197";"361"
"288";"*duree_01262100";"-0.0352441432106836";"-0.246399031824411";"0.857608579244197";"362"
"289";"*notice_719861019";"-0.051161619384493";"-0.183124799445192";"0.856959654100209";"363"
