"V1";"V2";"V3";"V4";"V5";"V6"
"0";" 50";"0.00";"-2.23";"bien";"0.13520907"
"1";" 89";"1.12";"-2.17";"après";"0.14099014"
"5";"215";"2.33";"-2.09";"ne";"0.14787825"
"*";"*";"*";"*";"*";"*"
"2";"298";"0.67";"-11.70";"*genregroupe_Animation";"0.0006249122"
"5";"383";"1.31";"-10.97";"*mediamatgroupe_Fiction";"0.0009278165"
"3";"304";"0.99";" -9.91";"*publicgroupe_Programmejeunesse";"0.0016467130"
"1";"199";"0.50";" -7.80";"*chaine_France4";"0.0052256556"
"4";"288";"1.39";" -7.01";"*publicgroupe_Déconseilléauxenfants";"0.0081132916"
"1";"150";"0.67";" -5.12";"*chaine_RMCStory";"0.0236385272"
"0";"104";"0.00";" -4.86";"*audience_04";"0.0275223798"
"3";"209";"1.44";" -4.55";"*genregroupe_Documentaire";"0.0329969415"
"1";"134";"0.75";" -4.30";"*audience_03";"0.0380242926"
"0";" 79";"0.00";" -3.61";"*annéededatediffusion_2012";"0.0573561406"
"2";"143";"1.40";" -3.01";"*annéededatediffusion_2019";"0.0828280018"
"2";"140";"1.43";" -2.87";"*audiencefemme_02";"0.0900777763"
"1";"100";"1.00";" -2.67";"*audiencefemme_03";"0.1025411481"
"0";" 56";"0.00";" -2.51";"*audiencefemme_0";"0.1129927620"
"3";"163";"1.84";" -2.45";"*audiencefemme_01";"0.1177917891"
"0";" 48";"0.00";" -2.14";"*chaine_NRJ12";"0.1436079431"
"0";" 47";"0.00";" -2.09";"*audiencefemme_04";"0.1480151861"
"3";"153";"1.96";" -2.04";"*audiencehomme_01";"0.1531171989"
"**";"classe";"3";"**";"";""
"****";"106";"1265";"8.38";"****";""
"0";" 96";"0.00";"-9.50";"nombreux";"0.002053591"
"2";"126";"1.59";"-8.41";"fille";"0.003733734"
"0";" 84";"0.00";"-8.23";"provoquer";"0.004122827"
"0";" 77";"0.00";"-7.50";"prétexte";"0.006174280"
"1";" 82";"1.22";"-5.86";"incident";"0.015532552"
"0";" 58";"0.00";"-5.56";"sauver";"0.018380940"
"0";" 57";"0.00";"-5.46";"tête";"0.019466695"
"1";" 73";"1.37";"-4.96";"prendre";"0.025969061"
