"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"petit";0,059;0,109;0,089;0,269;0,007;0,005;0,013;0,08;0,908;0,045;0,717;0,586;0,417;0,697;0,011;0;0;0,021
"ancien";0,252;0,068;0,366;0,01;0,013;0;0,001;0,03;0,721;0,207;0,105;0,064;0,002;0,009;0;0;0,004;0,034
"fille";0,026;0,014;0,004;0,023;0,03;0,006;0,002;0,006;0,266;0,055;0,078;0,004;0,931;0,005;0,013;0;0;0,025
"monde";0,012;0,189;0,868;0,1;0,126;0;0,816;0,031;0,402;0,438;0,108;0,024;0,471;0,009;0,02;0;0,004;0,034
"extraire";0;0,349;0,061;0,945;0,851;0,07;0,039;0,039;0,145;0,84;0,497;0;0,585;0;0,337;0,022;0,046;0,139
"nouveau";0,455;0,923;0,278;0,754;0,027;0,914;0,074;0,074;0,719;0,709;0,054;0,312;0,842;0,451;0,119;0,003;0,01;0
"nombreux";0,022;0,035;0,002;0,02;0,08;0,974;0,466;0,007;0,009;0,039;0,166;0,014;0,051;0,021;0,033;0,003;0;0,053
"vie";0,141;0,063;0;0,907;0,414;0,119;0,055;0,628;0,067;0,542;0,277;0,013;0;0,319;0,06;0,008;0,021;0,088
"terre";0,564;0,097;0;0,219;0,077;0;0;0,289;0,023;0,342;0,124;0,173;0,029;0,032;0,094;0,018;0,04;0,129
"provoquer";0,033;0,05;0,004;0,098;0,036;0,027;0,109;0,04;0,048;0,054;0,225;0,022;0,032;0,011;0,047;0,005;0;0,072
"incident";0,035;0,053;0,016;0,032;0,038;0,252;0,013;0,043;0,052;0,057;0,072;0,023;0,01;0,012;0,05;0,006;0;0,075
"prendre";0,156;1;0,026;0,365;0,817;0,339;0,174;0,282;0,437;0,584;0,299;0,282;0,145;0,018;0,066;0,01;0,024;0
"prétexte";0,042;0,061;0,006;0,038;0,045;0,035;0,016;0,016;0,019;0,066;0,082;0,028;0,013;0,015;0,058;0,008;0;0,086
"homme";0,581;0,756;0;0,548;0,616;0,583;0,973;0,57;0,34;0,074;0,183;0,445;0,542;0,033;0,734;0,019;0,042;0,132
"présenter";0,716;0,405;0,081;0;0;0,083;0,767;0,16;0,857;0,131;0,398;0,205;0,863;0,382;0,12;0,028;0,057;0,158
"humour";0,072;0,099;0,051;0,219;0,077;0,062;0,034;0,034;0,039;0,104;0,124;0,173;0,094;0,032;0,094;0;0,04;0,129
"super";0,082;0,11;0,065;0,077;0,286;0,072;0,041;0,341;0,382;0,117;0,138;0,494;0,035;0,038;0,106;0;0,048;0,142
"planète";0,094;0,124;0;0,089;0,1;0,083;0,787;0,402;0,327;0,43;0,153;0,567;0,042;0,046;0,12;0;0,057;0,518
"invité";0,298;0,051;0,459;0,659;0,097;0,08;0,153;0,047;0,173;0,128;0,953;0,548;0,337;0;0;0,027;0,054;0,154
"voir";0,342;0,968;0,921;0;0,254;0,093;0,056;0,184;0;0,47;0,863;0,628;0,16;0,053;0,43;0,034;0,064;0,171
"tenter";0,082;0,11;0,704;0,252;0,087;0,072;0,341;0,216;0,046;0,117;0,452;0,202;0,035;0,038;0,106;0,023;0,048;0
"sauver";0,26;0,349;0,018;0,583;0,085;0,228;0,039;0,327;0,145;0,114;0,134;0,194;0,033;0,036;0,103;0;0,046;0,139
"tête";0,269;0,359;0,019;0,252;0,087;0,072;0,041;0,134;0,046;0,117;0,452;0,062;0,114;0,125;0,348;0;0,048;0,142
"film";0,803;0,214;0,967;0,322;0,266;0,535;0,112;0,369;0,122;0,587;0,821;0;0,101;0,07;0,21;0,077;0,124;0,255
"venir";0,393;0,019;0,643;0,624;0,415;0,665;0,551;0,991;0;0,528;0,185;0,094;0,906;0,957;0,149;0,042;0,077;0,19
"grand";0,38;0;0,1;0,36;0,892;0,341;0,515;0,515;0,968;0,513;0,59;0,363;0,458;0,2;0,144;0,04;0,073;0,185
"premier";0,561;0,208;0,535;0;0,178;0,908;0,352;0,352;0,383;0,617;0,013;0,138;0,742;0,695;0,668;0,073;0,119;0,248
"parler";0,878;0,5;0,245;0;0;0,108;0,067;0,067;0,588;0,889;0,606;0,765;0,098;0,064;0,149;0,042;0,077;0,19
"phénomène";0,522;0,641;0,194;0,499;0,012;0,477;0,321;0,321;0,35;0;0;0,13;0,087;0,307;0,191;0,065;0,109;0,235
"passer";0,143;0,064;0,411;0,136;0,947;0;0,842;0,278;0,306;0,053;0,643;0,852;0,248;0,266;0,173;0,055;0,095;0,217
"parent";0,133;0,549;0,044;0,416;0,14;0,12;0,077;0,46;0,28;0,176;0,2;0,349;0;0,073;0,163;0;0,087;0,205
"année";0,123;0,383;0,605;0,229;0,011;0,021;0,164;0,164;0,581;0,352;0,275;0,674;0,105;0,159;0,899;0,122;0,178;0,319
"grave";0,104;0,135;0,097;0,099;0,111;0,093;0,056;0,056;0,063;0,143;0,166;0,081;0,049;0,053;0,131;0;0,064;0,171
"péril";0,108;0,139;0,031;0,102;0,114;0,097;0,058;0,058;0,065;0,148;0,17;0,084;0,051;0,055;0,135;0;0,067;0,175
"gasnier";0,138;0,172;0,046;0,947;0,145;0,125;0,081;0,081;0,089;0,181;0,206;0,363;0,236;0;0,168;0,052;0,091;0,211
"bellver";0,116;0,148;0,035;0,36;0,122;0,104;0,064;0,064;0,071;0,156;0,18;0,091;0,056;0;0,144;0,04;0,073;0,185
"ambre";0,12;0,153;0,037;0,114;0,126;0,108;0,067;0,067;0,075;0,161;0,185;0,094;0,059;0;0,149;0,042;0,077;0,19
"étrange";0,755;0,268;0,106;0,729;0,782;0,177;0,015;0,518;0,323;0;0,3;0,195;0,143;0,151;0,263;0,115;0,17;0,31
"reportage";0,958;0,856;0,736;0;0,464;0,12;0,077;0,254;0,66;0,811;0;0,106;0,545;0,242;0,163;0,049;0,087;0,205
"fry";0,212;0,251;0,094;0,204;0,22;0,197;0,142;0,47;0,505;0,261;0,287;0,18;0,13;0,137;0,246;0,102;0,155;0
"découvrir";0,448;0,584;0;0,136;0,492;0,173;0,034;0,139;0,713;0,613;0,694;0,852;0,926;0,081;0,173;0,055;0,095;0,217
"émission";0,246;0,001;0,626;0,773;0;0,175;0,123;0,123;0,439;0,238;0,082;0,159;0,061;0,581;0,224;0,086;0,136;0,269
"millénaire";0,22;0,259;0,332;0,212;0,228;0,205;0,493;0,149;0,16;0,269;0,295;0,187;0,136;0,144;0,255;0,109;0,163;0
"départ";0,422;0,162;0,041;0,122;0,135;0,116;0,074;0,074;0,081;0,171;0,195;0,102;0,065;0,23;0,158;0,047;0,083;0
"côté";0,143;0,178;0,411;0,136;0,492;0,13;0,842;0,842;0,093;0,187;0,211;0,852;0,474;0,081;0,173;0;0,095;0,217
"réveiller";0,228;0,268;0,353;0,221;0,237;0,213;0,156;0,156;0,167;0,278;0,304;0,195;0,143;0,151;0,263;0,115;0,17;0
"univers";0,138;0,172;0,389;0,512;0,976;0,911;0,632;0,877;0,089;0,181;0,206;0,111;0,57;0,077;0,168;0;0,091;0,211
"rendre";0,177;0,214;0;0,558;0,607;0,087;0,112;0;0,564;0,587;0,249;0,146;0,77;0,355;0,69;0,077;0,124;0,255
"pizza";0,237;0,277;0,112;0,229;0,245;0,222;0,164;0,164;0,175;0,287;0,313;0,204;0,151;0,159;0,272;0,122;0,178;0
"new_yorkais";0,237;0,277;0,112;0,229;0,245;0,222;0,164;0,164;0,175;0,287;0,313;0,204;0,151;0,159;0,272;0,122;0,178;0
"livreur";0,237;0,277;0,112;0,229;0,245;0,222;0,164;0,164;0,175;0,287;0,313;0,204;0,151;0,159;0,272;0,122;0,178;0
"image";0,084;0,214;0,588;0,518;0;0,94;0,336;0,102;0,366;0,188;0,538;0,445;0,78;0,098;0,197;0,069;0,114;0,241
"enfant";0,803;0,628;0,232;0,17;0,006;0,535;0,112;0,01;0,199;0,224;0,821;0,482;0;0,107;0,21;0,077;0,124;0,255
"cryogénisé";0,237;0,277;0,112;0,229;0,245;0,222;0,164;0,164;0,175;0,287;0,313;0,204;0,151;0,159;0,272;0,122;0,178;0
"spécialiste";0,204;0,243;0,357;0,197;0,701;0,19;0,135;0,135;0,962;0,47;0,92;0,172;0,123;0;0,238;0,097;0,148;0,285
"mazaurette";0,165;0,201;0,062;0,158;0,172;0,151;0,102;0,102;0,111;0,21;0,236;0,135;0,091;0;0,197;0,069;0,114;0,241
"espace";0,323;0,363;0;0,315;0,331;0,307;0,818;0,244;0,859;0,138;0,399;0,959;0,23;0,504;0,358;0,196;0,26;0,669
"propre";0,504;0,745;0,055;0,481;0,161;0,14;0,306;0,093;0,77;0,651;0,591;0,125;0,854;0,089;0,185;0;0,104;0,229
"livre";0,091;0,296;0,425;0,483;0,424;0,795;0,769;0,181;0,639;0,306;0,332;0,153;0,836;0;0,291;0,137;0,195;0,338
"etienne";0,153;0,189;0,055;0,146;0,161;0,14;0,093;0,093;0,102;0,198;0,223;0,125;0,083;0;0,185;0,062;0,104;0,229
"carbonnier";0,153;0,189;0,055;0,146;0,161;0,14;0,093;0,093;0,102;0,198;0,223;0,125;0,083;0;0,185;0,062;0,104;0,229
"astronaute";0,159;0,195;0;0,152;0,166;0;0;0,321;0,67;0,671;0,229;0,13;0,087;0,307;0,191;0,065;0,109;0,235
"aller";0,204;0,243;0,004;0,04;0,212;0,625;0,135;0,149;0,146;0,833;0,279;0,069;0,547;0,164;0,786;0,097;0,148;0,36
"évoquer";0,454;0,978;0,425;0,248;0;0,117;0,054;0,181;0,192;0,306;0,226;0,222;0,167;0,583;0,337;0,137;0,195;0,338
"recherche";0,246;0,286;0;0,238;0,254;0,23;0,572;0,3;0,184;0,323;0,936;0,704;0,159;0,001;0,281;0,129;0,187;0,328
"quitter";0,522;0,195;0,194;0,499;0,166;0,145;0,097;0,736;0,106;0,204;0,229;0,427;0,287;0,769;0,626;0;0,109;0,235
"scientifique";0,674;0,506;0;0,703;0,701;0,737;0,98;0,448;0,146;0,01;0,92;0,172;0,408;0,13;0,238;0,097;0,148;0,285
"preuve";0,237;0,914;0,375;0,229;0,811;0;0,164;0,544;0,291;0,352;0,313;0,204;0,151;0,159;0,272;0,122;0,178;0,319
"humain";0,626;0,228;0,432;0,602;0,198;0,297;0;0,406;0;0,783;0,264;0,893;0,111;0,118;0,224;0,086;0,136;0,269
"histoire";0,598;0,259;0,332;0,631;0,142;0;0,112;0,149;0,16;0,41;0,326;0,619;0,453;0,43;0,255;0,109;0,163;0,301
"donner";0,77;0,221;0,074;0;0,005;0,169;0,117;0,052;0,178;0,001;0,256;0,503;0,664;0,113;0,216;0,082;0,13;0,262
"courir";0,835;0,683;0,066;0,348;0,178;0,157;0,107;0,352;0,383;0,217;0,242;0,995;0,096;0,102;0,203;0;0,119;0,248
"plateau";0,27;0,598;0,074;0;0;0,169;0,117;0,117;0,127;0,759;0;0,503;0,351;0,113;0,216;0,082;0,13;0,262
"maïa";0,177;0,214;0,07;0,17;0,185;0,163;0,112;0,112;0,122;0,224;0,249;0,146;0,101;0;0,21;0,077;0,124;0,255
"lointain";0,183;0,221;0,074;0,176;0,191;0;0,387;0,117;0,127;0,23;0,256;0,153;0,106;0,113;0,216;0;0,13;0,262
"expliquer";0,562;0,268;0,001;0,221;0;0,213;0,156;0,518;0,167;0,381;0,3;0,646;0,476;0,151;0,263;0,115;0,17;0,31
"débat";0,928;0;0,24;0,954;0,331;0,307;0,482;0,244;0,859;0,373;0,686;0,338;0,538;0,798;0,814;0,196;0,26;0,404
"dernier";0,7;0,251;0,732;0,675;0,726;0,04;0,47;0,47;0,104;0,085;0,287;0,594;0;0,991;0,246;0,102;0,155;0,293
"retrouver";0,727;0,259;0,099;0,701;0,564;0,664;0,493;0;0,16;0,269;0,974;0,187;0,99;0,144;0,255;0,109;0,163;0,993
"posséder";0,197;0,235;0,083;0,19;0,205;0,056;0,943;0,129;0,139;0,808;0,271;0,546;0,388;0,124;0,231;0;0,142;0,277
"origine";0,183;0,221;0;0,806;0,047;0;0,871;0,387;0,127;0,001;0,256;0,153;0,106;0,113;0,216;0,082;0,428;0,862
"comprendre";0,365;0,405;0,549;0,814;0,762;0,349;0,96;0;0,298;0,414;0,439;0,9;0,271;0,94;0,4;0,236;0,302;0,445
"terrien";0,19;0,228;0,626;0,183;0,198;0,175;0,906;0,123;0,965;0,238;0,868;0,159;0,111;0,118;0,224;0;0,136;0,269
"robot";0,604;0,728;0,246;0,176;0,191;0,169;0,117;0,871;0,127;0,23;0,458;0,503;0,106;0,113;0,216;0,082;0,13;0
"naître";0,183;0,221;0,246;0,176;0,191;0,169;0,117;0,117;0,127;0,23;0,256;0,153;0,002;0,113;0,216;0;0,13;0,262
"inviter";0;0,1;0,732;0,667;0,599;0,197;0,142;0,142;0,505;0,261;0,287;0,279;0,43;0;0,246;0,102;0,155;0,293
"frédéric";0,008;0,323;0,425;0,82;0,079;0,24;0,181;0,181;0,192;0,306;0,332;0,735;0,557;0;0,291;0,137;0,195;0,338
"voler";0,197;0,235;0,277;0,19;0,676;0,182;0,129;0,943;0,46;0,245;0,271;0,166;0,388;0,124;0,231;0;0,142;0,277
"vivre";0,65;0,235;0,134;0,19;0;0,182;0,515;0,515;0,139;0,245;0;0,166;0;0,124;0,231;0,091;0,142;0,277
"président";0,88;0,306;0,452;0,853;0,274;0,25;0,723;0,632;0,202;0,316;0,342;0,545;0,176;0,005;0;0,145;0,205;0,348
"membre";0,22;0,856;0,099;0,212;0,228;0,205;0,149;0,149;0,529;0,888;0,295;0,187;0,136;0,144;0;0,109;0,163;0,301
"général";0,31;0,351;0,792;0,298;0,319;0,294;0,232;0,232;0,245;0,36;0,387;0,275;0,59;0,226;0;0,184;0,248;0,392
"trouver";0,418;0,306;0,993;0,853;0,907;0;0,632;0,632;0,669;0,03;0,342;0,231;0,281;0,184;0,301;0,145;0,205;0,853
"revenir";0,228;0,268;0,353;0,158;0,015;0;0,156;0,518;0,167;0,917;0,304;0,646;0,429;0,106;0,263;0,115;0,17;0,31
"luc";0,309;0,003;0,673;0,327;0,292;0,509;0,452;0,452;0,464;0,565;0,586;0,387;0,438;0,512;0,553;0,403;0,467;0,59
"citation";0,837;0,39;0,708;0,342;0,359;0,334;0,383;0,271;0,95;0,4;0,425;0,258;0,256;0,403;0;0,221;0,287;0,431
"cas";0,598;0,259;0,699;0,701;0,753;0,677;0,941;0,149;0,16;0,269;0,326;0,745;0,99;0;0,255;0,109;0,163;0,301
"américain";0,001;0,945;0,399;0,238;0,842;0,551;0,001;0,066;0,052;0,296;0,936;0,212;0,159;0,554;0,281;0,129;0,187;0,328
"acteur";0,97;0,351;0,173;0,298;0,943;0,294;0,232;0,232;0,245;0,36;0,726;0,916;0,218;0;0,346;0,184;0,248;0,392
"témoin";0,228;0,414;0,106;0,158;0,237;0,704;0,518;0,156;0,554;0;0,3;0,195;0,476;0,151;0;0,115;0,17;0,31
"thierry";0,7;0,828;0,094;0,675;0,023;0,197;0,142;0,142;0,153;0,261;0,947;0,18;0,13;0;0;0,102;0,155;0,293
"sujet";0;0;0,127;0,103;0,079;0,24;0,181;0,601;0,192;0,306;0,332;0,735;0,167;0,287;0,962;0,137;0,195;0,338
"question";0;0,306;0;0,257;0,274;0,828;0,004;0,632;0,202;0,266;0,202;0,231;0,176;0,184;0,301;0,145;0,205;0,348
"manquer";0,204;0,243;0,088;0,197;0,212;0,19;0,448;0,135;0,146;0,253;0,279;0,172;0,188;0,13;0,238;0;0,148;0,285
"grandir";0,22;0,259;0,099;0,212;0,753;0,205;0,149;0,149;0,16;0,269;0,295;0,187;0,99;0,144;0,255;0;0,163;0,301
"forme";0,256;0,296;0,127;0,011;0,264;0,24;0,769;0,267;0,004;0;0,904;0,222;0,317;0,175;0,291;0,137;0,195;0,338
"député";0,228;0,884;0,106;0,221;0,237;0,213;0,156;0,156;0,167;0,278;0,304;0,706;0,143;0,501;0;0,115;0,17;0,31
"claude";0,788;0,405;0,757;0;0,762;0,349;0,286;0,286;0,298;0,414;0,052;0,9;0,38;0,94;0,4;0,236;0,302;0,445
"unir";0,038;0,403;0,239;0,446;0,461;0,551;0,377;0,377;0,39;0,015;0,522;0,42;0,78;0,127;0,486;0,326;0,393;0,527
"raconter";0,228;0,884;0,254;0,595;0,015;0,027;0,156;0,518;0,167;0,278;0;0,646;0,969;0,151;0,263;0,115;0,17;0,31
"porte";0,755;0,268;0,106;0,729;0,237;0,704;0,518;0,518;0,554;0,917;0,304;0,225;0,143;0,928;0;0,115;0,17;0,31
"intervenir";0,22;0,259;0,771;0,212;0,228;0,205;0,149;0,149;0,16;0,269;0,974;0,187;0,136;0,144;0,255;0;0,163;0,301
"figure";0,212;0,828;0,094;0,204;0,22;0,197;0,441;0,142;0,153;0,261;0,287;0,18;0,13;0,137;0,246;0;0,155;0,293
"édition";0,837;0,39;0,209;0,342;0,359;0,334;0,271;0,271;0,284;0,4;0,425;0,95;0,861;0;0,385;0,221;0,287;0,431
"visuel";0,58;0,611;0,458;0,574;0,587;0,568;0,515;0,515;0,526;0,618;0,637;0,552;0,502;0,329;0;0,47;0,529;0,641
"site";0,526;0,914;0,605;0,229;0,811;0;0,08;0,544;0,801;0,287;0,967;0,2;0,151;0,885;0,272;0,122;0,178;0,319
"secrétaire";0,365;0,405;0,223;0,814;0,373;0,349;0,286;0,286;0,299;0,414;0,558;0,33;0,271;0,28;0;0,236;0,302;0,445
"retour";0;0,002;0,135;0,257;0,274;0,25;0,19;0,19;0,202;0,316;0,342;0,545;0,176;0,049;0,995;0,145;0,205;0,853
"recevoir";0;0,978;0,165;0,483;0,264;0,513;0,601;0,181;0,192;0,99;0,904;0,735;0,557;0,583;0,291;0,137;0,195;0,338
"environnement";0,237;0,277;0,112;0,758;0,245;0,222;0,164;0,164;0,175;0,287;0,967;0,204;0,151;0,159;0,272;0,122;0,178;0
"danger";0,22;0,259;0,099;0,701;0,228;0,205;0,149;0,493;0,16;0,269;0,295;0,187;0,453;0,144;0,255;0;0,163;0,301
"affaire";0,97;0;0,173;0,302;0,943;0,321;0,232;0,531;0,245;0,36;0,117;0,916;0,59;0,226;0;0,184;0,248;0,392
"théoricien";0,237;0,277;0,222;0,229;0,245;0;0;0,164;0,175;0,352;0,313;0,204;0,151;0,159;0,272;0,122;0,178;0,319
"ciel";0,31;0,351;0,059;0,302;0,319;0,044;0,776;0,232;0,484;0;0,117;0,275;0,218;0,226;0,346;0,184;0,248;0,392
"visiteur";0,256;0,296;0,509;0,248;0,264;0,117;0;0,769;0,639;0,294;0,332;0,222;0,167;0,175;0,291;0,137;0,195;0,338
"témoignage";0,276;0,316;0,143;0,006;0,284;0,26;0,2;0,2;0,026;0,922;0;0,241;0,62;0,194;0,97;0,154;0,215;0,358
"parole";0,88;0,306;0,135;0,853;0,274;0,25;0,19;0,632;0,671;0,316;0,342;0,132;0,176;0,75;0;0,145;0,205;0,348
"objet";0,276;0,316;0,143;0,888;0,942;0,862;0,2;0,003;0,212;0;0,836;0,241;0,186;0,194;0,311;0,154;0,215;0,358
"femme";0,287;0,327;0,152;0,06;0,979;0,271;0,21;0,002;0,02;0,337;0,801;0,252;0;0,681;0,322;0,163;0,225;0,369
"entraîner";0,246;0,286;0,119;0,238;0,254;0,23;0,172;0,172;0,184;0,296;0,322;0,212;0,159;0,167;0,281;0;0,187;0,328
"créature";0,507;0,403;0,932;0,446;0,461;0,049;0,005;0,734;0,39;0,38;0,522;0,42;0,78;0,371;0,486;0,326;0,393;0,527
"connaître";0,256;0,296;0,165;0,248;0,874;0,24;0,769;0,601;0,192;0;0,001;0;0,836;0,175;0,291;0,137;0,195;0,338
"sse";0,246;0,286;0,119;0,238;0,254;0,23;0,172;0,172;0,184;0,296;0,322;0,212;0,159;0,167;0,281;0;0,187;0,328
"pté";0,246;0,286;0,119;0,238;0,254;0,23;0,172;0,172;0,184;0,296;0,322;0,212;0,159;0,167;0,281;0;0,187;0,328
"peupler";0,246;0,286;0,119;0,238;0,254;0,23;0,172;0,172;0,184;0,296;0,322;0,704;0,159;0,167;0,281;0,129;0,187;0
"partir";0,287;0,917;0,513;0,925;0,295;0,271;0,7;0,7;0,74;0,337;0,363;0;0,654;0,654;0,322;0,163;0,225;0,369
"mélenchon";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,065;0,717;0,609;0,657;0,742
"décontraction";0,246;0,286;0,119;0,238;0,254;0,23;0,172;0,172;0,184;0,296;0,322;0,212;0,159;0,167;0,281;0;0,187;0,328
"culture";0,276;0,001;0,143;0;0,942;0,007;0,034;0,665;0,212;0,922;0,353;0,802;0,741;0,194;0,311;0,154;0,215;0,358
"conquérant";0,246;0,286;0,119;0,238;0,254;0,23;0,172;0,172;0,184;0,296;0,322;0,212;0,159;0,167;0,281;0;0,187;0,328
"aile";0,246;0,286;0,119;0,238;0,254;0,23;0,172;0,172;0,184;0,296;0,322;0,212;0,159;0,167;0,281;0;0,187;0,328
"accidentellement";0,256;0,296;0,127;0,248;0,264;0,24;0,181;0,181;0,192;0,306;0,332;0,222;0,167;0,175;0,291;0,137;0,195;0
"temps";0,97;0,351;0,173;0,298;0,319;0,977;0,014;0,001;0,484;0,011;0,726;0,275;0,729;0,226;0,346;0,184;0,248;0,392
"rencontre";0,276;0,954;0,481;0;0,284;0;0,665;0,665;0,212;0,239;0,836;0,241;0,186;0,647;0,311;0,154;0,215;0,358
"penser";0,846;0,296;0,945;0,82;0,874;0,513;0,054;0,601;0;0,306;0,226;0,222;0,01;0,175;0,291;0,137;0,195;0,338
"mettre";0,846;0,002;0,945;0,248;0,264;0,24;0,601;0;0,23;0,306;0,904;0,222;0,317;0,583;0,291;0,137;0,195;0,338
"jour";0,951;0,235;0,369;0;0,321;0,271;0,21;0,7;0,578;0,886;0,801;0,252;0,196;0,681;0,322;0,163;0,225;0,369
"identifier";0,415;0,453;0,36;0,407;0,423;0,399;0,337;0,869;0,35;0;0,486;0,38;0,322;0,331;0,449;0,286;0,353;0,491
"découverte";0,041;0,339;0;0,963;0,307;0,004;0,221;0,737;0,233;0,349;0,764;0,263;0,69;0,605;0,334;0,173;0,236;0,38
"devenir";0,276;0,264;0,481;0,268;0,284;0,26;0;0,2;0,212;0,326;0,179;0,241;0;0,647;0,311;0,154;0,215;0,358
"voyage";0,122;0,42;0,81;0,763;0,389;0,365;0,302;0,987;0,315;0,429;0,513;0,346;0,287;0,303;0;0,251;0,318;0,46
"vaisseau";0,397;0,566;0,255;0,389;0,405;0,733;0,024;0,24;0;0,538;0,47;0,362;0,304;0,313;0,431;0,268;0,335;0,475
"sy";0,915;0,316;0,143;0,268;0,942;0,26;0,2;0,2;0,212;0,326;0,353;0,241;0,62;0;0;0,154;0,215;0,358
"pierre";0,928;0,363;0;0,954;0,901;0,307;0,244;0,244;0,859;0,373;0,098;0,338;0,23;0,798;0,358;0,196;0,26;0,404
"photo";0,99;0,339;0,162;0,963;0;0,937;0,221;0,221;0,233;0;0,375;0,263;0,206;0,215;0,334;0,173;0,236;0,38
"montrer";0,837;0,711;0,708;0,195;0,162;0,334;0,271;0,271;0,95;0,4;0;0,315;0,433;0,89;0,385;0,221;0,287;0,431
"humanité";0,31;0,351;0,059;0,302;0,319;0,044;0;0,776;0,484;0,36;0,387;0,275;0,218;0,226;0,346;0,184;0,248;0,392
"cnews";0,788;0,664;0,223;0,357;0,373;0,349;0,286;0,286;0,299;0,414;0,439;0,33;0,271;0,28;0;0,236;0,302;0,445
"bernard";0,88;0,306;0,452;0,008;0,066;0,828;0,19;0,19;0,202;0,316;0,871;0,231;0,588;0,184;0;0,145;0,205;0,348
"avocat";0,884;0,376;0,663;0,91;0,857;0,32;0,257;0,257;0,27;0,386;0,412;0,301;0,243;0,251;0;0,208;0,273;0,417
"affirmer";0,276;0,954;0,956;0,888;0,942;0,26;0,205;0,2;0;0,326;0,353;0,241;0,62;0,194;0,311;0,154;0,215;0,358
"écrivain";0,346;0,917;0,513;0,371;0,295;0,271;0,21;0,21;0,74;0,337;0,363;0,462;0,196;0,681;0;0,163;0,225;0,369
"françois";0,31;0;0,007;0,302;0,319;0,977;0,232;0,776;0,245;0,809;0,726;0;0,218;0,226;0,346;0,184;0,248;0,392
"famille";0,928;0,799;0,184;0,954;0,222;0,307;0,244;0,482;0,257;0,373;0,004;0,959;0;0,238;0,358;0,196;0,26;0,404
"extrait";0;0,181;0,173;0,997;0,254;0,294;0,232;0,232;0,245;0,36;0,726;0,275;0,218;0;0,346;0,184;0,248;0,392
"entier";0,365;0,405;0,757;0,357;0,762;0;0;0,286;0,999;0,077;0,439;0,33;0,271;0,28;0,4;0,236;0,302;0,445
"disciple";0,276;0,316;0,143;0,268;0,284;0,26;0,2;0,2;0,212;0,326;0,353;0,241;0,186;0,194;0,311;0;0,215;0,358
"consacrer";0,365;0,405;0,549;0;0,762;0,349;0,286;0,286;0,299;0,414;0,439;0,33;0,38;0,28;0,4;0,236;0,302;0,445
"équipe";0,276;0;0,173;0,302;0,943;0,294;0,232;0,124;0,01;0,809;0,387;0,379;0,729;0,226;0,346;0,184;0,248;0,392
"volant";0,97;0,84;0,173;0,302;0,319;0,294;0,776;0,124;0,484;0;0,387;0,275;0,218;0,226;0,346;0,184;0,248;0,392
"semaine";0,788;0;0,757;0,357;0;0,349;0,286;0,286;0,299;0,414;0,439;0,33;0,062;0,28;0,4;0,236;0,302;0,445
"laisser";0,31;0,351;0,173;0,997;0,319;0;0,014;0,014;0,245;0;0,726;0,275;0,729;0,226;0,346;0,184;0,248;0,392
"haut";0,99;0,339;0,162;0,29;0,307;0,282;0,737;0,221;0,233;0,848;0,764;0,876;0,69;0,718;0;0,173;0,236;0,38
"fois";0,928;0,363;0;0,954;0,331;0,307;0,244;0,244;0,257;0,768;0;0,338;0,23;0,798;0,814;0,196;0,26;0,404
"enquête";0,737;0,07;0,81;0,372;0,711;0;0,302;0,034;0,254;0,429;0,454;0,346;0,287;0,296;0,415;0,251;0,318;0,46
"déclaration";0,627;0,453;0,928;0,407;0,423;0,399;0,869;0,337;0,35;0,462;0,486;0,118;0,322;0;0,449;0,286;0,353;0,491
"anne";0,298;0,88;0,546;0,334;0,307;0,282;0,221;0,221;0,233;0,349;0,764;0,42;0,206;0;0,895;0,173;0,236;0,38
"ami";0,024;0,511;0,183;0,467;0,483;0,46;0,4;0,003;0,071;0,52;0,269;0,442;0,385;0,394;0,507;0,35;0,416;0,547
"visite";0,35;0,711;0,708;0,863;0,359;0;0,271;0,271;0,344;0,4;0,425;0,315;0,256;0,89;0,385;0,221;0,287;0,431
"réalité";0,415;0,453;0,928;0,407;0,423;0,399;0,869;0,197;0;0,462;0,486;0,118;0,917;0,331;0,449;0,286;0,353;0,491
"rester";0,397;0,566;0,423;0,708;0,003;0,381;0,24;0,001;0,889;0,445;0,47;0,362;0,304;0,313;0,431;0,268;0,335;0,475
"professeur";0,096;0,566;0,255;0;0,405;0,381;0,319;0,93;0,332;0,538;0,47;0,15;0,278;0,313;0,431;0,268;0,335;0,475
"pari";0,415;0,04;0,273;0;0,423;0,399;0,337;0,869;0,35;0,462;0,486;0,732;0,022;0,331;0,449;0,286;0,353;0,491
"lci";0,397;0,566;0,255;0,389;0,405;0,381;0,319;0,319;0,332;0,445;0,47;0,791;0,304;0,313;0;0,268;0,335;0,475
"information";0,684;0;0,423;0,389;0,658;0,381;0,319;0,93;0,332;0,445;0,47;0,791;0,978;0,313;0,431;0,268;0,335;0,475
"ex";0,323;0,363;0,184;0,315;0,901;0,307;0,244;0,244;0,437;0,373;0,399;0,959;0,23;0,112;0;0,196;0,26;0,669
