"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"co";0;0,678;0,545;0,647;0,658;0,641;0,596;0,136;0,605;0,684;0,7;0,628;0,584;0,591;0,037;0,555;0,608;0,704
"classe";0,614;0,643;0,498;0,122;0,62;0,602;0,553;0,553;0,563;0,649;0,667;0,588;0;0,548;0,639;0,509;0,566;0,671
"chantal";0,059;0,678;0,545;0,647;0,053;0,641;0,596;0,596;0,605;0,03;0,02;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"champ";0,652;0,035;0,545;0,647;0;0,641;0,596;0,136;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"centaine";0,696;0,72;0,118;0,691;0,701;0,687;0,061;0,646;0,654;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"cause";0,652;0,678;0,23;0,647;0,658;0,641;0,596;0,596;0,121;0,684;0,7;0,628;0,155;0,144;0,675;0,555;0,608;0,704
"castaner";0,021;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,012;0,609;0,657;0,742
"carte";0,614;0;0,498;0,608;0,62;0,602;0,553;0,553;0,563;0,065;0,667;0,156;0,54;0,548;0,639;0,509;0,566;0,671
"carrer";0,614;0,643;0,498;0;0,103;0,602;0,553;0,553;0,563;0,649;0,667;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"campagne";0,652;0,678;0,23;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,02;0;0,584;0,591;0,675;0,555;0,608;0,704
"bébé";0,696;0,72;0,6;0,691;0,701;0,027;0,646;0;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"but";0,614;0,643;0,011;0,608;0,62;0,602;0,002;0,224;0,563;0,649;0,667;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"bureau";0,614;0;0,347;0,608;0,62;0,602;0,553;0,553;0,563;0,649;0,667;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"bruit";0,652;0,035;0,545;0,065;0,658;0,072;0,596;0,596;0,605;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"brigade";0,614;0,643;0,498;0,608;0,62;0,602;0,553;0,002;0,563;0,649;0,667;0,588;0,54;0;0,639;0,509;0,566;0,671
"belge";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0,596;0,605;0;0,02;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"azem";0,614;0,643;0,498;0,608;0,62;0,602;0,553;0,553;0,563;0,649;0,667;0,588;0,54;0;0,639;0,509;0,566;0,671
"ayatollah";0;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,144;0,675;0,555;0,608;0,704
"avril";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,072;0,065;0,717;0,609;0,657;0,742
"avis";0,614;0,073;0,498;0,608;0,103;0,602;0,553;0,553;0,203;0,649;0,667;0,588;0,251;0,548;0,077;0,509;0,566;0,671
"avancé";0,614;0,643;0,498;0,608;0,62;0,602;0;0,553;0,563;0,649;0,667;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"astronomie";0,614;0,643;0,011;0,608;0,62;0,132;0,553;0,553;0,563;0;0,667;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"assurer";0,112;0,643;0,498;0,122;0,62;0,602;0,553;0,553;0,203;0,649;0,047;0,588;0,251;0,548;0,639;0,509;0,566;0,671
"arefi";0,614;0,643;0,498;0,608;0,62;0,602;0,553;0,553;0,563;0,649;0,667;0,588;0,54;0;0,639;0,509;0,566;0,671
"appareil";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"anthropologue";0,614;0,643;0,011;0,608;0,103;0,602;0,553;0,553;0,563;0,649;0;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"anonyme";0,614;0,643;0,011;0,608;0,62;0,602;0,553;0,553;0,203;0,649;0,667;0,588;0,004;0,548;0,639;0,509;0,566;0,671
"anglais";0,696;0,72;0,6;0,691;0,018;0,687;0,646;0,646;0,654;0,725;0;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"analyser";0,614;0,643;0,347;0,608;0,62;0,602;0,553;0,553;0,203;0;0,667;0,588;0,251;0,548;0,639;0,509;0,566;0,671
"amoureux";0,652;0,035;0,23;0,065;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"allusion";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,121;0,684;0,7;0,088;0,584;0,001;0,675;0,555;0,608;0,704
"adresse";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0,136;0,121;0,684;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"abstention";0,614;0,643;0,498;0,608;0,62;0,602;0,553;0,553;0,563;0,649;0,667;0,588;0,54;0;0,639;0,509;0,566;0,671
"aborder";0,696;0;0,6;0,691;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"étudiant";0,021;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"éternel";0,696;0,72;0,6;0,691;0,701;0,687;0;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"équilibre";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0;0,591;0,675;0,555;0,608;0,704
"énorme";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"élite";0,696;0;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"électricité";0,021;0,72;0,6;0,691;0,701;0,027;0,646;0,646;0,654;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"échapper";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0;0,121;0,684;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"zoom";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,155;0,001;0,675;0,555;0,608;0,704
"youuse";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0;0,675;0,555;0,608;0,704
"yeti";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,005;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"voisin";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,052;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
