"";"x"
"1";13
"2";11
"3";5
"4";1
"5";0
"6";4
"7";3
"8";9
"9";11
"10";9
"11";3
"12";8
"13";0
"14";4
"15";0
"16";4
"17";5
"18";13
"19";9
"20";3
"21";3
"22";9
"23";11
"24";11
"25";11
"26";0
"27";3
"28";2
"29";11
"30";2
"31";5
"32";8
"33";3
"34";1
"35";5
"36";5
"37";5
"38";4
"39";0
"40";4
"41";5
"42";5
"43";5
"44";4
"45";9
"46";4
"47";8
"48";9
"49";0
"50";0
"51";0
"52";0
"53";18
"54";18
"55";18
"56";18
"57";18
"58";18
"59";18
"60";18
"61";18
"62";18
"63";18
"64";18
"65";18
"66";18
"67";9
"68";18
"69";18
"70";18
"71";9
"72";18
"73";18
"74";18
"75";18
"76";18
"77";18
"78";9
"79";8
"80";18
"81";18
"82";8
"83";18
"84";18
"85";18
"86";18
"87";12
"88";11
"89";1
"90";12
"91";12
"92";13
"93";5
"94";13
"95";13
"96";8
"97";0
"98";0
"99";18
"100";18
"101";18
"102";18
"103";18
"104";18
"105";0
"106";0
"107";0
"108";12
"109";18
"110";18
"111";18
"112";18
"113";18
"114";18
"115";18
"116";18
"117";9
"118";10
"119";7
"120";6
"121";7
"122";7
"123";7
"124";3
"125";9
"126";6
"127";9
"128";7
"129";6
"130";8
"131";6
"132";6
"133";3
"134";6
"135";9
"136";6
"137";6
"138";7
"139";9
"140";1
"141";1
"142";3
"143";4
"144";10
"145";1
"146";11
"147";8
"148";8
"149";8
"150";8
"151";8
"152";0
"153";1
"154";8
"155";0
"156";8
"157";8
"158";11
"159";4
"160";12
"161";8
"162";9
"163";8
"164";9
"165";9
"166";8
"167";3
"168";3
"169";4
"170";6
"171";3
"172";3
"173";7
"174";17
"175";9
"176";9
"177";10
"178";0
"179";4
"180";13
"181";13
"182";0
"183";13
"184";13
"185";12
"186";1
"187";13
"188";12
"189";13
"190";9
"191";4
"192";13
"193";5
"194";4
"195";5
"196";13
"197";6
"198";5
"199";13
"200";7
"201";8
"202";8
"203";16
"204";16
"205";16
"206";16
"207";16
"208";16
"209";16
"210";16
"211";16
"212";16
"213";16
"214";16
"215";16
"216";16
"217";16
"218";16
"219";16
"220";16
"221";16
"222";16
"223";16
"224";16
"225";16
"226";16
"227";16
"228";16
"229";16
"230";16
"231";16
"232";16
"233";16
"234";16
"235";16
"236";16
"237";16
"238";16
"239";8
"240";13
"241";16
"242";16
"243";16
"244";16
"245";16
"246";16
"247";16
"248";16
"249";16
"250";16
"251";16
"252";16
"253";7
"254";7
"255";3
"256";9
"257";6
"258";6
"259";7
"260";3
"261";7
"262";16
"263";16
"264";16
"265";16
"266";16
"267";16
"268";16
"269";16
"270";9
"271";8
"272";9
"273";3
"274";12
"275";2
"276";15
"277";0
"278";0
"279";15
"280";15
"281";15
"282";15
"283";0
"284";15
"285";15
"286";0
"287";0
"288";0
"289";0
"290";0
"291";0
"292";12
"293";0
"294";0
"295";0
"296";0
"297";0
"298";2
"299";0
"300";0
"301";12
"302";0
"303";0
"304";0
"305";0
"306";0
"307";7
"308";7
"309";0
"310";0
"311";2
"312";0
"313";0
"314";0
"315";15
"316";15
"317";0
"318";15
"319";15
"320";0
"321";0
"322";3
"323";0
"324";15
"325";15
"326";0
"327";0
"328";15
"329";15
"330";13
"331";15
"332";1
"333";15
"334";15
"335";15
"336";15
"337";15
"338";15
"339";2
"340";15
"341";15
"342";15
"343";15
"344";15
"345";15
"346";15
"347";15
"348";15
"349";15
"350";15
"351";0
"352";15
"353";15
"354";15
"355";15
"356";15
"357";15
"358";15
"359";15
"360";15
"361";15
"362";15
"363";15
"364";15
"365";15
"366";15
"367";0
"368";15
"369";15
"370";15
"371";17
"372";17
"373";17
"374";17
"375";17
"376";17
"377";17
"378";17
"379";17
"380";17
"381";17
"382";17
"383";17
"384";17
"385";17
"386";17
"387";17
"388";17
"389";17
"390";17
"391";17
"392";17
"393";17
"394";17
"395";17
"396";17
"397";17
"398";17
"399";17
"400";17
"401";17
"402";17
"403";17
"404";17
"405";17
"406";17
"407";17
"408";17
"409";17
"410";17
"411";17
"412";17
"413";17
"414";17
"415";17
"416";17
"417";17
"418";17
"419";17
"420";17
"421";17
"422";17
"423";17
"424";17
"425";17
"426";17
"427";17
"428";17
"429";0
"430";0
"431";13
"432";0
"433";0
"434";5
"435";0
"436";0
"437";0
"438";17
"439";17
"440";17
"441";17
"442";17
"443";17
"444";17
"445";17
"446";17
"447";17
"448";17
"449";17
"450";17
"451";3
"452";3
"453";3
"454";10
"455";11
"456";4
"457";7
"458";9
"459";10
"460";10
"461";10
"462";3
"463";10
"464";3
"465";3
"466";3
"467";9
"468";11
"469";5
"470";11
"471";4
"472";10
"473";3
"474";3
"475";5
"476";10
"477";4
"478";5
"479";3
"480";3
"481";17
"482";17
"483";17
"484";17
"485";17
"486";17
"487";0
"488";9
"489";2
"490";8
"491";3
"492";16
"493";16
"494";16
"495";16
"496";16
"497";16
"498";9
"499";16
"500";16
"501";16
"502";16
"503";16
"504";16
"505";16
"506";16
"507";16
"508";16
"509";16
"510";16
"511";16
"512";16
"513";16
"514";16
"515";16
"516";16
"517";16
"518";16
"519";16
"520";16
"521";16
"522";16
"523";16
"524";16
"525";16
"526";9
"527";9
"528";9
"529";16
"530";16
"531";16
"532";16
"533";16
"534";16
"535";16
"536";16
"537";16
"538";16
"539";16
"540";16
"541";3
"542";3
"543";7
"544";7
"545";7
"546";7
"547";7
"548";7
"549";0
"550";3
"551";7
"552";3
"553";3
"554";10
"555";6
"556";10
"557";6
"558";7
"559";7
"560";7
"561";10
"562";7
"563";7
"564";3
"565";7
"566";7
"567";3
"568";9
"569";3
"570";10
"571";10
"572";10
"573";3
"574";3
"575";6
"576";7
"577";9
"578";7
"579";7
"580";7
"581";6
"582";7
"583";3
"584";3
"585";6
"586";6
"587";10
"588";10
"589";7
"590";7
"591";6
"592";7
"593";7
"594";9
"595";0
"596";8
"597";9
"598";7
"599";2
"600";14
"601";14
"602";14
"603";12
"604";12
"605";9
"606";12
"607";2
"608";14
"609";11
"610";0
"611";0
"612";4
"613";14
"614";14
"615";14
"616";14
"617";14
"618";3
"619";0
"620";14
"621";14
"622";5
"623";14
"624";15
"625";15
"626";0
"627";2
"628";0
"629";0
"630";14
"631";2
"632";12
"633";0
"634";1
"635";2
"636";14
"637";14
"638";14
"639";12
"640";1
"641";14
"642";11
"643";2
"644";14
"645";14
"646";14
"647";14
"648";14
"649";0
"650";14
"651";4
"652";14
"653";14
"654";14
"655";12
"656";12
"657";14
"658";4
"659";14
"660";12
"661";9
"662";1
"663";2
"664";13
"665";4
"666";0
"667";4
"668";4
"669";0
"670";11
"671";0
"672";3
"673";0
"674";9
"675";0
"676";0
"677";11
"678";11
"679";6
"680";3
"681";4
"682";6
"683";6
"684";7
"685";7
"686";7
"687";7
"688";7
"689";7
"690";3
"691";9
"692";9
"693";8
"694";6
"695";7
"696";6
"697";10
"698";7
"699";6
"700";6
"701";6
"702";11
"703";11
"704";11
"705";11
"706";11
"707";5
"708";11
"709";5
"710";5
"711";0
"712";0
"713";0
"714";0
"715";9
"716";0
"717";0
"718";3
"719";0
"720";0
"721";3
"722";0
"723";0
"724";10
"725";0
"726";0
"727";3
"728";0
"729";0
"730";10
"731";7
"732";7
"733";7
"734";7
"735";10
"736";7
"737";5
"738";14
"739";0
"740";6
"741";14
"742";4
"743";14
"744";14
"745";14
"746";1
"747";14
"748";13
"749";9
"750";4
"751";0
"752";14
"753";14
"754";3
"755";3
"756";14
"757";14
"758";0
"759";1
"760";14
"761";14
"762";1
"763";12
"764";1
"765";14
"766";14
"767";0
"768";14
"769";14
"770";2
"771";14
"772";14
"773";8
"774";1
"775";1
"776";1
"777";12
"778";3
"779";0
"780";12
"781";14
"782";14
"783";9
"784";1
"785";14
"786";14
"787";14
"788";14
"789";12
"790";14
"791";14
"792";14
"793";1
"794";12
"795";14
"796";14
"797";1
"798";9
"799";14
"800";0
"801";6
"802";6
"803";7
"804";6
"805";8
"806";6
"807";4
"808";4
"809";7
"810";8
"811";10
"812";3
"813";6
"814";6
"815";7
"816";3
"817";9
"818";7
"819";6
"820";7
"821";2
"822";6
"823";0
"824";3
"825";3
"826";3
"827";7
"828";7
"829";6
"830";2
"831";2
"832";14
"833";14
"834";3
"835";14
"836";14
"837";14
"838";14
"839";14
"840";1
"841";1
"842";14
"843";14
"844";10
"845";8
"846";14
"847";14
"848";0
"849";0
"850";14
"851";14
"852";5
"853";13
"854";14
"855";14
"856";0
