"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"toute";-0,0405;-0,3806;0,487;0,2746;-0,0133;-0,0092;0,4802;0,456;1,3382;-0,9604;-0,4275;-0,0085;0,5262;-0,0074;-0,2727;-0,2975;0,309;-0,0904;-0,0514;-0,1673;0,5402;-0,1708;-0,0161;-0,009
"affaire";-0,0422;1,9427;5,8302;-0,3565;-0,0139;-0,0096;-0,5465;-0,2038;-0,373;-2,1866;-0,4453;-0,0089;-0,1599;-0,0077;0,8683;0,2857;-0,3055;-0,0941;-0,0535;-0,1743;-0,8839;0,4574;-0,0168;-0,0094
"chronique";-0,0573;1,4882;-0,7345;-1,8022;-0,0189;-0,013;1,0781;15,0302;-0,5074;-4,3009;-0,2212;-0,0121;-0,2175;-0,0105;-0,3863;-1,047;-0,4155;-0,128;-0,0728;-0,2371;-1,2022;0,2599;-0,0228;-0,0128
"vigier";-0,0236;-0,222;18,4104;-0,742;-0,0078;-0,0054;-0,306;-0,5553;-0,2089;-1,7706;-0,2494;-0,005;-0,0895;-0,0043;-0,159;-0,4311;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,5311;-0,0094;-0,0053
"ambre";-0,0877;-0,8248;-1,1235;-0,8617;-0,0288;-0,0199;-1,1369;-2,0632;-0,7761;-5,3096;-0,9265;-0,0185;-0,3327;-0,016;-0,5909;50,6985;-0,6355;-0,1958;-0,1113;-0,3627;-1,8389;-1,9733;-0,0349;-0,0196
"rick";-0,0219;-0,2061;-0,2808;-0,689;-0,0072;-0,005;-0,2841;-0,5156;-0,194;7,7694;-0,2316;-0,0046;-0,0831;-0,004;-0,1477;-0,4003;-0,1588;-0,0489;-0,0278;-0,0906;-0,4596;-0,4932;-0,0087;-0,0049
"guerre";-0,027;-0,2537;-0,3456;2,1808;-0,0089;-0,0061;-0,3497;-0,2315;-0,2387;-1,2168;-0,285;-0,0057;-0,1023;-0,0049;-0,1818;1,0367;-0,1955;-0,0602;-0,0342;-0,1116;-0,5657;0,407;5,706;-0,006
"souvenir";2,7617;-0,2537;-0,3456;0,2492;-0,0089;-0,0061;-0,3497;-0,2315;0,3738;-0,7198;0,3177;-0,0057;-0,1023;-0,0049;-0,1818;-0,4927;-0,1955;-0,0602;-0,0342;-0,1116;-0,5657;3,7815;-0,0107;-0,006
"demander";1,1062;-0,333;-0,4536;0,3566;-0,0116;-0,008;0,5595;-0,833;0,8036;-1,1495;0,2385;-0,0075;1,4283;-0,0065;-0,2386;-0,2412;-0,2566;-0,0791;-0,0449;-0,1464;-0,2982;2,2104;-0,0141;-0,0079
"parler";-0,0472;-0,444;0,8165;-0,818;-0,0155;-0,0107;1,9649;4,9335;0,2091;-3,5418;-0,4988;-0,01;-0,1791;-0,0086;0,2846;0,2365;-0,3421;0,6664;-0,0599;-0,1952;-0,99;0,3779;-0,0188;-0,0105
"fry";-0,0894;-0,8406;-1,1451;-1,913;-0,0294;-0,0203;-1,1588;-2,1028;-0,791;-6,7056;-0,9443;-0,0189;-0,3391;-0,0163;-0,6023;-1,6324;79,5697;-0,1996;-0,1134;-0,3696;-1,8743;-2,0112;-0,0356;-0,02
"penser";-0,0506;-0,4757;-0,648;-1,5902;-0,0166;-0,0115;0,7428;0,5786;-0,1361;-2,7477;0,9281;3,5497;0,4472;-0,0092;1,3814;-0,9238;0,2441;-0,113;-0,0642;1,085;0,6901;0,9955;-0,0201;-0,0113
"suivre";-0,0337;0,7964;0,2005;-0,5041;-0,0111;-0,0077;0,5897;1,0411;0,3036;-2,5296;0,7191;-0,0071;-0,1279;-0,0062;0,39;0,3959;-0,2444;-0,0753;-0,0428;-0,1394;0,3273;0,2946;-0,0134;-0,0075
"superhéros";-0,0961;-0,9041;-1,2316;-2,0975;-0,0316;-0,0219;-1,2463;-2,2616;-0,8508;29,938;-1,0156;-0,0203;-0,3647;-0,0176;-0,2477;-1,7557;-0,6966;-0,2147;-0,122;-0,3975;-2,0158;-2,1631;-0,0383;-0,0215
"évoquer";-0,0793;2,8701;1,5956;-1,0878;-0,0261;-0,018;13,7749;-1,8647;-0,7015;-5,9461;-0,3648;-0,0167;-0,3007;-0,0145;-0,5341;0,3949;-0,5744;-0,177;-0,1006;0,7644;0,5157;-1,7835;-0,0315;-0,0177
"emploi";-0,0185;13,4366;0,3754;-0,583;-0,0061;-0,0042;-0,2404;-0,4363;-0,1641;-1,3912;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;-0,1344;-0,0414;-0,0235;-0,0767;-0,3889;-0,4173;-0,0074;-0,0041
"tête";-0,2076;-0,7481;-1,7966;-2,4666;-0,0683;-0,0472;-2,6909;-3,7763;-1,112;42,6275;-0,906;-0,0438;-0,3358;-0,0379;-0,7685;-2,0856;-1,504;-0,4635;-0,2634;-0,8583;-4,3523;-2,184;-0,0826;-0,0463
"empêcher";-0,0185;-0,1744;-0,2376;0,4368;-0,0061;-0,0042;0,3715;-0,4363;0,5021;-1,3912;1,1563;-0,0039;-0,0703;-0,0034;-0,125;0,2664;-0,1344;-0,0414;-0,0235;-0,0767;0,228;1,2368;-0,0074;-0,0041
"marcher";-0,0202;0,4501;-0,2592;-0,636;-0,0067;-0,0046;0,9404;1,0943;0,4713;-1,5177;1,9645;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;1,0052;-0,0257;-0,0837;0,2052;-0,4552;-0,0081;-0,0045
"possible";-0,0337;-0,3171;-0,432;-1,06;-0,0111;-0,0077;-0,4372;0,2748;0,3036;-2,5296;-0,3563;-0,0071;-0,1279;-0,0062;-0,2272;-0,2232;-0,2444;-0,0753;-0,0428;0,5612;7,2452;1,0946;-0,0134;-0,0075
"hassaine";-0,0185;-0,1744;-0,2376;-0,583;-0,0061;-0,0042;-0,2404;-0,4363;-0,1641;-1,3912;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;12,817;-0,1344;-0,0414;-0,0235;-0,0767;-0,3889;-0,4173;-0,0074;-0,0041
"théorie";-0,027;-0,2537;-0,3456;-0,848;1,6942;-0,0061;-0,3497;-0,6346;-0,2387;-2,0236;-0,285;-0,0057;-0,1023;-0,0049;-0,1818;-0,4927;-0,1955;-0,0602;9,9867;2,7143;3,0382;-0,607;-0,0107;-0,006
