"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"technologie";0;0,44;0;0,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,82;1,98;1,61;0,38;0;0
"observation";0;0;0;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,01;0;0;0
"sol";0;0;0;0;0;0;0;0,36;0;0;0,78;0;0;0;0;0;0;0;0;0;0,6;0,56;0;0
"son";16,26;1,76;0,97;4,11;0;0;6,74;8,84;13,06;0,31;9,41;0;11,85;22,22;16,47;2,76;2,27;18,25;0;0,99;1,61;12,43;0;0
"ligue";0;0;0;2,06;0;0;0;0;0;0,19;0;0;2,16;0;1,83;0;0;0;0;0;0;0;0;0
"corps";0;0;0;0,14;0;0;0;0,9;0;0,19;0,78;0;0;0;1,22;0;0;0;6,41;0;0;1,88;0;0
"minute";0;0,88;0;0;0;0;0,32;0;0,47;1,62;0,39;0;0;0;1,22;0,23;0;0;0;0;0;0;0;0
"cette";0;2,2;0,65;3,29;0;0;1,6;3,43;0,93;0,06;2,74;0;0;0;0,61;1,15;0;3,65;6,41;1,98;0,81;2,64;0;18,18
"solère";0;0;4,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"égyptien";0;0;0;0;0;0;0;0,18;0;0;0;0;0;0;0;0;0;0;0;0,99;1,81;0;0;0
"sommaire";0;1,32;0,32;0,14;0;0;0,96;0,18;0;0;0,78;0;0;0;0;0,69;0;0;0;0;0;0,38;0;0
"nadia";0;7,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"daam";0;7,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
