"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"homme";19,164;-4,423;1,49;-3,291;-0,887;-2,001
"extraire";39,761;-2,16;-2,823;-3,291;-0,887;-2,001
"terre";2,472;-1,591;9,861;-2,814;-0,759;-1,711
"r";-2,983;17,726;-2,007;0,01;-0,631;-1,422
"premier";-1,186;0,078;0,928;2,259;-0,695;-1,566
"planète";2,472;0,011;0;-0,036;-0,759;-1,711
"partir";-3,286;-1,317;-2,21;-2,577;-0,695;63,692
"média";32,854;-1,591;-2,414;-2,814;-0,759;-1,711
"venir";1,695;1,536;-0,797;-0,929;-0,251;-0,565
"témoignage";1,171;-3,463;0,022;5,199;-0,695;-1,566
"rencontre";0,772;-3,783;-0,595;12,485;-0,759;-1,711
"question";8,754;-1,591;2,483;-2,814;-0,759;-1,711
"nparanormal";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"mystérieux";-0,133;-3,463;11,649;0,527;-0,695;-1,566
"music";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"mort";34,32;-3,145;-2,007;-2,34;-0,631;-1,422
"jean";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"dimensione";-3,286;-3,463;-2,21;-2,577;-0,695;79,281
"ciel";-1,782;6,165;0;-0,018;-0,377;-0,849
"astuce";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"étrange";-0,938;-1,051;13,833;0,01;-0,631;-1,422
"société";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"replay";-2,983;32,56;-2,007;-2,34;-0,631;-1,422
"portali";-2,983;-3,145;-2,007;-2,34;-0,631;71,988
"personnel";17,059;-1,563;-0,997;-1,163;-0,314;-0,707
"p";-2,081;22,711;-1,4;-1,632;-0,44;-0,992
"over";-2,081;22,711;-1,4;-1,632;-0,44;-0,992
"noël";-1,483;8,811;-0,997;-1,163;1,818;-0,707
"noddbods";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nmortal";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"nen";22,613;-2,827;-1,804;-0,351;-0,567;-1,279
"mission";-1,185;-1,249;3,256;-0,929;-0,251;5,28
"index";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"incident";-1,483;-0,038;-0,997;12,359;-0,314;-0,707
"filmer";-1,186;-1,317;-2,21;29,034;-0,695;-1,566
"dei";-0,938;-1,051;-2,007;-2,34;-0,631;42,891
