"";"x"
"639";3
"640";3
"641";3
"642";2
"643";0
"644";3
"645";0
"646";3
"647";0
"648";0
"649";1
"650";0
"651";3
"652";0
"653";2
"654";1
"655";0
"656";0
"657";4
"658";0
"659";0
"660";5
"661";2
"662";4
"663";1
"664";4
"665";0
"666";0
"667";3
"668";2
"669";3
"670";5
"671";0
"672";0
"673";1
"674";1
"675";1
"676";5
"677";0
"678";1
"679";0
"680";4
"681";5
"682";0
"683";0
"684";4
"685";0
"686";0
"687";3
"688";2
"689";0
"690";3
"691";0
"692";0
"693";1
"694";1
"695";0
"696";3
"697";0
"698";0
"699";0
"700";3
"701";0
"702";4
"703";1
"704";0
"705";3
"706";4
"707";1
"708";1
"709";0
"710";3
"711";0
"712";3
"713";0
"714";1
"715";4
"716";6
"717";1
"718";5
"719";0
"720";1
"721";3
"722";0
"723";2
"724";4
"725";1
"726";0
"727";1
"728";3
"729";1
"730";0
"731";0
"732";4
"733";3
"734";1
"735";0
"736";1
"737";0
"738";5
"739";0
"740";3
"741";2
"742";1
"743";5
"744";1
"745";0
"746";0
"747";0
"748";1
"749";3
"750";0
"751";1
"752";3
"753";0
"754";1
"755";1
"756";1
"757";3
"758";5
"759";3
"760";0
"761";2
"762";1
"763";4
"764";1
"765";3
"766";3
"767";4
"768";1
"769";0
"770";0
"771";0
"772";1
"773";0
"774";1
"775";0
"776";1
"777";0
"778";1
"779";1
"780";0
"781";0
"782";0
"783";0
"784";1
"785";5
"786";1
"787";0
"788";0
"789";0
"790";4
"791";2
"792";3
"793";3
"794";0
"795";0
"796";1
"797";0
"798";3
"799";0
"800";4
"801";4
"802";1
"803";3
"804";4
"805";4
"806";5
"807";0
"808";0
"809";1
"810";0
"811";0
"812";0
"813";1
"814";1
"815";1
"816";3
"817";3
"818";0
"819";1
"820";0
"821";3
"822";3
"823";3
"824";3
"825";3
"826";1
"827";1
"828";5
"829";0
"830";0
"831";0
"832";3
"833";1
"834";1
"835";3
"836";1
"837";0
"838";0
"839";0
"840";1
"841";0
"842";0
"843";1
"844";2
"845";3
"846";1
"847";0
"848";4
"849";0
"850";2
"851";0
"852";5
"853";3
"854";4
"855";4
"856";1
"857";3
"858";5
"859";1
"860";0
"861";1
"862";0
"863";3
"864";0
"865";0
"866";1
"867";1
"868";0
"869";4
"870";0
"871";1
"872";1
"873";3
"874";3
"875";0
"876";5
"877";0
"878";3
"879";3
"880";5
"881";0
"882";0
"883";4
"884";1
"885";1
"886";0
"887";1
"888";0
"889";1
"890";1
"891";4
"892";0
"893";4
"894";1
"895";1
"896";2
"897";2
"898";0
"899";2
"900";2
"901";1
"902";2
"903";2
"904";2
"905";1
"906";2
"907";2
"908";2
"909";2
"910";2
"911";2
"912";2
"913";2
"914";2
"915";0
"916";0
"917";0
"918";0
"919";3
"920";0
"921";3
"922";0
"923";0
"924";2
"925";2
"926";0
"927";2
"928";2
"929";2
"930";3
"931";2
"932";1
"933";2
"934";2
"935";1
"936";4
"937";4
"938";3
"939";4
"940";1
"941";0
"942";1
"943";4
"944";0
"945";5
"946";0
"947";1
"948";5
"949";3
"950";0
"951";3
"952";0
"953";4
"954";3
"955";0
"956";0
"957";4
"958";4
"959";4
"960";2
"961";4
"962";0
"963";0
"964";4
"965";4
"966";4
"967";0
"968";1
"969";4
"970";3
"971";0
"972";1
"973";1
"974";4
"975";0
"976";0
"977";4
"978";4
"979";4
"980";4
"981";4
"982";4
"983";4
"984";4
"985";4
"986";4
"987";4
"988";4
"989";0
"990";1
"991";4
"992";0
"993";0
"994";0
"995";0
"996";0
"997";0
"998";0
"999";0
"1000";0
"1001";3
"1002";0
"1003";3
"1004";0
"1005";0
"1006";3
"1007";0
"1008";0
"1009";1
"1010";0
"1011";2
"1012";0
"1013";3
"1014";4
"1015";0
"1016";0
"1017";4
"1018";0
"1019";2
"1020";0
"1021";0
"1022";0
"1023";0
"1024";0
"1025";0
"1026";2
"1027";0
"1028";0
"1029";4
"1030";4
"1031";4
"1032";4
"1033";0
"1034";0
"1035";3
"1036";0
"1037";1
"1038";2
"1039";2
"1040";2
"1041";2
"1042";2
"1043";2
"1044";0
"1045";0
"1046";3
"1047";3
"1048";2
"1049";2
"1050";1
"1051";2
