"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"ovni";0;0;0;0;0;0
"btlv";0;0;0;0;0,001;0
"www";0;0;0;0;0,013;0
"youtube";0;0;0;0;0,032;0,001
"com";0;0;0;0;0,025;0,001
"mikecriss";0;0;0;0;0,006;0
"blog";0;0;0;0;0,006;0
"https";0,002;0;0,007;0,001;0,082;0,009
"tv";0,001;0;0,001;0,002;0,075;0,007
"extraterrestre";0,011;0,007;0;0,001;0,139;0,002
"espace";0;0,086;0,02;0,003;0;0,004
"http";0;0;0,001;0;0,066;0,006
"urn";0;0;0,009;0,001;0,089;0,011
"ufo";0,612;0;0,991;0,093;0,384;0,191
"wat";0,003;0;0,015;0,008;0,171;0,04
"vidéo";0,003;0;0,062;0,033;0,12;0,191
"zinzin";0;0;0,003;0,001;0;0,012
"watch";0,001;0;0,006;0,003;0,126;0,022
"the";0,003;0,538;0,017;0,01;0,179;0
"fr";0,374;0;0,11;0,019;0,225;0,068
"radio";0;0,001;0,011;0,001;0,097;0,013
"partie";0,88;0,931;0,757;0,173;0,478;0,287
"mystère";0;0,061;0,024;0,055;0,205;0,057
"saison";0,001;0,181;0,016;0,014;0;0,024
"hd";0,001;0,019;0,005;0,002;0;0,018
"secret";0,118;0,037;0,518;0,016;0,137;0
"aller";0;0,061;0,294;0,006;0,157;0,077
"français";0,084;0;0,157;0,475;0,427;0,233
"scicos";0,002;0,021;0;0,393;0,157;0,033
"petit";0,203;0,761;0,39;0,201;0,507;0,319
"paranormal";0;0,03;0,053;0,031;0,171;0,04
"alien";0,004;0;0;0,011;0,187;0,048
"vie";0;0,311;0,021;0,013;0,196;0,052
"kombat";0,123;0;0,206;0,172;0,478;0,287
"grand";0,002;0,913;0,34;0,942;0,235;0,075
"david";0,369;0,021;0,042;0,006;0,157;0
"crop";0,078;0,332;0,205;0,039;0,284;0
"nhttps";0,07;0;0,137;0,108;0,405;0,211
"france";0,019;0,006;0,021;0;0,196;0,052
"di";0,007;0,022;0,027;0,017;0,215;0
"part";0,019;0,016;0,077;0,013;0,196;0
"html";0,008;0;0,03;0,019;0,225;0,592
"aliens";0,006;0,061;0;0,015;0,687;0,057
"episode";0,008;0,223;0,03;0,019;0;0,068
"bob";0;0,693;0,044;0,11;0,258;0,09
"inexpliqué";0;0,039;0,039;0,026;0,247;0,082
"compilation";0,006;0,019;0,024;0,055;0;0,057
"énigme";0,001;0,78;0,503;0,108;0,405;0,211
"monde";0;0,097;0,263;0,998;0,313;0,13
"channel";0,198;0;0,05;0,034;0,271;0,098
"semaine";0,325;0,029;0;0,06;0,329;0,143
"icke";0,008;0,007;0,03;0,019;0,225;0
"film";0,028;0,002;0,11;0,516;0,313;0,13
"code";0,402;0;0,179;0,147;0,451;0,258
"cinéma";0,01;0,913;0,034;0;0,235;0,075
"space";0,024;0,02;0,064;0,045;0,298;0
"mortal";0,149;0;0,237;0,201;0,507;0,319
"i";0,034;0;0,717;0,226;0,329;0,143
"video";0,017;0;0,05;0,034;0,271;0,098
"trouver";0,017;0,172;0;0,034;0,271;0,098
"pompier";0,882;0,003;0,318;0,281;0,576;0,4
"novni";0,041;0;0,093;0,07;0,346;0,157
"new";0,276;0,215;0,071;0,335;0,617;0,452
"ufologie";0,662;0,08;0,44;0,404;0,665;0,515
"circles";0,191;0,171;0,387;0,081;0,364;0
"sub";0,017;0,056;0,05;0,034;0,271;0
"histoire";0,001;0,097;0,66;0,52;0,313;0,13
"by";0,084;0;0,157;0,126;0,427;0,233
"spatial";0,223;0;0,318;0,281;0,576;0,4
"révélation";0,214;0,02;0,149;0,078;0,298;0,118
"ita";0,02;0,017;0,056;0,039;0,284;0
"fortnite";0,024;0,242;0;0,045;0,298;0,118
"edge";0,02;0,017;0,056;0,039;0,284;0
"cutting";0,02;0,017;0,056;0,039;0,284;0
"beyond";0,02;0,017;0,056;0,039;0,284;0
"soirée";0,193;0,215;0,372;0,335;0,617;0,452
"nouveau";0,522;0,055;0,164;0,081;0,778;0,173
"facebook";0,084;0;0,157;0,126;0,427;0,233
"annonce";0,16;0;0,093;0,261;0,346;0,157
"émission";0;0,664;0,137;0,408;0,405;0,211
"us";0,882;0,39;0,835;0,944;0,576;0,4
"univers";0,004;0,786;0,717;0,06;0,329;0,143
"nasa";0,16;0,089;0,052;0,07;0,346;0,822
"chasseur";0,028;0,097;0,072;0;0,313;0,13
"vérité";0;0,957;0,106;0,081;0,364;0,173
"phénomène";0;0,035;0,34;0,07;0,346;0,157
"nufo";0,149;0;0,237;0,201;0,507;0,319
"instagram";0,123;0;0,206;0,172;0,478;0,287
"halloween";0,346;0,002;0,44;0,404;0,665;0,515
"enfant";0,447;0,024;0,659;0,147;0,451;0,258
"zone";0,058;0,563;0;0,093;0,384;0,191
"twitter";0,149;0;0,237;0,201;0,507;0,319
"temps";0,333;0,781;0,004;0,126;0,056;0,233
"nteaser";0,276;0;0,372;0,335;0,617;0,452
"mars";0,16;0,666;0,008;0,798;0,346;0,157
"homme";0;0,035;0,222;0,07;0,346;0,157
"extraire";0;0,142;0,093;0,07;0,346;0,157
