"";"";"";"";"kombat";""
"1";"kombat";"0.36757152720113";"0.235223981803628";"0.870583142398972";"104"
"2";"jacques";"0.439986750769842";"0.555342332115086";"0.864929644975018";"114"
"3";"nufo";"0.36757152720113";"0.235223981803628";"0.861539754918076";"117"
"4";"over";"0.36757152720113";"0.235223981803628";"0.861539754918076";"120"
"5";"oddbods";"0.36757152720113";"0.235223981803628";"0.861539754918076";"122"
"6";"odh";"0.36757152720113";"0.235223981803628";"0.861539754918076";"123"
"7";"manoscritti";"-2.51023842524339";"-0.203686163468042";"0.857970432569847";"131"
"8";"macchine";"-2.51023842524339";"-0.203686163468042";"0.857970432569847";"137"
"9";"archeologia";"-2.51023842524339";"-0.203686163468042";"0.857970432569847";"138"
"10";"développement";"0.439986750769841";"0.555342332115086";"0.855422494033563";"147"
"11";"antenne";"0.439986750769841";"0.555342332115086";"0.855422494033563";"150"
"12";"enlèvement";"0.455834709139351";"0.198018716700489";"0.852714446683514";"158"
"13";"nparanormal";"0.36757152720113";"0.235223981803628";"0.852521211908281";"159"
"14";"org";"0.36757152720113";"0.235223981803628";"0.852521211908281";"162"
"15";"list";"0.36757152720113";"0.235223981803628";"0.852521211908281";"163"
"16";"direct";"0.36757152720113";"0.235223981803628";"0.852521211908281";"164"
"17";"nitw";"0.36757152720113";"0.235223981803628";"0.852521211908281";"165"
"18";"ndocu";"0.36757152720113";"0.235223981803628";"0.852521211908281";"166"
"19";"invasion";"0.36757152720113";"0.235223981803628";"0.852521211908281";"167"
"20";"arte";"0.36757152720113";"0.235223981803628";"0.852521211908281";"168"
"21";"comprendre";"0.430934847823752";"0.515327538326154";"0.851963591556895";"169"
"22";"reportage";"0.376623430147219";"0.27523877559256";"0.849001578502255";"173"
"23";"affaire";"0.539964792194964";"0.34695313489732";"0.84682906752928";"175"
"24";"artiste";"0.539964792194964";"0.34695313489732";"0.84682906752928";"176"
"25";"armée";"0.539964792194964";"0.34695313489732";"0.84682906752928";"177"
"26";"france";"0.456553360604535";"0.303400802593223";"0.846155506312754";"178"
"27";"personnel";"0.439986750769841";"0.555342332115086";"0.84593742706642";"179"
"28";"quotidiennement";"0.439986750769841";"0.555342332115086";"0.84593742706642";"181"
"29";"consommation";"0.439986750769841";"0.555342332115086";"0.84593742706642";"184"
"30";"spatial";"0.36757152720113";"0.235223981803628";"0.84352199237601";"185"
"31";"astuce";"0.36757152720113";"0.235223981803628";"0.84352199237601";"186"
"32";"marion";"0.36757152720113";"0.235223981803628";"0.84352199237601";"187"
"33";"animé";"0.36757152720113";"0.235223981803628";"0.84352199237601";"188"
"34";"nickelodeon";"0.36757152720113";"0.235223981803628";"0.84352199237601";"189"
"35";"macleod";"0.36757152720113";"0.235223981803628";"0.84352199237601";"190"
"36";"kevin";"0.36757152720113";"0.235223981803628";"0.84352199237601";"191"
"37";"incompetech";"0.36757152720113";"0.235223981803628";"0.84352199237601";"193"
"38";"more";"0.36757152720113";"0.235223981803628";"0.84352199237601";"195"
"39";"juin";"0.36757152720113";"0.235223981803628";"0.84352199237601";"197"
"40";"nmusique";"0.36757152720113";"0.235223981803628";"0.84352199237601";"199"
"41";"nterre";"0.36757152720113";"0.235223981803628";"0.84352199237601";"200"
"42";"nsurnaturel";"0.36757152720113";"0.235223981803628";"0.84352199237601";"201"
"43";"nfacebook";"0.36757152720113";"0.235223981803628";"0.84352199237601";"202"
"44";"ncropcircle";"0.36757152720113";"0.235223981803628";"0.84352199237601";"203"
"45";"namateur";"0.36757152720113";"0.235223981803628";"0.84352199237601";"204"
"46";"and";"0.36757152720113";"0.235223981803628";"0.84352199237601";"206"
"47";"10z";"0.36757152720113";"0.235223981803628";"0.84352199237601";"207"
"48";"changement";"0.429641718831454";"0.509611139213449";"0.8427435322815";"208"
"49";"devenir";"0.429641718831454";"0.509611139213449";"0.8427435322815";"210"
"50";"émission";"0.43590925934145";"0.478194523220479";"0.842506129557643";"211"
"51";"dr";"0.44304928608722";"0.496619271278506";"0.842050647587451";"212"
"52";"découvrir";"0.439288137740118";"0.278834832790827";"0.84133567891909";"213"
"53";"découverte";"0.42894310580173";"0.23310363988919";"0.84133567891909";"214"
"54";"voyage";"0.443225683148177";"0.203333754572366";"0.84133567891909";"215"
"55";"curieux";"0.443225683148177";"0.203333754572366";"0.84133567891909";"216"
"56";"surprenant";"0.439008692528229";"0.168231833061123";"0.840753214096602";"217"
"57";"colares";"0.439008692528229";"0.168231833061123";"0.840753214096602";"218"
"58";"artificiel";"0.439008692528229";"0.168231833061123";"0.840753214096602";"219"
"59";"utiliser";"0.424721259462809";"0.181630262809624";"0.83932051626309";"225"
"60";"message";"0.439204304176551";"0.245653932871916";"0.83932051626309";"227"
"61";"étrange";"0.452154001753027";"0.249386358208009";"0.837032064424976";"228"
"62";"décrypter";"0.439986750769842";"0.555342332115086";"0.83647444407359";"230"
"63";"abonné";"0.439986750769842";"0.555342332115086";"0.83647444407359";"232"
"64";"communication";"0.439986750769842";"0.555342332115086";"0.83647444407359";"235"
