"";"";"";"";"kombat";""
"65";"écrasement";"0.539964792194963";"0.34695313489732";"0.834790541032275";"236"
"66";"shag";"0.539964792194963";"0.34695313489732";"0.834790541032275";"237"
"67";"récupération";"0.539964792194963";"0.34695313489732";"0.834790541032275";"238"
"68";"ovnis8";"0.539964792194963";"0.34695313489732";"0.834790541032275";"239"
"69";"inverse";"0.539964792194963";"0.34695313489732";"0.834790541032275";"241"
"70";"ingénierie";"0.539964792194963";"0.34695313489732";"0.834790541032275";"242"
"71";"harbour";"0.539964792194963";"0.34695313489732";"0.834790541032275";"243"
"72";"figure";"0.539964792194963";"0.34695313489732";"0.834790541032275";"244"
"73";"accident";"0.539964792194963";"0.34695313489732";"0.834790541032275";"245"
"74";"nteaser";"0.36757152720113";"0.235223981803628";"0.834544856818051";"246"
"75";"noddbods";"0.36757152720113";"0.235223981803628";"0.834544856818051";"247"
"76";"michel";"0.439823741062906";"0.490823915606092";"0.833639413871245";"248"
"77";"incident";"0.505486139196197";"0.324607304278582";"0.832963092157931";"251"
"78";"voir";"0.412219755530567";"0.193353888839562";"0.832929966196462";"253"
"79";"mystérieux";"0.466720003026722";"0.287357733389897";"0.831003139437712";"256"
"80";"humain";"0.4393347119421";"0.297268666079111";"0.829183972053734";"257"
"81";"énigme";"0.42014822995641";"0.432845463934328";"0.828060449860595";"258"
"82";"histoire";"0.460333052372876";"0.434848823534433";"0.827538715967466";"259"
"83";"janvier";"0.439986750769841";"0.555342332115086";"0.827033545055072";"260"
"84";"fonder";"0.439986750769841";"0.555342332115086";"0.827033545055072";"261"
"85";"philippe";"0.439986750769841";"0.555342332115086";"0.827033545055072";"263"
"86";"énergie";"0.439986750769841";"0.555342332115086";"0.827033545055072";"265"
"87";"toucher";"0.439986750769841";"0.555342332115086";"0.827033545055072";"266"
"88";"surnaturel";"0.439986750769841";"0.555342332115086";"0.827033545055072";"267"
"89";"spiritualité";"0.439986750769841";"0.555342332115086";"0.827033545055072";"268"
"90";"pooyard";"0.439986750769841";"0.555342332115086";"0.827033545055072";"269"
"91";"méditation";"0.439986750769841";"0.555342332115086";"0.827033545055072";"270"
"92";"martine";"0.439986750769841";"0.555342332115086";"0.827033545055072";"271"
"93";"igor";"0.439986750769841";"0.555342332115086";"0.827033545055072";"272"
"94";"grichka";"0.439986750769841";"0.555342332115086";"0.827033545055072";"273"
"95";"enigmes";"0.439986750769841";"0.555342332115086";"0.827033545055072";"274"
"96";"dominique";"0.439986750769841";"0.555342332115086";"0.827033545055072";"275"
"97";"bogdanov";"0.439986750769841";"0.555342332115086";"0.827033545055072";"276"
"98";"cacher";"0.445568455714814";"0.222834822078612";"0.826509050665154";"277"
"99";"volant";"0.464247717444912";"0.212912158520172";"0.82629097141882";"278"
"100";"identifier";"0.464247717444912";"0.212912158520172";"0.82629097141882";"279"
"101";"terre";"0.433463119684976";"0.335110553395483";"0.826067371178908";"280"
"102";"halloween";"0.36757152720113";"0.235223981803628";"0.825589805234404";"281"
"103";"nextra_terrestre";"0.36757152720113";"0.235223981803628";"0.825589805234404";"283"
"104";"tiktok";"0.36757152720113";"0.235223981803628";"0.825589805234404";"284"
"105";"this";"0.36757152720113";"0.235223981803628";"0.825589805234404";"285"
"106";"opération";"0.36757152720113";"0.235223981803628";"0.825589805234404";"286"
"107";"hack";"0.36757152720113";"0.235223981803628";"0.825589805234404";"287"
"108";"voyager";"0.36757152720113";"0.235223981803628";"0.825589805234404";"288"
"109";"rendlesham";"0.36757152720113";"0.235223981803628";"0.825589805234404";"289"
"110";"pieces";"0.36757152720113";"0.235223981803628";"0.825589805234404";"290"
"111";"for";"0.36757152720113";"0.235223981803628";"0.825589805234404";"291"
"112";"videos";"0.36757152720113";"0.235223981803628";"0.825589805234404";"292"
"113";"skier";"0.36757152720113";"0.235223981803628";"0.825589805234404";"293"
"114";"ndessin";"0.36757152720113";"0.235223981803628";"0.825589805234404";"294"
"115";"koins";"0.36757152720113";"0.235223981803628";"0.825589805234404";"295"
"116";"junior";"0.36757152720113";"0.235223981803628";"0.825589805234404";"296"
"117";"hl";"0.36757152720113";"0.235223981803628";"0.825589805234404";"297"
"118";"film";"0.411444799490077";"0.228255079458307";"0.82519781469036";"298"
"119";"grand";"0.441617656741373";"0.40950735309071";"0.825131562767423";"299"
"120";"question";"0.433626129391911";"0.399628969904477";"0.82301150123344";"302"
"121";"roswell";"0.514970281838683";"0.399050434201762";"0.821835529601309";"303"
"122";"ép";"0.51472576727828";"0.302272809438271";"0.821835529601309";"304"
"123";"univers";"0.420480412836529";"0.392555338887905";"0.821236501798087";"308"
"124";"jour";"0.410433826397389";"0.195028692558125";"0.817827288263622";"311"
"125";"américain";"0.486632305611294";"0.335230098081303";"0.817645095475546";"312"
"126";"prendre";"0.412342012810768";"0.241742701221308";"0.816908042832872";"313"
"127";"incroyable";"0.467937584237367";"0.24362633984251";"0.816908042832872";"314"
"128";"spécialiste";"0.439742236209438";"0.458564707351596";"0.816055049325059";"315"
"129";"retrouver";"0.391383915643496";"0.212893265556126";"0.815864575046615";"316"
"130";"chose";"0.48529491926285";"0.288863043911342";"0.814313175851174";"318"
"131";"crash";"0.415196304085862";"0.190562549308625";"0.813959832262177";"319"
"132";"évoquer";"0.472660725750474";"0.227805600339855";"0.813959832262177";"320"
"133";"résistance";"0.4393347119421";"0.297268666079111";"0.813959832262177";"321"
"134";"sûr";"0.415196304085862";"0.190562549308625";"0.813959832262177";"322"
"135";"ressembler";"0.4393347119421";"0.297268666079111";"0.813959832262177";"323"
"136";"imaginer";"0.472660725750474";"0.227805600339855";"0.813959832262177";"324"
"137";"hyper";"0.4393347119421";"0.297268666079111";"0.813959832262177";"325"
"138";"corps";"0.4393347119421";"0.297268666079111";"0.813959832262177";"326"
"139";"confirmer";"0.4393347119421";"0.297268666079111";"0.813959832262177";"327"
"140";"atterrissage";"0.472660725750474";"0.227805600339855";"0.813959832262177";"328"
"141";"appeler";"0.4393347119421";"0.297268666079111";"0.813959832262177";"329"
"142";"témoignage";"0.485253486282785";"0.390236242642654";"0.813197935148402";"331"
"143";"expérience";"0.419156964287122";"0.408578446446961";"0.81193638811581";"332"
"144";"social";"0.408951654954679";"0.418148753410176";"0.81193638811581";"333"
"145";"hanter";"0.50663877838659";"0.416416200636576";"0.811340120809378";"334"
"146";"famille";"0.482500370530352";"0.309710083866089";"0.811340120809378";"335"
"147";"eau";"0.50663877838659";"0.416416200636576";"0.811340120809378";"336"
"148";"youcurious";"0.506312758972719";"0.287379367618588";"0.811340120809378";"337"
"149";"walton";"0.506312758972719";"0.287379367618588";"0.811340120809378";"338"
"150";"travis";"0.506312758972719";"0.287379367618588";"0.811340120809378";"339"
"151";"robin";"0.482500370530352";"0.309710083866089";"0.811340120809378";"340"
"152";"pachaqueer";"0.482500370530352";"0.309710083866089";"0.811340120809378";"341"
"153";"nouvelle";"0.482500370530352";"0.309710083866089";"0.811340120809378";"342"
"154";"french";"0.506312758972719";"0.287379367618588";"0.811340120809378";"344"
"155";"explosion";"0.482500370530352";"0.309710083866089";"0.811340120809378";"345"
"156";"donner";"0.482500370530352";"0.309710083866089";"0.811340120809378";"346"
"157";"bonheur";"0.506312758972719";"0.287379367618588";"0.811340120809378";"347"
"158";"body";"0.482500370530352";"0.309710083866089";"0.811340120809378";"348"
"159";"changer";"0.425308094407777";"0.413896562242002";"0.809788721613937";"354"
"160";"suivre";"0.411020661342357";"0.427294991990503";"0.809788721613937";"355"
"161";"art";"0.445499314341124";"0.449640822609242";"0.809788721613937";"356"
"162";"militaire";"0.436528833198663";"0.279915643041105";"0.808955051583647";"359"
"163";"numéro";"0.415848342913604";"0.4486362153446";"0.807952991249225";"361"
"164";"femme";"0.473312764578215";"0.485879266375831";"0.807952991249225";"362"
"165";"air";"0.473312764578215";"0.485879266375831";"0.807952991249225";"363"
"166";"paul";"0.473312764578215";"0.485879266375831";"0.807952991249225";"364"
"167";"réalité";"0.43966073135597";"0.426305499097099";"0.807952991249225";"365"
"168";"présenter";"0.43966073135597";"0.426305499097099";"0.807952991249225";"366"
"169";"minute";"0.415848342913604";"0.4486362153446";"0.807952991249225";"367"
"170";"new";"0.403290109864679";"0.201727907432375";"0.807834289887296";"368"
"171";"ancien";"0.421393915756857";"0.28175749501024";"0.807834289887296";"369"
"172";"répondre";"0.439497721649035";"0.361787082588105";"0.807834289887296";"370"
"173";"teaser";"0.403290109864679";"0.201727907432375";"0.807834289887296";"371"
"174";"seconde";"0.403290109864679";"0.201727907432375";"0.807834289887296";"372"
"175";"vérifier";"0.489486742361596";"0.257592483979222";"0.807834289887296";"373"
"176";"moment";"0.421393915756857";"0.28175749501024";"0.807834289887296";"374"
"177";"existence";"0.446388426113138";"0.229660195705799";"0.807834289887296";"375"
"178";"révélation";"0.47498545414294";"0.367937174551768";"0.807409173381784";"376"
"179";"tracks";"0.425035948865741";"0.272467032834859";"0.807326358478113";"377"
"180";"objectif";"0.425035948865741";"0.272467032834859";"0.807326358478113";"379"
"181";"self";"0.425035948865741";"0.272467032834859";"0.807326358478113";"380"
"182";"gille";"0.425035948865741";"0.272467032834859";"0.807326358478113";"381"
"183";"ufologie";"0.391709935057367";"0.341930098574114";"0.807326358478113";"382"
"184";"recherche";"0.391383915643496";"0.212893265556126";"0.807326358478113";"383"
"185";"propos";"0.391383915643496";"0.212893265556126";"0.807326358478113";"384"
"186";"npour";"0.391709935057367";"0.341930098574114";"0.807326358478113";"385"
"187";"truth";"0.391383915643496";"0.212893265556126";"0.807326358478113";"386"
"188";"moteur";"0.391383915643496";"0.212893265556126";"0.807326358478113";"387"
"189";"content";"0.391709935057367";"0.341930098574114";"0.807326358478113";"388"
"190";"rater";"0.391383915643496";"0.212893265556126";"0.807326358478113";"389"
"191";"io";"0.391709935057367";"0.341930098574114";"0.807326358478113";"390"
"192";"cultur";"0.453768159698047";"0.291088558350474";"0.805935068096437";"393"
"193";"recevoir";"0.489731256921999";"0.354370108742712";"0.805935068096437";"394"
"194";"premier";"0.456326052612525";"0.286683846936238";"0.805082074588623";"395"
"195";"inconnu";"0.410629438045712";"0.272450792368918";"0.804375387410629";"396"
"196";"mer";"0.425112482759454";"0.336474462431209";"0.804375387410629";"397"
"197";"partie";"0.459252453131883";"0.348777983198814";"0.80396959438264";"398"
"198";"équipe";"0.459252453131883";"0.348777983198814";"0.80396959438264";"399"
"199";"petit";"0.419017241681177";"0.353276946582109";"0.803315356643638";"401"
"200";"dossier";"0.465299310977825";"0.330540883354896";"0.802945450073906";"402"
"201";"dernier";"0.450816266264083";"0.266517213292604";"0.802945450073906";"403"
"202";"tomber";"0.43218533040392";"0.284867849456985";"0.802249804883068";"405"
"203";"noir";"0.448848337308107";"0.250136316587357";"0.800541057370652";"407"
"204";"lek";"0.448848337308107";"0.250136316587357";"0.800541057370652";"408"
"205";"association";"0.472986745164345";"0.356842433357843";"0.800541057370652";"409"
"206";"vague";"0.472986745164345";"0.356842433357843";"0.800541057370652";"410"
"207";"sérieux";"0.448848337308107";"0.250136316587357";"0.800541057370652";"411"
"208";"survivant";"0.448848337308107";"0.250136316587357";"0.800541057370652";"412"
"209";"pentagone";"0.472986745164345";"0.356842433357843";"0.800541057370652";"413"
"210";"groupe";"0.448848337308107";"0.250136316587357";"0.800541057370652";"414"
"211";"réponse";"0.415522323499733";"0.319599382326613";"0.800541057370652";"415"
"212";"état";"0.415522323499733";"0.319599382326613";"0.800541057370652";"416"
"213";"sujet";"0.415522323499733";"0.319599382326613";"0.800541057370652";"417"
"214";"esprit";"0.449174356721978";"0.379173149605345";"0.8";"418"
"215";"blanc";"0.449174356721978";"0.379173149605345";"0.8";"419"
