no	de
CPA83057343	astronomie
CPA83057343	éruption solaire (off)
CPA83057343	extraterrestre
CPA83057343	observatoire (de Paris)
CPC93001641	extraterrestre
CPC93001641	vaisseau spatial
CPC93001641	réception (à l'Elysée)
CPC93001641	chef d'Etat
CPC93001641	cadeau (gros oeuf mystérieux)
CPC93001641	service secret
CPC93001606	film (Une journée chez ma mère
CPC93001606	extrait)
CPC93001606	costume (péruvien)
CPC93001606	pièce de théâtre (Antichambre
CPC93001606	extrait)
CPC93001606	Moyen Age (off)
CPC93001606	sport (Suckerball)
CPC93001606	horoscope
CPC93001606	moto (Harley Davidson)
CPC93001606	locomotion (sur le feu)
CPC93001286	extraterrestre
CPC93001286	vaisseau spatial
CPC93001286	réception (à l'Elysée)
CPC93001286	chef d'Etat
CPC93001286	cadeau (gros oeuf mystérieux)
CPC93001286	service secret
CPC93003703	anthropologie
CPC93003703	préhistoire
CPC93003703	découverte
CPC93003703	homme préhistorique (Lucy)
CPC93003703	peinture-art
CPC93003703	pochoir
CPC93003703	poésie
CPC93003703	Paris
CPC93003703	légume (histoire des légumes)
CPC93003703	Hamsun Knut
CPC93003703	"livre (""Des légumes"")"
CPC93003703	"livre (""Mais la vie continue"")"
CPC93003703	"livre (""L'Art de l'enfance"")"
CPC93003703	"livre (""L'Art de la défaite"")"
CPC93003703	"livre (""Rivières de France"")"
CPC93003703	"livre (""LAROUSSE du jardin"")"
CPC93003703	"livre (""Cité ROOSEVELT"")"
CPB93004875	dessin animé
CPB93004875	tortue
CPA92016431	humour
CPA92016431	jeu (Devinette)
CPA92016431	défense du consommateur
CPA92016431	ovni (Soucoupe volante)
CPA92016431	extraterrestre
CPA92016431	témoignage
CPA92016431	gadget
CPA92016431	jouet
CPA93004351	ovni
CPA93004351	reconstitution
CPA93004351	parapsychologie
CPA93004351	surnaturel
CPA93004351	expérience scientifique (voyage astral)
CPA93004351	médium
CPA93004351	voyance
CPA93005323	surnaturel
CPA93005323	parapsychologie
CPA93005323	fait divers
CPA93005323	reconstitution
CPA93005323	témoignage
CPB93005931	festival (International du film)
CPB93005931	acteur
CPB93005931	cinéaste
CPB93005931	producteur de spectacle
CPB93005931	Fassbinder Rainer Werner
CPB93005931	Haïti
CPA93007312	humour
CPA93007312	secte (grunge)
CPA93008866	photographie
CPC93006859	espace
CPC93006859	astronomie
CPC93006859	planète Mars
CPC93006859	exploration
CPC93006859	projet
CPC93006859	extraterrestre
CPC93006859	expérience scientifique
CPC93006859	fourmi
CPC93006859	robot (marsorock)
CPC93006859	robot (Adam)
CPC93006859	vie (extraterrestre)
CPC93006859	reconstitution (du phénomène de baisse de tension superficielle)
CPC93006859	robot (ménager)
CPA93000939	surnaturel
CPA93000939	fait divers
CPA93000939	reconstitution
CPA93000939	témoignage
CPA93000939	sorcellerie
CPA93000939	miracle
CPA93000939	Seconde Guerre mondiale (off)
CPA93000939	béatification
CPA93000939	disparition
CPA93000939	communication (Avec les morts)
CPA93000939	extraterrestre
CPA93000939	radiesthésiste (pendule)
CPA93000939	mise en scène (Reality show)
CPA93000939	envoûtement (séance de desenvoutement)
CPA93002305	ovni
CPA93002305	extraterrestre
CPA93002305	Vincent David (héros des envahisseurs)
CPA93002305	feuilleton (les envahisseurs
CPA93002305	off)
CPA93003217	prix-récompense
CPA93003217	médaille (Croix de chevalier de l'ordre des arts et lettres)
CPC92016201	zoologie
CPC92016201	animal (pouvant marcher sur l'eau)
CPC92016201	test (Réflexe)
CPC92016201	bionique
CPC92016201	astronomie
CPC92016201	culture agricole (In vitro)
CPC92016201	plante
CPA92014774	football
CPA92014774	extraterrestre
CPA92014774	voyance
CPA93006925	surnaturel
CPA93006925	reconstitution
CPA93006925	témoignage
CPA93006925	mise en scène
CPA93006925	parapsychologie (phénomène inexplique)
CPA92001637	écrivain (en herbe)
CPA92001637	mémoires
CPA92001637	imagination
CPC92002804	Milan
CPC92002804	livre (la dérive des sentiments)
CPC92002804	émission télévisée (Bing)
CPC92002804	extraterrestre
CPC92002804	Daytona Beach
CPC92002804	journal (New look)
CPC92002804	journal (Vogue)
CPC92002804	film (HOOK
CPC92002804	extrait)
CPC92002804	moto (harley DAVIDSON)
CPB92002090	sketch (la secrétaire enceinte)
CPB92002090	ovni (soucoupe volante)
CPB92002090	extraterrestre (petits gris)
CPB92002953	cyclisme
CPB92002953	théâtre
CPB92002953	parc d'attractions (Eurodysney)
CPB92002953	monstre (Yéti)
CPB92002953	quotidien (L'Equipe)
CPB92002953	Deschamps Jérôme
CPB92003572	extraterrestre
CPB92003572	ovni
CPB92003572	météorite
CPB92003572	témoignage
CPB92003572	radioastronomie
CPB92003572	radiotélescope (Nançay)
CPB92003572	Nasa
CPB92003572	Belgique
CPB92003572	recherche scientifique (espace)
CPB92003572	vie (extraterrestre)
CPB92014330	astronomie
CPB92014330	astrophysique
CPB92014330	recherche scientifique
CPB92014330	migration humaine (de populations polynésiennes
CPB92014330	OFF)
CPB92014330	Polynésie française (off)
CPB92014330	Les Bermudes (triangle
CPB92014330	off)
CPB92014330	extraterrestre (vie)
CPB92014330	vie (origine)
CPC92013369	adaptation télévisuelle
CPC92013369	bande dessinée (Vol 714 pour Sydney)
CPC92013369	Tintin-personnage de fiction
CPC92013369	aventure
CPC92013369	piraterie aérienne
CPC92013369	ovni
CPA92012380	surnaturel
CPA92012380	fait divers
CPA92012380	reconstitution
CPA92012380	témoignage
CPA92012380	parapsychologie (phénomène inexpliqué)
75325.001.006	Angleterre
75325.001.006	Etats Unis
75325.001.006	ovni
75325.001.006	base aérienne
75325.001.006	militaire
75325.001.006	base militaire
90988.001.007	Canet en Roussillon
90988.001.007	natation
90988.001.007	championnat (de France)
90988.001.007	équipe (de Clichy)
93464.001.003	audiovisuel (VISIOCONFERENCE)
93464.001.003	course cycliste (TOUR DE FRANCE ; 82ème)
93464.001.003	assemblée nationale
93464.001.003	Indurain Miguel (coureur cycliste)
97407.001.014	science fiction
69592.001.034	Angleterre (Todmorden)
69592.001.034	ovni
69592.001.034	témoignage
69666.005.002	ovni
78326.001.004	Japon
78326.001.004	dessin animé (Porco rosso)
78326.001.004	studio de cinéma (Miyazaki)
78326.001.004	animation
78045.001.010	Grande Bretagne
78045.001.010	base militaire (américaine
78045.001.010	Woodbridge)
78045.001.010	soldat (américain)
78045.001.010	ovni
91857.001.005	Pérou
91857.001.005	cordillère (des Andes)
91857.001.005	civilisation
91857.001.005	Inca
91857.001.005	architecture
98671.001.007	astronomie
CPC94002194	volcanologie
CPA94003632	fait divers
CPA94003632	surnaturel
CPA94003632	parapsychologie (phénomène inexpliqué)
CPA94003632	reconstitution
CPA94003632	mise en scène
CPA94003632	témoignage
CPA94003632	réincarnation
CPA94003632	somatisation
CPA94003632	communication (transcommunication instrumentale)
CPA94003632	mystification (off)
CPA94003632	guérison
CPC94004952	adaptation télévisuelle
CPC94004952	bande dessinée (Vol 714 pour Sydney)
CPC94004952	Tintin-personnage de fiction
CPC94004952	aventure
CPC94004952	piraterie aérienne
CPC94004952	ovni
CPB94005459	humour
CPB94005459	interview
CPB94005459	Tapie Bernard
CPB94005459	portrait (du Mia)
CPB94005459	football (off)
CPB94005459	film (Casque bleu)
CPB94005459	bande annonce (Casque bleu)
CPB94005459	pudeur
CPB94005459	amour
CPB94005459	jeunesse (de L. FERNANDEZ)
CPB94005459	extraterrestre (Hélo. m
CPB94005459	off)
CPC94005255	adaptation télévisuelle
CPC94005255	bande dessinée (Vol 714 pour Sydney)
CPC94005255	Tintin-personnage de fiction
CPC94005255	aventure
CPC94005255	piraterie aérienne
CPC94005255	ovni
CPC94005028	adaptation télévisuelle
CPC94005028	bande dessinée (Vol 714 pour Sydney)
CPC94005028	Tintin-personnage de fiction
CPC94005028	aventure
CPC94005028	piraterie aérienne
CPC94005028	ovni
CPC94005232	adaptation télévisuelle
CPC94005232	bande dessinée (Vol 714 pour Sydney)
CPC94005232	Tintin-personnage de fiction
CPC94005232	aventure
CPC94005232	piraterie aérienne
CPC94005232	ovni
CPC94004942	adaptation télévisuelle
CPC94004942	bande dessinée (Vol 714 pour Sydney)
CPC94004942	Tintin-personnage de fiction
CPC94004942	aventure
CPC94004942	piraterie aérienne
CPC94004942	ovni
CPA93010308	surnaturel
CPA93010308	parapsychologie
CPA93010308	fait divers
CPA93010308	reconstitution (mise en scène)
CPA93010308	témoignage
CPA93010308	secte
CPA93010308	Montpellier
CPA93010308	Lyon
CPA93010308	enlèvement (captation)
CPA93010308	femme
CPA93010308	médium
CPA93010308	ovni
CPA93010308	Norvège
CPA93010308	avion (Dakota)
CPA93010308	radar
CPA93010308	extraterrestre
CPA93010308	Belgique
CPA93010308	enquête d'investigation (officielle)
CPA93010308	coma (mort clinique)
CPA93010308	ange (gardien)
CPA93010308	paradis
CPA93010308	Sicile
CPA93010308	enfant (fillette)
CPA93010308	maladie (cancer des os)
CPA93010308	miracle (guérison miraculeuse)
CPA93010308	Lourdes
CPA93010308	guérison
CPA93010308	sourcier (Suisse)
CPC94002130	Viêtnam république
CPC94002130	Ethiopie
CPC94002130	Chili
CPC94002130	Yersin Alexandre
CPC94002130	vallée (de l'Elqui)
CPC94002130	voyage
CPC94002130	ésotérisme
CPC94002130	religion
CPC94002130	croyance
CPC94004434	Etats Unis
CPC94004434	cosmonaute
CPC94004434	vol spatial
CPC94004434	entraînement
CPC94004434	document d'archives
CPC94004434	Nasa
CPC94004434	témoignage
CPC94002223	livre (Le Sémaphore d'Alexandrie)
CPC94002223	livre (Comme des anges)
CPC94002223	livre (Immensités)
CPC94002223	livre (L'île de Maians)
CPA93011063	fait divers (Reconstitution)
CPA93011063	parapsychologie (Phénomènes inexpliqués)
CPA93011063	témoignage
CPA93011063	mise en scène (Reality show)
CPA93011063	surnaturel
CPA93011063	communication (Avec les morts)
CPC93011752	astronomie
CPC93011752	astrophysique
CPC93011752	observatoire
CPC93011752	espace
CPC93011752	télescope (HUBBLE)
CPC93011752	réparation
CPC93011752	observatoire (vlt)
CPA93012369	fait divers (reconstitution)
CPA93012369	parapsychologie (phenomenes inexpliques)
CPA93012369	témoignage
CPA93012369	miracle (Fatima)
CPA93012369	religion
CPA93012369	voyant (en activité)
CPB92001525	Alpes
CPB92001525	station de sports d'hiver (Alpes du Grand Serre)
CPB92001525	classe de découverte
CPB92001525	travail (DES FEMMES
CPB92001525	OFF)
CPB92001525	gymnastique (FITNESS)
CPB92001525	Lozère
CPB92001525	randonnée
CPB92001525	enfant
CPB92001525	tournage
CPB92001525	émission télévisée (Hanna Barbera Dingue Dong)
CPB92001525	doublage
CPB92001525	bruitage
CPB92001525	métier (BRUITEUR)
CPB92001525	livre (Le manuel des premieres fois)
CPB92001525	film (Ville à vendre
CPB92001525	extrait)
CPB92001525	recette de cuisine (Salade Maite)
169084.001.006	Nouvelle Zélande
169084.001.006	rugby
169084.001.006	équipe (ALL BLACKS)
169084.001.006	Lomu Jonah
136052.001.021	émission télévisée (L'odyssée de l'étrange)
136052.001.021	polémique
136052.001.021	extraterrestre (roswell)
136052.001.022	Pradel Jacques
136052.001.022	polémique
136052.001.022	extraterrestre (Roswell)
136052.001.022	Arte
136052.001.022	parodie
273404.009	cadeau
273404.009	extraterrestre
121151.001.011	astrophysique
121151.001.011	géologie
121151.001.011	recherche scientifique
121151.001.011	météorite
CPB94008735	jeu (Interactif)
CPB94008735	jeu vidéo
CPB94008735	bande annonce (The Mask)
39665.001.005	URSS
39665.001.005	astronomie
39665.001.005	quasar
39120.001.004	France
39120.001.004	Manche-département
39120.001.004	baie
39120.001.004	Le Mont Saint Michel
39120.001.004	environnement
39120.001.004	littoral
39120.001.004	pêche
39120.001.004	conchyliculture
39120.001.004	ostréiculture
39120.001.004	huître
39120.001.004	coquillage (CREPIDULA FORNICATA)
39120.001.004	parasite
39120.001.004	reproduction-physiologie
39120.001.004	recherche scientifique
39120.001.004	Ifremer
14415.003	vis
14415.003	bureaucratie
14415.003	film
14415.003	humour
43697.001.006	Ecosse (Falkirk)
43697.001.006	ovni
43697.001.006	témoignage
43697.001.006	extraterrestre
60912.004	religion
60912.004	secte
60912.004	croyance
60912.004	extraterrestre
60912.004	sociologie
215902.014	galaxie
215902.014	astrophysique
215902.014	extraterrestre
210759.001.007	film
210759.001.007	science fiction
210759.001.007	extraterrestre
CPB80053856	adaptation d'oeuvre
CPB80053856	conte (musical)
CPB80053856	comédie musicale (Emilie jolie)
CPB80053856	enfant
CPB80053856	fillette
CPB80053856	solitude
CPB8105487001	communication (lumineuse)
CPB8105487001	Paris
CPB8105487001	ciel
CPB8105487002	observatoire (du CERGA)
CPB8105487002	télescope
CPB8105487003	radiotélescope (Nançay)
CPC81052680	télévision
CPC81052680	ville (Lyon)
CPC81052680	téléspectateur
CPC81052680	ovni
CPC81052680	consommateur (émission de défense des)
CPC81052680	émission télévisée (défense des consommateurs)
CPC81052680	humour
CPC81052680	charcutier
CPA81051935	astronomie
CAF89045154	recherche scientifique
CAF89045154	ovni
CAF89045154	témoignage
CAF89045154	astronome
CAF89045154	rapport (scientifique
CAF89045154	Condon)
CPF92015731	enquête de police
CPF92015731	meurtre
CPF92015731	touriste
CPF92015731	camping
CPF92015731	ovni (soucoupe volante)
CPF87007407	science fiction
CPF87007407	science
CPF87007407	bande dessinée
CPF87007407	Robida Albert
CPF87007407	Wells Herbert George
CPF87007407	astrologie
CPF87007407	littérature
CPF87007407	rationalisme
CPF87007407	imagination
CAF93060479	ovni
CAF93068888	Golan
CAF93068888	ovni
CAF93068888	mysticisme
CPF86617584	ovni
CPF86617584	extraterrestre
CPF86617584	astrophysique
CPF86617584	observation
CPF86657956	Sartre Jean Paul
CPF86657956	Malraux André
CPF86657956	intellectuel
CPF86628648	science fiction
CPF86628648	bande dessinée
CPF86628648	mémoires
CPF86628648	sexualité
CPF86628648	biographie (autobiographie)
CPF86628648	judaïsme
CPF86628648	enquête qualitative
CPF86628648	éducation sexuelle
CPF86628648	pamphlet
CPF86628648	livre (Pain perdu)
CPF86628648	livre (Le pensionnaire)
CPF86628648	livre (Codex)
CPF86628648	livre (La réalité sexuelle)
CPF86628648	livre (Emile perverti - Des rapports entre l'éducation et la sexualité)
CPF86628648	livre (D'Oedipe à Moise)
CPF86628648	Juif
CPF86621760	science fiction
CPF86621760	cinéma
CPF86621760	film (La planète sauvage)
CPF86621760	ovni
CPF86621760	progrès
CPF86621760	ordinateur
CPF86621760	science
CPA86011986	fin du monde
CPA7605143901	extraterrestre
CPA7605143901	plongeur
CPA7605143901	peur
CPC77050077	astronomie
CPC77050077	astrologie
CPC77050077	ovni
CPC77050077	mesure du temps
CPC77051307	Pérou
CPC77051307	Lima
CPC77051307	autochtone
CPC77051307	vie quotidienne
CPC77051307	lama
CPC77051307	Lac Titicaca
CPC77051307	fête
CPB10001087	science fiction
CPB10001087	ovni
CPB10001087	littérature
CPB10001087	cinéma
CPB7705715704	ovni
CPC02006146	courant artistique (Groupe 70)
CPB77053868	ovni
CPB77053868	extraterrestre
CPB91013218	enfant
CPB91013218	émission télévisée
CPB91013218	film
CPB91013218	dessin animé
CPB91013218	métier
CPA77058810	Poitou
CPA77058810	art romain
CPB93003286	archéologie
CPB93003286	extraterrestre
CPB93003286	occultisme
CPB93003286	univers
CPB93003286	livre (L'archéologie devant l'imposture)
CPB93003286	livre (Nos visiteurs venus du cosmos)
CPB93003286	livre (Fantastique Ile de Pâques)
CPB93003286	livre (Les oiseaux messagers des dieux)
CPB76069114	adolescent
CPB76069114	éducateur spécialisé
CPA78056338	extraterrestre
CPA78050433	film (Il était une fois la légion
CPA78050433	extraits)
CPA78050433	film (Rencontre du 3ème type
CPA78050433	extraits)
CPA78050433	Légion étrangère
CPA78050433	tournage
CPA78050433	Deneuve Catherine
CPA78050433	extraterrestre
CPA78050433	spiritualité
CPA78050433	jeunesse
CPA78050433	idéologie
CPA78050433	Truffaut François
CPA78050433	Dreyfuss Richard
CAF97058858	littérature
CAF97058858	livre (Des signes dans le ciel les extraterrestres)
CAF97058858	extraterrestre
CAF97058858	musique de film (Le dernier homme)
CAF97058858	ovni (soucoupe volante)
CPF07000574	futur
CPF07000574	espace
CPF07000574	vaisseau spatial
CPF07000574	extraterrestre
CPF07000574	mission spatiale
CPF07000574	danger
CPF07000574	invasion
CPF07000574	sabotage
CPF07000574	sécurité
CPF07000576	futur
CPF07000576	espace
CPF07000576	vaisseau spatial
CPF07000576	extraterrestre
CPF07000576	mission spatiale
CPF07000576	soleil
CPF07000576	danger
CPF09003502	ovni (soucoupe volante)
CPF86626913	vie (extraterrestre)
CPF86626913	physique
CPF86626913	astronomie
CPF86626913	système solaire
CPF86626913	univers
CPF86626913	galaxie
CPF86626913	étoile
CPF86626913	préhistoire
CPF86626913	année lumière
CPF86626913	Cinquième Dimension
CPF07000570	futur
CPF07000570	espace
CPF07000570	vaisseau spatial
CPF07000570	extraterrestre
CPF07000570	mission spatiale
CPB75055936	adaptation d'oeuvre
CPB75055936	roman (Le Péril bleu)
CPB75055936	science fiction
CPB75055936	surnaturel (mystère)
CPB75055936	disparition (mystérieuse)
CPB75055936	extraterrestre
CPB75055936	1914
1667132.008	fantastique
1667132.008	meurtrier (tueur professionnel)
1667132.008	enfant
1667132.008	génocide
1667132.008	femme enceinte
1667132.008	foetus
1667132.008	suicide
1667132.008	télépathie
1279005.001	Etats Unis
1279005.001	informatique
1279005.001	An 2000
1279005.001	panne (bogue
1279005.001	bug)
1279005.001	prévention
1279005.001	prévision
1279005.001	peur
1279005.001	catastrophe
1279005.001	autodéfense
1279005.001	extraterrestre
1279005.001	science fiction
1279005.001	film
1290343.004	Australie
1290343.004	baie (Jervis Bay)
1290343.004	recherche scientifique
1290343.004	seiche
1627911.007	astronomie
1627911.007	astrophysique
1627911.007	satellite artificiel (Hipparcos)
1627911.007	cartographie
1627911.007	étoile
1627911.007	galaxie
1627911.007	trou noir
1627911.007	planète
1643205.023	animation
1643205.023	FBI
1643205.023	cadavre
1643205.023	extraterrestre
1397581.001	extraterrestre
1397581.001	planète Terre
1397581.001	vacances
1397581.001	village de vacances
1397581.001	sexe
1795618.002	science fiction
1795618.002	personnage de fiction (extra terrestre)
1795618.002	nature
1795618.002	faune
1795618.002	chasseur
1604844.016.002	vie
1604844.016.002	extraterrestre
1604844.016.002	système solaire
1604844.016.002	univers
1604844.016.002	planète
1604844.016.003	vie
1604844.016.003	extraterrestre
1604844.016.003	recherche
1604844.016.003	onde
1987309.001	réalisateur
1987309.001	film (E.T. l'extraterrestre.)
1987309.001	science fiction
1987309.001	extraterrestre
1987309.001	enfant
467156.070	extraterrestre ( de Roswell)
606970.001.003	document d'archives
606970.001.003	radio
606970.001.003	électricité
606970.001.003	courant électrique
652597.004	science fiction
652597.004	extraterrestre
652597.004	littérature
606970.001.005	paix
606970.001.005	accord
606970.001.005	ambassadeur
606970.001.005	canard (volatile)
606970.001.005	dégustation
529106.003	festival (Imagina 97)
529106.003	cinéma
529106.003	image de synthèse
529106.003	animation
532120.003	Belgique
532120.003	cinéaste (Jean Jacques Rousseau)
532120.003	humour
830931.006	peinture-art
830931.006	artiste peintre
830931.006	faux tableau
830931.006	Van Gogh Vincent
830931.006	expertise
830931.006	musée
830931.006	Pays Bas
830931.006	polémique
606970.001.001	psychologie
606970.001.001	identité
606970.001.001	métamorphose animale
606970.001.001	femme
1010238.025	Côte d'Ivoire
1010238.025	Abidjan
1010238.025	enfant
1010238.025	vie quotidienne
1010238.025	conte
1010238.025	dessin
1010238.025	animation
CAB87033474	fait divers
CAB87033474	extraterrestre
CAB87033474	témoignage
CAB87033474	gendarme
CAB87033474	recherche scientifique (GEPAN)
CPC94004997	adaptation télévisuelle
CPC94004997	bande dessinée (Vol 714 pour Sydney)
CPC94004997	Tintin-personnage de fiction
CPC94004997	aventure
CPC94004997	piraterie aérienne
CPC94004997	ovni
CPC94005010	adaptation télévisuelle
CPC94005010	bande dessinée (Vol 714 pour Sydney)
CPC94005010	Tintin-personnage de fiction
CPC94005010	aventure
CPC94005010	piraterie aérienne
CPC94005010	ovni
CPC94005245	adaptation télévisuelle
CPC94005245	bande dessinée (Vol 714 pour Sydney)
CPC94005245	Tintin-personnage de fiction
CPC94005245	aventure
CPC94005245	piraterie aérienne
CPC94005245	ovni
CPC94009845	Val d'Isère
CPC94009845	montagne
CPC94009845	canon à neige
CPC94009845	piste de ski
CPC94009845	Tignes
CPC94009845	barrage
CPC94009845	fresque (le géant)
CPC94009845	ski (Snowscoot)
CPC94009845	ovni
CPC94009845	extraterrestre
CPC94009845	neige (artificielle)
CPC94000948	Angoulême (Place Marengo)
CPC94000948	fabrication (de soucoupe volante)
CPC94000948	mystification (canular)
CPC94000948	maladie mentale (folie douce)
CPC94000948	écrevisse (Bleue)
CPC94000948	génétique (Sélection)
CPC94000948	élevage industriel
CPC94000948	élevage
CPC94000948	lama
CPC94000948	invention (Equinoxial)
CPC94000948	astronomie
CPC94000948	pédagogie (Outil)
CPC94000948	ovni (off)
CPA94000826	fait divers (reconstitution)
CPA94000826	mise en scène (reality show)
CPA94000826	parapsychologie
CPA94000826	témoignage
CPA94000826	surnaturel
CPA94000826	fantôme
CPA94000826	extraterrestre
CPA94000826	motard (aveugle)
CPA94000826	psychologie (préparation psychologique)
CPA94000826	hypnose
CPA94000826	alchimie
CPA94000826	magnétisme
CPA94000826	mouton (égorgé)
CPA89004543	science fiction
CPA89004543	couple (de paysans)
CPA89004543	pastiche (rencontre du troisième type)
CPA89004543	pastiche (la guerre des étoiles)
CPB89005535	film (Au fil de la vie
CPB89005535	extrait)
CPB89005535	film (J'ai épousé une extraterrestre)
CPC89005359	rock and roll
CPC89005359	musée (La Villette)
CPC89005359	livre (back and roll)
CPC89005359	film (la mouche)
CPC89005359	exposition (le temps)
CPC89005359	hockey (sur patins à roulettes)
CPA89004423	cinéma
CPA89004423	acteur
CPA89004423	film (les deux FRAGONARD
CPA89004423	extrait)
CPC91011863	sketch (les extras terrestres)
CPC91011863	jeu (scrabble)
CPC92000323	extraterrestre (martien)
CPB93008460	monstre
CPA93009342	baiser
CPB93005162	Toulouse
CPB93005162	ovni
CPB93005162	témoignage
CAC93001752	Chili
CAC93001752	montagne
CAC93001752	paysage montagneux
CAC93001752	science
CAC93001752	astronomie
CAC93001752	explosion
CAC93001752	lune
CAC93001752	berger
CAC93001752	chèvre
CAC93001752	Faucherre Michel
CAC93001752	Laguna Juan
CAC93001752	Bouchet Patrice
CAC93001752	Roth Miguel
CAC93001752	Kunkel Williams
CAC93001752	Gatica Carlos
CAC93001752	Cabillic Armelle
CAC93001752	Figueroa Edgardo
CAC93001752	Erkert Wolfgang
CAC93001752	Prado Pablo
CAC93001752	Thompson Ian
CAC93001752	Lin Yan
CAC93001752	étoile (super nova 87)
CAC93001752	cordillère (andes)
CAC93001752	observatoire (la silla)
CAC93001752	observatoire (las campanas)
CAC93001752	chercheur (astronome)
CPA90013890	automobile
CPA90013890	extraterrestre
CPA90013890	amitié
CPA90013905	magie
CPC91008551	astronautique
CPC91008551	astronomie
CPC91008551	ovni
CPC91008551	Inra
CPC91008551	génétique (manipulation génétique)
CPB94008260	jeu (interactif)
CPB94008260	jeu vidéo
CPC94007404	document d'archives (de Jacques Higelin)
CPC94007404	musique
CPC94007404	artiste
CPC94007404	créativité
CPC94007404	sans abri
CPC94007404	droit (au logement)
CPC94007404	religion
CPC94007404	média
CPC94007404	solidarité
CPC94007404	enfant
CPC94007404	théâtre
CPC94007404	racisme
CPC94007404	relation parent enfant
CPC94007404	Algérie
CPC94007404	condition féminine
CPC94007404	exclusion (des femmes)
CAC98000708	Antilles françaises
CAC98000708	yachting
CAC98000708	navigation en solitaire
CAC98000708	Pointe à Pitre (off)
CAC98000708	arrivée (off)
CAC98000708	course au large (transatlantique
CAC98000708	route du rhum
CAC98000708	off)
CAC98000708	Guadeloupe (off)
1371842.005	politique intérieure
1371842.005	politique sociale
1371842.005	retraite
1371842.005	Israël
1371842.005	pape
967151.011	religion
967151.011	secte (mouvement raélien
967151.011	Heaven's gate
967151.011	Ordre du Temple solaire)
967151.011	extraterrestre
967151.011	clonage
967151.011	gourou
967151.011	adepte
967151.011	suicide
CPF87002306	ovni (soucoupe volante)
CPF87002306	radioastronomie
CPF87002306	astrologie
CPF87002306	météorite
CPF95001866	canard (caneton)
CPF95001866	animal
CPF95001866	chien
CPF95001866	belette
CPF95001866	ovni (soucoupe volante)
CPF86649016	science fiction
CPF86649016	barrage (Orlu)
CPF86649016	ouvrier
CPF86649016	extraterrestre
CPF86649016	solitude
CPF86649016	société
CAF02054871	astronomie
CAF02054871	fabrication
CAF02054871	amateur
CAF02054871	loisir
CAF02054871	ovni
CAF02054871	club
CAF91019870	témoignage
CAF91019870	ovni
CPF09005482	comédie musicale
CPF09005482	variétés
CPF09005482	généalogie
CPF09005482	informatique
CPF09005482	francophonie
7894651.001	astronomie
7894651.001	Nasa
7894651.001	télescope (James Webb)
7894651.001	télescope (Hubble)
7894651.001	astronome
7894651.001	espace
7894651.001	étoile
7894651.001	galaxie
7894651.001	planète
7894651.001	Arianespace
7894651.001	décollage vertical
7894651.001	fusée (Ariane 5)
3390171.001	extraterrestre
3390171.001	disparition
3390171.001	enfant
3390171.001	famille
3390171.001	relation familiale
3390171.001	enquête de police
804452.001	film (Godzilla)
804452.001	monstre
4651864.001	Paris
4651864.001	musée (Halle Saint Pierre)
4651864.001	exposition (Hey ! Modern art et pop culture)
4651864.001	art contemporain
4651864.001	peinture-art
4651864.001	vidéo
4457414.001	environnement
4457414.001	eau
4457414.001	sécheresse
4457414.001	homme
4860239.001	croyance
4860239.001	superstition (prédiction)
4860239.001	fin du monde (21 décembre 2012)
4860239.001	humour
4860239.001	animal domestique
4860239.001	extraterrestre
2333536.001	Seconde Guerre mondiale
2333536.001	Occupation-époque
2333536.001	résistance
2333536.001	polémique
2333536.001	Moulin Jean
2579054.001	gouvernement
2579054.001	Irak
2579054.001	chaleur
2579054.001	campagne
2579054.001	meeting
2579054.001	élection européenne
2579054.001	parti politique
2579054.001	PS-France
2579054.001	UMP-France
2579054.001	augmentation
2579054.001	prix
2579054.001	pétrole
2579054.001	anniversaire (60ème)
2579054.001	chef d'Etat
2579054.001	débarquement
2579054.001	Normandie
2802647.001	Union européenne
2802647.001	Convention européenne
2802647.001	constitution
2802647.001	référendum
2802647.001	polémique
2802647.001	campagne électorale
2800046.001	Etats Unis
2800046.001	ovni
2800046.001	extraterrestre
2800046.001	ésotérisme
2800046.001	reportage
2800046.001	enquête d'investigation
2800046.001	journaliste
2810987.001	Vatican
2810987.001	pape
2810987.001	décès
2810987.001	Jean Paul II
2810987.001	réaction
2810987.001	laïcité
2810987.001	Monaco
2810987.001	chef d'Etat
2810987.001	famille princière
2810987.001	obsèques
2810987.001	deuil
2810987.001	Rainier III de Monaco
2810987.001	médecin
2810987.001	manifestation
2384514.001	planète Vénus
2384514.001	voyage
2384514.001	musée
2384514.001	tableau
2384514.001	vol-infraction
2930277.001	planète Terre
2930277.001	protection de la nature
2930277.001	écologie
2930277.001	espace
2930277.001	recherche scientifique
2930277.001	sonde spatiale
2930277.001	cosmonaute
2930277.001	extraterrestre
3679508.001	société
3679508.001	politique intérieure
3679508.001	environnement
3679508.001	écologie
3679508.001	développement durable
3679508.001	climat
3679508.001	réchauffement climatique
3679508.001	santé
3679508.001	alimentation biologique
3679508.001	agriculture biologique
3679508.001	commerce équitable
3679508.001	déchet
3679508.001	composteur
3679508.001	théorie (décroissance)
3679508.001	école (HQE
3679508.001	Haute Qualité Environnementale)
3679508.001	entreprise (Alter Eco)
3679508.001	WWF
3679508.001	pollution
3679508.001	Belgique
3679508.001	ferme (Vevy Weron)
3390184.001	extraterrestre
3390184.001	disparition
3390184.001	avion
3390184.001	famille
3390184.001	relation familiale
