no	de
422516.018	photo
422516.018	CIA
425540.024	astronomie
425540.024	recherche scientifique
425540.024	technologie
425540.024	Floride
425540.024	espace
425540.024	sonde spatiale (Curiosity)
425540.024	planète Mars
425540.024	Agence spatiale européenne
425540.024	télescope (ELT)
425540.024	météorite
425540.024	fossile
425540.024	bactérie
425540.024	eau
421708.025	recherche scientifique
421708.025	espace
421708.025	sonde spatiale (Curiosity)
421708.025	planète Mars
421708.025	Nasa
395290.014.010	Etats Unis
395290.014.010	Californie
395290.014.010	espace
395290.014.010	astronomie
395290.014.010	système solaire
395290.014.010	planète
395290.014.010	onde
395290.014.010	extraterrestre
395290.014.010	observatoire
395290.014.010	programme (SETI)
397064.071	musique
397064.071	film (âmes vagabondes)
397064.071	art contemporain
397064.071	Sauvageot Pierre
397064.071	surf
396822.038	Etats Unis
396822.038	Jamaïque
396822.038	musique
396822.038	reggae
396822.038	danse
393024.107.002	cinéma
393024.107.002	film (Cloud Atlas)
395272.070	parfum
395272.070	dessin animé (Redakal)
395272.070	spectacle (Stomp)
399136.026.005	espace
399136.026.005	espace aérien
399136.026.005	sécurité aérienne
399136.026.005	surnaturel
399136.026.005	ovni
399136.026.005	extraterrestre
399136.026.005	témoignage
399136.026.005	document amateur
399136.026.005	armée de l'air
575624.063	Avignon
575624.063	Arles
575624.063	théâtre
575624.063	danse
575624.063	pièce de théâtre
575624.063	spectacle
575624.063	création artistique
575624.063	photographie
575624.063	festival (Avignon
575624.063	70ème
575624.063	Arles)
550626.021	vie politique
550626.021	politique intérieure
550626.021	régime politique
550626.021	pouvoir politique
550626.021	chef d'Etat
550626.021	Premier ministre
550626.021	Hollande François
550626.021	Valls Manuel
550626.021	Etats Unis
550626.021	élection présidentielle
550626.021	Parti démocrate-Etats Unis
550626.021	Parti républicain-Etats Unis
550626.021	élection primaire
550626.021	candidat
543954.062	jeunesse
543954.062	crêpe
543954.062	gâteau
543954.062	film
543954.062	extraterrestre
543954.062	guitare
543954.062	carton
543954.062	photo
543954.062	planète
592115.024	Réunion-département
592115.024	espace
592115.024	ovni
592115.024	extraterrestre
592115.024	témoignage
592115.024	recherche scientifique
592115.024	affaire (Babas Michelin)
592115.024	document d'archives
592115.024	reconstitution
591158.019	espace
591158.019	recherche scientifique
591158.019	planète Mars
591158.019	planète (exoplanète)
591158.019	vie
591158.019	extraterrestre
591158.019	sonde spatiale
591158.019	télescope
591158.019	laboratoire
607151.024	Royaume Uni
607151.024	agriculture
607151.024	champ
607151.024	symbole (agroglyphe
607151.024	crop circle
607151.024	cercle de culture)
607151.024	géométrie
607151.024	théorie
607151.024	surnaturel
607151.024	mysticisme
607151.024	extraterrestre
607151.024	vandalisme
607151.024	onde
607955.043	France
607955.043	Bretagne
607955.043	Royaume Uni
607955.043	Stonehenge
607955.043	Ecosse
607955.043	mégalithe
607955.043	menhir
607955.043	rite
607955.043	croyance
607955.043	astronomie
607955.043	sculpture
579890.035.004	Arles
579890.035.004	photographie
579890.035.004	festival (Rencontres internationales de la photographie)
579890.035.004	exposition
606226.065	cinéma
606226.065	film
606226.065	bande annonce
482670.021	émission télévisée (Koh Lanta ; Secret story)
482670.021	rétrospective (année 2014)
482670.021	succès
482670.021	série télévisée (mad men ; breaking bad ; The last man on earth ; Galavant)
509899.026	accident
509899.026	Toulouse
509899.026	usine (AZF)
509899.026	risque industriel (Seveso)
509899.026	responsabilité
509899.026	entreprise (Total Grande Paroisse)
509899.026	victime
509899.026	procédure judiciaire
509899.026	politique
509899.026	loi (prévention des risques industriels PPRT)
509899.026	urbanisme
509899.026	écologie
509899.026	habitant
509899.026	complexe industriel
509899.026	Feyzin
509899.026	pétrochimie
612769.005	mode
612769.005	robe
612769.005	manteau
612769.005	coiffure
612769.005	sport
612769.005	sac à main
612769.005	tissu (velour)
612769.005	Ryder Winona
612769.005	Poly Natasha
624200.014	Pérou
624200.014	site archéologique (Nazca)
624200.014	recherche scientifique
431192.063	fête (Teen Party)
431192.063	littérature
431192.063	livre (Pinkerton
431192.063	tome 1)
431192.063	planche à roulettes
431192.063	ordinateur
431192.063	cinéma
431192.063	animation
431192.063	film (Les gardiens de la galaxie)
431192.063	dessin (préparatoire)
436328.063.003	série télévisée (Tunnel)
436328.063.003	enquête de police
436328.063.003	meurtrier
358161.015	pièce de théâtre (Ciao Amore)
358161.015	bande dessinée (Adam et Eve)
358161.015	couple
358161.015	amour
358161.015	médium
358161.015	Jackson Michael
358161.015	livre (Michael Jackson me parle)
358401.014	télévision
358401.014	TF1
358401.014	journal télévisé
358401.014	journaliste
358401.014	présentateur
358401.014	licenciement
358401.014	polémique
358401.014	Ferrari Laurence
358401.014	émission télévisée
358401.014	série télévisée
358401.014	feuilleton (Plus belle la vie)
358401.014	succès
400240.054	expression orale
400240.054	dictionnaire
400240.054	animation
400240.054	film (Fuyons la planète terre)
400240.054	musique
400240.054	technologie
400240.054	geste
400240.054	danseur
400240.054	véhicule tout terrain
1109798.020	vie politique
1109798.020	élection présidentielle (2022)
1109798.020	extrême droite
1109798.020	candidat
1109798.020	campagne électorale
1109798.020	programme politique
1109798.020	Zemmour Eric
1109798.020	société
1109798.020	condition féminine
1109798.020	discrimination
1109798.020	égalité professionnelle
1109798.020	espace
1109798.020	femme
1159909.026	psychanalyse
1159909.026	psychothérapie
1159909.026	psychiatrie
1159909.026	inconscient
1159909.026	rêve
1159909.026	Lacan Jacques
1159909.026	Freud Sigmund
1221298.016	Rosso Lionel
1221298.016	Fenech Georges
1221298.016	Rousval Loïc
1221298.016	Borne Elisabeth
1221298.016	Barthe Deloizy Francine
1221298.016	Sterdyniak Henri
1221298.016	Pflimlin Rémy
1254430.007	Gignac André Pierre
1254430.007	Praud Pascal
1254430.007	Carreyrou Gérard
1254430.007	Dartigolles Olivier
1254430.007	Tardif Florian
1254430.007	Huget Yoann
1254430.007	Le Bret Gauthier
1254430.007	Bastié Eugénie
1254430.007	Pancher Bertrand
1254430.007	Joffrin Laurent
1254430.007	Fioraso Geneviève
1254430.007	Lemas Pierre René
753999.103	acteur
753999.103	imitateur
753999.103	doublage
