"";"X.baseid_SA";"X.baseid_TV"
"actuel";0,27;0,19
"retour";0,87;0,71
"valentin";0,38;0,19
"cnews";0,65;0
"groupe";0,11;0,71
"entier";0,57;0,07
"langlois";0,38;0
"bill";0;0,71
"frédéric";0,25;0,6
"boucher";0,27;0
"figure";2,32;0,04
"haut";0,52;0,15
"antoine";0,57;0,22
"1";0,63;0,37
"rapport";0,22;0,11
"réponse";0,14;0,37
"oeuf";0,14;0,19
"apporter";0,16;0,19
"place";0,11;0,3
"gotham";2,21;0
"animation";2,21;0,04
"république";0,08;0,26
"chanteur";0,25;0,26
"espoir";0;0,41
"trop";0,11;0,49
"chaque";0,19;0,34
"20";3,22;2,5
"21";1,88;0,19
"didier";0,03;0,67
"concernant";0,16;0,15
"parfois";0,05;0,34
"devoir";0,63;1,72
"récupérer";0;0,41
"départ";1,23;0,22
"curieux";0,71;0,34
"patrick";0,08;0,45
"où";0,52;1,12
"réussir";0,05;0,3
"décontraction";2,21;0
"bellver";1,31;0
"ou";0,79;2,5
"celui";0,05;0,41
"lemercier";0;0,41
"alain";0;0,41
"samedi";0,05;0,34
"phénomène";0,41;0,82
"5";0,08;0,45
"catastrophe";0,08;0,37
"endroit";0,16;0,3
"péril";2,83;0
"lisa";0;0,37
"programme";0,19;0,3
"île";2,23;0,22
"sur";13,19;12,76
"grâce";2,29;0,63
"prochain";0,11;0,3
"enfant";0,33;1,6
"vaisseau";0,33;1,04
"profiter";0,03;0,34
"différents";0,11;0,41
"emmanuel";0,27;0,22
"mission";0,08;0,56
"style";0,14;0,19
"manière";0,05;0,71
"bout";0,05;0,34
"organiser";0,03;0,34
"beast";1,5;0
"affrontement";0,35;0
"marionnette";0;0,52
"blanc";0,38;0,15
"passer";0,95;1,46
"scooby";0,05;0,37
"professeur";0,19;0,67
"dans";9,68;11,23
"nathalie";0,33;0,52
"respirer";0,71;0,04
"chaouch";0,27;0
"ainsi";0,19;0,34
"maison";0,16;0,97
"tourner";0,11;0,22
"vincent";0,35;0,19
"intelligence";0,38;0,11
"matin";0,14;0,37
"raconter";0,19;0,49
"année";0,95;0,75
"publicité";0,08;0,26
"c";0,84;3,69
"duo";0,71;0,07
"détruire";0,14;0,37
"bristielle";0,57;0
"arriver";0,19;0,63
"propos";0,14;0,3
"prince";2,23;0,04
"humour";4,66;0,26
"extra";0;0,49
"plateau";0,65;0,86
"monstre";0,03;0,37
"rien";0,08;0,52
"réveiller";1,14;0,26
"anne";0,46;0,41
"savoir";0,41;1,04
"question";1,2;0,86
"long";0,19;0,15
"présentation";0,14;0,56
"compagnie";0,05;0,37
"nasa";0,33;0,07
"antique";0,38;0
"chose";0,16;0,71
"depétrini";0,38;0
"olivier";0,11;0,6
"lrem";0,46;0
"claviere";0;0,71
"au_dessus";0,11;0,26
"journaliste";0,98;1,87
"patron";0,33;0,15
"fédération";0,3;0,04
"watrin";0,3;0
"nuit";0,16;0,41
"g";0,27;0,22
"permettre";0,41;0,45
"tsoukalos";0,49;0
"polémiste";0,38;0
"nombreux";2,62;0,37
"encore";0,35;0,52
"chalumeau";1,31;0
"centre";0,11;0,6
"lutte";1,55;0,19
"défense";0,16;0,19
"xavier";0,11;1,31
"durant";1,23;0,15
"rendre";0,57;0,86
"qu";3,03;6,16
"partie";0,38;1,04
"partir";0,46;0,9
"chemin";0,11;0,3
"joe";0,41;0,07
"certaines";0,46;0,11
"pomart";0,41;0
"disciple";0,63;0
"préparer";0,11;0,49
"mère";0,05;1,04
"janvier";0,14;0,19
"américain";0,57;0,86
"soirée";0,11;0,22
"conquérant";2,21;0
"série";2,4;0,97
"val";0,41;0
"humain";0,65;0,93
"marier";0,16;0,34
"michaël";0,19;0,11
"atterrir";0,03;0,37
"fantôme";0,08;0,37
