"";"X.baseid_SA";"X.baseid_TV"
"vincent";0,8002;-0,8002
"intelligence";1,5035;-1,5035
"matin";-1,3045;1,3045
"raconter";-1,4711;1,4711
"année";0,6377;-0,6377
"publicité";-1,1364;1,1364
"c";-14,4581;14,4581
"duo";4,3209;-4,3209
"détruire";-1,3045;1,3045
"bristielle";5,0021;-5,0021
"arriver";-2,3618;2,3618
"propos";-0,8873;0,8873
"prince";17,9924;-17,9924
"humour";31,3866;-31,3866
"extra";-4,8704;4,8704
"plateau";-0,6673;0,6673
"monstre";-2,9151;2,9151
"rien";-3,0623;3,0623
"réveiller";4,5885;-4,5885
"anne";0,3415;-0,3415
"savoir";-2,6883;2,6883
"question";0,9291;-0,9291
"long";0,3261;-0,3261
"présentation";-2,515;2,515
"compagnie";-2,3457;2,3457
"nasa";1,5577;-1,5577
"antique";3,3345;-3,3345
"chose";-3,1974;3,1974
"depétrini";3,3345;-3,3345
"olivier";-3,1843;3,1843
"lrem";4,0492;-4,0492
"claviere";-7,1188;7,1188
"au_dessus";-0,8895;0,8895
"journaliste";-2,6784;2,6784
"patron";0,9004;-0,9004
"fédération";1,8683;-1,8683
"watrin";2,6199;-2,6199
"nuit";-1,283;1,283
"g";0,3425;-0,3425
"permettre";-0,3189;0,3189
"tsoukalos";4,2874;-4,2874
"polémiste";3,3345;-3,3345
"nombreux";13,0567;-13,0567
"encore";-0,6873;0,6873
"chalumeau";11,4366;-11,4366
"centre";-3,1843;3,1843
"lutte";8,5895;-8,5895
"défense";-0,2774;0,2774
"xavier";-9,1168;9,1168
"durant";6,8396;-6,8396
"rendre";-0,9368;0,9368
"qu";-8,524;8,524
"partie";-2,923;2,923
"partir";-1,5894;1,5894
"chemin";-1,1069;1,1069
"joe";2,1145;-2,1145
"certaines";2,0142;-2,0142
"pomart";3,5727;-3,5727
"disciple";5,4786;-5,4786
"préparer";-2,3519;2,3519
"mère";-8,3076;8,3076
"janvier";-0,3735;0,3735
"américain";-0,9368;0,9368
"soirée";-0,6871;0,6871
"conquérant";19,306;-19,306
"série";4,9581;-4,9581
"val";3,5727;-3,5727
"humain";-0,8699;0,8699
"marier";-0,8898;0,8898
"michaël";0,4835;-0,4835
"atterrir";-2,9151;2,9151
"fantôme";-1,9161;1,9161
