"";"X.baseid_SA";"X.baseid_TV"
"voyage";-0,5877;0,5877
"06";1,2049;-1,2049
"chien";-3,0623;3,0623
"face";-2,9015;2,9015
"rouge";-0,2774;0,2774
"montrer";-1,3045;1,3045
"lala";-5,2451;5,2451
"tenter";-1,7199;1,7199
"attaquer";-0,6871;0,6871
"télévision";0,3785;-0,3785
"quitter";9,3358;-9,3358
"astrobiologiste";-0,3376;0,3376
"inviter";-1,9105;1,9105
"ce";-6,4417;6,4417
"seuil";-0,4313;0,4313
"après";7,2093;-7,2093
"ados";17,9924;-17,9924
"éléphant";5,115;-5,115
"site";0,3313;-0,3313
"paul";3,5573;-3,5573
"politique";-0,5406;0,5406
"crise";-4,8704;4,8704
"manège";-2,0446;2,0446
"imedia";11,4203;-11,4203
"hier";2,0752;-2,0752
"alliance";1,5035;-1,5035
"catherine";-9,3675;9,3675
"lune";-1,3369;1,3369
"nommer";-1,7502;1,7502
"milieu";-3,2542;3,2542
"participer";0,4239;-0,4239
"seul";-0,8168;0,8168
"survivre";-6,3692;6,3692
"tamaran";19,306;-19,306
"mauvais";-4,6343;4,6343
"chez";-4,6933;4,6933
"chef";-0,9028;0,9028
"hors";3,3431;-3,3431
"communauté";0,2673;-0,2673
"servir";4,1219;-4,1219
"appeler";-1,3045;1,3045
"falloir";-2,8467;2,8467
"soucoupe";-2,6239;2,6239
"interview";1,1982;-1,1982
"nombre";0,218;-0,218
"pizza";7,7516;-7,7516
"rire";-4,8704;4,8704
"l";-8,4393;8,4393
"alexis";3,0963;-3,0963
"survivant";-6,744;6,744
"enlever";-2,0863;2,0863
"responsable";-3,2542;3,2542
"prendre";-0,4949;0,4949
"alors";-6,1499;6,1499
"livreur";8,7337;-8,7337
"état";0,4301;-0,4301
"plaindre";-1,1364;1,1364
"grave";19,5376;-19,5376
"avouer";-1,1364;1,1364
"de";-20,2979;20,2979
"du";-8,3152;8,3152
"malgré";-4,2835;4,2835
"déage";-3,7463;3,7463
"bien";2,0318;-2,0318
"auteur";-3,1486;3,1486
"bras";-3,7463;3,7463
"ils";12,9423;-12,9423
"thierry";0,3047;-0,3047
"carbonnier";9,5297;-9,5297
"bunny";-4,6343;4,6343
"raid";3,5727;-3,5727
"déclaration";2,2844;-2,2844
"contact";-0,4047;0,4047
"the";-3,6655;3,6655
"poser";-2,6239;2,6239
"lci";5,2404;-5,2404
"bord";-3,9402;3,9402
"loin";-3,2542;3,2542
"connaître";-3,7648;3,7648
"peupler";3,9065;-3,9065
"commencer";-0,5877;0,5877
"occasion";-0,4812;0,4812
"sujet";-1,4239;1,4239
"rentrer";-1,1069;1,1069
"zone";-0,2774;0,2774
"donner";-3,1135;3,1135
"partager";-2,3457;2,3457
"quelques";-3,3197;3,3197
"urgentiste";2,8581;-2,8581
"gilet";4,0079;-4,0079
"ciel";1,226;-1,226
"finir";6,8606;-6,8606
"echoué";-5,6198;5,6198
"cas";-1,1034;1,1034
"car";-2,9015;2,9015
"discussion";3,0963;-3,0963
"cours";-3,0463;3,0463
"michel";-2,6239;2,6239
"cafard";-5,2451;5,2451
"découvrir";-8,0433;8,0433
"forme";-0,4183;0,4183
"valérie";-1,8279;1,8279
"nom";-0,4037;0,4037
"non";-2,4712;2,4712
"emmener";-2,5791;2,5791
"nos";-3,7335;3,7335
"en";-20,7035;20,7035
"ex";1,5577;-1,5577
"et";-9,6872;9,6872
"album";-5,6198;5,6198
"marine";-0,4313;0,4313
"message";-1,2689;1,2689
"incroyable";0,7197;-0,7197
"premier";-2,2215;2,2215
"presque";0,8722;-0,8722
"deux";-4,6417;4,6417
"ligne";0,239;-0,239
"étrange";-0,3615;0,3615
"disparaître";-2,3519;2,3519
"secrétaire";4,5297;-4,5297
"joli";-4,9838;4,9838
"leur";9,2581;-9,2581
"sport";-1,3369;1,3369
"3";5,444;-5,444
"vrai";-0,7263;0,7263
"près_de";-2,3519;2,3519
"tropical";18,8289;-18,8289
"maïa";8,8147;-8,8147
"prétexte";19,0675;-19,0675
"explication";-0,6989;0,6989
"soir";0,2274;-0,2274
"media";0,4835;-0,4835
"fruit";-0,8895;0,8895
"glacier";6,1934;-6,1934
"européen";-0,6873;0,6873
"ami";-5,6466;5,6466
"certains";0,7542;-0,7542
"faire";-2,4998;2,4998
"héros";-2,6525;2,6525
"vilain";-2,5791;2,5791
"vendre";-0,2353;0,2353
"intervention";-0,3735;0,3735
"loi";-0,2774;0,2774
"chambre";-1,3861;1,3861
"giorgio";4,5256;-4,5256
"vers";-1,8279;1,8279
"aile";19,306;-19,306
"médecin";0,3877;-0,3877
"iran";-6,744;6,744
"aimer";-1,5298;1,5298
"vidéo";1,3206;-1,3206
"réalité";-1,2701;1,2701
"visage";0,2673;-0,2673
"posséder";2,9789;-2,9789
"suivant";-2,3457;2,3457
"fr";-1,1364;1,1364
"invasion";-2,9642;2,9642
"documentaire";-0,5267;0,5267
"cet";-1,2536;1,2536
"ces";7,5061;-7,5061
"base";-1,3045;1,3045
"dire";-4,5519;4,5519
"selon";4,4891;-4,4891
"diffuser";-1,8145;1,8145
"tf1";1,1592;-1,1592
"téléspectateur";-0,6871;0,6871
"véritable";-1,0766;1,0766
"charlotte";-4,121;4,121
"aussi";6,6333;-6,6333
"jour";0,3313;-0,3313
"justice";1,6639;-1,6639
"international";0,3261;-0,3261
"événement";-0,457;0,457
"voler";14,238;-14,238
"culture";-0,521;0,521
"portrait";-3,9402;3,9402
"effet";-0,2353;0,2353
"sophia";-3,7463;3,7463
"créature";2,654;-2,654
"planète";2,4688;-2,4688
"docteur";-2,9151;2,9151
"grand";-1,7305;1,7305
"000";-1,0898;1,0898
"coup";-0,8895;0,8895
"autres";5,2978;-5,2978
"pierre";-2,4298;2,4298
"jouer";-2,9642;2,9642
"jamais";-0,2632;0,2632
"être";-0,9994;0,9994
"hapsatou";2,6199;-2,6199
"pauline";-7,1188;7,1188
"cryogénisé";8,7337;-8,7337
"rester";-0,6259;0,6259
"visite";0,9224;-0,9224
"structure";1,5577;-1,5577
"peut_être";-0,5711;0,5711
"utiliser";-0,4138;0,4138
"rencontre";-0,6873;0,6873
"supervilains";-5,2451;5,2451
"suite";0,517;-0,517
"scientologie";-5,9945;5,9945
"apprendre";-0,8895;0,8895
"avoir";28,8838;-28,8838
"michael";-1,3861;1,3861
"élection";-0,4313;0,4313
"jump";19,5446;-19,5446
"cela";-0,8873;0,8873
"gens";1,5035;-1,5035
"danger";8,587;-8,587
"français";-0,9951;0,9951
"gitan";3,3345;-3,3345
"volant";-1,6082;1,6082
"entrer";0,9004;-0,9004
"heure";-4,9838;4,9838
"également";-1,2689;1,2689
"rencontrer";-2,0828;2,0828
"représentant";1,6639;-1,6639
"avocat";1,7576;-1,7576
"cause";-0,2774;0,2774
"université";-4,2864;4,2864
"lancer";-0,9118;0,9118
"ovni";-3,9854;3,9854
"adopter";14,6846;-14,6846
"sy";5,7169;-5,7169
"liste";-2,0446;2,0446
"âge";-0,2353;0,2353
"jaune";5,4786;-5,4786
"maintenant";-1,9161;1,9161
"laurent";-0,2774;0,2774
"réaliser";-0,7711;0,7711
"courir";8,587;-8,587
"rubrique";-2,3457;2,3457
"trouver";-3,3421;3,3421
"mohammed";2,6199;-2,6199
"j";-5,2451;5,2451
"média";0,8823;-0,8823
"preuve";5,3739;-5,3739
"macron";-0,3376;0,3376
"luc";3,1615;-3,1615
"lui";-16,1694;16,1694
"ukrainien";1,6639;-1,6639
"police";2,9789;-2,9789
"animateur";0,3425;-0,3425
"paranormal";-0,3735;0,3735
"vinci";6,1934;-6,1934
"carrière";-1,1364;1,1364
"examiner";2,7074;-2,7074
"46";0,647;-0,647
"femme";-8,852;8,852
"région";-0,3735;0,3735
"moins";-0,2774;0,2774
"persuader";-3,1974;3,1974
"yacine";-5,6198;5,6198
"général";0,8055;-0,8055
"eau";7,7818;-7,7818
"étude";-2,5791;2,5791
"laporte";2,8581;-2,8581
"inconnu";-1,3861;1,3861
"chercher";-1,0955;1,0955
"eric";3,6576;-3,6576
"pernin";-3,7463;3,7463
"arrêter";-1,1069;1,1069
"star";-0,3189;0,3189
"fois";3,756;-3,756
"parole";2,804;-2,804
"aider";-0,3376;0,3376
"aux";-6,8659;6,8659
"siècle";0,7415;-0,7415
"voix";-0,8898;0,8898
"réputation";-6,0402;6,0402
"voir";-2,5682;2,5682
"légende";-0,4812;0,4812
"force";-1,2689;1,2689
"histoire";-0,4266;0,4266
"new";0,647;-0,647
"propre";11,5342;-11,5342
"aujourd_hui";9,3257;-9,3257
"omar";3,0963;-3,0963
"arme";0,239;-0,239
"dettinger";10,2448;-10,2448
"quotidien";-4,659;4,659
"géant";-0,3898;0,3898
"quoi";4,0779;-4,0779
"suggérer";2,0752;-2,0752
"afin";-3,4716;3,4716
"famille";-7,4923;7,4923
"vivre";-3,9161;3,9161
"comportement";2,1145;-2,1145
"aide";-1,7645;1,7645
"créer";-1,441;1,441
"acteur";1,0783;-1,0783
"surprise";-0,6871;0,6871
"sauver";12,7902;-12,7902
"entraîner";16,9644;-16,9644
"attaque";-4,3571;4,3571
"école";-5,5535;5,5535
"chroniqueur";-2,282;2,282
"syndicat";3,3345;-3,3345
"avion";-0,8895;0,8895
"terrestre";-4,2864;4,2864
"don";0,239;-0,239
"doo";-2,9151;2,9151
"christopher";-3,9402;3,9402
"traverser";-5,9945;5,9945
"julien";6,9847;-6,9847
"cabrol";-0,6506;0,6506
"02";3,0929;-3,0929
"03";2,2841;-2,2841
"00";5,587;-5,587
"01";6,1934;-6,1934
"07";4,5256;-4,5256
"04";2,1145;-2,1145
"05";3,1365;-3,1365
"08";0,2457;-0,2457
"09";2,0142;-2,0142
"sorte";-1,9161;1,9161
"confronter";-2,5791;2,5791
"une";0,3531;-0,3531
"scientifique";0,6926;-0,6926
"mathieu";-2,3457;2,3457
"il";0,666;-0,666
"amour";-0,7121;0,7121
"théoricien";6,67;-6,67
"quand";-8,5234;8,5234
"livre";-1,4239;1,4239
"elle";-16,0275;16,0275
"vieux";-2,4774;2,4774
"kid";-4,8704;4,8704
"neptuna";-3,7463;3,7463
"nicolas";-0,6871;0,6871
"royal";-1,3861;1,3861
"musique";-0,7121;0,7121
"revel";2,8581;-2,8581
"super";16,5552;-16,5552
"magazine";-1,8279;1,8279
"maître";-4,2864;4,2864
"lieu";-0,8953;0,8953
"batman";25,0326;-25,0326
"très";-1,391;1,391
"mystérieux";0,2655;-0,2655
"petit";4,0311;-4,0311
"décider";-4,5519;4,5519
"corbière";3,0963;-3,0963
"dieu";2,4995;-2,4995
"chrono";4,3209;-4,3209
"mazaurette";9,7681;-9,7681
"laure";-18,3656;18,3656
"ville";-2,2245;2,2245
"etats";-0,2353;0,2353
"accompagner";-5,6198;5,6198
"voiture";-3,5961;3,5961
"boy";14,0592;-14,0592
"père";-6,2499;6,2499
"bon";-1,0762;1,0762
"margot";-3,2542;3,2542
"univers";12,3212;-12,3212
"france";0,4271;-0,4271
"équipe";-0,264;0,264
"vous";-3,5711;3,5711
"militaire";-3,1974;3,1974
"sous";-0,3034;0,3034
"agent";-0,5494;0,5494
"mal";-2,6525;2,6525
"avant";-3,3197;3,3197
"nous";-5,0638;5,0638
"spécialiste";-1,1519;1,1519
"mais";2,2949;-2,2949
"main";-2,6525;2,6525
"nouveau";1,3296;-1,3296
"ancien";21,8304;-21,8304
"agir";-0,7226;0,7226
"homme";-4,474;4,474
"ministre";1,3334;-1,3334
"chanson";-0,7559;0,7559
"11";1,7576;-1,7576
"10";1,0502;-1,0502
"13";-0,3145;0,3145
"12";0,4121;-0,4121
"15";0,7878;-0,7878
"14";0,2673;-0,2673
"17";-0,4138;0,4138
"16";0,3877;-0,3877
"19";13,2284;-13,2284
"18";8,0692;-8,0692
"spectacle";-1,1069;1,1069
"trace";-5,2714;5,2714
"extraire";0,2978;-0,2978
"fille";14,7403;-14,7403
"show";-4,9838;4,9838
"aventure";23,5547;-23,5547
"étranger";-0,5267;0,5267
"débarquer";-3,3619;3,3619
"43";1,3245;-1,3245
"parent";4,0769;-4,0769
"jt";0,7197;-0,7197
"je";-5,6869;5,6869
"lopez";1,9258;-1,9258
"rugby";1,3792;-1,3792
"tour";-1,8279;1,8279
"tous";2,3417;-2,3417
"capable";0,4239;-0,4239
"côté";4,3157;-4,3157
"ex_membre";2,6199;-2,6199
"lorsque";10,5351;-10,5351
"dessin";-1,1364;1,1364
"mars";-0,6989;0,6989
"quatre";-3,4633;3,4633
"par";-4,6101;4,6101
"pas";6,3526;-6,3526
"tout";-12,1729;12,1729
"autour";-1,2558;1,2558
"entourer";-2,5791;2,5791
"starfire";32,6726;-32,6726
"new_yorkais";8,7337;-8,7337
"4";0,5312;-0,5312
"mot";-3,9402;3,9402
"mon";-2,6239;2,6239
"luthor";2,6199;-2,6199
"christine";2,8581;-2,8581
"journée";0,218;-0,218
"titan";25,9873;-25,9873
"soudain";-4,121;4,121
"gorg";-5,2451;5,2451
"venir";-3,4678;3,4678
"fils";-3,1809;3,1809
"citation";4,3529;-4,3529
"pourquoi";-0,3376;0,3376
"eliot";-8,2431;8,2431
"film";-5,3899;5,3899
"important";-0,7121;0,7121
"emily";-4,6343;4,6343
"revenir";-0,4847;0,4847
"poilu";-5,6198;5,6198
"révéler";1,0365;-1,0365
"public";-1,6823;1,6823
"à";-18,9909;18,9909
"agathe";2,8581;-2,8581
"des";1,956;-1,956
"csa";3,3345;-3,3345
"civilisation";1,3408;-1,3408
"delage";3,0963;-3,0963
"trois";-4,6343;4,6343
"théâtre";-0,2632;0,2632
"24";0,8304;-0,8304
"25";-0,5041;0,5041
"26";0,5976;-0,5976
"27";0,4301;-0,4301
"22";2,4537;-2,4537
"23";3,6525;-3,6525
"28";0,5109;-0,5109
"29";0,3129;-0,3129
"etienne";8,277;-8,277
"robbie";-1,5298;1,5298
"porte";0,3528;-0,3528
"président";1,7294;-1,7294
"troisième";1,0502;-1,0502
"dont";-5,5814;5,5814
"donc";-2,4774;2,4774
"cirque";16,736;-16,736
"pari";-0,8168;0,8168
"part";-2,3519;2,3519
"john";-2,6525;2,6525
"gasnier";11,4366;-11,4366
"recevoir";-3,1974;3,1974
"relation";-2,5791;2,5791
"témoignage";-1,283;1,283
"express";2,3817;-2,3817
"expert";-2,9151;2,9151
"point";-1,7828;1,7828
"léo";6,4317;-6,4317
"secret";-0,8472;0,8472
"cyborg";13,1054;-13,1054
"puissant";0,4239;-0,4239
"mener";-1,7645;1,7645
"puis";-2,4774;2,4774
"moment";-1,4711;1,4711
"travers";-1,0806;1,0806
"entre";-2,5159;2,5159
"salvatore";-4,121;4,121
"y";-1,6309;1,6309
"délirant";-5,9945;5,9945
"source";8,3167;-8,3167
"ça";-2,4774;2,4774
"peu";-1,2552;1,2552
"depuis";-0,3448;0,3448
"jimmy";2,6199;-2,6199
"aliens";-0,6873;0,6873
"dewalle";3,5727;-3,5727
"avenir";-1,9161;1,9161
"conseil";-0,8873;0,8873
"travailler";-0,7121;0,7121
"lointain";16,2184;-16,2184
"elles";0,4757;-0,4757
"armée";-1,1069;1,1069
"invité";-0,8747;0,8747
"brainiac";3,3345;-3,3345
"ennemi";-4,8704;4,8704
"objet";0,6151;-0,6151
"lorenzo";-4,121;4,121
"crop";-3,7463;3,7463
"39";0,4259;-0,4259
"38";1,1827;-1,1827
"33";1,789;-1,789
"32";0,6151;-0,6151
"31";0,8304;-0,8304
"30";0,8206;-0,8206
"37";0,8823;-0,8823
"36";1,7401;-1,7401
"34";1,0297;-1,0297
"composer";-0,2774;0,2774
"train";-1,3369;1,3369
"souvent";-0,612;0,612
"terrien";11,7303;-11,7303
"laurie";-3,7463;3,7463
"extrait";-1,772;1,772
"le";-28,2545;28,2545
"la";-11,3061;11,3061
"eux";-1,2689;1,2689
"oggy";-5,2451;5,2451
"image";-1,2643;1,2643
"tuer";-0,5919;0,5919
"identifier";-0,6691;0,6691
"lfi";3,5727;-3,5727
"expliquer";-0,612;0,612
"réseau";-1,1364;1,1364
"là";-2,0461;2,0461
"que";-3,6399;3,6399
"qui";4,9863;-4,9863
"parvenir";-2,7673;2,7673
"publier";0,3261;-0,3261
"auproux";2,8581;-2,8581
"seines";3,3345;-3,3345
"tromper";4,5297;-4,5297
"mélenchon";5,115;-5,115
"bernard";1,5577;-1,5577
"beau";-1,7176;1,7176
"sembler";-2,3068;2,3068
"crabe";6,1934;-6,1934
"cacher";-2,6585;2,6585
"fatou";18,8289;-18,8289
"bruno";2,1909;-2,1909
"françois";-4,9681;4,9681
"comment";3,0008;-3,0008
"concours";0,6082;-0,6082
"colocataire";13,3439;-13,3439
"parisien";-0,6871;0,6871
"raven";32,4338;-32,4338
"provoquer";14,0241;-14,0241
"système";0,6841;-0,6841
"brigitte";3,3345;-3,3345
"adolescent";2,6284;-2,6284
"toutes";-0,4749;0,4749
"oise";3,5727;-3,5727
"monter";-2,3457;2,3457
"48";4,5256;-4,5256
"49";0,9004;-0,9004
"47";3,2941;-3,2941
"44";1,9105;-1,9105
"45";1,194;-1,194
"42";0,9224;-0,9224
"40";-1,1121;1,1121
"41";0,5312;-0,5312
"membre";1,6251;-1,6251
"inédit";-7,1188;7,1188
"direct";-0,3898;0,3898
"air";-1,7502;1,7502
"philippe";-2,0075;2,0075
"même";-0,7662;0,7662
"changer";0,2673;-0,2673
"pendant";-0,4802;0,4802
"actualité";-1,2643;1,2643
"m6";1,0502;-1,0502
"assez";-4,9838;4,9838
"mois";-3,0623;3,0623
"me";0,6534;-0,6534
"ma";-1,1364;1,1364
"naître";10,1614;-10,1614
"mi";2,6199;-2,6199
"enquête";-2,1465;2,1465
"entretien";-0,2353;0,2353
"laquelle";-1,6466;1,6466
"nouvelle";-0,4589;0,4589
"vite";-0,4037;0,4037
"mettre";-5,3618;5,3618
"autre";-1,427;1,427
"jeune";-1,7911;1,7911
"construire";0,4259;-0,4259
"réal";-4,121;4,121
"émission";-1,5404;1,5404
"coeur";-0,8953;0,8953
"claude";-0,3189;0,3189
"présidentiel";0,3785;-0,3785
"photo";0,218;-0,218
"boulot";13,5823;-13,5823
"transformer";-1,8279;1,8279
"frontière";-1,3369;1,3369
"candidat";0,9004;-0,9004
"alien";0,647;-0,647
"jean";-1,068;1,068
"proposer";-4,9135;4,9135
"fête";-1,7502;1,7502
"vérité";-0,5267;0,5267
"manquer";12,8022;-12,8022
"enfin";-0,8898;0,8898
"2999";8,7337;-8,7337
"bande";-3,0623;3,0623
"59";5,0021;-5,0021
"58";3,3345;-3,3345
"55";2,7364;-2,7364
"54";6,1934;-6,1934
"56";4,2874;-4,2874
"51";2,0142;-2,0142
"50";1,5969;-1,5969
"53";2,495;-2,495
"52";2,1909;-2,1909
"57";1,5035;-1,5035
"humanité";-0,8699;0,8699
"gouvernement";1,7576;-1,7576
"plus";-2,1856;2,1856
"entrepreneur";2,6199;-2,6199
"exister";0,8002;-0,8002
"hugues";3,3345;-3,3345
"voisin";-2,3457;2,3457
"peret";-3,7463;3,7463
"ne";2,5621;-2,5621
"actuel";0,4725;-0,4725
"retour";0,5458;-0,5458
"valentin";0,9224;-0,9224
"cnews";5,7169;-5,7169
"groupe";-4,0584;4,0584
"entier";3,2941;-3,2941
"langlois";3,3345;-3,3345
"bill";-7,1188;7,1188
"frédéric";-1,6352;1,6352
"boucher";2,3817;-2,3817
"figure";18,6929;-18,6929
"haut";1,9511;-1,9511
"antoine";1,5974;-1,5974
"1";0,95;-0,95
"rapport";0,6082;-0,6082
"réponse";-1,3045;1,3045
"oeuf";-0,3735;0,3735
"apporter";-0,2774;0,2774
"place";-1,1069;1,1069
"gotham";19,306;-19,306
"animation";17,7591;-17,7591
"république";-1,1364;1,1364
"chanteur";-0,2632;0,2632
"espoir";-4,121;4,121
"trop";-2,3519;2,3519
"chaque";-0,7263;0,7263
"20";1,2485;-1,2485
"21";11,0638;-11,0638
"didier";-5,6869;5,6869
"concernant";0,239;-0,239
"parfois";-2,0446;2,0446
"devoir";-4,4475;4,4475
"récupérer";-4,121;4,121
"départ";5,6299;-5,6299
"curieux";1,4806;-1,4806
"patrick";-2,4774;2,4774
"où";-2,249;2,249
"réussir";-1,7502;1,7502
"décontraction";19,306;-19,306
"bellver";11,4366;-11,4366
"ou";-7,3674;7,3674
"celui";-2,6525;2,6525
"lemercier";-4,121;4,121
"alain";-4,121;4,121
"samedi";-2,0446;2,0446
"phénomène";-1,5887;1,5887
"5";-2,4774;2,4774
"catastrophe";-1,9161;1,9161
"endroit";-0,7121;0,7121
"péril";24,794;-24,794
"lisa";-3,7463;3,7463
"programme";-0,5711;0,5711
"île";13,0106;-13,0106
"sur";0,4791;-0,4791
"grâce";7,3436;-7,3436
"prochain";-1,1069;1,1069
"enfant";-7,2343;7,2343
"vaisseau";-3,4524;3,4524
"profiter";-2,5791;2,5791
"différents";-1,8279;1,8279
"emmanuel";0,3425;-0,3425
"mission";-3,3619;3,3619
"style";-0,3735;0,3735
"manière";-5,2409;5,2409
"bout";-2,0446;2,0446
"organiser";-2,5791;2,5791
"beast";13,1054;-13,1054
"affrontement";3,0963;-3,0963
"marionnette";-5,2451;5,2451
"blanc";1,178;-1,178
"passer";-1,3538;1,3538
"scooby";-2,3457;2,3457
"professeur";-2,6014;2,6014
"dans";-1,5134;1,5134
"nathalie";-0,8016;0,8016
"respirer";5,115;-5,115
"chaouch";2,3817;-2,3817
"ainsi";-0,7263;0,7263
"maison";-5,139;5,139
"tourner";-0,6871;0,6871
