"";"*baseid_SA";"*baseid_TV"
"organiser";1;9
"beast";55;0
"affrontement";13;0
"marionnette";0;14
"blanc";14;4
"passer";35;39
"scooby";2;10
"professeur";7;18
"dans";355;301
"nathalie";12;14
"respirer";26;1
"chaouch";10;0
"ainsi";7;9
"maison";6;26
"tourner";4;6
"vincent";13;5
"intelligence";14;3
"matin";5;10
"raconter";7;13
"année";35;20
"publicité";3;7
"c";31;99
"duo";26;2
"détruire";5;10
"bristielle";21;0
"arriver";7;17
"propos";5;8
"prince";82;1
"humour";171;7
"extra";0;13
"plateau";24;23
"monstre";1;10
"rien";3;14
"réveiller";42;7
"anne";17;11
"savoir";15;28
"question";44;23
"long";7;4
"présentation";5;15
"compagnie";2;10
"nasa";12;2
"antique";14;0
"chose";6;19
"depétrini";14;0
"olivier";4;16
"lrem";17;0
"claviere";0;19
"au_dessus";4;7
"journaliste";36;50
"patron";12;4
"fédération";11;1
"watrin";11;0
"nuit";6;11
"g";10;6
"permettre";15;12
"tsoukalos";18;0
"polémiste";14;0
"nombreux";96;10
"encore";13;14
"chalumeau";48;0
"centre";4;16
"lutte";57;5
"défense";6;5
"xavier";4;35
"durant";45;4
"rendre";21;23
"qu";111;165
"partie";14;28
"partir";17;24
"chemin";4;8
"joe";15;2
"certaines";17;3
"pomart";15;0
"disciple";23;0
"préparer";4;13
"mère";2;28
"janvier";5;5
"américain";21;23
"soirée";4;6
"conquérant";81;0
"série";88;26
"val";15;0
"humain";24;25
"marier";6;9
"michaël";7;3
"atterrir";1;10
"fantôme";3;10
