"";"banalfreq";"X.baseid_SA";"X.baseid_TV"
"élection";14;-0,4313;0,4313
"cela";13;-0,8873;0,8873
"gens";17;1,5035;-1,5035
"français";52;-0,9951;0,9951
"volant";29;-1,6082;1,6082
"entrer";16;0,9004;-0,9004
"également";19;-1,2689;1,2689
"représentant";11;1,6639;-1,6639
"avocat";25;1,7576;-1,7576
"cause";11;-0,2774;0,2774
"lancer";21;-0,9118;0,9118
"âge";14;-0,2353;0,2353
"maintenant";13;-1,9161;1,9161
"laurent";11;-0,2774;0,2774
"réaliser";22;-0,7711;0,7711
"média";13;0,8823;-0,8823
"macron";15;-0,3376;0,3376
"ukrainien";11;1,6639;-1,6639
"animateur";16;0,3425;-0,3425
"paranormal";10;-0,3735;0,3735
"carrière";10;-1,1364;1,1364
"46";14;0,647;-0,647
"région";10;-0,3735;0,3735
"moins";11;-0,2774;0,2774
"général";42;0,8055;-0,8055
"inconnu";11;-1,3861;1,3861
"chercher";28;-1,0955;1,0955
"arrêter";12;-1,1069;1,1069
"star";27;-0,3189;0,3189
"aider";15;-0,3376;0,3376
"siècle";12;0,7415;-0,7415
"voix";15;-0,8898;0,8898
"légende";18;-0,4812;0,4812
"force";19;-1,2689;1,2689
"histoire";53;-0,4266;0,4266
"new";14;0,647;-0,647
"arme";10;0,239;-0,239
"géant";19;-0,3898;0,3898
"aide";17;-1,7645;1,7645
"créer";24;-1,441;1,441
"acteur";37;1,0783;-1,0783
"surprise";10;-0,6871;0,6871
"avion";11;-0,8895;0,8895
"don";10;0,239;-0,239
"cabrol";23;-0,6506;0,6506
"08";17;0,2457;-0,2457
"sorte";13;-1,9161;1,9161
"une";1087;0,3531;-0,3531
"scientifique";38;0,6926;-0,6926
"il";650;0,666;-0,666
"amour";14;-0,7121;0,7121
"livre";34;-1,4239;1,4239
"nicolas";10;-0,6871;0,6871
"royal";11;-1,3861;1,3861
"musique";14;-0,7121;0,7121
"magazine";15;-1,8279;1,8279
"lieu";17;-0,8953;0,8953
"très";80;-1,391;1,391
"mystérieux";29;0,2655;-0,2655
"etats";14;-0,2353;0,2353
"bon";20;-1,0762;1,0762
"france";107;0,4271;-0,4271
"équipe";28;-0,264;0,264
"sous";32;-0,3034;0,3034
"agent";13;-0,5494;0,5494
"spécialiste";40;-1,1519;1,1519
"nouveau";130;1,3296;-1,3296
"agir";31;-0,7226;0,7226
"ministre";28;1,3334;-1,3334
"chanson";20;-0,7559;0,7559
"11";25;1,7576;-1,7576
"10";20;1,0502;-1,0502
"13";20;-0,3145;0,3145
"12";34;0,4121;-0,4121
"15";26;0,7878;-0,7878
"14";15;0,2673;-0,2673
"17";21;-0,4138;0,4138
"16";19;0,3877;-0,3877
"spectacle";12;-1,1069;1,1069
"extraire";148;0,2978;-0,2978
"étranger";11;-0,5267;0,5267
"43";19;1,3245;-1,3245
"jt";20;0,7197;-0,7197
"lopez";16;1,9258;-1,9258
"rugby";13;1,3792;-1,3792
"tour";15;-1,8279;1,8279
"capable";12;0,4239;-0,4239
"dessin";10;-1,1364;1,1364
"mars";12;-0,6989;0,6989
"autour";29;-1,2558;1,2558
"4";13;0,5312;-0,5312
"journée";12;0,218;-0,218
"pourquoi";15;-0,3376;0,3376
"important";14;-0,7121;0,7121
"revenir";36;-0,4847;0,4847
"révéler";17;1,0365;-1,0365
"public";21;-1,6823;1,6823
"des";1268;1,956;-1,956
"civilisation";16;1,3408;-1,3408
"théâtre";16;-0,2632;0,2632
"24";21;0,8304;-0,8304
"25";20;-0,5041;0,5041
"26";24;0,5976;-0,5976
"27";22;0,4301;-0,4301
"28";23;0,5109;-0,5109
"29";18;0,3129;-0,3129
"robbie";16;-1,5298;1,5298
"porte";45;0,3528;-0,3528
"président";37;1,7294;-1,7294
"troisième";20;1,0502;-1,0502
"pari";28;-0,8168;0,8168
"témoignage";17;-1,283;1,283
"point";32;-1,7828;1,7828
"secret";32;-0,8472;0,8472
"puissant";12;0,4239;-0,4239
"mener";17;-1,7645;1,7645
"moment";20;-1,4711;1,4711
"travers";16;-1,0806;1,0806
"y";84;-1,6309;1,6309
"peu";23;-1,2552;1,2552
"depuis";50;-0,3448;0,3448
"aliens";27;-0,6873;0,6873
"avenir";13;-1,9161;1,9161
"conseil";13;-0,8873;0,8873
"travailler";14;-0,7121;0,7121
"elles";35;0,4757;-0,4757
"armée";12;-1,1069;1,1069
"invité";73;-0,8747;0,8747
"objet";19;0,6151;-0,6151
"39";17;0,4259;-0,4259
"38";15;1,1827;-1,1827
"33";22;1,789;-1,789
"32";19;0,6151;-0,6151
"31";21;0,8304;-0,8304
"30";29;0,8206;-0,8206
"37";13;0,8823;-0,8823
"36";15;1,7401;-1,7401
"34";14;1,0297;-1,0297
"composer";11;-0,2774;0,2774
"train";13;-1,3369;1,3369
"souvent";19;-0,612;0,612
"extrait";34;-1,772;1,772
"eux";19;-1,2689;1,2689
"image";33;-1,2643;1,2643
"tuer";17;-0,5919;0,5919
"identifier";25;-0,6691;0,6691
"expliquer";19;-0,612;0,612
"réseau";10;-1,1364;1,1364
"publier";11;0,3261;-0,3261
"bernard";14;1,5577;-1,5577
"beau";19;-1,7176;1,7176
"concours";11;0,6082;-0,6082
"parisien";10;-0,6871;0,6871
"système";17;0,6841;-0,6841
"toutes";59;-0,4749;0,4749
"49";16;0,9004;-0,9004
"44";26;1,9105;-1,9105
"45";24;1,194;-1,194
"42";19;0,9224;-0,9224
"40";32;-1,1121;1,1121
"41";13;0,5312;-0,5312
"membre";42;1,6251;-1,6251
"direct";19;-0,3898;0,3898
"air";10;-1,7502;1,7502
"même";59;-0,7662;0,7662
"changer";15;0,2673;-0,2673
"pendant";27;-0,4802;0,4802
"actualité";33;-1,2643;1,2643
"m6";20;1,0502;-1,0502
"me";22;0,6534;-0,6534
"ma";10;-1,1364;1,1364
"entretien";14;-0,2353;0,2353
