"";"V1";"V2";"V3";"V4";"V5"
"371";"différent";"0.0290861671926352";"0.152455845620732";"0.9";"639"
"372";"marc";"-0.307245362160954";"1.16686464865285";"0.9";"640"
"373";"aimer";"-0.222071694157902";"1.55762323652404";"0.9";"641"
"374";"tuer";"0.0328964535166077";"0.564286550473284";"0.9";"642"
"375";"mort";"0.0359913727663488";"0.533414261504785";"0.9";"643"
"376";"point";"-0.00331130477375608";"0.0569741403564639";"0.9";"644"
"377";"matin";"-0.49960028390153";"-0.264382808605666";"0.9";"646"
"378";"témoignage";"0.0574032570643298";"0.935224210224156";"0.9";"647"
"379";"vous";"-0.440431785107293";"0.0485006151753053";"0.9";"649"
"380";"bout";"-0.17456128236352";"0.954976048157988";"0.9";"650"
"381";"nombre";"-0.00530891701373572";"-0.254285390404973";"0.9";"651"
"382";"espoir";"-0.413572911692396";"0.399185156485401";"0.9";"652"
"383";"000";"0.100381870242967";"0.686513250003098";"0.9";"653"
"384";"près_de";"0.0111283444812351";"0.513777736091519";"0.9";"654"
"385";"08";"0.375273019514328";"0.410185742091246";"0.9";"655"
"386";"17";"-0.0626754174578967";"0.597920698690419";"0.9";"656"
"387";"magazine";"0.0822940938426639";"0.715197655902016";"0.9";"657"
"388";"semaine";"-0.158055914042846";"0.342537357033309";"0.9";"658"
"389";"40";"-0.251854828827327";"0.06682507929761";"0.9";"660"
"390";"12";"0.0573268873433678";"0.992115055184493";"0.9";"662"
"391";"partir";"0.00210546984641402";"0.00993558851747138";"0.9";"663"
"392";"élection";"-0.366846988158105";"0.288357867815645";"0.9";"665"
"393";"présidentiel";"-0.62165727817523";"-0.746796407667187";"0.9";"666"
"394";"candidat";"-0.501439115915153";"-0.00396762354141545";"0.9";"667"
"395";"sans";"-0.130112322687452";"0.463687564997759";"0.9";"668"
"396";"région";"-0.275106868907371";"1.24464564999153";"0.9";"669"
"397";"défense";"-0.30320842752059";"1.39484384431515";"0.9";"671"
"398";"puissant";"0.0899407488189268";"0.157939374033705";"0.9";"673"
"399";"jean";"-0.459140079334891";"-0.352566331300377";"0.9";"677"
"400";"comportement";"-0.682863375638387";"-1.28581111797586";"0.9";"683"
"401";"boucher";"-0.742111310130188";"-1.75146485498399";"0.9";"686"
"402";"claude";"-0.471195810005703";"-0.252004359014413";"0.9";"695"
"403";"00";"0.243550072491656";"-0.0940182635145994";"0.9";"697"
"404";"politique";"-0.340874931843949";"-0.323877589197977";"0.9";"704"
"405";"meilleur";"-0.140714342480854";"-0.406957776182146";"0.9";"706"
"406";"loi";"-0.489305878990506";"0.145849592936554";"0.9";"707"
"407";"marcher";"-0.439894864285235";"0.325766186177948";"0.9";"708"
"408";"chroniqueur";"0.0127994586642001";"-0.0436635503838234";"0.9";"709"
"409";"vincent";"-0.429399972911843";"0.587222924579185";"0.9";"710"
"410";"ex_membre";"5.85461208687454";"-1.48678910758302";"0.9";"748"
"411";"revel";"5.30488513712415";"-1.50884541986643";"0.9";"759"
"412";"fédération";"5.35330699233504";"-1.33056616185665";"0.9";"763"
"413";"iran";"-0.149124870775761";"0.477135256578263";"0.9";"773"
"414";"emploi";"-0.213872889647704";"0.193399777849986";"0.9";"775"
"415";"daam";"-0.451364731149057";"-0.488678136344083";"0.9";"777"
"416";"spécialiste";"-0.283277193817894";"1.02043844473895";"0.9";"778"
"417";"frédéric";"-0.0425188814893841";"0.656334506342261";"0.9";"779"
"418";"république";"-0.43070489535799";"-0.362541151280799";"0.9";"780"
"419";"cas";"-0.397298373922768";"0.490311661989099";"0.9";"781"
"420";"39";"0.0352119711896574";"0.656544525545749";"0.9";"782"
"421";"édition";"-0.395074163917685";"0.728111617749698";"0.9";"783"
"422";"25";"0.0109465592026337";"1.11011458682611";"0.9";"784"
"423";"prochain";"-0.263060543752711";"1.37628506345877";"0.9";"785"
"424";"menace";"-0.00245058562507526";"-0.214556785954476";"0.9";"786"
"425";"travailler";"-0.366578749849857";"0.455922598231939";"0.9";"787"
"426";"14";"-0.399381090114109";"0.436585318210059";"0.9";"788"
"427";"29";"-0.0125705229528351";"0.715562342744678";"0.9";"789"
"428";"question";"-0.324498292181532";"0.682561803043411";"0.9";"791"
"429";"mathieu";"-0.645495861570688";"-1.02142602329533";"0.9";"792"
"430";"sommaire";"0.418620401350118";"0.405734877979778";"0.9";"793"
"431";"hassaine";"-0.814259335586059";"-1.58438360819092";"0.9";"794"
"432";"carbonnier";"-0.582032224528764";"-0.0383870675669707";"0.9";"797"
"433";"bellver";"-0.545477957047523";"0.204964239753466";"0.9";"798"
"434";"chalumeau";"-0.545477957047523";"0.204964239753466";"0.9";"799"
