"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0324359233380669;44,4271226424032;44,4271226424032
"facteur 2";0,0122026903700187;16,7138889799954;61,1410116223986
"facteur 3";0,00865531110451163;11,8550831416292;72,9960947640278
"facteur 4";0,00375805080482397;5,14736029747464;78,1434550615025
"facteur 5";0,00313067022526966;4,28804411088687;82,4314991723893
"facteur 6";0,00257000299510658;3,52010445532606;85,9516036277154
"facteur 7";0,00205850384796255;2,81950977501421;88,7711134027296
"facteur 8";0,00168749189280998;2,31133883560345;91,082452238333
"facteur 9";0,00130573273825646;1,78844757696909;92,8708998153021
"facteur 10";0,00115741970588772;1,5853048697356;94,4562046850377
"facteur 11";0,000820170914185384;1,12337895895452;95,5795836439923
"facteur 12";0,000625490560573203;0,856727448656851;96,4363110926491
"facteur 13";0,000554605123740415;0,759636455966206;97,1959475486153
"facteur 14";0,000443778141175941;0,607837973303593;97,8037855219189
"facteur 15";0,000342702473844043;0,469395758419981;98,2731812803389
"facteur 16";0,000288689684657917;0,395415043136502;98,6685963234754
"facteur 17";0,000238914889486389;0,327239061015138;98,9958353844905
"facteur 18";0,000232443699847418;0,318375544699098;99,3142109291896
"facteur 19";0,000195497553184254;0,267770819442448;99,5819817486321
"facteur 20";0,000115917696931294;0,158771177386142;99,7407529260182
"facteur 21";9,21437818868528e-05;0,126208310950646;99,8669612369688
"facteur 22";6,33920880738903e-05;0,0868274364217498;99,9537886733906
"facteur 23";2,59468021349497e-05;0,035539045662829;99,9893277190534
"facteur 24";5,80307971825967e-06;0,00794841360486858;99,9972761326583
"facteur 25";1,98867599393182e-06;0,00272386734169898;100
