"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,309227608762983;16,2987158429904;16,2987158429904
"facteur 2";0,247025386167451;13,020171747453;29,3188875904434
"facteur 3";0,178224064354565;9,39380346055831;38,7126910510017
"facteur 4";0,125599196367284;6,62006093145255;45,3327519824543
"facteur 5";0,106881252784236;5,63347876679508;50,9662307492494
"facteur 6";0,0937711085696366;4,94247153083332;55,9087022800827
"facteur 7";0,0894310475324454;4,71371633698311;60,6224186170658
"facteur 8";0,0774477450969639;4,08210248452716;64,7045211015929
"facteur 9";0,0742553311779815;3,91383727843237;68,6183583800253
"facteur 10";0,0676161016630267;3,56389790622197;72,1822562862473
"facteur 11";0,0623418130882792;3,28590160732218;75,4681578935695
"facteur 12";0,0548600669770361;2,89155501464773;78,3597129082172
"facteur 13";0,0436524976962066;2,3008283724517;80,6605412806689
"facteur 14";0,0416396517547439;2,19473563329798;82,8552769139669
"facteur 15";0,0383940243119362;2,02366565790299;84,8789425718699
"facteur 16";0,037802064719681;1,99246475309603;86,8714073249659
"facteur 17";0,037431315065965;1,97292334384419;88,8443306688101
"facteur 18";0,0333429117342484;1,75743248123412;90,6017631500442
"facteur 19";0,0283557326403377;1,49456909967864;92,0963322497228
"facteur 20";0,0256014744088371;1,34939812851916;93,445730378242
"facteur 21";0,0237521471159493;1,25192410228961;94,6976544805316
"facteur 22";0,0229058601853925;1,20731815569267;95,9049726362243
"facteur 23";0,0206363064547627;1,08769490635245;96,9926675425767
"facteur 24";0,0179316963631389;0,945140780846638;97,9378083234234
"facteur 25";0,0156695459366849;0,825907743594995;98,7637160670184
"facteur 26";0,0128537447061369;0,677492974581856;99,4412090416002
"facteur 27";0,0106016690841721;0,558790958399774;100
