"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ép";0,324;0,299;0;0,517;0,528;0,568;0,389
"vérifier";0,324;0,299;0;0,517;0,528;0,568;0,389
"visiter";0,324;0,299;0;0,517;0,528;0,568;0,389
"videos";0,393;0,369;0;0,575;0,585;0,621;0,456
"ufologiques";0,039;0,369;0,482;0,575;0,585;0,621;0,456
"trou";0,324;0,299;0;0,517;0,528;0,568;0,389
"théorie";0,324;0,299;0;0,517;0,528;0,568;0,389
"suite";0,324;0,008;0,708;0,517;0,528;0,568;0,389
"souhaiter";0,393;0,369;0;0,575;0,585;0,621;0,456
"sophie";0,324;0;0,35;0,517;0,528;0,568;0,389
"short";0,324;0,299;0,003;0,286;0,528;0,568;0,389
"réalité";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"recevoir";0,393;0,369;0;0,575;0,585;0,621;0,456
"rater";0,393;0,369;0;0,575;0,585;0,621;0,456
"présenter";0,393;0,369;0;0,575;0,585;0,621;0,456
"proibite";0,324;0,299;0,35;0,517;0,528;0,568;0
"philippe";0,393;0,604;0,419;0,575;0;0,621;0,456
"ombre";0,122;0,299;0,708;0,517;0,528;0,182;0,389
"nfilm";0,393;0,369;0;0,575;0,585;0,621;0,456
"naliens";0,324;0,299;0;0,517;0,528;0,568;0,389
"moment";0,393;0,369;0;0,575;0,585;0,621;0,456
"minute";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"mardi";0;0,299;0,35;0,517;0,528;0,568;0,389
"marc";0,324;0,85;0,35;0,286;0,004;0,568;0,389
"manoscritti";0,393;0,369;0,482;0,575;0,585;0,621;0,015
"jt";0;0,299;0,35;0,517;0,528;0,568;0,389
"jeu";0,393;0,369;0;0,575;0,585;0,621;0,456
"interview";0,393;0,369;0,027;0,575;0,14;0,621;0,456
"identifier";0,393;0,369;0;0,575;0,585;0,621;0,456
"hanter";0,122;0,85;0,35;0,517;0,262;0,568;0,389
"h";0,005;0,299;0,708;0,517;0,528;0,568;0,389
"galley";0,324;0,85;0,35;0,517;0;0,568;0,389
"faux";0,393;0,369;0,027;0,575;0,14;0,621;0,456
"famille";0,393;0,369;0;0,575;0,585;0,621;0,456
"existence";0,324;0,299;0;0,517;0,528;0,568;0,389
"ex";0,324;0,85;0,003;0,517;0,528;0,568;0,389
"entretien";0,324;0,299;0,708;0,286;0,004;0,568;0,389
"défunt";0,393;0,369;0,419;0,156;0;0,621;0,456
"cyril";0,324;0,299;0,35;0,517;0;0,568;0,389
"cure";0,324;0,299;0,35;0,517;0,528;0,568;0
"communication";0,324;0,299;0;0,517;0,528;0,568;0,389
"combat";0,393;0,369;0;0,575;0,585;0,621;0,456
"cancro";0,324;0,299;0,35;0,517;0,528;0,568;0
"bientôt";0,393;0,369;0;0,575;0,585;0,621;0,456
"armée";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"apollo";0,324;0,299;0,003;0,286;0,528;0,568;0,389
"animal";0,324;0,299;0,092;0,286;0,262;0,568;0,389
"air";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"affranchi";0,78;0,85;0,708;0,517;0,262;0,568;0,389
"30z";0,393;0,369;0;0,575;0,585;0,621;0,456
"29z";0,393;0,369;0;0,575;0,585;0,621;0,456
"11z";0,393;0,369;0;0,575;0,585;0,621;0,456
"07z";0,393;0,369;0;0,575;0,585;0,621;0,456
"étudier";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"énergie";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"walton";0,544;0,604;0,419;0,156;0,585;0,621;0,456
"vraiment";0,393;0,369;0,027;0,575;0,14;0,621;0,456
"vost";0,393;0,369;0,482;0,156;0,585;0,089;0,456
"vivre";0,393;0,369;0,482;0,156;0,14;0,621;0,456
"visiteur";0,393;0,369;0,027;0,575;0,14;0,621;0,456
"vague";0,544;0,604;0,482;0,575;0,585;0,621;0,456
"ucciso";0,393;0,369;0,419;0,575;0,585;0,621;0
"témoin";0,393;0,604;0,482;0,575;0,585;0,089;0,456
"tueur";0,393;0,369;0,027;0,156;0,585;0,621;0,456
"travis";0,544;0,604;0,419;0,156;0,585;0,621;0,456
"travers";0,393;0,369;0;0,575;0,585;0,621;0,456
"thomas";0,393;0,369;0,027;0,575;0,14;0,621;0,456
"thierry";0,393;0,369;0,482;0,575;0;0,621;0,456
"sérieux";0,393;0,369;0;0,575;0,585;0,621;0,456
"sylvain";0,393;0,604;0,482;0,575;0,14;0,621;0,456
"surprenant";0,393;0,369;0;0,575;0,585;0,621;0,456
"surnaturel";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"storia";0,393;0,369;0,482;0,575;0,585;0,621;0,015
"station";0,393;0,369;0,482;0,575;0,585;0,621;0,015
"spiritualité";0,393;0,001;0,419;0,575;0,585;0,621;0,456
"shag";0;0,369;0,419;0,575;0,585;0,621;0,456
"sarah";0,393;0,053;0,419;0,575;0,14;0,621;0,456
"réincarnation";0,544;0,604;0,482;0,575;0,585;0,621;0,456
"rfk";0,393;0,369;0,419;0,575;0,585;0,621;0
"repas";0,039;0,369;0,482;0,575;0,585;0,621;0,456
"proibita";0,393;0,369;0,419;0,575;0,585;0,621;0
"pooyard";0,393;0,001;0,419;0,575;0,585;0,621;0,456
"pentagone";0,393;0,604;0,482;0,156;0,585;0,621;0,456
"origine";0,393;0,604;0,482;0,575;0,14;0,621;0,456
"observation";0,544;0,369;0,482;0,156;0,585;0,621;0,456
"nspace";0,393;0,369;0;0,575;0,585;0,621;0,456
"nombreux";0,393;0,369;0;0,575;0,585;0,621;0,456
"médium";0,393;0,604;0,482;0,156;0,585;0,621;0,456
"méditation";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"millier";0,393;0,369;0;0,575;0,585;0,621;0,456
"mentir";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"maurin";0,393;0,369;0,419;0,575;0;0,621;0,456
"martine";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"maison";0,039;0,369;0,419;0,575;0,585;0,089;0,456
"magiche";0,393;0,369;0,419;0,575;0,585;0,621;0
"machine";0,393;0,369;0,482;0,156;0,14;0,621;0,456
"macchine";0,393;0,369;0,419;0,575;0,585;0,621;0
"long";0,393;0,369;0,027;0,575;0,14;0,621;0,456
"linda";0,393;0,604;0,482;0,156;0,585;0,621;0,456
"ligne";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"jeune";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"inédit";0,393;0,369;0,419;0,575;0,585;0;0,456
"igor";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"hypnose";0,039;0,369;0,419;0,575;0,14;0,621;0,456
"harbour";0;0,369;0,419;0,575;0,585;0,621;0,456
"gérard";0;0,369;0,419;0,575;0,585;0,621;0,456
"guérison";0,393;0,604;0,419;0,156;0,14;0,621;0,456
"groupe";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"grichka";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"georges";0;0,369;0,419;0,575;0,585;0,621;0,456
"futuriste";0,393;0,369;0;0,575;0,585;0,621;0,456
"franck";0,393;0,369;0,419;0,575;0;0,621;0,456
"fou";0,393;0,369;0;0,575;0,585;0,621;0,456
"forme";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"fondateur";0,393;0,369;0;0,575;0,585;0,621;0,456
"fils";0,393;0,369;0;0,575;0,585;0,621;0,456
"fabrice";0,393;0,604;0,482;0,575;0,14;0,621;0,456
"extraordinaire";0,544;0,369;0,482;0,575;0,14;0,621;0,456
"expert";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"enigmes";0,393;0,604;0,419;0,575;0;0,621;0,456
"donner";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"dominique";0,393;0,001;0,419;0,575;0,585;0,621;0,456
"dieu";0,393;0,369;0,482;0,575;0;0,621;0,456
"deïmian";0,393;0,053;0,419;0,575;0,14;0,621;0,456
"deuxième";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"degorges";0;0,369;0,419;0,575;0,585;0,621;0,456
"dark";0,393;0,369;0,419;0,575;0,585;0,621;0
"crâne";0,393;0,053;0,419;0,575;0,14;0,621;0,456
"couple";0,393;0,369;0,482;0,001;0,585;0,621;0,456
"corps";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"continuer";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"confirmer";0,393;0,604;0,482;0,156;0,585;0,621;0,456
"commencer";0,393;0,604;0,482;0,575;0,14;0,621;0,456
"colares";0,393;0,369;0,419;0;0,585;0,621;0,456
"claude";0,393;0,053;0,482;0,575;0,585;0,621;0,456
"bonheur";0,039;0,369;0,482;0,575;0,585;0,621;0,456
"bogdanov";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"behind";0,393;0,604;0,419;0,575;0,585;0,621;0,015
"autorité";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"atterrissage";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"archeologia";0,393;0,369;0,419;0,575;0,585;0,621;0
"antérieur";0,393;0,053;0,419;0,575;0,14;0,621;0,456
"ancient";0,393;0,369;0,419;0;0,585;0,621;0,456
"analyse";0,393;0,604;0,419;0,575;0;0,621;0,456
"agir";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"action";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"abduction";0,544;0,604;0,419;0,156;0,585;0,621;0,456
"38z";0,393;0,369;0;0,575;0,585;0,621;0,456
"37z";0,393;0,369;0;0,575;0,585;0,621;0,456
"*provider_wat";0;0;0;0;0,201;0,005;0
"*user_BTLVRadioTV";0,176;0;0,923;0,191;0,698;0,249;0,082
"*user_NURÉATVAucoeurdelinexpliqué";0,002;0,053;0,126;0,046;0;0,079;0,008
"*user_BTLVNuméro1surleMystèreetlInexpliqué";0,002;0,04;0,626;0,182;0,212;0,038;0,007
"*user_shamballah13";0,022;0,245;0,194;0,469;0,48;0,523;0,335
"*user_Gentside";0;0,369;0,419;0,575;0,585;0,621;0,456
"*user_ÉNIGMESEN7SECONDES";0,486;0,463;0,234;0,05;0,656;0,687;0,543
"*user_ExtraterrestresTV";0,226;0,203;0,252;0;0,439;0,016;0,29
"*user_INTROCRATE";0;0,547;0,185;0,766;0,371;0,418;0,221
"*user_LesZinzinsdelespace";0,001;0;0,002;0,029;0,033;0;0,004
"*user_androbate";0,324;0,299;0,708;0;0,528;0,568;0,389
"*user_Lavéritéestailleurs";0,428;0,055;0;0,075;0,083;0,117;0,018
"*user_noriko";0;0,086;0,711;0,527;0,564;0,208;0,057
"*user_MikeCrissBlog";0;0;0;0;0,001;0,002;0
"*user_BTLVBobVousDitTouteLaVérité";0,007;0;0,115;0,075;0,356;0,117;0,018
"*user_secureteam10";0,085;0,273;0,103;0;0,272;0,32;0,918
"*provider_dailymotion";0,005;0,97;0,215;0,001;0,117;0,155;0,032
"*user_bySankahOfficiel";0,486;0,317;0,234;0,647;0,656;0,687;0,543
"*user_MrSamPointdinterrogation";0,062;0,045;0;0,115;0,125;0,165;0,036
"*user_Introcrate";0,226;0,006;0,252;0,044;0,439;0,484;0,29
"*user_Shamballahtreize";0;0,083;0,119;0,28;0,293;0,341;0,151
"*user_Brut";0,486;0,317;0,234;0,647;0,656;0,687;0,543
"*user_LeHuffPost";0,542;0,168;0;0,39;0,403;0,449;0,253
"*provider_youtube";0;0;0;0,008;0,062;0,001;0
"*user_ODHTv";0;0;0,002;0,084;0,01;0,827;0
"*user_TrèsCurieuxYouCuriousFrench";0,112;0,022;0;0,87;0,164;0,208;0,057
"*user_odezenne";1;1;1;1;1;1;1
"*user_BTLVLemédiacomplémentaire";0,002;0;0,068;0,207;0,516;0,043;0,008
"*user_FuriousJumper";0,269;0,245;0,296;0;0,48;0,523;0,335
"*user_Scicos";0,519;0,002;0,023;0;0,064;0,093;0,011
"*user_BobVousDitTouteLaVérité";0,001;0;0,106;0,02;0,35;0,015;0
"*user_GillusZG";0;0,053;0,6;0,123;0,134;0,175;0,04
