"";"";"";"";"nparanormal";""
"1";"nparanormal";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"122"
"2";"nextraterrestre";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"124"
"3";"recherche";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"126"
"4";"user";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"129"
"5";"utiliser";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"133"
"6";"exemple";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"135"
"7";"existence";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"143"
"8";"communication";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"144"
"9";"preuve";"-0.41360148623741";"-0.393365240010621";"0.861419579329714";"145"
"10";"prédiction";"-0.409552622220508";"-0.580700631158829";"0.854285741548268";"167"
"11";"cacher";"-0.461389830109795";"-0.389642281552539";"0.850188770463386";"175"
"12";"pyramide";"-0.494375416594916";"-0.564330371766391";"0.847571747088927";"177"
"13";"mort";"-0.489084976647309";"-0.587107037112845";"0.84742480192619";"179"
"14";"youtube";"-0.41096764687873";"-0.358611733493357";"0.846830023886541";"180"
"15";"com";"-0.410967646878718";"-0.358611733493349";"0.846830023886541";"181"
"16";"https";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"182"
"17";"watch";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"183"
"18";"html";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"184"
"19";"ufologie";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"185"
"20";"facebook";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"187"
"21";"émission";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"188"
"22";"réseau";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"190"
"23";"nalien";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"191"
"24";"musique";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"194"
"25";"engager";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"196"
"26";"00z";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"197"
"27";"invasion";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"198"
"28";"réflexion";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"199"
"29";"réaliser";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"200"
"30";"one";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"201"
"31";"nla";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"202"
"32";"nfacebook";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"203"
"33";"and";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"204"
"34";"videos";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"205"
"35";"souhaiter";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"206"
"36";"recevoir";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"207"
"37";"présenter";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"209"
"38";"nfilm";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"210"
