"";"";"";"";"nparanormal";""
"39";"vérité";"-0.435235689742305";"-0.473130282608998";"0.846098796767206";"212"
"40";"civilisation";"-0.394218313173466";"-0.41410075989619";"0.844734305970363";"214"
"41";"vaisseau";"-0.394218313173466";"-0.41410075989619";"0.844734305970363";"215"
"42";"trouver";"-0.457553150610173";"-0.358870809104002";"0.843989084073625";"216"
"43";"harbour";"-0.655132529166759";"-0.636720825778126";"0.841826890964781";"218"
"44";"georges";"-0.655132529166759";"-0.636720825778126";"0.841826890964781";"220"
"45";"thierry";"-0.355136534527812";"-0.543575154836154";"0.841113157317201";"225"
"46";"analyse";"-0.386383466435237";"-0.634973276283952";"0.841113157317201";"228"
"47";"enlever";"-0.478999804530314";"-0.404602254279232";"0.839006943317971";"229"
"48";"couple";"-0.480845902475887";"-0.359000346909328";"0.838636081716778";"230"
"49";"spiritualité";"-0.504708442601022";"-0.632806097836744";"0.837607465577619";"231"
"50";"monde";"-0.46154053388495";"-0.462819648066319";"0.83682025934867";"234"
"51";"michel";"-0.485960283456566";"-0.577967224968065";"0.834906473538739";"237"
"52";"antenne";"-0.485960283456566";"-0.577967224968065";"0.834906473538739";"238"
"53";"patrice";"-0.469210949751286";"-0.633456251370907";"0.834906473538739";"239"
"54";"annonce";"-0.389036203389353";"-0.48442763280246";"0.834241721612071";"240"
"55";"voyage";"-0.469131357826034";"-0.40506040222814";"0.83272678695814";"241"
"56";"humain";"-0.445906774677317";"-0.358806040201338";"0.83272678695814";"242"
"57";"univers";"-0.444060676731744";"-0.404407947571243";"0.83272678695814";"243"
"58";"contact";"-0.444060676731744";"-0.404407947571243";"0.83272678695814";"244"
"59";"lune";"-0.455889382619765";"-0.358861556403621";"0.830578588626699";"245"
"60";"channel";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"246"
"61";"video";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"247"
"62";"personnage";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"249"
"63";"short";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"250"
"64";"apollo";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"251"
"65";"us";"-0.390030979747146";"-0.427973016496901";"0.829654933318066";"252"
"66";"année";"-0.390030979747146";"-0.427973016496901";"0.829654933318066";"253"
"67";"entretien";"-0.395298658464473";"-0.497480029531444";"0.827191852495046";"258"
"68";"science";"-0.451142273616864";"-0.476123603926232";"0.824357910070833";"260"
"69";"mystérieux";"-0.461991765117422";"-0.393104624082761";"0.824343915293429";"262"
"70";"premier";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"265"
"71";"conscience";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"266"
"72";"tomber";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"267"
"73";"photo";"-0.452894600237031";"-0.358844901542936";"0.819648667474547";"268"
"74";"étrange";"-0.496828639840498";"-0.462486167122963";"0.818263184511598";"276"
"75";"chose";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"278"
"76";"armée";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"279"
"77";"air";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"280"
"78";"étudier";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"281"
"79";"jeune";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"282"
"80";"groupe";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"283"
"81";"forme";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"284"
"82";"donner";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"285"
"83";"atterrissage";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"286"
"84";"agir";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"287"
"85";"action";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"288"
"86";"propos";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"289"
"87";"bellanca";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"290"
"88";"extra_terrestre";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"291"
"89";"devenir";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"292"
"90";"bande";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"293"
"91";"inconnu";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"294"
"92";"minute";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"295"
"93";"mentir";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"296"
"94";"tueur";"-0.445906774677317";"-0.358806040201338";"0.815422244698683";"298"
"95";"interview";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"299"
"96";"vraiment";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"301"
"97";"visiteur";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"302"
"98";"thomas";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"303"
"99";"long";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"304"
"100";"enfant";"-0.467212124312112";"-0.523128352099386";"0.814243184702436";"306"
"101";"gde";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"307"
"102";"edition";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"308"
"103";"cultur";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"309"
"104";"ufologiques";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"310"
"105";"repas";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"311"
"106";"bonheur";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"314"
"107";"enquête";"-0.482908725834174";"-0.496361370321943";"0.813221565951979";"315"
"108";"changer";"-0.457838044739884";"-0.495708915665046";"0.813221565951979";"316"
"109";"énigme";"-0.459684142685457";"-0.450107008295142";"0.813221565951979";"317"
"110";"face";"-0.477153706584742";"-0.450204161649137";"0.812406370168224";"318"
"111";"éveil";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"319"
"112";"abonné";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"320"
"113";"réalité";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"321"
"114";"énergie";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"322"
"115";"surnaturel";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"323"
"116";"méditation";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"325"
"117";"martine";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"326"
"118";"ligne";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"327"
"119";"deïmian";"-0.445545954518129";"-0.633889687060348";"0.811384751417766";"328"
"120";"deuxième";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"329"
"121";"claude";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"332"
"122";"janvier";"-0.475307608639169";"-0.495806069019041";"0.80885869409643";"334"
"123";"planète";"-0.48602297108658";"-0.515853474252629";"0.808841200624676";"335"
"124";"info";"-0.460667619051055";"-0.516317869634174";"0.808841200624676";"336"
"125";"expérience";"-0.439178463827378";"-0.515758622785405";"0.808841200624676";"337"
"126";"projet";"-0.533050088022752";"-0.497666279635737";"0.808207936947167";"341"
"127";"média";"-0.451072200319149";"-0.497500289568095";"0.808207936947167";"342"
"128";"témoignage";"-0.495444066381318";"-0.496687597650392";"0.808207936947167";"343"
"129";"spécialiste";"-0.457838044739884";"-0.495708915665046";"0.808207936947167";"345"
"130";"mer";"-0.460607191658243";"-0.42730605461019";"0.808207936947167";"346"
"131";"animal";"-0.416235325596074";"-0.428118746527893";"0.808207936947167";"347"
"132";"el";"-0.512113420891152";"-0.567027562639289";"0.806626527100568";"349"
"133";"hanter";"-0.535548619821721";"-0.635576153725138";"0.806626527100568";"351"
"134";"extraordinaire";"-0.464440384799283";"-0.543796474926343";"0.805902297369936";"352"
"135";"sylvain";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"353"
"136";"origine";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"354"
"137";"vivre";"-0.417991218501849";"-0.451287750872741";"0.805902297369936";"355"
"138";"machine";"-0.417991218501849";"-0.451287750872741";"0.805902297369936";"356"
"139";"guérison";"-0.449238150409274";"-0.542685872320539";"0.805902297369936";"357"
"140";"fabrice";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"358"
"141";"commencer";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"359"
"142";"partie";"-0.51770721485988";"-0.559744878419121";"0.805373994522953";"360"
"143";"new";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"361"
"144";"walton";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"362"
"145";"travis";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"363"
"146";"observation";"-0.527295068773321";"-0.451509070962931";"0.805311018024637";"364"
"147";"abduction";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"365"
"148";"cas";"-0.518879265311887";"-0.565236188736241";"0.805311018024637";"366"
"149";"pentagone";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"367"
"150";"médium";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"368"
"151";"linda";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"369"
"152";"confirmer";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"370"
"153";"équipe";"-0.527381758938406";"-0.524694243275939";"0.804180939749303";"371"
"154";"parler";"-0.461799448775524";"-0.524561451221825";"0.804180939749303";"372"
"155";"affranchi";"-0.474507399249718";"-0.566048880653944";"0.802679999872775";"374"
"156";"reportage";"-0.523602872882175";"-0.54271288570274";"0.8";"375"
"157";"archéologie";"-0.523602872882175";"-0.54271288570274";"0.8";"376"
"158";"amour";"-0.523602872882175";"-0.54271288570274";"0.8";"377"
"159";"dossier";"-0.523602872882175";"-0.54271288570274";"0.8";"378"
"160";"vague";"-0.523602872882175";"-0.54271288570274";"0.8";"379"
"161";"réincarnation";"-0.523602872882175";"-0.54271288570274";"0.8";"380"
