"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"73";73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"74";74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"76";76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"77";77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"78";78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"79";79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"80";80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"81";81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"83";83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"84";84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"85";85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"86";86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"87";87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"88";88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"89";89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"90";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"91";91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"92";92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"93";93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"94";94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"95";95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"96";96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"97";97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"98";98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"99";99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107";107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"108";108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"109";109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"112";112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"113";113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"114";114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"115";115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"116";116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"117";117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"118";118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"119";119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"120";120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"121";121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"122";122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"123";123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"124";124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"125";125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"126";126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"127";127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"128";128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"129";129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"130";130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"131";131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"132";132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"133";133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"134";134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"135";135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"136";136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"137";137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"138";138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"139";139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"140";140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"141";141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"142";142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"143";143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"144";144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"145";145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"146";146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"147";147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"148";148;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"149";149;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"150";150;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"151";151;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"152";152;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"153";153;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"154";154;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"155";155;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"156";156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"157";157;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"158";158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"159";159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"160";160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"161";161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"162";162;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"163";163;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"164";164;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"165";165;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"166";166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"167";167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"168";168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"169";169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"170";170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"171";171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"172";172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"173";173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"174";174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
