"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"3";0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"8";0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"9";0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"11";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"19";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"24";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"26";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"29";0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"34";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"35";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"36";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"37";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"38";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"39";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"41";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"42";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"44";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"45";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"46";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"48";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"49";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"51";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"52";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"54";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"55";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"58";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"60";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"61";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"62";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"64";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"66";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"73";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"74";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"76";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"79";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"81";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"83";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
