"";"";"";"";"mohammed";""
"163";"détruire";"0.283655783093484";"-0.565656637914802";"0.82916536740823";"401"
"164";"lune";"0.261296323333867";"-0.608546365795316";"0.82898522195194";"402"
"165";"explorer";"0.258229519458288";"-0.629575050849208";"0.82898522195194";"403"
"166";"public";"0.308143166911149";"-0.404446300642057";"0.828268279428927";"404"
"167";"olivier";"0.303563934456841";"-0.424163012904738";"0.827771514685825";"405"
"168";"jacques";"0.293026572713309";"-0.501402322472356";"0.827551336905915";"406"
"169";"semaine";"0.31053875170745";"-0.382022350007844";"0.827527681441958";"407"
"170";"vaisseau";"0.253427573752078";"-0.625190237501215";"0.82725837308306";"408"
"171";"film";"0.313751188528531";"-0.357912393440514";"0.827163751227231";"409"
"172";"base";"0.259026771346574";"-0.618850002917941";"0.826823476476461";"410"
"173";"récit";"0.257152613422609";"-0.63170086600643";"0.826823476476461";"411"
"174";"puissant";"0.275314937318047";"-0.49239178693591";"0.826823476476461";"412"
"175";"comédien";"0.306762201564703";"-0.412427283344274";"0.826532332304679";"414"
"176";"davant";"0.295837809599256";"-0.482126027839622";"0.826532332304679";"415"
"177";"monter";"0.291889154135102";"-0.489920683416105";"0.826532332304679";"416"
"178";"martin";"0.306762201564703";"-0.412427283344274";"0.826532332304679";"417"
"179";"laurent";"0.295837809599256";"-0.482126027839622";"0.826532332304679";"418"
"180";"garder";"0.274948600490973";"-0.510531620220888";"0.825859061407434";"419"
"181";"vivre";"0.276951075004746";"-0.558272101476741";"0.825615228163567";"420"
"182";"recevoir";"0.289708969956408";"-0.478695577956787";"0.825344100153595";"421"
"183";"rencontre";"0.278795526968705";"-0.551370906119334";"0.82525129794884";"422"
"184";"vie";"0.284866566826158";"-0.51914299436169";"0.825218544229514";"423"
"185";"plateau";"0.321315363454369";"-0.254277816450058";"0.825174872603747";"424"
"186";"scientologie";"0.303583302528462";"-0.43327760430883";"0.825116643769391";"425"
"187";"théâtre";"0.294645163647642";"-0.490303849805025";"0.825116643769391";"426"
"188";"beau";"0.288612774498716";"-0.490448520583496";"0.825116643769391";"427"
"189";"peuple";"0.257869964125927";"-0.618518894425437";"0.825000186100678";"428"
"190";"éternel";"0.245306647030146";"-0.655084832735878";"0.824981989589942";"429"
"191";"signaler";"0.245306647030146";"-0.655084832735878";"0.824981989589942";"430"
"192";"russie";"0.245306647030146";"-0.655084832735878";"0.824981989589942";"431"
"193";"nourriture";"0.245306647030146";"-0.655084832735878";"0.824981989589942";"432"
"194";"enseigner";"0.245306647030146";"-0.655084832735878";"0.824981989589942";"433"
"195";"says";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"434"
"196";"séquence";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"435"
"197";"adepte";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"436"
"198";"salle";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"437"
"199";"guy";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"438"
"200";"exercice";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"439"
"201";"canne";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"440"
"202";"zeitoun";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"441"
"203";"ven";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"442"
"204";"show";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"443"
"205";"illustré";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"444"
"206";"homosexuel";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"445"
"207";"couple";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"446"
"208";"coach";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"447"
"209";"choix";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"448"
"210";"canular";"0.297711967523221";"-0.469275164751133";"0.824863712270155";"449"
"211";"sortir";"0.29126732104121";"-0.49602662572581";"0.824365127875979";"450"
"212";"inviter";"0.318258973341694";"-0.340722696566277";"0.824004836963399";"451"
"213";"servir";"0.268998579815073";"-0.608316899276983";"0.82399027975481";"452"
"214";"village";"0.289694440632794";"-0.510177980540181";"0.82399027975481";"453"
"215";"trouver";"0.271786700591456";"-0.586974404190346";"0.822945800038544";"454"
"216";"train";"0.280642063996158";"-0.480782660445309";"0.822852997833788";"455"
"217";"réel";"0.258332492851756";"-0.597022760553056";"0.822852997833788";"456"
"218";"menace";"0.246486526459293";"-0.620406727282503";"0.822852997833788";"457"
"219";"julia";"0.283453300882106";"-0.461506365812575";"0.822852997833788";"458"
"220";"espèce";"0.246486526459293";"-0.620406727282503";"0.822852997833788";"459"
"221";"stellaire";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"460"
"222";"planet";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"461"
"223";"vallée";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"462"
"224";"peintre";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"463"
"225";"papou";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"464"
"226";"noir";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"465"
"227";"monnet";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"466"
"228";"medium";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"467"
"229";"implant";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"468"
"230";"gildas";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"469"
"231";"favier";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"470"
"232";"evelyne";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"471"
"233";"cristal";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"472"
"234";"brennan";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"473"
"235";"bourdais";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"474"
"236";"booth";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"475"
"237";"aéronautique";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"476"
"238";"astronome";"0.280844546207536";"-0.584932932547536";"0.822840260276273";"477"
"239";"affirmer";"0.27162219879711";"-0.583188224221781";"0.822789310046211";"478"
"240";"zone";"0.285663809440589";"-0.551887856034278";"0.822461772852957";"479"
"241";"mystère";"0.278177335084436";"-0.578432094317813";"0.822461772852957";"480"
"242";"étoile";"0.278177335084436";"-0.578432094317813";"0.822461772852957";"481"
"243";"city";"0.246879819602342";"-0.608847358798044";"0.822425379831484";"482"
"244";"titan";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"483"
"245";"oliver";"0.2643482597667";"-0.54691080280313";"0.822425379831484";"485"
"246";"fonds";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"486"
"247";"conduire";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"487"
"248";"acheter";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"488"
"249";"éteindre";"0.246879819602342";"-0.608847358798044";"0.822425379831484";"489"
"250";"technopolis";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"490"
"251";"surprendre";"0.246879819602342";"-0.608847358798044";"0.822425379831484";"491"
"252";"sean";"0.2643482597667";"-0.54691080280313";"0.822425379831484";"492"
"253";"résoudre";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"493"
"254";"phrase";"0.246879819602342";"-0.608847358798044";"0.822425379831484";"494"
"255";"maman";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"496"
"256";"intégrer";"0.246879819602342";"-0.608847358798044";"0.822425379831484";"497"
"257";"interpeller";"0.2643482597667";"-0.54691080280313";"0.822425379831484";"498"
"258";"hôtel";"0.258725785994805";"-0.585463392068597";"0.822425379831484";"499"
"259";"spectacle";"0.307893480819888";"-0.405321298168416";"0.822334397277802";"500"
"260";"thevenot";"0.295603539858761";"-0.483732385725684";"0.822334397277802";"501"
"261";"génération";"0.291161302461587";"-0.492501373249226";"0.822334397277802";"502"
"262";"filmer";"0.291161302461587";"-0.492501373249226";"0.822334397277802";"503"
"263";"choisir";"0.346089476745606";"-0.00917582607503804";"0.822334397277802";"504"
"264";"actu";"0.307893480819888";"-0.405321298168416";"0.822334397277802";"505"
"265";"gauche";"0.346390898000216";"-0.166740465575444";"0.817505043328373";"506"
"266";"berry";"0.352013371772111";"-0.128187876309976";"0.817505043328373";"507"
"267";"adopter";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"508"
"268";"stylo";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"509"
"269";"michael";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"510"
"270";"plume";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"511"
"271";"parcours";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"512"
"272";"manu";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"513"
"273";"arabe";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"514"
"274";"équilibre";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"515"
"275";"twitter";"0.297711967523221";"-0.469275164751133";"0.811964205809153";"516"
"276";"représentant";"0.262775087194504";"-0.593148276740963";"0.808315805406514";"517"
"277";"observation";"0.257152613422609";"-0.63170086600643";"0.808315805406514";"518"
"278";"substance";"0.246093233316244";"-0.631966095766961";"0.808315805406514";"519"
"279";"électrique";"0.246093233316244";"-0.631966095766961";"0.808315805406514";"520"
"280";"tesla";"0.257152613422609";"-0.63170086600643";"0.808315805406514";"521"
"281";"intelligence";"0.257152613422609";"-0.63170086600643";"0.808315805406514";"522"
"282";"défier";"0.257152613422609";"-0.63170086600643";"0.808315805406514";"523"
"283";"centaine";"0.246093233316244";"-0.631966095766961";"0.808315805406514";"524"
"284";"bender";"0.268998579815073";"-0.608316899276983";"0.807375045801445";"525"
"285";"exoplanètes";"0.313617722103876";"-0.37583669906149";"0.807375045801445";"526"
"286";"confronter";"0.286467019979431";"-0.546380343282068";"0.807375045801445";"527"
"287";"virus";"0.268998579815073";"-0.608316899276983";"0.807375045801445";"528"
"288";"vague";"0.286467019979431";"-0.546380343282068";"0.807375045801445";"529"
"289";"terrestre";"0.313617722103876";"-0.37583669906149";"0.807375045801445";"530"
"290";"taille";"0.268998579815073";"-0.608316899276983";"0.807375045801445";"531"
"291";"danger";"0.281030113644961";"-0.508092983777131";"0.803344518673342";"533"
"292";"cirque";"0.275407639873066";"-0.546645573042599";"0.803344518673342";"534"
"293";"valentin";"0.281030113644961";"-0.508092983777131";"0.803344518673342";"535"
"294";"leçon";"0.281030113644961";"-0.508092983777131";"0.803344518673342";"536"
"295";"pratiquer";"0.275407639873066";"-0.546645573042599";"0.803344518673342";"537"
"296";"soir";"0.308180815769406";"-0.337549339556553";"0.803344518673342";"538"
"297";"simon";"0.263561673480602";"-0.570029539772046";"0.803344518673342";"539"
"298";"cause";"0.275407639873066";"-0.546645573042599";"0.803344518673342";"540"
"299";"fondateur";"0.324862669647666";"-0.298731520530555";"0.802660329869655";"541"
"300";"onclusive";"0.324862669647666";"-0.298731520530555";"0.802660329869655";"542"
"301";"focus";"0.324862669647666";"-0.298731520530555";"0.802660329869655";"543"
"302";"chinois";"0.324862669647666";"-0.298731520530555";"0.802660329869655";"544"
"303";"yeti";"0.292089493751326";"-0.507827754016601";"0.802660329869655";"545"
"304";"gasnier";"0.319240195875771";"-0.337284109796022";"0.802165384777626";"546"
"305";"amateur";"0.319240195875771";"-0.337284109796022";"0.802165384777626";"547"
"306";"étudiant";"0.319240195875771";"-0.337284109796022";"0.802165384777626";"548"
"307";"électricité";"0.301771755711413";"-0.399220665790937";"0.802165384777626";"549"
"308";"bientôt";"0.274621053586968";"-0.569764310011516";"0.800083703949387";"550"
"309";"musée";"0.274621053586968";"-0.569764310011516";"0.800083703949387";"551"
"310";"montagne";"0.274621053586968";"-0.569764310011516";"0.800083703949387";"552"
