"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"dossier";0;0;2;2;4;0;0;0;0;0;0;0;0;2;2
"gasnier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"recevoir";0;0;1;0;9;5;0;7;0;0;0;0;1;2;2
"témoignage";0;0;2;2;12;0;0;2;0;0;0;0;0;0;7
"expert";0;0;0;1;8;0;0;0;0;0;0;0;0;1;1
"secret";0;0;0;1;2;1;0;0;0;1;0;1;2;6;2
"mener";0;0;0;0;4;0;1;0;0;0;0;0;0;3;3
"moment";0;0;1;0;4;2;0;2;0;0;0;0;1;0;1
"travers";0;0;0;2;1;1;1;1;2;0;0;0;0;1;2
"salvatore";0;0;0;0;1;10;0;0;0;0;0;0;0;0;0
"jimmy";0;0;11;0;0;0;0;0;0;0;0;0;0;0;1
"dewalle";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
"avenir";0;0;0;4;4;0;0;0;0;0;0;0;0;3;0
"conseil";1;0;0;1;3;0;0;3;0;0;0;0;0;0;2
"travailler";0;2;0;0;5;1;0;0;0;0;0;0;0;0;2
"lointain";0;0;0;0;0;0;26;0;0;0;0;0;0;8;2
"invité";0;6;9;10;8;0;0;5;0;0;0;0;0;0;1
"objet";0;0;0;0;4;9;0;0;1;1;0;0;0;9;1
"terrien";0;0;0;0;0;1;26;2;0;0;0;0;0;0;3
"laurie";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
"chien";0;0;0;0;1;7;0;0;0;1;0;0;0;0;0
"extrait";0;0;1;0;5;1;0;0;0;0;0;0;0;0;4
"identifier";0;0;0;5;1;1;0;0;0;3;0;0;0;11;3
"lfi";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
"expliquer";0;0;0;0;15;10;1;1;0;0;0;0;0;1;4
"réseau";0;0;0;5;1;0;0;1;0;0;0;0;0;1;0
"écrire";0;0;0;1;4;3;0;0;0;1;0;0;0;0;3
"auproux";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"seines";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"mélenchon";0;1;23;0;0;0;0;0;0;0;0;0;0;0;0
"bernard";0;0;12;0;10;1;0;0;0;0;0;0;0;0;1
"beau";0;0;0;0;6;3;0;0;0;1;0;0;0;0;1
"sembler";2;0;0;0;1;1;0;0;0;2;0;0;1;4;4
"cacher";0;0;0;0;2;1;0;1;0;2;0;0;2;4;7
"fatou";0;0;0;0;0;0;77;0;0;0;0;0;0;0;0
"annonce";0;0;0;0;1;2;0;1;0;0;0;0;0;0;4
"agnès";0;6;0;1;1;2;0;0;0;0;0;0;0;0;0
"moyen";0;5;0;0;5;0;0;0;0;0;0;0;0;0;0
"raven";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"provoquer";0;1;0;0;2;1;77;0;1;0;0;0;0;0;1
"système";0;0;0;2;5;0;0;0;0;0;0;0;0;11;0
"adolescent";0;0;0;0;1;0;23;0;0;0;0;0;0;0;0
"oise";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
"membre";0;0;28;0;1;0;0;3;0;0;1;0;0;0;0
"parole";0;0;15;0;1;0;0;1;0;0;0;0;0;0;1
"philippe";0;0;2;0;7;1;0;1;0;0;0;0;0;0;0
"mois";0;1;0;0;5;0;0;3;0;0;0;0;0;0;2
"naître";0;0;0;2;5;0;26;1;0;0;0;0;0;0;0
"enquête";0;3;0;2;2;0;0;5;0;0;0;0;0;4;3
"nouvelle";0;0;1;0;4;0;3;0;0;1;0;0;0;1;2
"mettre";1;0;0;1;7;4;0;3;2;1;0;0;0;3;2
"jeune";0;1;0;2;15;7;24;1;1;3;0;0;0;0;3
"construire";0;0;0;3;1;1;0;0;1;0;0;0;0;9;0
"émission";0;2;0;3;10;4;0;2;0;2;0;0;0;1;10
"coeur";0;0;0;0;3;0;1;1;3;1;0;0;0;0;1
"claude";0;0;13;2;5;5;1;1;0;0;0;0;0;0;4
"présidentiel";0;3;1;0;0;0;0;2;0;0;0;0;0;0;0
"âge";0;0;0;0;1;0;0;1;0;1;0;0;0;7;2
"candidat";0;3;0;0;0;4;0;1;0;0;0;0;0;0;0
"proposer";0;0;0;0;11;2;1;0;0;0;0;0;0;0;0
"manquer";0;0;0;1;4;0;26;0;0;0;0;0;0;0;0
"bande";0;0;1;0;9;3;0;0;0;0;0;0;0;0;1
"humanité";0;0;0;0;0;1;0;2;0;0;0;2;2;17;0
"gouvernement";0;0;1;0;0;0;0;0;0;0;1;0;3;9;0
"antique";0;0;0;0;0;0;0;0;0;0;0;0;2;11;0
"entrepreneur";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"exister";0;0;1;1;2;0;0;0;0;2;0;0;0;6;1
"hugues";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"peret";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
"actuel";0;1;0;2;1;0;0;1;0;0;0;0;0;8;0
"retour";0;1;4;2;2;1;0;6;0;0;1;0;0;0;1
"valentin";0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
"cnews";0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
"élément";0;0;0;1;4;0;0;1;0;0;0;0;0;3;0
"groupe";0;0;0;4;4;1;0;0;1;0;0;0;0;1;1
"entier";0;0;0;0;1;1;0;0;3;0;0;0;4;14;0
"humour";0;1;2;0;3;0;52;0;0;1;0;0;0;0;0
"langlois";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"frédéric";0;10;0;0;5;8;0;0;0;0;0;0;0;0;2
"boucher";0;0;10;0;0;1;0;0;0;0;0;0;0;0;0
"courir";0;0;0;0;10;1;26;0;0;0;0;0;0;0;0
"haut";0;0;14;0;1;2;0;2;0;0;0;0;0;0;0
"antoine";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"nombreux";0;0;2;0;4;1;78;1;0;0;0;1;2;8;0
"apporter";0;1;0;1;2;0;0;0;0;1;0;0;1;4;0
"revue";0;0;0;1;4;1;0;0;0;0;0;0;0;0;0
"média";0;0;3;0;1;2;0;0;0;0;0;0;0;0;0
"gotham";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"animation";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"cnrs";0;0;0;0;6;0;0;1;0;0;0;0;0;0;4
"chanteur";0;0;0;0;3;0;0;0;0;4;0;0;0;0;2
"chercheur";0;5;0;1;2;0;0;1;0;0;0;0;0;0;1
"départ";0;0;0;1;0;0;0;1;0;0;42;0;0;0;0
"bellver";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"porter";0;0;1;1;6;0;0;1;0;0;0;0;0;0;1
"envoyer";0;0;0;0;3;1;2;1;0;0;1;0;1;0;2
"alain";0;0;0;1;5;3;0;3;0;0;0;0;0;0;1
"phénomène";0;0;1;9;16;4;0;1;0;1;0;0;0;13;5
"péril";0;0;0;0;0;0;49;0;0;0;0;0;0;0;0
"île";0;0;0;0;5;0;77;0;0;0;0;0;1;2;0
"sud";0;4;0;0;2;0;0;0;0;0;0;0;0;2;1
"christian";0;0;0;0;7;1;0;0;0;0;0;0;0;0;0
"enfant";2;0;0;4;21;3;0;5;3;0;0;0;1;0;3
"vaisseau";0;0;0;0;0;8;2;0;3;1;0;0;1;4;5
"emmanuel";0;1;1;0;2;0;0;2;0;0;0;0;0;0;0
"bout";0;5;0;0;3;0;0;0;0;0;0;2;0;0;0
"affrontement";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
"blanc";0;0;0;0;1;1;0;1;0;0;0;0;0;3;6
"passer";0;1;0;3;5;3;0;2;0;0;0;0;1;22;6
"professeur";0;0;0;0;7;0;0;0;2;2;0;0;0;0;7
"chaouch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"maison";0;0;0;0;4;0;1;2;0;1;0;0;0;2;9
"bfm";0;0;8;0;0;0;0;0;0;0;0;0;0;0;3
"arriver";0;0;0;0;6;4;0;0;1;1;1;0;0;1;1
"tourner";0;0;0;1;2;2;0;1;0;0;0;0;0;0;1
"vincent";0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
"matin";0;0;0;0;5;0;0;1;0;0;0;0;0;0;3
"raconter";0;0;0;2;13;4;0;0;0;1;0;0;0;3;6
"année";0;0;8;0;13;6;0;1;0;0;0;0;0;19;3
"bristielle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"propos";0;0;1;3;6;0;0;0;0;0;0;0;0;0;1
"prince";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"plateau";0;0;2;2;10;8;0;1;0;2;0;0;0;0;10
"réveiller";0;0;0;1;0;0;0;1;0;0;42;0;0;0;0
"anne";0;0;1;0;2;0;0;2;0;0;0;0;0;0;1
"question";0;4;3;1;9;1;0;5;0;0;0;0;0;5;0
"long";0;0;0;1;4;0;0;0;0;0;0;0;2;4;1
"présentation";0;2;1;1;7;1;0;2;0;0;0;0;0;0;0
"nasa";0;0;0;1;0;0;0;1;0;0;1;0;1;1;0
"yves";0;0;0;0;10;3;0;1;0;0;0;0;0;0;4
"théâtre";0;0;1;0;6;1;0;0;0;0;0;0;0;2;0
"chose";0;0;1;0;1;1;1;0;0;0;0;0;0;0;7
"olivier";0;3;1;5;6;1;0;1;0;0;0;0;0;0;0
"lrem";0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
"claviere";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
"figure";0;0;0;0;0;0;26;0;0;0;0;0;2;1;0
"patron";0;0;11;0;0;0;0;0;0;2;0;0;0;0;0
"fédération";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"watrin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nuit";0;0;0;0;3;1;1;0;0;1;0;0;1;1;2
"permettre";0;0;2;1;6;1;1;1;0;0;0;2;1;4;1
"tsoukalos";0;0;0;0;0;0;0;0;0;0;0;0;0;18;0
"polémiste";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"galley";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
"pomart";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
"chalumeau";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"xavier";0;1;0;0;2;0;0;0;0;0;0;0;0;0;3
"rendre";2;0;1;1;11;2;2;0;5;1;0;0;0;7;8
"partie";0;0;1;0;4;1;0;1;0;0;0;0;0;7;1
"partir";0;4;2;0;3;2;1;3;1;0;0;0;2;1;1
"marier";0;0;0;0;7;1;0;1;1;0;0;0;0;0;3
"joe";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"disciple";0;0;0;0;0;0;23;0;0;0;0;0;0;0;0
"préparer";0;0;0;0;3;1;0;2;0;0;0;0;0;1;1
"mère";0;0;0;0;4;0;0;1;0;0;0;0;0;0;3
"américain";0;3;0;3;3;2;0;2;0;0;0;0;2;7;0
"conquérant";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"série";0;1;0;1;5;1;26;0;0;0;0;0;0;1;1
"val";0;0;15;0;1;0;0;0;0;0;0;0;0;0;0
"humain";0;0;0;3;3;2;0;0;0;4;0;0;2;14;9
"courant";0;1;0;0;2;8;0;0;0;0;0;0;0;0;1
"décrire";0;0;0;1;2;3;1;0;0;0;0;0;0;2;1
"fantôme";0;0;0;0;0;0;0;0;0;0;0;0;0;2;9
