"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"comprendre";1;0;14;1;6;0;2;0;0;1;0;1;0;0;5
"jeu";0;1;0;0;7;8;0;0;0;2;1;0;0;0;1
"dernier";0;3;1;2;5;4;1;0;0;4;0;0;0;7;4
"leçon";0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
"grandir";0;0;0;1;4;0;26;0;0;0;0;0;0;0;0
"plan";0;0;0;0;1;1;1;2;0;1;0;0;0;3;3
"secte";0;0;0;0;9;1;0;0;0;0;0;0;0;0;0
"notamment";0;2;0;0;1;1;0;3;0;0;0;0;1;0;1
"depétrini";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"incident";0;0;0;0;0;0;78;0;0;1;0;0;0;3;0
"recherche";0;10;0;4;9;4;0;0;1;2;0;0;2;1;5
"garçon";0;0;0;0;3;4;0;2;0;1;0;0;0;0;0
"environnement";0;0;0;1;2;2;0;0;0;0;24;0;0;0;0
"nucléaire";0;1;1;1;2;0;0;2;0;0;0;0;0;3;0
"robin";0;0;0;0;0;0;49;0;0;0;0;0;0;0;1
"belhousse";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
"témoin";0;0;13;0;4;2;0;0;0;0;2;0;1;5;3
"mystère";0;0;0;0;2;2;0;0;0;0;0;4;0;1;2
"kelly";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"retrouver";0;0;0;0;7;3;2;1;3;5;1;0;1;1;11
"victime";0;0;0;2;5;0;0;0;0;1;0;0;0;0;3
"technologie";0;0;0;1;0;1;0;0;0;0;0;4;0;8;2
"alexandre";0;0;15;0;1;0;0;0;0;0;0;0;0;0;0
"frère";0;1;0;1;4;1;0;2;0;0;0;0;0;0;3
"millénaire";0;0;0;1;0;0;0;0;0;0;42;0;2;0;0
"meilleur";0;0;6;0;2;0;0;0;1;0;0;0;0;0;0
"observation";0;0;0;1;0;0;0;0;0;0;0;0;0;10;0
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"décontraction";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"astronaute";0;0;0;1;2;1;0;5;0;0;0;4;6;20;0
"découverte";0;0;2;0;7;1;0;1;0;0;0;0;0;9;3
"millier";0;1;0;0;1;1;0;1;0;0;0;0;0;10;1
"continuer";0;0;0;0;3;0;0;1;1;0;0;0;0;7;2
"ambre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
