"";"";"";"";"cryogénisé";""
"103";"davant";"0.173925166060072";"-0.127708680868776";"0.926623948354783";"188"
"104";"galley";"0.173925166060072";"-0.127708680868776";"0.926623948354783";"189"
"105";"patron";"1.1719574003846";"-1.39730324965112";"0.91690495423392";"191"
"106";"recette";"0.183081424413355";"-0.130222272480721";"0.914060370588789";"192"
"107";"boucher";"1.24263254486986";"-1.51657460578324";"0.912609170395846";"193"
"108";"recherche";"0.215682449516304";"-0.122286149912487";"0.908926244009773";"194"
"109";"entier";"0.130242130116861";"-0.0712996461176998";"0.908556216868943";"195"
"110";"substance";"0.154407140715599";"-0.110373572199485";"0.899322883370419";"196"
"111";"apparition";"0.167302186644642";"-0.0943810415517931";"0.897848556481174";"197"
"112";"agnès";"0.262938892611788";"-0.196490239414096";"0.89126901138329";"198"
"113";"posséder";"-1.13090873380441";"0.167874681924269";"0.888395519367782";"199"
"114";"suggérer";"0.152903205022036";"-0.109206453481206";"0.874756550223751";"203"
"115";"courant";"0.177169100888744";"-0.0899764061607755";"0.866933945199641";"204"
"116";"journal";"0.195670847390454";"-0.0865314705625649";"0.866286397703189";"205"
"117";"explorer";"-0.00937577355174088";"-0.0590366235993842";"0.859296353745947";"207"
"118";"vivre";"0.178928863505898";"-0.104015416844043";"0.850982306425422";"209"
"119";"mauvais";"0.263504926161555";"-0.0307475466679727";"0.850230688795611";"210"
"120";"toulouse";"0.109124652138831";"-0.00296062774567269";"0.850230688795611";"211"
"121";"dieu";"0.146382649728921";"-0.0938654238924507";"0.846096791831651";"212"
"122";"histoire";"0.172632892552097";"-0.110848337733769";"0.844547303179425";"214"
"123";"contact";"0.158585887684623";"-0.0892934457345923";"0.844269782823803";"215"
"124";"enfant";"0.190465215666221";"-0.0927693423690938";"0.840338244452484";"217"
"125";"créer";"0.177646127878077";"-0.0382693849015992";"0.836736261503467";"218"
"126";"proposer";"0.0312037561624518";"-0.0861779651225829";"0.836395142733014";"219"
"127";"mystère";"0.178685900980812";"-0.113175756575656";"0.832931919961808";"220"
"128";"secte";"0.172736454391585";"-0.120447884400917";"0.826942105619622";"221"
"129";"discussion";"1.13805041449227";"-1.37725289399596";"0.825334800226642";"222"
"130";"album";"0.221866726573111";"-0.105343027788334";"0.82266944847785";"223"
"131";"possible";"0.155324893839736";"-0.104093227833139";"0.82180219736653";"224"
"132";"système";"0.177693899544756";"-0.0997348778263207";"0.82180219736653";"225"
"133";"millier";"0.174934845173782";"-0.120576630005429";"0.821310755070115";"226"
"134";"édition";"0.295803596323961";"-0.1130603694802";"0.815425010861288";"227"
"135";"cas";"0.255335897617105";"-0.21584702045383";"0.813251101408911";"229"
"136";"année";"0.355172250891453";"-0.355777844795255";"0.805798523525632";"230"
"137";"mystérieux";"0.250976825974095";"0.12147763634464";"0.802896123139746";"232"
"138";"espace";"0.250823456346289";"0.054619568304995";"0.801965273613596";"233"
"139";"université";"0.246898370478453";"-0.044637518554171";"0.800647051924389";"234"
"140";"pierre";"0.207624188796485";"-0.107820110217763";"0.798403762383107";"235"
"141";"richard";"0.199280958423011";"-0.134669396101853";"0.796530499982655";"236"
"142";"moyen";"0.23731817239134";"-0.209280261451381";"0.794570512471071";"237"
"143";"chercheur";"0.264349038582492";"-0.19420715214438";"0.794570512471071";"238"
"144";"bout";"0.241485809131548";"-0.21301768517401";"0.794570512471071";"239"
"145";"technologie";"0.178027901055971";"-0.104714288511903";"0.790673664144205";"240"
"146";"évolution";"0.166849596139544";"-0.085258349265995";"0.787944713980584";"241"
"147";"david";"0.217249301609944";"-0.0754155666230039";"0.78722200472115";"242"
"148";"forme";"0.200630885621555";"-0.137977131064034";"0.786233338454245";"243"
"149";"science";"0.366784286595219";"-0.17767368637527";"0.785857529639339";"244"
"150";"chose";"0.104945273132849";"-0.198683596912264";"0.78068871301587";"249"
"151";"maison";"0.0835139303550709";"-0.0792760731095589";"0.779006245859908";"250"
"152";"géant";"0.0416560535880517";"-0.0854455491237018";"0.777341123726173";"251"
"153";"inviter";"0.258310640645728";"-0.0866236301211148";"0.776942188214966";"253"
"154";"ami";"0.178334636933146";"-0.0177142314559595";"0.775589276481306";"254"
"155";"déclaration";"1.21944439245724";"-1.49123822565398";"0.770206537917045";"256"
"156";"vincent";"1.35069199441933";"-1.66272199474255";"0.769171618257536";"257"
"157";"révéler";"0.226171151382818";"-0.185241431701687";"0.762407059589237";"261"
"158";"réseau";"0.2806958560564";"-0.0379292566918011";"0.759024780255087";"262"
"159";"construire";"0.183586428930259";"-0.0703009649785558";"0.757099482787956";"263"
"160";"affirmer";"0.1746945773014";"-0.0896344100225532";"0.756475061987806";"264"
"161";"main";"0.180919125067495";"-0.093444870131647";"0.751150140164299";"265"
"162";"persuader";"-0.197977228552676";"0.0424689528873058";"0.750878401482752";"266"
"163";"objet";"0.158423799929384";"-0.0785177861210801";"0.744616848459019";"269"
"164";"photo";"0.178516411747013";"-0.105826325261916";"0.742078693539888";"270"
"165";"christian";"0.172439276474464";"-0.118632685283952";"0.740852978635888";"272"
"166";"comprendre";"0.584626386678729";"-0.775721106620474";"0.740488733169134";"273"
"167";"chanteur";"0.182196737843951";"-0.0353789478302274";"0.739546320294832";"275"
"168";"recevoir";"0.239331001450246";"-0.171002360216246";"0.736048407479174";"277"
"169";"expliquer";"0.112173425072834";"-0.087344342390127";"0.735880738930985";"278"
"170";"justice";"0.869818754206499";"-1.27313969264954";"0.735614781923513";"279"
"171";"actuel";"0.202352735299135";"-0.108290334815595";"0.734273433538005";"280"
"172";"débarquer";"-0.00936392127190462";"-0.0247810546100012";"0.732793324974685";"281"
"173";"rester";"0.0706611484232893";"-0.0626034566953729";"0.731804658707779";"282"
"174";"portrait";"0.185348275978831";"-0.13216583013553";"0.73150979332993";"283"
"175";"site";"0.162539425558392";"-0.112500747177502";"0.729104616914535";"284"
"176";"identifier";"0.198184610745753";"-0.0573151565210961";"0.729104616914535";"285"
"177";"sentir";"0.246149025799168";"-0.205649677079592";"0.724733671313481";"286"
"178";"humain";"0.175928000310818";"-0.0698748941256213";"0.72454287606899";"287"
"179";"retrouver";"0.109534568784511";"0.0776057161723178";"0.722357403268463";"288"
"180";"sud";"0.226259477144095";"-0.19204017428198";"0.719368277771445";"289"
"181";"expert";"0.18653851759143";"-0.109512733208039";"0.718460554941597";"290"
"182";"laisser";"0.169618539492163";"-0.0807579455766762";"0.718344921460087";"291"
"183";"politique";"0.452925804605635";"-0.457198039160618";"0.716986228052352";"293"
"184";"voix";"0.192817627477054";"-0.081049347148186";"0.716824341178239";"294"
"185";"voir";"0.208929245538134";"-0.0344368908875892";"0.715679569711296";"295"
"186";"origine";"0.225450037988732";"0.0241689737096578";"0.711574581117713";"296"
"187";"chine";"0.194485398363572";"-0.113167064565653";"0.711568799443638";"297"
"188";"planète";"-0.674067055154459";"0.249636622404138";"0.711273934065789";"298"
"189";"sortir";"0.1192894715025";"-0.120440974776828";"0.71023901440628";"299"
"190";"montrer";"0.226384500134306";"-0.156823581478154";"0.710071345858091";"300"
"191";"bande";"0.255949710136151";"-0.219288872269171";"0.709568340213525";"302"
"192";"the";"0.241512651236281";"-0.134908697063949";"0.707053311990696";"303"
"193";"trace";"0.219837334367207";"-0.1783462284728";"0.707053311990696";"304"
"194";"mort";"0.189921389638079";"-0.104378653513928";"0.703225843752736";"305"
"195";"vaisseau";"-0.0133129259335329";"-0.022107349699809";"0.70136992637451";"306"
"196";"information";"0.309633572380019";"-0.179550205046478";"0.7000054512927";"307"
"197";"donner";"0.18173012111421";"-0.0726512326272714";"0.696871783943795";"309"
"198";"blanc";"0.180288227029709";"-0.101822930677577";"0.693697644876363";"311"
"199";"évoquer";"0.408363834170693";"-0.342959209124852";"0.691893762564817";"314"
"200";"déguiser";"0.191539193544519";"-0.101693724854158";"0.6904599073941";"315"
"201";"yves";"0.179656627461549";"-0.109490472223091";"0.689968465097686";"317"
"202";"clair";"0.182024886428232";"-0.0697313117726434";"0.689089650638214";"318"
"203";"rendre";"0.0914627013890477";"-0.0978141339761761";"0.687326240045196";"319"
"204";"émission";"0.202338067673122";"-0.0956014047846475";"0.686534150696857";"320"
"205";"effet";"0.146028540970849";"-0.0364166733655941";"0.685967546637461";"321"
"206";"témoignage";"0.291138833033823";"-0.231437910486583";"0.682174768443953";"323"
"207";"plateau";"0.253269965807895";"-0.170468299284053";"0.679867880487841";"325"
"208";"répondre";"0.234693945160352";"-0.106170322465971";"0.679150952902483";"326"
"209";"professeur";"0.166450221309222";"-0.0731957419272963";"0.678104469894823";"327"
"210";"image";"0.179119765755203";"-0.0920733024438097";"0.677751787776219";"328"
"211";"venir";"0.00686887050568495";"-0.0426628694168059";"0.677277690502031";"329"
"212";"coeur";"-0.0425768505120988";"-0.0112737556171061";"0.677254563805729";"330"
"213";"raconter";"0.182621824484159";"-0.0918300798599575";"0.675901652072069";"331"
"214";"quotidien";"0.376355638906464";"-0.340335892075661";"0.674600775405089";"332"
"215";"présidentiel";"0.470071010531017";"-0.475170180211453";"0.672056838811882";"333"
"216";"connaître";"0.182109180604684";"-0.112764683653803";"0.670611420293015";"334"
"217";"entrer";"0.150543372043589";"-0.0589387277634032";"0.669507120544601";"335"
"218";"spatial";"0.213826651861451";"-0.0759033720639192";"0.669391487063091";"336"
"219";"enquête";"0.235561588269575";"-0.136463677065305";"0.669391487063091";"337"
"220";"récit";"0.167796277436716";"-0.0875095325817842";"0.668732376218488";"338"
"221";"lune";"0.186145019860957";"-0.0933053423249184";"0.668327659033205";"339"
"222";"cacher";"0.169119247741692";"-0.0773700581593785";"0.668292968988752";"340"
"223";"sembler";"0.162563451684145";"-0.071092166842266";"0.667957631892375";"341"
"224";"meilleur";"0.946480834349275";"-1.13130929784694";"0.667240704307017";"343"
"225";"phénomène";"0.221667323985005";"-0.114635865676377";"0.667217577610715";"344"
"226";"mythe";"0.21655989042737";"-0.028895383443604";"0.665477293713999";"345"
"227";"base";"0.13959645606858";"-0.0624221367700128";"0.665477293713999";"346"
"228";"penser";"0.0915489451015773";"-0.0601059759434858";"0.664829746217546";"347"
"229";"tomber";"0.182636659725689";"-0.0913465313745683";"0.661522628646378";"348"
"230";"continuer";"0.164278348804164";"-0.102532014115621";"0.660794137712869";"349"
"231";"association";"0.193479822655925";"-0.123404271212012";"0.658868840245738";"351"
"232";"philippe";"0.396790769721258";"-0.40294338654262";"0.658868840245738";"352"
"233";"mars";"0.119295910487216";"-0.19580146246411";"0.65716902806755";"353"
"234";"public";"0.189465421696556";"-0.129944651119508";"0.65716902806755";"354"
"235";"comédien";"0.192237682766639";"-0.132735864092665";"0.656353812022909";"355"
"236";"sport";"0.175131522520146";"-0.121864224163365";"0.656353812022909";"356"
"237";"etats";"0.160447863072009";"-0.0659778277522968";"0.656180361800645";"357"
"238";"revenir";"0.226805511280188";"-0.140916801409417";"0.655226385578192";"358"
"239";"près_de";"0.182912945762488";"-0.0859971198966628";"0.653335778155514";"359"
"240";"humoriste";"0.173925166060071";"-0.127708680868776";"0.651965521399628";"360"
"241";"légende";"0.163917749445378";"-0.0911662935842995";"0.651699564392156";"361"
"242";"siècle";"0.14393781865484";"-0.081625966380213";"0.651555022540269";"362"
"243";"découverte";"0.272971070543103";"-0.247231744130601";"0.651115615310534";"363"
"244";"astrophysicien";"0.236650962976833";"-0.0623643519499333";"0.650768714866006";"364"
"245";"olivier";"0.316342222793002";"-0.201406367405822";"0.649490964895327";"366"
"246";"partie";"0.249270905185668";"-0.215886886556954";"0.64767551923563";"367"
"247";"candidat";"0.229260749996016";"-0.156353771384349";"0.647155168568837";"368"
"248";"convaincre";"0.180223300470788";"-0.053293476004918";"0.646432459309404";"369"
"249";"archive";"0.215753858103951";"-0.0521959579832539";"0.646432459309404";"370"
"250";"carrière";"0.188980791818633";"-0.0853107642596484";"0.646432459309404";"371"
"251";"jacques";"0.186319303137184";"-0.0878602974997839";"0.64503329418314";"372"
"252";"lieu";"0.150999880214372";"-0.0567309413700802";"0.645004385812763";"373"
"253";"diffuser";"0.189620976080452";"-0.138043089835473";"0.643408643767933";"375"
"254";"réaliser";"0.165086729200944";"0.260504362579906";"0.640668130256161";"376"
"255";"avenir";"0.223718039438724";"-0.0694274532062493";"0.640338574833859";"377"
"256";"homme";"0.232097259992027";"-0.126044936972479";"0.637528681233182";"379"
"257";"corps";"0.192739717094017";"-0.109890531768637";"0.637008330566389";"380"
"258";"soucoupe";"0.0565684054562889";"-0.0359202800699492";"0.63553978535122";"381"
"259";"femme";"0.186022708571755";"-0.0741934135076666";"0.634342978817598";"382"
"260";"affaire";"0.575651446183118";"-0.601912227599415";"0.633475727706278";"383"
"261";"nombre";"0.169721580154937";"-0.119404521932637";"0.633452601009976";"384"
"262";"partir";"0.218272676060852";"-0.267138503309242";"0.633296495809938";"385"
"263";"groupe";"0.21382900467194";"-0.0537153412080678";"0.631070551290883";"386"
"264";"semaine";"0.272654183427302";"-0.216395560424552";"0.628491924653223";"387"
"265";"message";"0.172825668249959";"-0.106058917238238";"0.627954228964205";"388"
"266";"culture";"0.0743883289167026";"-0.0944917457662842";"0.627595765171526";"389"
"267";"famille";"-0.0702511959407916";"-0.0410367342240612";"0.627595765171526";"390"
"268";"découvrir";"0.129607056602105";"-0.06986282783058";"0.626861492563941";"391"
"269";"annonce";"0.188306843799003";"-0.0957937070008092";"0.625895952993338";"392"
"270";"commenter";"0.180747475883589";"-0.107878352010512";"0.625022920207942";"393"
"271";"marier";"0.174856123312623";"-0.102684110370942";"0.625022920207942";"394"
"272";"porter";"0.31863271508715";"-0.266136902949152";"0.624097852355867";"396"
"273";"théâtre";"0.286075798262074";"-0.270096969417341";"0.624097852355867";"397"
"274";"exister";"0.269083947239709";"-0.193719040244993";"0.623820332000244";"398"
"275";"réalité";"-0.111932449393676";"0.00452939142483404";"0.623155439481566";"399"
"276";"question";"0.338914268524922";"-0.309626056113973";"0.62210317479983";"400"
"277";"chanson";"0.17510750106767";"-0.0688860935880799";"0.617489398887606";"401"
"278";"notamment";"0.228030284857437";"-0.150327682660041";"0.616749344605946";"402"
"279";"gagner";"0.170617947138215";"-0.0916521469508449";"0.616454479228097";"403"
"280";"garçon";"0.192644536147357";"-0.0856772619439546";"0.616454479228097";"404"
"281";"visite";"0.152236922826777";"-0.0975179337554969";"0.616442915879946";"405"
"282";"capable";"-0.23534941739837";"-0.00905285731990916";"0.612441997419721";"406"
"283";"valentin";"0.24717523288634";"-0.14781741376433";"0.612066188604816";"407"
"284";"présentation";"0.301882120373639";"-0.24936513929959";"0.611378169389835";"408"
"285";"dernier";"0.166788240254243";"-0.126747785462599";"0.609938532545043";"409"
"286";"conseil";"0.221698564674574";"-0.111492472427137";"0.608429515611346";"411"
"287";"différent";"0.276204347747218";"-0.233060029158068";"0.60799010838161";"412"
"288";"extra_terrestre";"0.190155200537733";"-0.0700796612748732";"0.60799010838161";"413"
"289";"magazine";"0.324796761695449";"-0.262224604479948";"0.60799010838161";"414"
"290";"beau";"0.17270414386365";"-0.0874269387334353";"0.60799010838161";"415"
"291";"cnrs";"0.186545861994724";"-0.117699238906363";"0.60799010838161";"416"
"292";"propos";"0.323342551137776";"-0.224296336968657";"0.60799010838161";"417"
"293";"aller";"0.225166065607373";"0.168617390540218";"0.606989878766554";"418"
"294";"antoine";"0.162038049375207";"-0.0551007161901825";"0.605810417255158";"419"
"295";"rapport";"0.163600808661807";"-0.106683194028203";"0.60268253158033";"422"
"296";"volant";"0.0864606327669098";"-0.0442918154624408";"0.602468609639537";"423"
"297";"devenir";"0.142255874420272";"-0.152247097800286";"0.60206967412833";"424"
"298";"étude";"0.2130645117666";"-0.0562080848216421";"0.602029202409802";"425"
"299";"mot";"0.201403456069476";"-0.0797984184777251";"0.601069444513274";"427"
"300";"mois";"0.216733128869311";"-0.144390406207891";"0.601069444513274";"428"
"301";"rencontre";"0.16960635803522";"-0.0975453239821645";"0.600288918513086";"429"
"302";"important";"0.174714235593155";"-0.118507789944869";"0.599745441149992";"431"
"303";"marine";"0.213955594383024";"-0.112266480898757";"0.597178377860483";"432"
"304";"cours";"0.0790530633841355";"-0.093679916996374";"0.595241517045201";"433"
"305";"commencer";"0.26259360486476";"-0.224849154317385";"0.594258632452371";"434"
"306";"secret";"0.166318291543446";"-0.0785388372615074";"0.592917284066863";"435"
"307";"permettre";"0.198973016355022";"-0.24097232533821";"0.592836340629806";"436"
"308";"extrait";"0.282455372125178";"-0.247903079801985";"0.591691569162863";"437"
"309";"xavier";"0.198675237550716";"-0.13736583761341";"0.591136528451618";"438"
"310";"revue";"0.197476550431208";"-0.0913027780588655";"0.590899479814524";"439"
"311";"françois";"0.312271493996903";"-0.200834951805097";"0.590795409681166";"440"
"312";"rouge";"0.185157703171536";"-0.0937907520649589";"0.590702902895958";"441"
"313";"matin";"0.188546223451265";"-0.119371222940545";"0.590702902895958";"442"
"314";"part";"0.28230576329982";"-0.2224240320094";"0.589673764910524";"443"
"315";"alain";"0.208878820855129";"-0.103998774067305";"0.588523211769506";"444"
"316";"travers";"0.0109836202209128";"-0.0172489323247219";"0.588037551147167";"445"
"317";"commentaire";"0.714759015141299";"-0.723333606529206";"0.58765017898411";"446"
"318";"transformer";"0.217816854641468";"-0.0431572028888862";"0.58765017898411";"447"
"319";"américain";"0.205784659339903";"-0.110489088807102";"0.583868964138754";"448"
"320";"ligne";"0.179674481759703";"-0.123194620270131";"0.583076874790414";"449"
"321";"rappeler";"0.259501989671567";"0.127070398143748";"0.582371510553207";"450"
"322";"internet";"0.212358257575556";"-0.078096962045601";"0.582198060330943";"451"
"323";"travailler";"0.199541284676181";"-0.146063168587465";"0.576861575159285";"453"
"324";"long";"0.164798684766592";"-0.088625437661414";"0.576595618151813";"454"
"325";"époque";"0.184921049356802";"-0.0921077883633654";"0.576075267485021";"455"
"326";"arriver";"0.290436554242373";"0.195222432389101";"0.576075267485021";"456"
"327";"nom";"0.178661654303385";"-0.12141499071351";"0.575364121573739";"457"
"328";"emmanuel";"0.427809006310171";"-0.420789126489717";"0.573357880669551";"458"
"329";"anne";"0.407884360659823";"-0.387754142923437";"0.573357880669551";"459"
"330";"premier";"0.350748330171555";"-0.138254443102522";"0.572860656699061";"460"
"331";"rencontrer";"0.158347077004569";"-0.0902517780282324";"0.570455480283665";"461"
"332";"expérience";"0.169871084562469";"0.133845513250853";"0.570357191824382";"462"
"333";"scientifique";"0.123809513541416";"-0.0873301482320603";"0.569195075335213";"463"
"334";"mère";"0.190373855625163";"-0.118329040699517";"0.568235317438685";"464"
"335";"poser";"0.172724997947054";"-0.064762730800703";"0.566275329927101";"465"
"336";"véritable";"-0.00280410550833266";"-0.076380090639689";"0.56620016816412";"466"
"337";"grand";"0.195913699561915";"-0.207132320135919";"0.565841704371441";"467"
"338";"victime";"0.205115823263545";"-0.0743392577524441";"0.565182593526838";"468"
"339";"apporter";"0.185587600505713";"-0.092161916170456";"0.564945544889743";"469"
"340";"utiliser";"0.0432245940003715";"-0.0730920921390289";"0.564737404623027";"470"
"341";"décrire";"-0.015367502263307";"-0.0403632167439579";"0.562771635437367";"471"
"342";"animal";"0.417865040445003";"-0.44038249423146";"0.562511460103971";"472"
"343";"italie";"0.186633203017615";"-0.0816721621314809";"0.562338009881707";"473"
"344";"ukrainien";"0.300711178722607";"-0.290851842033986";"0.561251055155519";"476"
"345";"agir";"-0.159535531547005";"-0.0139923136851894";"0.55973047487367";"477"
"346";"préparer";"0.198101982025972";"-0.11938246360888";"0.558811188695671";"478"
"347";"héros";"0.0506549288043763";"-0.088854773507977";"0.555168734028125";"480"
