"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"lfi";-0,0108;-0,1457;11,2567;-0,2637;-0,9984;-0,3841;-1,4421;-0,1949;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"expliquer";-0,0267;-0,3589;-2,0447;-0,6495;4,3253;4,6145;-2,5388;-0,1525;-0,1844;-0,2918;-0,7619;-0,0901;-0,214;-1,0125;0,6331
"réseau";-0,0067;-0,0896;-0,5106;5,0148;-0,2081;-0,2363;-0,8873;0,6175;-0,0461;-0,0729;-0,1903;-0,0225;-0,0534;0,2;-0,2801
"écrire";-0,01;-0,1345;-0,766;0,3675;0,9381;1,3997;-1,3311;-0,1799;-0,0691;0,6525;-0,2854;-0,0338;-0,0802;-0,6494;1,2214
"auproux";-0,01;-0,1345;10,3893;-0,2434;-0,9216;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;-0,4202
"seines";-0,0117;-0,1569;12,1242;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"mélenchon";-0,02;0,3355;18,6233;-0,487;-1,8442;-0,7095;-2,6639;-0,36;-0,1383;-0,2188;-0,5712;-0,0675;-0,1604;-1,2995;-0,8409
"bernard";-0,02;-0,2691;4,6515;-0,487;2,5749;-0,2794;-2,6639;-0,36;-0,1383;-0,2188;-0,5712;-0,0675;-0,1604;-1,2995;-0,3611
"beau";-0,0092;-0,1233;-0,7022;-0,2231;2,4025;1,5034;-1,2202;-0,1649;-0,0633;0,686;-0,2617;-0,0309;-0,0735;-0,5952;0,2306
"sembler";3,4397;-0,1681;-0,9577;-0,3042;-0,5606;0,1941;-1,6642;-0,2249;-0,0864;1,4237;-0,3569;-0,0422;0,6859;1,0499;1,6118
"cacher";-0,0159;-0,213;-1,2133;-0,3854;-0,4147;-0,1925;-2,1084;0,3177;-0,1094;1,2353;-0,4521;-0,0535;1,4763;0,7564;3,4455
"fatou";-0,0644;-0,8653;-4,9304;-1,5661;-5,9318;-2,2819;50,2226;-1,1578;-0,4447;-0,7036;-1,837;-0,2172;-0,5159;-4,1795;-2,7043
"annonce";-0,0067;-0,0896;-0,5106;-0,1622;-0,2081;1,0325;-0,8873;0,6175;-0,0461;-0,0729;-0,1903;-0,0225;-0,0534;-0,4328;2,7122
"agnès";-0,0083;7,3021;-0,6383;0,4282;-0,3003;0,8638;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;-0,3501
"moyen";-0,0083;5,6296;-0,6383;-0,2028;1,8641;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;-0,3501
"raven";-0,0217;-0,2915;-1,6608;-0,5276;-1,9981;-0,7687;16,8705;-0,3901;-0,1498;-0,237;-0,6189;-0,0732;-0,1738;-1,4079;-0,911
"provoquer";-0,0695;-0,43;-5,3161;-1,6886;-4,2301;-1,6224;42,2841;-1,2484;-0,1541;-0,7586;-1,9807;-0,2342;-0,5563;-4,5065;-2,0116
"système";-0,015;-0,2018;-1,1494;0,7055;0,8126;-0,532;-1,9973;-0,2699;-0,1037;-0,1641;-0,4283;-0,0506;-0,1203;6,1006;-0,6305
"adolescent";-0,02;-0,2691;-1,5329;-0,487;-1,0921;-0,7095;13,644;-0,36;-0,1383;-0,2188;-0,5712;-0,0675;-0,1604;-1,2995;-0,8409
"oise";-0,0125;-0,1681;12,9921;-0,3042;-1,1521;-0,4433;-1,6642;-0,2249;-0,0864;-0,1367;-0,3569;-0,0422;-0,1002;-0,8118;-0,5253
"membre";-0,0276;-0,3701;19,2225;-0,6699;-1,6676;-0,976;-3,6645;0,9997;-0,1902;-0,301;-0,329;-0,0929;-0,2207;-1,7875;-1,1566
"parole";-0,015;-0,2018;10,2573;-0,3651;-0,7309;-0,532;-1,9973;0,3345;-0,1037;-0,1641;-0,4283;-0,0506;-0,1203;-0,9743;-0,2303
"philippe";-0,0092;-0,1233;0,3415;-0,2231;3,2825;0,2783;-1,2202;0,5004;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"mois";-0,0092;0,6071;-0,7022;-0,2231;1,6621;-0,325;-1,2202;2,2828;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;0,6832
"naître";-0,0284;-0,3814;-2,1727;0,3341;-0,2841;-1,0056;10,4527;-0,1684;-0,196;-0,3101;-0,8096;-0,0957;-0,2274;-1,8418;-1,1917
"enquête";-0,0159;1,9318;-1,2133;0,6696;-0,4147;-0,5616;-2,1084;3,4645;-0,1094;-0,1732;-0,4521;-0,0535;-0,127;0,7564;0,749
"nouvelle";-0,01;-0,1345;-0,3035;-0,2434;0,9381;-0,3546;0,2762;-0,1799;-0,0691;0,6525;-0,2854;-0,0338;-0,0802;-0,2355;0,6255
"mettre";1,346;-0,2691;-1,5329;-0,1547;1,0946;1,1614;-2,6639;1,3349;1,4052;0,4026;-0,5712;-0,0675;-0,1604;0,2634;0,2483
"jeune";-0,0476;-0,2426;-3,6463;-0,2884;1,4614;1,1048;3,1285;-0,3776;0,2748;0,9412;-1,3586;-0,1606;-0,3816;-3,091;-0,4601
"construire";-0,0125;-0,1681;-0,9577;1,5454;-0,5606;0,1941;-1,6642;-0,2249;0,7438;-0,1367;-0,3569;-0,0422;-0,1002;4,9815;-0,5253
"émission";-0,0284;0,6691;-2,1727;0,6969;1,4147;0,7399;-3,7757;0,493;-0,196;0,8056;-0,8096;-0,0957;-0,2274;-1,0995;3,761
"coeur";-0,0083;-0,112;-0,6383;-0,2028;0,6741;-0,2955;-0,5169;0,5347;3,6005;0,723;-0,2379;-0,0281;-0,0668;-0,5411;0,2569
"claude";-0,0259;-0,3477;3,9877;0,3805;-0,2131;1,304;-2,44;-0,1448;-0,1787;-0,2827;-0,738;-0,0873;-0,2073;-1,6791;0,6659
"présidentiel";-0,005;3,5106;0,2322;-0,1216;-0,4607;-0,1772;-0,6654;1,8035;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;-0,21
"âge";-0,01;-0,1345;-0,766;-0,2434;-0,4001;-0,3546;-1,3311;0,4696;-0,0691;0,6525;-0,2854;-0,0338;-0,0802;3,8602;0,6255
"candidat";-0,0067;3,0799;-0,5106;-0,1622;-0,6143;2,9798;-0,8873;0,6175;-0,0461;-0,0729;-0,1903;-0,0225;-0,0534;-0,4328;-0,2801
"proposer";-0,0117;-0,1569;-0,8938;-0,2839;6,353;0,6312;-0,8475;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"manquer";-0,0259;-0,3477;-1,9807;-0,2338;-0,3763;-0,9168;12,1663;-0,4652;-0,1787;-0,2827;-0,738;-0,0873;-0,2073;-1,6791;-1,0864
"bande";-0,0117;-0,1569;-0,3861;-0,2839;4,1594;1,2233;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,1525
"humanité";-0,02;-0,2691;-1,5329;-0,487;-1,8442;-0,2794;-2,6639;0,7101;-0,1383;-0,2188;-0,5712;1,9854;1,2899;10,6862;-0,8409
"gouvernement";-0,0117;-0,1569;-0,3861;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;0,2712;-0,0394;2,9496;5,3316;-0,4903
"antique";-0,0108;-0,1457;-0,8299;-0,2637;-0,9984;-0,3841;-1,4421;-0,1949;-0,0749;-0,1185;-0,3093;-0,0366;1,7913;8,4674;-0,4552
"entrepreneur";-0,0092;-0,1233;9,5222;-0,2231;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"exister";-0,0108;-0,1457;-0,3442;0,3419;-0,1897;-0,3841;-1,4421;-0,1949;-0,0749;1,541;-0,3093;-0,0366;-0,0869;2,6763;-0,1346
"hugues";-0,0117;-0,1569;12,1242;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"peret";-0,0083;-0,112;-0,6383;13,4461;-0,7679;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;-0,3501
"actuel";-0,0108;0,5452;-0,8299;0,9348;-0,4523;-0,3841;-1,4421;0,4418;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;4,5867;-0,4552
"retour";-0,015;0,4299;0,6489;0,7055;-0,3733;-0,1762;-1,9973;4,716;-0,1037;-0,1641;0,2027;-0,0506;-0,1203;-0,9743;-0,2303
"valentin";-0,0025;-0,0336;-0,1914;-0,0608;0,3856;-0,0886;-0,3326;2,473;-0,0173;-0,0273;-0,0713;-0,0084;-0,02;-0,1623;-0,105
"cnews";-0,0134;-0,1793;13,8601;-0,3245;-1,229;-0,4729;-1,7752;-0,2399;-0,0922;-0,1458;-0,3807;-0,045;-0,1069;-0,866;-0,5604
"élément";-0,0075;-0,1008;-0,5744;0,4646;1,3595;-0,2659;-0,9982;0,5734;-0,0518;-0,082;-0,2141;-0,0253;-0,0601;1,1059;-0,3151
"groupe";-0,01;-0,1345;-0,766;2,8017;0,9381;0,2534;-1,3311;-0,1799;0,8324;-0,1093;-0,2854;-0,0338;-0,0802;-0,2355;0,2076
"entier";-0,0192;-0,2579;-1,469;-0,4667;-1,0303;-0,2613;-2,5528;-0,345;2,486;-0,2097;-0,5474;-0,0647;3,4322;7,6011;-0,8058
"humour";-0,0493;-0,2561;-2,0445;-1,199;-2,0417;-1,747;26,0432;-0,8864;-0,3405;-0,1852;-1,4064;-0,1663;-0,395;-3,1998;-2,0704
"langlois";-0,0117;-0,1569;12,1242;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"frédéric";-0,0209;9,6403;-1,5969;-0,5073;0,4187;3,8757;-2,775;-0,375;-0,144;-0,2279;-0,595;-0,0704;-0,1671;-1,3537;0,2313
"boucher";-0,0092;-0,1233;7,6712;-0,2231;-0,8447;0,2783;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"courir";-0,0309;-0,4151;-2,3647;-0,7512;1,1866;-0,5367;9,0946;-0,5554;-0,2133;-0,3375;-0,8811;-0,1042;-0,2475;-2,0046;-1,2971
"haut";-0,0159;-0,213;8,3521;-0,3854;-0,7894;0,446;-2,1084;0,8713;-0,1094;-0,1732;-0,4521;-0,0535;-0,127;-1,0285;-0,6655
"antoine";-0,0017;-0,0224;-0,1276;-0,0405;-0,1535;2,3648;-0,2217;-0,03;-0,0115;-0,0182;-0,0476;-0,0056;-0,0134;-0,1082;-0,07
"nombreux";-0,0812;-1,0911;-4,0856;-1,9747;-3,6796;-1,9803;33,0576;-0,8129;-0,5607;-0,8871;-2,3162;0,33;0,3591;-0,7353;-3,4098
"apporter";-0,0083;0,6432;-0,6383;0,4282;0,3018;-0,2955;-1,1092;-0,1499;-0,0576;0,723;-0,2379;-0,0281;0,846;1,658;-0,3501
"revue";-0,005;-0,0672;-0,3829;0,6121;2,1069;0,4748;-0,6654;-0,0899;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;-0,21
"média";-0,005;-0,0672;1,4325;-0,1216;0,1846;1,2657;-0,6654;-0,0899;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;-0,21
"gotham";-0,0217;-0,2915;-1,6608;-0,5276;-1,9981;-0,7687;16,8705;-0,3901;-0,1498;-0,237;-0,6189;-0,0732;-0,1738;-1,4079;-0,911
"animation";-0,0217;-0,2915;-1,6608;-0,5276;-1,9981;-0,7687;16,8705;-0,3901;-0,1498;-0,237;-0,6189;-0,0732;-0,1738;-1,4079;-0,911
"cnrs";-0,0092;-0,1233;-0,7022;-0,2231;2,4025;-0,325;-1,2202;0,5004;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;2,1206
"chanteur";-0,0075;-0,1008;-0,5744;-0,1825;0,7763;-0,2659;-0,9982;-0,1349;-0,0518;4,6779;-0,2141;-0,0253;-0,0601;-0,487;0,8238
"chercheur";-0,0083;5,6296;-0,6383;0,4282;0,3018;-0,2955;-1,1092;0,5347;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;0,2569
"départ";-0,0368;-0,4938;-2,813;-0,4008;-3,3843;-1,302;-4,8886;-0,254;-0,2537;-0,4015;51,1475;-0,1239;-0,2944;-2,3846;-1,543
"bellver";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"porter";-0,0083;-0,112;-0,226;0,4282;2,6811;-0,2955;-1,1092;0,5347;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;0,2569
"envoyer";-0,0092;-0,1233;-0,7022;-0,2231;0,5878;0,2783;-0,2726;0,5004;-0,0633;-0,1002;0,3443;-0,0309;0,8078;-0,5952;0,6832
"alain";-0,0108;-0,1457;-0,8299;0,3419;1,3386;1,307;-1,4421;2,0658;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;-0,1346
"phénomène";-0,0418;-0,5612;-2,2456;3,4269;2,373;0,3777;-5,5569;-0,3095;-0,2884;-0,1416;-1,1914;-0,1409;-0,3346;2,3911;0,4624
"péril";-0,0409;-0,55;-3,1334;-0,9954;-3,7697;-1,4503;31,8687;-0,7359;-0,2826;-0,4472;-1,1675;-0,138;-0,3279;-2,6562;-1,7187
"île";-0,0711;-0,9556;-5,4447;-1,7295;-2,4368;-2,5199;40,3914;-1,2786;-0,4911;-0,777;-2,0286;-0,2398;-0,2029;-2,7337;-2,9863
"sud";-0,0075;4,3289;-0,5744;-0,1825;0,3549;-0,2659;-0,9982;-0,1349;-0,0518;-0,082;-0,2141;-0,0253;-0,0601;0,5454;0,2874
"christian";-0,0067;-0,0896;-0,5106;-0,1622;4,7005;0,3771;-0,8873;-0,1199;-0,0461;-0,0729;-0,1903;-0,0225;-0,0534;-0,4328;-0,2801
"enfant";2,5395;-0,4713;-2,6849;0,9097;6,4212;0,2775;-4,666;1,8772;1,7531;-0,3832;-1,0004;-0,1183;0,3221;-2,276;-0,2301
"vaisseau";-0,02;-0,2691;-1,5329;-0,487;-1,8442;4,0176;-1,1662;-0,36;2,4322;0,4026;-0,5712;-0,0675;0,5103;0,5125;1,4686
"emmanuel";-0,005;0,8435;0,2322;-0,1216;0,5986;-0,1772;-0,6654;1,8035;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;-0,21
"bout";-0,0083;5,6296;-0,6383;-0,2028;0,6741;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;2,7478;-0,0668;-0,5411;-0,3501
"affrontement";-0,0108;-0,1457;11,2567;-0,2637;-0,9984;-0,3841;-1,4421;-0,1949;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"blanc";-0,01;-0,1345;-0,766;-0,2434;-0,4001;0,2534;-1,3311;0,4696;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;0,8014;3,8849
"passer";-0,0359;-0,1546;-2,7489;0,5053;-0,5496;0,2644;-4,7773;0,3654;-0,248;-0,3923;-1,0243;-0,1211;0,3148;9,6011;0,9511
"professeur";-0,015;-0,2018;-1,1494;-0,3651;1,7516;-0,532;-1,9973;-0,2699;1,6392;1,2778;-0,4283;-0,0506;-0,1203;-0,9743;3,6152
"chaouch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"maison";-0,0159;-0,213;-1,2133;-0,3854;0,4303;-0,5616;-1,293;0,8713;-0,1094;0,483;-0,4521;-0,0535;-0,127;-0,2129;5,3604
"bfm";-0,0092;-0,1233;4,8725;-0,2231;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;1,3213
"arriver";-0,0125;-0,1681;-0,9577;-0,3042;1,6202;1,8505;-1,6642;-0,2249;0,7438;0,5686;0,2516;-0,0422;-0,1002;-0,3359;-0,1711
"tourner";-0,0058;-0,0784;-0,4467;0,5547;0,4988;1,1386;-0,7763;0,6683;-0,0403;-0,0638;-0,1665;-0,0197;-0,0468;-0,3787;0,3653
"vincent";-0,005;-0,0672;5,1903;-0,1216;-0,4607;-0,1772;-0,6654;-0,0899;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;-0,21
"matin";-0,0075;-0,1008;-0,5744;-0,1825;2,1035;-0,2659;-0,9982;0,5734;-0,0518;-0,082;-0,2141;-0,0253;-0,0601;-0,487;1,5642
"raconter";-0,0242;-0,3252;-1,8527;0,4158;3,5771;0,9222;-3,2197;-0,4351;-0,1671;0,341;-0,6904;-0,0816;-0,1939;-0,2566;1,6663
"année";-0,0418;-0,5612;0,4272;-1,0157;1,2891;0,9663;-5,5569;-0,3095;-0,2884;-0,4563;-1,1914;-0,1409;-0,3346;5,8238;-0,3453
"bristielle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"propos";-0,0092;-0,1233;-0,264;1,9272;2,4025;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;0,2306
"prince";-0,0217;-0,2915;-1,6608;-0,5276;-1,9981;-0,7687;16,8705;-0,3901;-0,1498;-0,237;-0,6189;-0,0732;-0,1738;-1,4079;-0,911
"plateau";-0,0292;-0,3926;-0,9032;0,3201;1,3341;2,7924;-3,887;-0,1765;-0,2018;0,7857;-0,8334;-0,0985;-0,2341;-1,8961;3,6457
"réveiller";-0,0368;-0,4938;-2,813;-0,4008;-3,3843;-1,302;-4,8886;-0,254;-0,2537;-0,4015;51,1475;-0,1239;-0,2944;-2,3846;-1,543
"anne";-0,005;-0,0672;0,2322;-0,1216;0,5986;-0,1772;-0,6654;1,8035;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;0,4163
"question";-0,0234;2,2837;-0,3413;-0,1988;1,5527;-0,3544;-3,1085;2,6466;-0,1614;-0,2553;-0,6665;-0,0788;-0,1872;0,6484;-0,9812
"long";-0,01;-0,1345;-0,766;0,3675;0,9381;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;1,8595;1,3682;0,2076
"présentation";-0,0117;1,3183;-0,3861;0,3188;2,4611;0,2116;-1,5532;1,0979;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"nasa";-0,0042;-0,056;-0,3191;0,6816;-0,3839;-0,1477;-0,5545;0,8;-0,0288;-0,0455;0,6207;-0,0141;1,1307;0,3339;-0,175
"yves";-0,015;-0,2018;-1,1494;-0,3651;3,8204;0,9562;-1,9973;0,3345;-0,1037;-0,1641;-0,4283;-0,0506;-0,1203;-0,9743;1,3412
"théâtre";-0,0083;-0,112;-0,226;-0,2028;2,6811;0,3067;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;0,4809;-0,3501
"chose";-0,0092;-0,1233;-0,264;-0,2231;-0,3494;0,2783;-0,5966;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;5,3895
"olivier";-0,0142;2,0694;-0,5179;3,1203;1,3516;-0,1604;-1,8863;0,3526;-0,0979;-0,1549;-0,4045;-0,0478;-0,1136;-0,9202;-0,5954
"lrem";-0,0134;-0,1793;13,8601;-0,3245;-1,229;-0,4729;-1,7752;-0,2399;-0,0922;-0,1458;-0,3807;-0,045;-0,1069;-0,866;-0,5604
"claviere";-0,0125;-0,1681;-0,9577;20,1994;-1,1521;-0,4433;-1,6642;-0,2249;-0,0864;-0,1367;-0,3569;-0,0422;-0,1002;-0,8118;-0,5253
"figure";-0,0242;-0,3252;-1,8527;-0,5886;-2,2289;-0,8576;13,6235;-0,4351;-0,1671;-0,2644;-0,6904;-0,0816;1,1435;-0,8842;-1,0163
"patron";-0,0108;-0,1457;7,7455;-0,2637;-0,9984;-0,3841;-1,4421;-0,1949;-0,0749;1,541;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"fédération";-0,0092;-0,1233;9,5222;-0,2231;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"watrin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nuit";-0,0083;-0,112;-0,6383;-0,2028;0,6741;0,3067;-0,5169;-0,1499;-0,0576;0,723;-0,2379;-0,0281;0,846;-0,1742;0,7487
"permettre";-0,0167;-0,2242;-0,3257;0,2167;1,0404;-0,2092;-1,3851;0,3021;-0,1152;-0,1823;-0,4759;2,1404;0,5769;0,6988;-0,2722
"tsoukalos";-0,015;-0,2018;-1,1494;-0,3651;-1,3827;-0,532;-1,9973;-0,2699;-0,1037;-0,1641;-0,4283;-0,0506;-0,1203;16,81;-0,6305
"polémiste";-0,0092;-0,1233;9,5222;-0,2231;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"galley";-0,0083;-0,112;-0,6383;-0,2028;7,9136;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;-0,3501
"pomart";-0,0125;-0,1681;12,9921;-0,3042;-1,1521;-0,4433;-1,6642;-0,2249;-0,0864;-0,1367;-0,3569;-0,0422;-0,1002;-0,8118;-0,5253
"chalumeau";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"xavier";-0,005;0,8435;-0,3829;-0,1216;0,5986;-0,1772;-0,6654;-0,0899;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;2,111
"rendre";2,5814;-0,4488;-1,6902;-0,3471;1,3124;-0,2964;-2,5446;-0,6005;3,7747;0,2454;-0,9527;-0,1126;-0,2676;0,7416;1,9829
"partie";-0,0125;-0,1681;-0,4291;-0,3042;0,6661;0,1941;-1,6642;0,3934;-0,0864;-0,1367;-0,3569;-0,0422;-0,1002;3,0889;-0,1711
"partir";-0,0167;2,8402;-0,3257;-0,4057;-0,2297;0,4177;-1,3851;1,5413;0,6326;-0,1823;-0,4759;-0,0563;1,4349;-0,5195;-0,2722
"marier";-0,0108;-0,1457;-0,8299;-0,2637;2,6971;0,2313;-1,4421;0,4418;0,8004;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;1,1323
"joe";-0,0117;-0,1569;12,1242;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"disciple";-0,0192;-0,2579;-1,469;-0,4667;-1,7673;-0,6799;14,9194;-0,345;-0,1325;-0,2097;-0,5474;-0,0647;-0,1537;-1,2453;-0,8058
"préparer";-0,0067;-0,0896;-0,5106;-0,1622;0,8991;0,3771;-0,8873;1,5519;-0,0461;-0,0729;-0,1903;-0,0225;-0,0534;0,2;0,323
"mère";-0,0067;-0,0896;-0,5106;-0,1622;1,5562;-0,2363;-0,8873;0,6175;-0,0461;-0,0729;-0,1903;-0,0225;-0,0534;-0,4328;1,7149
"américain";-0,0184;1,755;-1,405;1,1172;-0,2906;0,3672;-2,4416;0,7688;-0,1267;-0,2005;-0,5236;-0,0619;1,3586;1,9853;-0,7707
"conquérant";-0,0217;-0,2915;-1,6608;-0,5276;-1,9981;-0,7687;16,8705;-0,3901;-0,1498;-0,237;-0,6189;-0,0732;-0,1738;-1,4079;-0,911
"série";-0,0301;0,218;-2,3007;-0,2954;-0,3367;-0,5157;9,5165;-0,5403;-0,2075;-0,3284;-0,8573;-0,1014;-0,2408;-1,1876;-0,6565
"val";-0,0134;-0,1793;11,8469;-0,3245;-0,6164;-0,4729;-1,7752;-0,2399;-0,0922;-0,1458;-0,3807;-0,045;-0,1069;-0,866;-0,5604
"humain";-0,0309;-0,4151;-2,3647;0,6248;-0,8911;-0,2539;-4,1095;-0,5554;-0,2133;2,1562;-0,8811;-0,1042;0,9624;4,4184;2,7822
"courant";-0,01;0,5747;-0,766;-0,2434;0,2204;6,8812;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;0,2076
"décrire";-0,0083;-0,112;-0,6383;0,4282;0,3018;1,6204;-0,5169;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;0,4809;0,2569
"fantôme";-0,0092;-0,1233;-0,7022;-0,2231;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;0,4258;8,3381
