"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"histoire";-0,0284;0,6691;-2,1727;-0,6902;0,3186;-0,2139;-3,7757;0,493;-0,196;0,2922;-0,8096;-0,0957;1,0242;6,494;0,3043
"propre";-0,0326;-0,4375;-2,4928;-0,7919;-0,6577;-0,282;8,3265;-0,21;-0,2249;-0,3558;-0,9288;-0,1098;0,3453;-0,8273;-0,1919
"omar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dettinger";-0,0359;-0,4825;37,39;-0,8733;-3,3072;-1,2723;-4,7773;-0,6456;-0,248;-0,3923;-1,0243;-0,1211;-0,2877;-2,3303;-1,5078
"quotidien";-0,0108;-0,1457;0,2618;0,3419;3,5546;-0,3841;-1,4421;0,4418;-0,0749;0,6221;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"géant";-0,0117;-0,1569;-0,8938;-0,2839;-1,0753;0,2116;-0,8475;1,972;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;5,3316;-0,4903
"suggérer";-0,0108;0,5452;-0,8299;-0,2637;-0,9984;-0,3841;-1,4421;-0,1949;-0,0749;-0,1185;-0,3093;-0,0366;1,7913;7,0165;-0,4552
"famille";-0,0192;-0,2579;-1,469;0,5489;2,7416;0,722;-0,6893;-0,345;-0,1325;-0,2097;-0,5474;-0,0647;-0,1537;-1,2453;1,5424
"vivre";-0,0242;-0,3252;-1,8527;0,4158;6,6053;-0,3738;-3,2197;-0,4351;-0,1671;-0,2644;-0,6904;-0,0816;0,4436;0,3506;0,7373
"comportement";-0,0134;-0,1793;10,1625;-0,3245;-1,229;-0,4729;-1,7752;-0,2399;-0,0922;0,5449;-0,3807;-0,045;-0,1069;-0,866;-0,1903
"créer";-0,0108;0,5452;-0,8299;1,7178;0,8351;-0,3841;-1,4421;-0,1949;6,3589;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"acteur";-0,005;-0,0672;-0,3829;0,6121;0,5986;1,2657;-0,6654;-0,0899;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;0,4163
"sauver";-0,0493;-0,6625;-3,7746;-1,199;-4,5412;-0,3458;23,3821;-0,3976;0,7396;0,4594;-1,4064;-0,1663;-0,395;-3,1998;-1,2938
"entraîner";-0,0225;-0,3028;-1,7248;-0,5479;-2,075;-0,7983;15,5445;-0,4051;-0,1556;-0,2462;-0,6427;-0,076;-0,1805;-1,4621;-0,4313
"école";-0,0117;-0,1569;-0,8938;5,9903;1,207;-0,4137;-1,5532;0,4165;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,1525
"syndicat";-0,0117;-0,1569;12,1242;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"julien";-8e-04;-0,0112;-0,0638;-0,0203;0,7905;-0,0295;-0,1109;-0,015;-0,0058;-0,0091;-0,0238;-0,0028;-0,0067;-0,0541;-0,035
