"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,811556538867481;19,8563930968296;19,8563930968296
"facteur 2";0,792849261497066;19,3986812364129;39,2550743332425
"facteur 3";0,704008845357282;17,2250184769221;56,4800928101647
"facteur 4";0,373897684649563;9,14817273822553;65,6282655483902
"facteur 5";0,286951415505259;7,02085416490559;72,6491197132958
"facteur 6";0,250200935021682;6,12167838105003;78,7707980943458
"facteur 7";0,164786838827669;4,03184755742619;82,802645651772
"facteur 8";0,143020398825698;3,49928701691127;86,3019326686833
"facteur 9";0,128717957145911;3,14934848442818;89,4512811531115
"facteur 10";0,117393185153756;2,87226474024197;92,3235458933534
"facteur 11";0,109844437255528;2,68756916023314;95,0111150535866
"facteur 12";0,0772429015423071;1,88990580878581;96,9010208623724
"facteur 13";0,0658970187931251;1,61230554668616;98,5133264090585
"facteur 14";0,0607622778218853;1,48667359094144;100
