"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"pre";198,53;147,28;106,6;138,68;156,06;147,6;160,42;163,87;128,04;133,38;213,7;135,29;121,81;145,65;151,46
"ver_sup";29,41;3,79;6,18;8,02;10,8;10,79;11,05;9,34;14,08;16,41;0;23,53;9,92;16,61;7,27
"adj_dem";0;2,53;0,88;1,89;3,93;3,24;0,33;4,2;2,56;0,71;0;5,88;8,5;4,9;2,91
"ono";0;0;0;1,42;1,67;2,81;0,17;3,27;3,84;2,85;0;0;0;1,4;2,49
"pro_per";80,88;22,12;16,49;24,53;40,95;37,55;36,84;20,54;44,81;40,66;60,88;58,82;41,08;38,47;43,63
"num";0;46,14;83,33;44,34;10,9;9,93;0,67;27,08;0;4,28;27,9;0;2,83;5,77;31,58
"adv";0;6,95;1,18;1,89;4,91;11,65;0,67;5,14;16,65;3,57;15,85;5,88;11,33;2,8;4,36
"ver";110,29;47,41;26,8;71,23;96,94;101,42;83,22;71,43;144,69;124,82;123,02;123,53;90,65;87,78;99,73
"adj_ind";0;1,26;2,36;0,94;2,95;4,96;0,33;0,93;2,56;0,71;0;11,76;8,5;5,77;3,74
"adj_pos";7,35;8,85;2,36;10,38;17,09;16,62;14,4;11,67;14,08;29,96;4,44;14,71;5,67;7,69;17,66
"aux";29,41;22,12;20,91;25,94;28,68;32,15;50,4;30,81;20,49;37,8;62,78;44,12;76,49;57,35;29,92
"nr";29,41;151,71;241,76;156,13;95,46;80,92;61,79;87,77;101,15;75,61;71,66;11,76;28,33;29,73;88,51
"pro_ind";7,35;2,53;2,36;3,3;8,84;7,77;9,38;5,14;8,96;5,71;2,54;14,71;8,5;8,92;6,44
"adj";58,82;72,06;64,49;50;52,15;54,16;96,45;63,96;47,38;56,35;65,31;26,47;83,57;92,15;55,06
"pro_dem";7,35;5,69;1,77;4,72;7,37;7,34;0,84;10,27;7,68;6,42;0;0;7,08;5,95;5,19
"nom";183,82;255,37;255,59;241,51;234,63;229,39;227,06;238,1;189,5;208,27;184,53;208,82;236,54;216,65;219,2
"art_ind";51,47;24,02;28,86;39,15;42,82;45,96;56,1;35,01;43,53;53,5;113,51;64,71;82,15;70,64;45,29
"adj_int";7,35;0,63;0;0;0,39;0;0;0,47;0;0;0;0;1,42;0,17;0,21
"pro_pos";0;0;0;0;0;0;0;0;0;0;0;0;0;0,17;0
"nom_sup";7,35;7,59;7,95;6,6;4,22;5,61;0;5,14;2,56;7,13;0,63;8,82;2,83;3,85;4,78
"adv_sup";58,82;9,48;16,49;8,49;19,45;25,46;33,32;28,01;12,8;31,38;6,34;35,29;11,33;26,93;22,44
"adj_sup";0;1,26;0;0,94;1,87;1,29;0,17;1,87;1,28;1,43;0;0;0;0,17;0,62
"art_def";88,24;128,32;86,87;113,68;102,44;103,8;80,04;123,72;112,68;89,87;24,1;144,12;116,15;114,01;104,72
"adj_num";0;3,16;0,88;2,36;1,77;5,18;0,67;3,27;7,68;4,28;0;0;2,83;2,1;2,49
"pro_rel";14,71;6,32;3,83;12,74;16,01;17,48;32,15;14,47;25,61;24,25;0;26,47;19,83;24,13;16,41
"con";29,41;23,39;22,08;31,13;37,71;36,9;43,54;34,55;47,38;40,66;22,83;35,29;22,66;30,25;33,87
