"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"spatial";0;0;0;5,74;1,08;3,98;0;12,85;13,25;0;0;0;0;0,74;3,38
"écrivain";0;0;7,02;0;3,77;0;0;2,57;0;0;0;0;0;0;1,13
"terre";45,45;0;0;9,56;4,31;10,61;0;5,14;33,11;8,4;1,64;0;34,29;29,04;4,5
"richard";0;0;0;0;5,38;0;0;7,71;0;0;0;0;0;0;0
"gagner";0;0;0;0;2,15;5,31;0;0;0;0;0;0;0;0;2,25
"christophe";0;0;27,44;1,91;3,23;0;0;2,57;0;0;0;0;0;0;1,13
"espace";0;0;0;7,65;0,54;14,59;0;23,14;39,74;0;1,64;0;0;1,49;1,13
"vie";0;3,42;1,28;17,21;20,45;6,63;0,77;2,57;0;8,4;0;27,03;28,57;8,94;10,14
"mort";0;3,42;0;0;0,54;2,65;0;0;0;4,2;0;40,54;0;0;6,76
"teen";0;0;0;0;0;0;18,96;0;0;0;0;0;0;0;0
"damien";0;0;0;0;5,92;0;0;0;0;0;0;0;0;0;0
"science";0;0;0,64;11,47;0,54;0;0;2,57;0;0;0;0;5,71;0;1,13
"information";0;10,27;0,64;11,47;1,08;1,33;0;0;0;0;0;0;0;1,49;3,38
"débat";0;23,97;12,13;1,91;1,61;0;0;0;0;0;0;0;0;0;2,25
"créature";0;0;0;0;0,54;0;0;0;13,25;0;0;0;11,43;14,89;1,13
"visuel";0;0;15,95;0;0,54;0;0;0;0;0;0;0;0;0;0
"boucherie";0;0;6,38;0;0;0;0;0;0;0;0;0;0;0;0
"astrophysicien";0;0;0;7,65;2,15;0;0;0;0;0;0;0;0;0;2,25
"recette";0;0;0;0;5,92;0;0;2,57;0;0;0;0;0;0;0
"comprendre";45,45;0;8,93;1,91;3,23;0;0,77;0;0;4,2;0;13,51;0;0;5,63
"jeu";0;3,42;0;0;3,77;10,61;0;0;0;8,4;1,64;0;0;0;1,13
"dernier";0;10,27;0,64;3,82;2,69;5,31;0,39;0;0;16,81;0;0;0;5,21;4,5
"leçon";0;0;0;1,91;0;0;0,39;2,57;0;0;0;0;0;0;0
"grandir";0;0;0;1,91;2,15;0;10,06;0;0;0;0;0;0;0;0
"plan";0;0;0;0;0,54;1,33;0,39;5,14;0;4,2;0;0;0;2,23;3,38
"secte";0;0;0;0;4,84;1,33;0;0;0;0;0;0;0;0;0
"notamment";0;6,85;0;0;0,54;1,33;0;7,71;0;0;0;0;5,71;0;1,13
"depétrini";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"incident";0;0;0;0;0;0;30,19;0;0;4,2;0;0;0;2,23;0
"recherche";0;34,25;0;7,65;4,84;5,31;0;0;6,62;8,4;0;0;11,43;0,74;5,63
"garçon";0;0;0;0;1,61;5,31;0;5,14;0;4,2;0;0;0;0;0
"environnement";0;0;0;1,91;1,08;2,65;0;0;0;0;39,28;0;0;0;0
"nucléaire";0;3,42;0,64;1,91;1,08;0;0;5,14;0;0;0;0;0;2,23;0
"robin";0;0;0;0;0;0;18,96;0;0;0;0;0;0;0;1,13
"belhousse";0;0;0;28,68;0;0;0;0;0;0;0;0;0;0;0
"témoin";0;0;8,3;0;2,15;2,65;0;0;0;0;3,27;0;5,71;3,72;3,38
"mystère";0;0;0;0;1,08;2,65;0;0;0;0;0;54,05;0;0,74;2,25
"kelly";0;0;7,66;0;0;0;0;0;0;0;0;0;0;0;0
"retrouver";0;0;0;0;3,77;3,98;0,77;2,57;19,87;21,01;1,64;0;5,71;0,74;12,39
"victime";0;0;0;3,82;2,69;0;0;0;0;4,2;0;0;0;0;3,38
"technologie";0;0;0;1,91;0;1,33;0;0;0;0;0;54,05;0;5,96;2,25
"alexandre";0;0;9,57;0;0,54;0;0;0;0;0;0;0;0;0;0
"frère";0;3,42;0;1,91;2,15;1,33;0;5,14;0;0;0;0;0;0;3,38
"millénaire";0;0;0;1,91;0;0;0;0;0;0;68,74;0;11,43;0;0
"meilleur";0;0;3,83;0;1,08;0;0;0;6,62;0;0;0;0;0;0
"observation";0;0;0;1,91;0;0;0;0;0;0;0;0;0;7,45;0
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"décontraction";0;0;0;0;0;0;10,06;0;0;0;0;0;0;0;0
"astronaute";0;0;0;1,91;1,08;1,33;0;12,85;0;0;0;54,05;34,29;14,89;0
"découverte";0;0;1,28;0;3,77;1,33;0;2,57;0;0;0;0;0;6,7;3,38
"millier";0;3,42;0;0;0,54;1,33;0;2,57;0;0;0;0;0;7,45;1,13
"continuer";0;0;0;0;1,61;0;0;2,57;6,62;0;0;0;0;5,21;2,25
"ambre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"laëtitia";0;0;9,57;0;0;0;0;0;0;0;0;0;0;0;0
"animal";0;3,42;2,55;0;3,77;1,33;0;0;6,62;0;0;0;0;2,98;1,13
"pyramide";0;0;0;0;0;0;0;0;0;0;0;0;5,71;8,19;0
"robot";0;0;0;1,91;0,54;2,65;0;2,57;6,62;4,2;42,55;0;0;0;1,13
"temps";45,45;0;0;1,91;2,15;2,65;0,39;5,14;6,62;0;0;0;5,71;4,47;3,38
"david";0;0;0;17,21;8,61;3,98;0;0;0;0;0;0;0;1,49;0
"façon";0;0;0;1,91;1,08;2,65;0;0;0;0;0;0;0;1,49;0
"face";0;0;0;0;3,77;0;0,77;0;0;4,2;0;0;0;0;1,13
"rouge";0;0;0;0;2,69;2,65;0;2,57;0;4,2;0;0;0;0;0
"montrer";0;0;0,64;0;4,31;10,61;0;2,57;0;4,2;0;0;0;0,74;3,38
"tenter";0;0;0;1,91;2,69;0;0,39;0;0;12,61;68,74;0;0;0;7,88
"quitter";0;0;0,64;1,91;2,69;0;10,06;0;0;0;0;0;0;0;3,38
"inviter";0;6,85;0;15,3;3,77;0;0;10,28;0;4,2;0;0;0;0;1,13
