"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"machine";-0,003;7,011;-1,67;-0,593;-0,714;-0,54
"intérieur";-2,5;0,008;9,431;-0,295;-0,356;-0,269
"intéresser";-2,281;12,172;-0,124;-0,593;-0,714;-0,54
"intervention";8,212;-0,513;-1,67;-0,593;-0,714;-0,54
"international";-2,852;-2,73;15,607;3,353;-0,804;-0,609
"intelligent";12,924;-2,425;-1,67;-0,593;-0,714;-0,54
"garder";1,13;-0,004;0,162;-0,667;-0,804;-0,609
"fait";1,979;0,933;-1,67;-0,593;-0,714;-0,54
"existence";1,979;0,016;-0,124;-0,593;-0,714;-0,54
"entourer";-5,017;18,747;-0,124;-0,593;-0,714;-0,54
"elisabeth";-5,017;12,172;0,346;-0,593;-0,714;-0,54
"elbaz";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"droite";-3,756;-0,142;18,548;-0,444;-0,535;-0,405
"disparaître";14,551;-2,73;-1,88;-0,667;-0,804;-0,609
"dessin";4,564;0,016;-1,67;-0,593;-0,714;-0,54
"demander";1,047;0,117;-0,041;-0,518;-0,624;-0,473
"curieux";-2,281;18,747;-1,67;-0,593;-0,714;-0,54
"communauté";-0,032;-0,906;0,552;3,302;-0,267;-0,202
"cercle";-3,756;6,42;1,106;-0,444;-0,535;-0,405
"centre";3,25;-0,311;-0,041;-0,518;-0,624;-0,473
"centrale";1,979;0,016;-0,124;-0,593;-0,714;-0,54
"cadre";-1,203;-1,816;18,548;-0,444;-0,535;-0,405
"bertrand";-3,756;-1,816;-1,25;81,926;-0,535;-0,405
"autrement";-5,648;-0,738;-1,88;95,551;-0,804;-0,609
"attaque";1,13;-2,73;4,738;-0,667;-0,804;-0,609
"appel";-5,017;3,264;6,097;-0,593;-0,714;-0,54
"apparaître";-0,003;7,011;-1,67;-0,593;-0,714;-0,54
"analyse";3,065;-0,738;0,162;-0,667;-0,804;-0,609
"aide";3,065;-0,004;-0,235;-0,667;-0,804;-0,609
"accompagner";-0,61;7,011;-0,124;-0,593;-0,714;-0,54
"événement";1,979;-2,425;2,338;-0,593;-0,714;-0,54
"étoile";0,459;-0,513;0,346;0,402;-0,714;-0,54
"énergie";6,667;-0,311;-1,46;-0,518;-0,624;-0,473
"yann";-5,017;3,264;0,346;4,152;-0,714;-0,54
"vrai";-0,003;0,933;0,346;-0,593;-0,714;-0,54
"vol";6,667;-0,311;-1,46;-0,518;-0,624;-0,473
"user";-4,386;15,493;-0,041;-0,518;-0,624;-0,473
"ukraine";-1,729;-2,12;0,642;27,882;-0,624;-0,473
"témoigner";-5,017;26,737;-1,67;-0,593;-0,714;-0,54
"télévision";-5,017;0,016;6,097;4,152;-0,714;-0,54
"tuer";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"transmettre";1,047;0,117;-0,041;-0,518;-0,624;-0,473
"traducteur";-2,281;-2,425;-1,67;82,016;-0,714;-0,54
"thevenot";-2,281;12,172;-0,124;-0,593;-0,714;-0,54
"technique";-1,203;12,279;-1,25;-0,444;-0,535;-0,405
"surveillance";-0,032;-0,906;0,552;3,302;-0,267;-0,202
"stylo";-1,874;9,986;-0,624;-0,221;-0,267;-0,202
"soirée";-0,065;-0,142;1,106;0,909;-0,535;-0,405
