"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"les";11;4;7;5;14;13;26;1;8;22;10;52;31;19;102;57;74;24;43;32;48;52;125;63;41;207;199;208
"beaucoup";0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;4;1;0;1;2;0;0;1;0;3
"marc";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;1;0;7
"on";0;0;0;0;2;1;2;0;0;1;2;2;1;1;5;0;11;1;3;3;7;5;9;5;0;7;2;7
"laëtitia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
"devant";0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;3;1;0;0;1;0;0;0;0;1;0;0
"pour";0;0;1;6;10;2;4;1;2;9;2;19;12;6;33;14;36;15;32;8;18;17;56;17;24;55;65;63
"animal";0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;6;1;1;3;1;0;1;1;3
"pyramide";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;4
"robot";0;0;0;0;0;1;0;0;0;0;1;2;0;1;1;1;27;0;0;0;1;0;0;0;1;0;1;0
"comme";0;0;0;1;3;0;0;0;0;3;0;3;6;1;3;2;7;1;4;4;2;1;16;4;3;30;43;5
"temps";0;0;0;0;1;0;1;0;0;1;0;1;0;0;2;1;1;1;2;1;2;2;1;0;0;3;4;3
"oeil";0;0;0;0;0;0;1;0;0;2;1;3;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1
"david";0;0;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;3;3;1;0;3;0;9
"façon";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;4
"envoyer";0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;3;0;1;1;0;1;0;1;1;0;1;2
"voyage";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;4;0;0;0;11;0;9;0;0
"06";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;2;0;6
"chien";0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;2;6;1;0;1
"face";0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;1;0;0;2;0;3;3;1;1;0;2;1
"rouge";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;5;0;0;0;0;1;1;0;0;0;0;1
"montrer";0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;0;0;2;2;1;0;1;2;0;0;2;0;0
"lala";0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
"tenter";0;0;1;1;1;1;0;0;0;0;1;2;0;0;4;17;43;2;3;3;1;0;1;8;1;3;7;0
"attaquer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;1;2;0;0;0;1;0;0
"télévision";0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;2;1;0;0;0;0;0;1;0;0;0;2;3
"quitter";0;0;0;0;0;0;0;0;0;1;0;0;1;2;4;0;1;1;4;0;0;0;14;1;3;26;42;2
"astrobiologiste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;6
"inviter";0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;5;3;2;1;2;2;1;1;0;2;10;0;15
"ce";0;1;0;0;2;0;2;0;0;0;1;7;19;1;14;5;14;2;12;5;6;5;17;12;6;18;12;18
"seuil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;5
"après";0;0;1;0;1;1;0;0;0;1;1;4;1;0;2;2;45;2;2;5;5;2;18;3;4;30;41;7
"ados";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;14;0;2;24;41;1
"éléphant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;26
"site";0;0;0;0;0;0;0;0;0;1;0;6;1;0;0;1;4;1;2;1;0;0;2;1;0;3;3;9
"paul";0;0;0;0;1;0;0;0;0;1;2;4;0;1;0;0;2;0;0;0;2;0;1;1;0;23;0;28
"politique";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;2;10;1;2;8;0;6
"crise";0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;4;0;5;0;0;0
"manège";0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0
"imedia";0;0;0;0;0;1;0;0;0;0;0;0;2;4;22;21;54;30;25;17;18;18;35;99;11;65;77;64
"hier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;1;3;0;4
"alliance";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;0;1;0
"catherine";0;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;9;3;0
"lune";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;1;0;0;1;0;0;0;3
"nommer";0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0;1;0;0;0;1;2;0;1;0;0
"milieu";0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;1;0;2;3;0;0;0;1;0;0;0;1
"participer";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;2;0;1;2;0;0;0;0;2;0;1
"seul";0;0;0;1;1;0;0;0;0;1;0;2;1;0;2;0;5;0;0;2;0;1;1;3;1;1;3;3
"survivre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;2;0
"tamaran";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;24;41;0
"mauvais";0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;2;0;1;1;0;0;1;0;0;7
"chez";0;2;0;0;1;0;0;0;0;0;0;3;6;0;2;5;8;0;0;1;2;2;1;0;2;1;0;2
"chef";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;4;1;0;0;0;1;2;1;0;3
"hors";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;2;0;26
"communauté";0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;3
"servir";0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;3;0;28
"appeler";0;0;1;0;0;0;0;0;0;0;1;5;0;0;0;1;1;0;0;0;0;1;0;0;1;2;0;2
"falloir";1;0;0;0;0;0;1;0;0;1;0;1;7;0;3;1;0;0;1;7;0;0;0;3;0;0;0;0
"soucoupe";0;0;0;1;1;0;1;0;0;3;2;0;0;1;0;0;3;1;0;1;1;2;0;0;0;1;0;0
"interview";0;0;0;0;3;0;0;0;0;6;2;0;0;0;16;2;9;1;2;2;3;3;2;0;4;23;0;11
"nombre";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1;1;0;5;0;1
"pizza";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;40;0;0;0;0;0;0;0;0;0;0;0
"rire";0;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"l";0;3;7;2;12;9;23;1;14;29;25;58;47;28;88;64;93;22;40;38;42;64;79;139;53;159;149;226
"alexis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0
"survivant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;6;5;0
"enlever";0;0;1;0;1;0;0;0;0;0;0;3;0;0;1;1;1;0;2;0;1;3;2;0;0;0;0;0
"responsable";0;0;0;0;0;0;0;0;0;0;1;4;0;0;1;0;0;0;0;0;3;2;1;0;0;0;0;0
"prendre";0;0;0;1;1;1;2;1;0;2;0;6;0;1;8;2;48;1;6;2;1;0;2;8;2;5;0;0
"alors";1;0;0;0;0;0;2;0;0;2;0;3;0;1;4;0;8;3;6;6;4;2;5;4;2;4;5;1
"livreur";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;40;0;0;0;0;0;0;0;0;0;0;0
"état";0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;1;0;0;1;1;14;0
"plaindre";0;0;0;0;0;0;1;0;0;1;0;1;0;0;4;0;0;0;0;0;0;0;1;0;0;2;0;0
"grave";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;29;0;2;35;41;0
"avouer";1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
"de";3;3;60;15;29;16;44;0;14;93;59;173;83;65;259;149;304;77;107;88;112;132;269;398;121;390;252;337
"du";1;0;4;1;6;3;10;1;0;24;17;21;12;11;42;25;55;6;16;18;17;24;44;62;31;64;37;64
"malgré";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;15;0;0;0;0;2;0;0;0;1;0;0;1
"déage";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"bien";0;0;0;0;1;0;1;2;0;1;0;4;7;1;3;16;3;4;2;1;8;0;17;1;3;28;42;3
"auteur";0;0;0;0;1;0;0;0;0;0;2;0;1;7;2;3;1;0;0;0;2;2;0;0;4;9;0;22
"bras";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;2;0;0;0;3;0;0
"ils";2;0;1;3;1;0;9;1;0;5;0;9;0;6;10;8;15;12;8;14;5;6;37;9;7;80;135;19
"thierry";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14;7;2;0;0
"carbonnier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;18
"bunny";0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;1;0;0
"raid";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
"déclaration";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;8;0;8
"contact";0;0;1;0;1;0;0;0;0;0;0;4;0;0;1;0;1;0;2;0;0;0;0;0;3;0;6;9
"the";0;0;2;0;1;0;0;0;0;0;2;0;4;0;1;0;3;0;0;0;0;0;0;0;0;5;0;1
"poser";0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;3;2;1;1;0;1;1;2;0;0;2;0
"lci";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;0;7;0;1
"bord";0;0;0;0;0;0;4;0;2;0;0;0;0;1;1;0;1;2;0;2;0;0;1;0;0;0;0;0
"loin";0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;2;0;1;2;0;1;0;0;0;1
"connaître";0;0;0;0;0;0;1;0;0;0;1;4;3;0;1;2;2;0;2;0;0;1;6;0;2;6;1;0
"peupler";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;23;0;0;0;0;0;1;0;0;0;0;0
"commencer";0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;8;0;5;0;0;1;1;4;1;0;1;3
"occasion";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;1;1;1;2;1;0;1;0;2
"sujet";0;0;0;0;0;0;1;0;0;1;2;1;0;2;0;1;3;0;1;0;0;3;3;4;1;3;0;8
"rentrer";0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;1;1;0;2;1;0;0;1;0;0;1;1;0
"zone";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;0;1;0;5
"donner";0;1;0;0;0;1;0;0;0;1;0;3;2;0;7;1;2;1;3;3;1;1;1;1;1;3;0;1
"partager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;1;1;0;1;0;4
"quelques";0;0;0;0;0;0;0;0;0;1;1;1;0;0;3;0;0;1;3;1;0;2;3;1;0;1;4;1
"urgentiste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1
"gilet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;21;0;0;0;0
"ciel";0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;3;2;1;0;0;2;0;1;1;0;4;9;4
"finir";0;0;0;0;0;0;1;0;0;0;0;4;0;0;2;0;1;0;1;0;0;1;5;2;1;14;41;0
"echoué";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
"cas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;2;2;0;7;1;3;9
"car";3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;1;2;0;2;0;0;0;0;3;0;2;2
"discussion";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;2
"cours";0;0;0;0;1;0;0;0;0;2;1;0;0;0;4;1;1;1;1;1;0;1;0;1;2;3;1;1
"michel";0;0;1;0;0;0;0;0;0;4;2;0;0;0;1;1;2;0;0;0;1;0;1;1;0;3;0;1
"cafard";0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
"découvrir";0;0;2;0;1;1;1;1;4;1;1;9;1;0;3;2;4;4;3;3;2;3;3;4;2;5;7;6
"forme";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;2;2;2;1;3;2;2;4;4;9
"valérie";0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0
"nom";0;0;0;0;1;0;0;0;2;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0;1
"non";0;0;0;0;0;0;0;0;0;7;0;4;0;1;2;2;1;0;0;1;2;1;2;1;2;0;7;11
"emmener";0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;1;1;0;0;2;1;0;0;1;0;0
"nos";0;0;1;0;0;2;2;1;2;0;0;0;1;0;1;0;1;0;0;1;2;4;1;3;0;3;2;0
"en";3;0;9;9;8;5;6;0;4;24;8;29;28;6;62;35;101;17;35;20;22;29;53;17;21;66;32;113
"ex";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;11;0;1;0;0
"et";7;3;15;8;12;6;24;2;10;28;13;80;47;19;121;46;125;25;58;39;47;61;134;150;44;171;224;141
"album";0;0;0;0;0;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"marine";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;4;0;0;0;4;0;1
"message";0;0;0;0;0;0;1;0;0;1;0;2;0;0;2;0;0;1;0;0;2;1;0;0;0;2;7;0
"incroyable";0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;11
"premier";0;0;0;1;0;0;0;0;0;2;3;4;5;0;6;0;7;0;2;0;3;3;5;4;3;7;1;11
"presque";0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;3
"deux";0;0;0;0;1;1;0;0;0;1;0;4;3;1;3;3;10;2;2;2;1;1;3;4;3;4;1;2
"ligne";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;1;1;2;1
"étrange";0;0;0;0;0;0;0;0;0;2;0;6;0;2;0;0;2;3;2;4;3;1;1;1;0;9;17;6
"disparaître";1;0;0;0;0;0;1;0;0;0;0;6;0;0;1;1;3;1;0;0;0;0;0;1;0;1;1;0
"secrétaire";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;13;14;0;0;0;0
"joli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;1;0;0;0;0
"leur";0;0;1;3;2;1;6;0;0;2;0;4;5;8;19;5;12;4;18;6;6;8;44;12;10;84;127;8
"sport";1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;3;1;0;3
"3";0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;2;3;0;0;1;0;1;0;2;1;3;0;28
"vrai";0;0;0;0;0;0;1;0;0;1;1;0;1;0;4;0;0;0;0;1;2;0;1;1;0;2;1;0
"près_de";0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;6;3;1;0;1;0;1
"tropical";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0
"maïa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;25
"prétexte";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;79;0;0;0;0
"explication";2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;3
"soir";0;0;0;0;0;1;1;0;0;2;0;0;1;0;3;4;3;1;0;0;0;0;0;0;1;1;0;1
"media";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;1;2;3;0;0
"fruit";0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;2;2;0;0;1;1;1;0;0;0;0;0
"glacier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"européen";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;3;0;0;1;0;0;4;11;0;3;0;1
"ami";0;0;0;2;0;0;2;1;2;2;1;0;0;1;1;1;3;4;2;4;4;0;0;4;1;1;1;2
"certains";0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;2;0;2;1;0;1;0;2;0;0;1;1;9
"faire";3;1;0;2;1;3;8;0;2;2;4;19;13;2;17;5;11;8;15;11;12;5;18;5;8;31;64;44
"héros";0;0;1;0;0;2;0;0;0;0;0;0;2;1;0;0;1;0;0;0;1;1;2;0;0;1;0;1
"vilain";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;1
"vendre";0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;3;1;1;0;3;0;0;0;1
"intervention";0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;4
"loi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;5
"chambre";0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;0;0;0;1;0;0;2;0;0;0;0;0;2
"giorgio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;15
"vers";0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;1;1;0;0;1;1;0;0;0;2;1;2
"aile";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;24;41;0
"médecin";0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;1;0;0;0;1;11;0;0;0;1
"iran";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0
"aimer";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;2;2;2;2;0;0;0;0;0;2
"vidéo";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;3;0;2;0;0;2;0;10
"réalité";0;0;2;0;0;1;0;0;0;2;0;3;1;0;2;3;5;1;1;5;0;0;0;1;0;2;2;4
"visage";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;1;0;0;0;0;0;2;0;0;6;0;0
"posséder";0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;4;0;0;0;15;0;0;9;1;1
"suivant";0;0;1;0;2;0;0;0;0;0;0;2;0;0;1;1;0;0;0;1;2;1;0;0;0;1;0;0
"fr";0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;1;0;0;1;1;2;0;0;0;0
"invasion";0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;3;1;1;0;1;1;1
"documentaire";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;0;0;0;0;1;0;0;0;0;0;1
"cet";0;0;0;0;0;0;0;0;0;1;0;4;1;0;3;1;2;0;0;4;1;1;3;0;0;1;1;4
"ces";0;0;1;0;0;0;3;0;0;0;0;0;3;0;5;2;2;1;5;1;1;3;3;4;1;24;42;38
"base";0;0;0;0;2;0;0;0;0;0;0;4;1;0;0;0;1;0;0;3;0;0;2;0;0;0;2;0
"dire";0;0;0;0;0;1;2;0;0;0;0;4;4;0;5;2;2;0;7;0;0;2;1;0;1;2;0;2
"selon";0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;1;1;0;0;0;0;5;0;0;9;3;16
"diffuser";0;0;0;0;0;0;0;0;0;9;1;1;0;0;2;3;4;0;0;0;0;7;0;0;0;1;0;0
"tf1";0;0;0;0;0;0;0;0;0;1;5;6;1;0;21;3;3;0;0;0;1;0;0;3;0;0;0;2
"téléspectateur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;1;3;1;1;0;0;0
"véritable";0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;4;0;0;0;1;0;1;0;0;2;2;2
"charlotte";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;4
"aussi";0;0;0;0;0;0;2;0;2;1;0;3;4;0;8;3;8;2;3;0;1;1;15;2;2;26;42;33
"jour";0;0;0;0;0;0;1;0;0;1;0;0;0;0;5;4;3;0;1;2;2;3;1;3;2;0;1;6
"justice";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;4;0;2;0;0
"international";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;4;0;4
"événement";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;3;5
"voler";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;14;0;2;25;43;1
"culture";0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;1;3;2;3;0;0;2;0;2;0;11
"portrait";0;0;0;0;0;0;0;0;0;0;0;3;0;1;6;0;1;0;0;0;0;0;0;1;1;1;0;0
"effet";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;1;0;1;0;0;1;0;3;1;2
"sophia";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0
"créature";0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;2;3;0;1;0;0;0;0;4;20;0
"planète";0;0;1;1;3;0;5;0;2;2;0;0;0;5;3;21;4;1;2;1;1;7;15;3;4;27;46;5
"docteur";0;0;1;1;0;0;0;0;0;0;0;2;0;0;3;0;0;1;0;0;1;1;1;0;0;0;0;0
"grand";0;0;3;1;1;0;2;0;2;0;0;1;5;0;7;2;7;2;2;3;2;3;3;5;2;10;5;13
"000";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;1;0;1;1;2
"coup";0;0;0;0;0;0;0;0;0;2;1;1;1;0;2;0;2;1;0;0;0;0;0;0;0;0;0;1
"autres";0;0;0;1;2;0;0;0;0;1;0;5;1;0;3;0;2;1;7;2;3;1;16;2;3;28;48;3
"pierre";0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;2;7;0;0;0;1;1;1;0;0;0;0;4
"jouer";0;0;0;0;0;0;0;0;0;0;1;1;5;0;0;0;2;0;0;0;1;0;1;2;0;0;0;1
"jamais";0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;2;0;1;1;1;0;0;1;0;5
"être";8;2;9;6;12;3;22;5;4;18;2;71;62;10;116;51;111;31;70;31;45;31;100;131;33;187;187;133
"hapsatou";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
"pauline";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
"cryogénisé";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;40;0;0;0;0;0;0;0;0;0;0;0
"rester";1;1;0;0;0;0;1;0;0;2;0;2;0;0;4;0;4;0;1;1;0;1;0;1;0;4;7;2
"visite";0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;0;1;1;0;1;2;0;1;2;0;6
"structure";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;3;6
"peut_être";0;0;0;0;0;1;0;0;0;0;0;0;4;0;1;0;0;3;0;1;0;0;1;0;0;1;3;0
"utiliser";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;3;1;1;0;1;8;0;2
"rencontre";0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;2;2;1;1;2;2;2;0;3;2;5
"supervilains";0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
"suite";0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;2;9;1;0;0;2
"scientologie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
"apprendre";0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;1;0;0;2;2;1;0;0;0;0
"avoir";4;0;2;6;5;2;12;0;2;5;3;62;27;4;88;34;91;19;69;19;31;22;132;27;33;246;335;158
"michael";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;6
"élection";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;4;3;0;2
"jump";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;3;24;41;0
"cela";0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;1;3;0;0;1;0;2;0;1;1
"gens";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;11;0;1;0;1
"danger";1;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;14;0;2;26;43;0
