"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"son";3;0;4;1;3;1;8;0;4;2;12;43;20;3;33;9;26;10;21;6;19;12;14;14;4;11;11;14
"ligue";0;0;0;0;0;0;0;0;0;0;0;0;3;0;14;0;1;2;0;0;0;2;0;0;0;1;0;0
"corps";0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;6;0;0;1;1;3;0;4;1;0;0;0;0
"minute";0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;1;0;27
"cette";0;1;1;1;0;0;1;0;0;1;0;13;1;0;7;0;10;1;4;8;3;5;10;4;2;11;6;6
"solère";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0
"égyptien";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;9;0
"sommaire";0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;1;2;2;2;2;0;2
"nadia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;0
"daam";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;0
"reportage";0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;2;2;3;4;2;4;0;0;1;1;0;3
