"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"peur";-0,0124;-0,005;-0,0262;-0,0194;5,9991;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;1,0184;-0,1306;-0,0541;-0,3422;-0,1781;-0,3696;-0,0938;-0,1781;0,6329;0,5938;-0,1496;0,1998;0,5897;-0,1506;-0,7309;-0,286;-0,6194
"député";-0,0331;-0,0134;-0,0698;-0,0518;-0,0949;-0,0439;-0,1475;-0,0118;-0,0526;-0,2523;-0,1322;-0,6274;-0,3483;0,5485;-0,9128;-0,475;-0,9857;-0,2503;-0,475;-0,307;-0,3407;-0,3989;-0,2802;20,9178;-0,4016;-1,1844;-1,9642;-0,2917
"espèce";-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;-0,1088;-0,0451;0,3175;-0,1484;-0,308;-0,0782;0,5384;-0,0959;0,6628;-0,1246;0,7282;-0,3709;-0,1255;-0,609;0,8702;-0,1616
"toute";-0,0248;-0,01;-0,0523;-0,0388;-0,0712;-0,0329;-0,1106;-0,0089;-0,0395;-0,1892;-0,0992;0,543;1,6825;0,6563;-0,2647;0,7162;-0,7392;-0,1877;0,7162;-0,2303;0,3519;-0,2992;0,2358;-0,3933;-0,3012;0,4133;-0,2157;-0,3132
"affaire";-0,0259;-0,0104;0,9281;-0,0404;-0,0741;-0,0343;-0,1152;-0,0092;-0,0411;-0,1971;0,6744;-0,1568;-0,2721;-0,1128;-0,2821;0,2407;-0,317;-0,1955;-0,3711;-0,2399;0,9138;0,8047;0,4929;2,502;-0,3137;-0,2345;-1,5344;-0,3394
"chronique";-0,0352;-0,0142;-0,0742;-0,055;-0,1008;-0,0466;-0,1567;-0,0126;-0,0559;1,6391;-0,1405;-0,6667;-0,3701;0,5264;-0,4502;0,9785;-0,5033;2,5149;0,4986;5,1244;2,8922;2,5965;-1,2277;-1,2614;0,598;-2,0712;-2,087;-1,7553
"vigier";-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;-0,3993;-0,2078;-0,4312;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;-0,5054;15,2243;-0,1757;-0,8527;-0,8592;-0,7226
"ambre";-0,0538;-0,0217;-0,1134;-0,0841;-0,1542;-0,0713;-0,2397;-0,0192;-0,0856;-0,4101;-0,2149;-1,0197;-0,5661;-0,2346;-1,4835;-0,7721;-1,602;-0,4068;-0,7721;-0,499;-0,5537;-0,6483;-1,8779;-1,9294;0,7343;7,4554;-2,243;10,4311
"rick";-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;-0,0599;-0,0048;-0,0214;-0,1025;-0,0537;-0,2549;-0,1415;-0,0586;-0,3708;-0,193;-0,4004;-0,1017;-0,193;21,6121;-0,1384;-0,162;-0,4693;-0,4822;-0,1631;-0,7918;-0,7978;-0,671
"guerre";-0,0165;-0,0067;-0,0349;-0,0259;0,9851;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;-0,3137;-0,1741;-0,0722;-0,137;-0,2375;-0,4928;2,5738;-0,2375;-0,1535;-0,1703;-0,1994;-0,1998;0,4188;-0,2008;0,8316;-0,982;1,0195
